Lease Number,Area Code,Block Number,Lease Status Code,Lease Effective Date,Lease Expiration Date,Block Max Water Depth (meters)
 00041,WC,111,EXPIR,5/10/1948,9/4/1961,13
 00042,SS,94,UNIT,8/11/1948,,11
 00043,EI,88,TERMIN,8/28/1945,2/13/1986,7
 00044,EI,89,TERMIN,8/28/1945,2/22/2016,6
 00045,EI,94,TERMIN,8/28/1945,10/18/1978,10
 00046,EI,95,TERMIN,8/28/1945,2/22/2016,8
 00047,EI,110,EXPIR,8/28/1945,4/24/1955,12
 00048,EI,111,TERMIN,8/28/1945,6/30/1977,14
 00049,EI,119,PROD,8/28/1945,,12
 00050,EI,120,PROD,8/28/1945,,12
 00051,EI,125,OPERNS,8/28/1945,,14
 00052,EI,126,PROD,8/28/1945,,15
 00053,EI,128,TERMIN,8/28/1945,8/5/2010,16
 00054,EI,129,TERMIN,8/28/1945,5/5/2007,16
 00055,SS,54,EXPIR,9/12/1946,5/9/1956,5
 00056,SS,55,EXPIR,9/12/1946,5/9/1956,6
 00057,SS,63,UNIT,9/12/1946,,8
 00058,SS,64,UNIT,9/12/1946,,8
 00059,SS,71,UNIT,9/12/1946,,10
 00060,SS,72,UNIT,9/12/1946,,10
 00061,SS,73,RELINQ,9/12/1946,4/29/1960,9
 00062,SS,87,UNIT,9/12/1946,,10
 00063,SS,93,UNIT,9/12/1946,,13
 00064,SS,114,UNIT,9/12/1946,,19
 00065,SS,117,UNIT,9/12/1946,,18
 00066,SS,112,UNIT,9/12/1946,,14
 00067,SS,113,UNIT,9/12/1946,,16
 00068,SS,118,UNIT,9/12/1946,,17
 00069,SS,119,UNIT,9/12/1946,,16
 00070,SS,107,RELINQ,9/12/1946,2/2/1973,8
 00071,PL,11,PROD,9/12/1946,,11
 00072,PL,12,RELINQ,9/12/1946,9/11/2012,11
 00073,PL,19,RELINQ,9/12/1946,9/5/2012,17
 00074,PL,20,TERMIN,9/12/1946,4/1/2008,16
 00075,EI,44,TERMIN,11/26/1946,7/27/1963,7
 00076,EI,45,EXPIR,11/26/1946,3/13/1962,7
 00077,EI,50,RELINQ,11/26/1946,2/16/1971,7
 00078,EI,51,TERMIN,11/26/1946,10/13/2006,7
 00079,VR,46,TERMIN,11/26/1946,6/18/2018,10
 00080,WC,109,EXPIR,6/10/1947,6/8/1957,13
 00081,WC,110,PROD,6/10/1947,,13
 00082,WC,111,PROD,6/10/1947,,13
 00083,WC,134,EXPIR,6/10/1947,6/8/1957,24
 00084,WC,46,EXPIR,6/10/1947,6/8/1957,10
 00085,WC,55,EXPIR,6/10/1947,6/8/1957,11
 00086,EC,9,EXPIR,6/10/1947,6/8/1957,9
 00087,EC,9,NO-ISS,,,9
 00088,EC,14,NO-ISS,,,11
 00089,EC,64,TERMIN,6/10/1947,2/2/2016,16
 00090,EC,66,TERMIN,6/10/1947,1/12/2014,17
 00091,GA,190,RELINQ,11/7/1947,11/5/1956,18
 00092,GA,190,TERMIN,11/7/1947,3/3/1997,18
 00092,GA,189,TERMIN,11/7/1947,3/3/1997,18
 00093,GA,190,CONSOL,11/7/1947,9/1/1963,18
 00094,GA,210,RELINQ,11/7/1947,11/5/1956,18
 00095,GA,210,RELINQ,11/7/1947,11/5/1956,18
 00096,GA,211,RELINQ,11/7/1947,11/5/1956,19
 00097,GA,211,RELINQ,11/7/1947,11/5/1956,19
 00098,GA,212,RELINQ,11/7/1947,11/5/1956,19
 00099,GA,212,RELINQ,11/7/1947,11/5/1956,19
 00100,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00101,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00102,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00103,HI,143,EXPIR,11/7/1947,6/23/1957,16
 00104,HI,143,EXPIR,11/7/1947,6/23/1957,16
 00105,GA,182,RELINQ,11/7/1947,11/5/1956,17
 00106,GA,183,RELINQ,11/7/1947,11/5/1956,11
 00107,GA,188,RELINQ,11/7/1947,11/5/1956,18
 00108,GA,189,RELINQ,11/7/1947,11/5/1956,18
 00109,GA,189,CONSOL,11/7/1947,9/1/1963,18
 00110,GA,189,RELINQ,11/7/1947,11/5/1956,18
 00111,GA,189,RELINQ,11/7/1947,11/5/1956,18
 00112,GA,213,RELINQ,11/7/1947,11/5/1956,18
 00113,GA,213,RELINQ,11/7/1947,11/5/1956,18
 00114,GA,244,RELINQ,11/7/1947,4/17/1957,19
 00115,GA,214,RELINQ,11/7/1947,10/22/1956,18
 00116,GA,104,RELINQ,11/7/1947,9/15/1956,14
 00117,HI,105,RELINQ,11/7/1947,9/15/1956,15
 00118,BA,342,RELINQ,11/7/1947,10/23/1956,21
 00119,BA,342,RELINQ,11/7/1947,10/23/1956,21
 00120,BA,366,RELINQ,11/7/1947,10/22/1956,19
 00121,BA,341,RELINQ,11/7/1947,10/22/1956,19
 00122,BA,366,RELINQ,11/7/1947,10/22/1956,19
 00123,BA,367,RELINQ,11/7/1947,10/22/1956,19
 00124,GI,28,TERMIN,4/21/1947,12/2/1957,20
 00125,GI,29,UNIT,4/21/1947,,23
 00126,GI,39,UNIT,4/21/1947,,24
 00127,GI,39,UNIT,4/21/1947,,24
 00128,GI,40,UNIT,4/21/1947,,27
 00129,GI,41,UNIT,4/21/1947,,30
 00130,GI,41,UNIT,4/21/1947,,30
 00131,GI,42,UNIT,4/21/1947,,33
 00132,GI,46,UNIT,4/21/1947,,35
 00133,GI,47,UNIT,4/21/1947,,32
 00134,GI,48,UNIT,4/21/1947,,29
 00135,GI,49,RELINQ,4/21/1947,12/13/2002,26
 00136,GI,51,RELINQ,4/21/1947,1/14/1999,33
 00137,WD,44,TERMIN,4/23/1947,9/18/2015,28
 00138,WD,45,TERMIN,4/23/1947,12/28/2015,23
 00139,WD,46,RELINQ,4/23/1947,10/13/1960,18
 00140,WD,48,RELINQ,4/23/1947,12/11/1956,13
 00141,WD,49,EXPIR,4/23/1947,5/7/1957,11
 00142,WD,50,EXPIR,4/23/1947,5/7/1957,10
 00145,WD,57,EXPIR,4/23/1947,8/12/1957,15
 00146,WD,58,TERMIN,4/23/1947,4/9/2014,17
 00147,WD,59,EXPIR,4/23/1947,8/16/1975,19
 00148,WD,60,EXPIR,4/25/1947,4/23/1957,35
 00149,WD,81,EXPIR,4/25/1947,4/23/1957,30
 00151,WD,56,EXPIR,6/19/1947,2/13/1957,13
 00152,VR,61,RELINQ,6/19/1947,7/31/1956,15
 00153,VR,62,RELINQ,6/19/1947,7/31/1956,17
 00154,EC,49,RELINQ,7/19/1947,12/29/1959,16
 00155,EC,50,EXPIR,7/19/1947,7/17/1957,16
 00156,EC,51,EXPIR,7/19/1947,8/12/1957,16
 00157,EC,58,EXPIR,7/19/1947,8/12/1957,16
 00158,EC,59,EXPIR,7/19/1947,8/12/1957,17
 00159,EC,62,TERMIN,7/19/1947,5/5/1978,16
 00160,EC,63,TERMIN,7/19/1947,8/26/2000,16
 00161,EC,67,EXPIR,7/19/1947,9/28/2009,18
 00162,EC,70,EXPIR,7/19/1947,8/12/1957,17
 00163,EC,71,TERMIN,7/19/1947,12/1/1991,17
 00164,ST,22,RELINQ,7/19/1947,11/25/2002,15
 00165,ST,22,UNIT,7/19/1947,,15
 00166,ST,23,UNIT,7/19/1947,,16
 00167,VR,95,EXPIR,3/15/1948,11/17/1958,11
 00168,VR,108,EXPIR,3/15/1948,11/17/1958,16
 00169,VR,96,RELINQ,3/15/1948,1/27/1959,15
 00170,VR,75,EXPIR,5/10/1948,6/4/1958,7
 00171,VR,78,EXPIR,5/10/1948,8/13/1958,14
 00172,VR,86,TERMIN,5/10/1948,5/24/1993,14
 00173,VR,87,EXPIR,5/10/1948,11/17/1958,11
 00174,GI,32,UNIT,7/17/1948,,34
 00175,GI,43,UNIT,7/17/1948,,37
 00176,GI,44,UNIT,7/17/1948,,42
 00177,GI,52,UNIT,7/17/1948,,35
 00178,GI,53,RELINQ,7/17/1948,8/27/2001,38
 00179,WD,67,UNIT,7/17/1948,,38
 00180,WD,68,UNIT,7/17/1948,,37
 00181,WD,69,UNIT,7/17/1948,,41
 00182,WD,70,UNIT,7/17/1948,,44
 00184,EC,72,OPERNS,11/19/1948,,17
 00185,EC,73,RELINQ,11/19/1948,11/10/1955,16
 00186,EC,74,RELINQ,11/19/1948,11/10/1955,17
 00187,EC,83,TERMIN,11/19/1948,4/12/1984,19
 00188,WC,191,EXPIR,11/19/1948,3/31/1974,18
 00189,WC,192,EXPIR,11/19/1948,8/15/1956,18
 00190,WC,192,TERMIN,11/19/1948,6/19/2013,18
 00191,WC,193,TERMIN,11/19/1948,6/19/2013,18
 00192,WC,193,CONSOL,11/19/1948,12/16/1964,18
 00193,WC,194,TERMIN,11/19/1948,2/20/1982,19
 00194,EI,31,EXPIR,11/26/1946,7/23/1956,6
 00195,EI,31,EXPIR,11/26/1946,7/23/1956,6
 00196,EI,32,PROD,11/26/1946,,5
 00197,EI,32,CONSOL,11/26/1946,1/1/1965,5
 00198,EI,41,EXPIR,11/26/1946,7/23/1956,6
 00199,EI,42,EXPIR,11/26/1946,7/23/1956,6
 00200,EI,19,EXPIR,11/19/1948,7/23/1956,3
 00201,VR,22,EXPIR,11/26/1946,7/23/1956,12
 00202,VR,22,EXPIR,11/26/1946,7/23/1956,12
 00203,VR,23,TERMIN,11/26/1946,9/1/1962,11
 00204,VR,38,PROD,11/26/1946,,12
 00205,VR,38,TERMIN,11/26/1946,3/18/2013,12
 00206,VR,39,TERMIN,11/26/1946,9/1/2013,13
 00207,VR,42,TERMIN,11/26/1946,6/25/1991,13
 00208,VR,42,TERMIN,6/19/1947,4/20/1998,13
 00209,EI,43,EXPIR,11/26/1946,7/23/1956,6
 00210,EI,34,NO-ISS,,,4
 00211,EI,35,NO-ISS,,,3
 00212,EC,88,RELINQ,11/19/1948,12/13/1956,19
 00213,EC,89,RELINQ,11/19/1948,12/13/1956,19
 00214,EC,89,RELINQ,11/19/1948,12/13/1956,19
 00215,EC,89,RELINQ,11/19/1948,12/13/1956,19
 00216,WC,39,EXPIR,7/18/1947,7/16/1957,14
 00217,WC,41,RELINQ,7/18/1947,7/19/1956,11
 00218,WC,60,RELINQ,7/18/1947,7/19/1956,12
 00219,WC,62,EXPIR,7/18/1947,7/16/1957,13
 00220,WC,99,EXPIR,5/10/1948,6/10/1963,13
 00221,HI,59,NO-ISS,,,3
 00222,BM,4,EXPIR,3/15/1948,3/13/1958,1
 00223,BM,5,NO-ISS,,,1
 00224,WC,40,TERMIN,5/10/1948,1/1/1995,11
 00225,WC,39,TERMIN,5/10/1948,9/5/1964,14
 00226,ST,27,EXPIR,5/10/1948,5/8/1958,18
 00227,ST,28,EXPIR,5/10/1948,5/8/1958,17
 00228,EI,93,TERMIN,11/19/1948,2/22/2016,12
 00229,EI,90,TERMIN,11/19/1948,2/22/2016,9
 00230,EI,112,EXPIR,11/19/1948,11/17/1958,15
 00231,EC,75,EXPIR,11/19/1948,11/17/1958,17
 00232,EC,40,RELINQ,11/19/1948,2/2/1956,14
 00233,HI,178,EXPIR,11/7/1947,6/23/1957,17
 00234,HI,178,EXPIR,11/7/1947,6/23/1957,17
 00235,HI,179,EXPIR,11/7/1947,6/23/1957,17
 00236,HI,179,EXPIR,11/7/1947,6/23/1957,17
 00237,HI,179,EXPIR,11/7/1947,6/23/1957,17
 00238,GA,192,EXPIR,11/7/1947,6/23/1957,18
 00239,GA,192,EXPIR,11/7/1947,6/23/1957,18
 00240,HI,193,EXPIR,11/7/1947,6/23/1957,17
 00241,HI,193,EXPIR,11/7/1947,6/23/1957,17
 00242,HI,193,EXPIR,11/7/1947,6/23/1957,17
 00243,HI,193,EXPIR,11/7/1947,6/23/1957,17
 00244,WC,71,TERMIN,9/9/1946,12/19/2019,13
 00245,WC,72,TERMIN,9/9/1946,6/1/1995,13
 00246,WC,101,TERMIN,9/9/1946,3/21/1995,13
 00247,WC,102,PROD,9/9/1946,,13
 00248,VR,71,TERMIN,11/22/1946,4/11/1985,7
 00249,VR,76,TERMIN,6/19/1947,5/16/1993,9
 00250,WC,131,EXPIR,6/10/1947,4/20/1971,12
 00251,WC,132,TERMIN,6/10/1947,8/15/2004,12
 00252,WC,135,EXPIR,6/10/1947,6/8/1957,14
 00253,WC,149,TERMIN,6/10/1947,8/31/2018,13
 00254,WC,150,TERMIN,6/10/1947,1/2/2012,13
 00255,PL,23,EXPIR,8/11/1948,8/9/1958,19
 00256,WC,56,EXPIR,8/11/1948,8/9/1958,11
 00257,EC,14,EXPIR,3/15/1948,3/13/1958,11
 00258,WC,66,EXPIR,3/15/1948,3/13/1958,11
 00259,WC,67,EXPIR,3/15/1948,10/26/1972,11
 00260,EI,33,EXPIR,8/11/1948,7/8/1975,4
 00261,EI,40,RELINQ,8/11/1948,8/24/1956,6
 00262,EI,34,RELINQ,8/11/1948,8/24/1956,4
 00263,ST,21,UNIT,5/10/1948,,13
 00264,ST,20,EXPIR,7/17/1948,5/15/1959,13
 00265,WC,33,TERMIN,6/10/1947,9/30/1987,9
 00266,EC,10,EXPIR,3/15/1948,3/13/1958,10
 00267,GA,104,RELINQ,11/7/1947,7/26/1957,14
 00268,GA,104,RELINQ,11/7/1947,7/26/1957,14
 00269,HI,105,RELINQ,11/7/1947,7/26/1957,15
 00270,HI,107,RELINQ,11/7/1947,10/30/1956,16
 00271,HI,107,RELINQ,11/7/1947,10/30/1956,16
 00272,HI,141,RELINQ,11/7/1947,10/30/1956,16
 00273,HI,141,RELINQ,11/7/1947,10/30/1956,16
 00274,HI,141,RELINQ,11/7/1947,10/30/1956,16
 00275,HI,141,RELINQ,11/7/1947,10/30/1956,16
 00276,HI,143,RELINQ,11/7/1947,7/26/1957,16
 00277,GA,144,RELINQ,11/7/1947,7/26/1956,15
 00278,GA,144,RELINQ,11/7/1947,11/18/1957,15
 00279,GA,144,RELINQ,11/7/1947,11/18/1957,15
 00280,GA,144,RELINQ,11/7/1947,7/2/1957,15
 00281,HI,155,RELINQ,11/7/1947,10/31/1956,16
 00282,HI,155,RELINQ,11/7/1947,10/31/1956,16
 00283,HI,179,EXPIR,11/7/1947,6/23/1957,17
 00284,GA,180,EXPIR,11/7/1947,6/23/1957,17
 00285,GA,191,RELINQ,11/7/1947,10/31/1956,18
 00286,GA,192,EXPIR,11/7/1947,6/23/1957,18
 00287,GA,211,RELINQ,11/7/1947,10/31/1956,19
 00288,GA,212,RELINQ,11/7/1947,10/31/1956,19
 00289,GA,212,RELINQ,11/7/1947,10/31/1956,19
 00290,GA,244,EXPIR,11/7/1947,6/23/1957,19
 00291,GA,244,NO-ISS,,,19
 00292,GA,245,NO-ISS,,,18
 00293,GA,251,NO-ISS,,,19
 00294,GA,252,RELINQ,11/7/1947,10/31/1956,19
 00295,VR,15,EXPIR,11/26/1946,7/23/1956,7
 00296,VR,16,RELINQ,11/26/1946,4/29/1955,8
 00297,VR,26,TERMIN,11/26/1946,9/12/2013,9
 00298,VR,40,EXPIR,6/19/1947,2/13/1957,13
 00299,WC,45,TERMIN,7/17/1947,11/9/2012,10
 00300,WC,45,TERMIN,7/17/1947,4/9/2012,10
 00301,WC,56,TERMIN,7/17/1947,4/30/2013,11
 00302,EC,36,EXPIR,7/17/1947,3/13/1957,12
 00303,EC,37,EXPIR,7/17/1947,3/13/1975,12
 00304,EC,38,EXPIR,7/17/1947,3/13/1957,13
 00305,EC,39,EXPIR,7/17/1947,3/13/1957,14
 00306,EC,39,EXPIR,7/17/1947,3/13/1957,14
 00307,EC,55,EXPIR,7/17/1947,3/13/1957,14
 00308,EC,55,RELINQ,11/19/1948,1/9/1956,14
 00309,VR,40,RELINQ,11/19/1948,10/28/1957,13
 00310,SM,212,UNIT,2/7/1936,,4
 00310,SM,217,UNIT,2/7/1936,,4
 00310,SM,220,UNIT,2/7/1936,,5
 00310,SM,223,UNIT,2/7/1936,,5
 00310,SM,230,UNIT,2/7/1936,,6
 00310,SM,239,UNIT,2/7/1936,,7
 00310,SM,224,UNIT,2/7/1936,,5
 00310,SM,226,UNIT,2/7/1936,,6
 00310,SM,240,UNIT,2/7/1936,,8
 00310,SM,209,UNIT,2/7/1936,,4
 00310,SM,221,UNIT,2/7/1936,,5
 00310,SM,225,UNIT,2/7/1936,,4
 00310,SM,236,UNIT,2/7/1936,,7
 00310,SM,243,UNIT,2/7/1936,,8
 00310,SM,237,UNIT,2/7/1936,,7
 00310,SM,242,UNIT,2/7/1936,,8
 00310,SM,207,UNIT,2/7/1936,,3
 00310,SM,211,UNIT,2/7/1936,,4
 00310,SM,214,UNIT,2/7/1936,,2
 00310,SM,218,UNIT,2/7/1936,,4
 00310,SM,222,UNIT,2/7/1936,,5
 00310,SM,228,UNIT,2/7/1936,,6
 00310,SM,231,UNIT,2/7/1936,,5
 00310,SM,219,UNIT,2/7/1936,,5
 00310,SM,227,UNIT,2/7/1936,,6
 00310,SM,208,UNIT,2/7/1936,,4
 00310,SM,210,UNIT,2/7/1936,,4
 00310,SM,213,UNIT,2/7/1936,,3
 00310,SM,235,UNIT,2/7/1936,,6
 00310,SM,238,UNIT,2/7/1936,,7
 00310,SM,241,UNIT,2/7/1936,,8
 00310,SM,253,UNIT,2/7/1936,,7
 00310,SM,215,UNIT,2/7/1936,,3
 00310,SM,216,UNIT,2/7/1936,,4
 00310,SM,229,UNIT,2/7/1936,,6
 00310,SM,252,UNIT,2/7/1936,,7
 00311,SM,237,CONSOL,2/7/1936,8/2/1956,7
 00312,EI,27,RELINQ,11/26/1946,4/29/1985,7
 00313,EI,46,RELINQ,11/26/1946,12/23/1959,7
 00314,EI,48,EXPIR,11/26/1946,1/1/1961,6
 00315,EI,49,RELINQ,11/26/1946,12/23/1959,7
 00316,EI,26,EXPIR,6/19/1946,1/1/1961,7
 00317,EI,47,TERMIN,6/19/1947,3/18/2015,7
 00318,GA,281,EXPIR,11/7/1947,6/23/1957,20
 00319,GA,281,EXPIR,11/7/1947,6/23/1957,20
 00320,GA,303,EXPIR,11/7/1947,6/23/1957,21
 00321,GA,303,EXPIR,11/7/1947,6/23/1957,21
 00322,GA,282,EXPIR,11/7/1947,6/23/1957,20
 00323,GA,282,EXPIR,11/7/1947,6/23/1957,20
 00324,GA,282,EXPIR,11/7/1947,6/23/1957,20
 00325,GA,283,EXPIR,11/7/1947,6/23/1957,20
 00326,GA,283,EXPIR,11/7/1947,6/23/1957,20
 00327,GA,302,EXPIR,11/7/1947,6/23/1957,20
 00328,GA,302,EXPIR,11/7/1947,6/23/1957,20
 00329,GA,273,EXPIR,11/7/1947,6/23/1957,20
 00330,GA,273,EXPIR,11/7/1947,6/23/1957,20
 00331,SM,238,CONSOL,2/7/1936,8/1/1956,7
 00332,EI,5,NO-ISS,,,2
 00333,SS,30,UNIT,9/12/1946,,5
 00334,SS,31,UNIT,9/12/1946,,6
 00335,SS,32,UNIT,9/12/1946,,6
 00336,SS,33,UNIT,9/12/1946,,6
 00337,SS,53,NO-ISS,,,4
 00338,SS,52,NO-ISS,,,4
 00339,SS,47,NO-ISS,,,0
 00340,SS,45,NO-ISS,,,1
 00341,VR,39,TERMIN,6/19/1947,5/31/1999,13
 00342,SS,36,RELINQ,8/11/1948,8/18/1975,3
 00343,SS,34,UNIT,8/11/1948,,4
 00344,SS,35,RELINQ,9/12/1946,10/10/1975,4
 00345,SS,29,UNIT,9/12/1946,,4
 00346,SS,28,UNIT,9/12/1946,,4
 00347,SS,27,UNIT,9/12/1946,,3
 00348,PL,12,NO-ISS,,,11
 00349,SP,23,TERMIN,4/23/1947,6/5/1981,10
 00350,SP,24,TERMIN,4/23/1947,12/13/1965,3
 00351,SS,67,NO-ISS,,,8
 00352,SP,27,UNIT,4/23/1947,,27
 00353,SP,28,UNIT,4/23/1947,,27
 00354,GI,8,EXPIR,9/9/1946,5/5/1956,8
 00355,EI,17,EXPIR,7/17/1948,9/19/1957,1
 00356,EI,18,TERMIN,7/17/1948,7/27/1982,3
 00357,EI,13,TERMIN,11/19/1948,12/13/1965,1
 00358,EI,14,TERMIN,11/19/1948,12/13/1965,1
 00359,EI,18,TERMIN,11/19/1948,7/27/1982,3
 00362,EI,12,RELINQ,7/17/1948,12/13/1965,3
 00365,WD,20,RELINQ,6/19/1947,2/17/1957,13
 00366,WD,21,EXPIR,6/19/1947,6/17/1957,12
 00367,WD,32,PROD,6/19/1947,,21
 00368,GI,7,EXPIR,9/9/1946,5/5/1956,3
 00369,BM,2,UNIT,3/15/1948,,14
 00370,BM,3,UNIT,3/15/1948,,12
 00371,MP,68,EXPIR,8/5/1947,4/1/1957,13
 00372,MP,69,TERMIN,8/5/1947,2/26/2019,18
 00373,MP,40,UNIT,8/5/1947,,20
 00374,MP,41,UNIT,8/5/1947,,17
 00375,MP,42,UNIT,8/5/1947,,13
 00376,MP,45,TERMIN,8/5/1947,12/13/1965,6
 00377,MP,57,UNIT,8/5/1947,,17
 00378,MP,58,UNIT,8/5/1947,,20
 00379,MP,59,UNIT,8/5/1947,,24
 00380,MP,70,EXPIR,8/5/1947,4/1/1957,25
 00381,MP,63,EXPIR,1/9/1948,1/7/1958,24
 00382,MP,64,EXPIR,1/9/1948,1/7/1958,17
 00383,MP,68,EXPIR,1/9/1948,9/5/1955,13
 00384,WD,28,PROD,6/19/1947,,13
 00385,WD,29,PROD,6/19/1947,,14
 00386,ST,23,UNIT,4/25/1947,,16
 00387,ST,24,UNIT,5/10/1948,,17
 00388,SS,117,EXPIR,5/10/1948,5/8/1958,18
 00389,SS,118,EXPIR,5/10/1948,5/9/1958,17
 00390,GI,26,UNIT,4/21/1947,,15
 00391,GI,26,UNIT,7/17/1948,,15
 00392,GI,37,UNIT,7/17/1948,,17
 00393,GA,244,RELINQ,11/7/1947,4/15/1957,19
 00394,GA,245,RELINQ,11/7/1947,4/15/1957,18
 00395,GA,244,RELINQ,11/7/1947,4/17/1957,19
 00396,GA,244,RELINQ,11/7/1947,5/23/1957,19
 00397,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00398,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00399,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00400,GA,252,EXPIR,11/7/1947,6/23/1957,19
 00401,GA,244,RELINQ,11/7/1947,5/23/1957,19
 00405,WC,249,EXPIR,12/1/1954,11/30/1959,24
 00406,EC,82,TERMIN,12/1/1954,10/22/1985,18
 00407,EC,82,TERMIN,12/1/1954,11/8/1983,18
 00408,WC,253,RELINQ,1/1/1955,12/30/1959,26
 00409,WC,252,EXPIR,12/1/1954,11/30/1959,26
 00410,EC,103,RELINQ,1/1/1955,12/30/1959,20
 00411,EC,104,RELINQ,1/1/1955,12/30/1959,20
 00412,EC,105,RELINQ,1/1/1955,12/30/1959,20
 00413,EC,115,RELINQ,1/1/1955,12/30/1959,22
 00414,VR,92,RELINQ,12/1/1954,11/7/1958,7
 00415,VR,111,RELINQ,12/1/1954,11/7/1958,13
 00416,VR,163,RELINQ,1/1/1955,12/30/1959,29
 00417,VR,165,EXPIR,12/1/1954,11/30/1959,29
 00418,EC,114,RELINQ,1/1/1955,12/30/1959,22
 00419,SS,150,PROD,11/1/1954,,19
 00420,SS,154,PROD,11/1/1954,,19
 00421,ST,55,UNIT,12/1/1954,,21
 00422,ST,54,UNIT,12/1/1954,,20
 00423,EI,189,PROD,12/1/1954,,21
 00424,EI,62,RELINQ,12/1/1954,11/17/2017,7
 00425,EI,63,TERMIN,12/1/1954,10/20/2003,7
 00426,EI,76,EXPIR,12/1/1954,4/24/1972,8
 00427,EI,84,RELINQ,11/30/1959,11/16/1960,8
 00428,EI,185,EXPIR,12/1/1954,11/30/1959,24
 00429,EI,171,EXPIR,12/1/1954,11/30/1959,22
 00430,EI,85,RELINQ,12/1/1954,11/16/1960,8
 00431,EI,192,TERMIN,1/1/1955,10/29/1977,26
 00432,VR,184,EXPIR,12/1/1954,11/30/1959,31
 00433,VR,178,TERMIN,12/1/1954,3/17/1989,31
 00434,SS,149,TERMIN,1/1/1955,2/25/2020,17
 00435,EI,211,EXPIR,1/1/1955,12/31/1959,26
 00436,EI,198,TERMIN,1/1/1955,1/29/2008,31
 00437,EI,199,TERMIN,1/1/1955,2/18/2006,31
 00438,EI,175,PROD,12/1/1954,,26
 00439,EI,190,RELINQ,12/1/1954,12/21/1970,24
 00440,SS,153,EXPIR,12/1/1954,11/30/1964,21
 00441,EI,64,RELINQ,1/1/1955,12/22/1958,7
 00442,EI,128A,TERMIN,1/1/1955,3/8/2010,17
 00443,EI,188,TERMIN,1/1/1955,4/30/2010,22
 00444,SS,171,EXPIR,1/1/1955,12/12/1958,20
 00445,EI,176,TERMIN,1/1/1955,1/30/2005,26
 00446,EC,104,RELINQ,1/1/1955,12/12/1958,20
 00447,EC,115,RELINQ,1/1/1955,12/12/1958,22
 00448,VR,164,RELINQ,1/1/1955,12/12/1958,27
 00449,VR,179,RELINQ,1/1/1955,12/12/1958,29
 00450,EI,175,RELINQ,1/1/1955,12/12/1958,26
 00451,EC,116,RELINQ,1/1/1955,12/30/1959,22
 00452,VR,180,RELINQ,1/1/1955,12/30/1959,31
 00453,SS,130,TERMIN,1/1/1955,2/25/2020,14
 00454,SS,148,RELINQ,1/1/1955,12/31/1959,15
 00455,SS,173,RELINQ,1/1/1955,7/24/1963,22
 00456,ST,130,PROD,1/1/1955,,49
 00457,ST,131,PROD,1/1/1955,,59
 00458,ST,132,TERMIN,1/1/1955,6/26/1973,77
 00459,ST,133,TERMIN,1/1/1955,11/28/2014,64
 00460,EC,60,EXPIR,2/1/1955,1/31/1960,17
 00461,ST,134,UNIT,1/1/1955,,52
 00462,ST,135,UNIT,1/1/1955,,40
 00463,ST,151,UNIT,1/1/1955,,45
 00464,ST,152,UNIT,1/1/1955,,54
 00465,ST,129,UNIT,1/1/1955,,41
 00466,EI,77,RELINQ,12/1/1954,11/17/2017,8
