Field Name,Lease Number,Completion Name,API Well Number,Reservoir Name,Test Date,Shut-In Time,Temp,SI Pressure,BH MD (feet),True Vertical Depth (feet),BH Pressure,Remark
AT575,G08035,SC004,608184006900,M9X/M10,6/26/2012,96,155,3045,16705,16600,6547,
AT575,G08035,SC003,608184006500,M9,8/22/2017,24,148,2220,10136,10187,5313,"THF-SS trees-WD 6,211.  Waiver approved by Tao Lin letter 10/6/17."
AT575,G08035,SB001,608184006700,M9X/M10,6/26/2012,96,155,3030,17083,15687,6448,
AT575,G08035,SC002,608184006300,M9,6/26/2012,96,156,3407,16348,15306,6908,
AT575,G08035,SC002,608184006300,M9,3/29/2011,7,158,158,17073,15878,6627,
AT575,G08035,SC002,608184006300,M9X/M10,8/22/2017,24,155,1601,10792,10841,5528,"THF-SS trees-WD 6,213.  Waiver approved by Tao Lin lette 10/6/17."
AT575,G08035,SB001,608184006700,M9X/M10,6/28/2016,4,158,2285,17083,16509,5765,Waiver approved per Deirdre Thomas letter on 08/26/2015.
AT575,G08035,SC001,608184004403,M9X/M10,6/28/2015,4,157,2232,16348,15433,5431,Waiver approved per Deirdre Thomas on 8/26/2015.
AT575,G08035,SC002,608184006300,M9,6/23/2016,5,158,2339,10792,9876,5752,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08038,SB002,608184007000,M9X/M10,5/10/2014,21,154,2172,10429,15336,5530,"THF noted on BHP is 6254'. Bottom perf noted on BHP 19,641"
AT575,G08035,SC002,608184006300,M9X/M10,3/29/2011,7,158,158,17073,15878,6627,
AT575,G08035,SC003,608184006500,M9,6/28/2016,4,152,2492,16417,15040,5593,Waiver approved per Deirdre Thomas letter on 8/26/2015.
AT575,G08035,SC002,608184006300,M9,6/28/2015,4,158,2385,17073,15878,5777,Waiver approved per Deirdre Thomas letter of 8/26/2015.
AT575,G08036,SD001,608184006100,M9X/M10,6/26/2012,96,151,999,16727,15813,8825,
AT575,G08035,SC002,608184006300,M9X/M10,6/26/2012,96,156,3407,16348,15306,6908,
AT575,G08035,SC003,608184006500,M9X/M10,6/26/2012,96,148,3115,16417,15040,6120,
AT575,G08035,SC002,608184006300,M9X/M10,6/28/2015,4,158,2385,17073,15878,5777,Waiver approved per Deirdre Thomas letter of 8/26/2015.
AT575,G08035,SC001,608184004403,M9X/M10,8/22/2017,24,154,2201,10067,10119,5309,"THF-SS trees-WD 6,213.  Waiver approved by Tao Lin letter 10/6/17."
AT575,G08035,SB003,608184007500,M9X/M10,6/23/2016,5,158,9999,12477,11431,6170,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08035,SC002,608184006300,M9X/M10,6/23/2016,5,158,2339,10792,9876,5752,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08035,SC001,608184004403,M9X/M10,6/26/2012,96,159,3364,16348,15433,6704,
AT575,G08035,SC004,608184006900,M9X/M10,6/28/2015,4,158,2199,16705,15733,5697,Waiver approved per Deirdre Thomas letter on 8/26/2015.
AT575,G08035,SB001,608184006700,M9X/M10,6/23/2016,24,156,2325,10751,9837,5761,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08035,SC004,608184006900,M9X/M10,9/12/2016,7,158,2118,10423,9509,5686,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08035,SC001,608184004403,M9X/M10,5/10/2014,18,157,2336,10018,16320,5595,THF noted on BHP-6245. Previous departure granted to utilize permanent downhole pressure gauge readings in lieu of a slick-line survey.
AT575,G08035,SC003,608184006500,M9,6/26/2012,96,148,3115,16417,15040,6120,
AT575,G08038,SB002,608184007000,M9X/M10,11/5/2012,7,149,6123,17467,15206,9384,
AT575,G08038,SB002,608184007000,M9X/M10,6/26/2012,96,158,4428,18704,16122,8612,
AT575,G08035,SC002,608184006300,M9,8/22/2017,24,155,1601,10792,10841,5528,"THF-SS trees-WD 6,213.  Waiver approved by Tao Lin lette 10/6/17."
AT575,G08035,SC003,608184006500,M9,5/10/2014,16,150,2808,10133,15824,5689,THF noted on BHP-6198'.
AT575,G08035,SC003,608184006500,M9X/M10,6/23/2016,5,151,2295,10136,9222,5334,Waiver approved per Tao Lin letter of 9/19/2016.
AT575,G08035,SC003,608184006500,M9X/M10,6/28/2016,4,152,2492,16417,15040,5593,Waiver approved per Deirdre Thomas letter on 8/26/2015.
AT575,G08038,SB002,608184007000,M9X/M10,6/28/2015,4,156,1832,17467,15206,5222,Waiver approved per Deirdre Thomas letter on 8/26/2015.
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,5038,5076,3009,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,6038,6076,3071,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,38,76,2661,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,7038,7076,3170,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,3038,3076,2880,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,7538,7576,3388,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,2038,2076,2812,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,4038,4076,2945,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,8038,8076,3607,
BA017A,G23166, B001,427044034500,LWR CIB CARST B,3/1/2011,4,223,2650,1038,1076,2741,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,5000,4117,2524,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,2000,1122,1217,
BA021A,G08120, A003,427044034700,"""MO Purple"" Sand",5/10/2011,-,999,99999,,,,Waiver request received - monopod platform.
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,3000,2120,1646,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,7000,6068,3341,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,4000,3119,2086,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,8950,7504,3953,
BA021A,G08120, A003,427044034700,"""MO Purple"" Sand",5/13/2011,-,999,999,,,,Waiver approved per Loc Than letter of 5/13/2011.
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,1000,122,795,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,6000,5112,2965,
BA021A,G08120, A002,427044030700,"""L-3"" Sand",8/30/2011,4,195,3953,8000,6880,3663,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,11945,10473,1078,KB TO THF = 55'
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,4000,4055,706,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,11500,10577,1155,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,12078,12116,1067,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,4000,3080,1017,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,11000,10078,1147,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,8945,7978,971,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,12282,12320,1070,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,2000,1080,981,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,10445,9208,1056,KB TO THF = 55'
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,8000,8031,1592,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,5963,5825,1291,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,12500,12273,1709,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,6078,6122,964,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,6000,6048,1539,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,12000,11077,1164,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,10000,9833,785,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,13445,11735,1100,KB TO THF = 55'
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,945,1000,852,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,6000,5080,1053,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,2000,2049,1432,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,12945,11325,1027,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,2000,2055,680,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,6963,6716,1311,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,4078,4122,930,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,0,55,651,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,3963,3996,1249,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,10500,10318,792,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,12831,12578,1719,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,8078,8121,998,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,9963,9585,1377,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,9000,8885,772,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,1945,1979,930,KB TO THF = 55'
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,11578,11618,1059,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,12000,11749,813,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,7963,7622,1332,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,10000,9079,1128,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,12445,10900,1085,KB TO THF = 55'
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,14104,12269,1043,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,4000,4049,1485,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,11445,10049,1071,KB TO THF = 55'
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,3945,3728,960,KB TO THF = 55'
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,12710,12397,823,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,12500,12205,820,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,1963,2000,1203,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,2945,2867,886,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,13759,11982,1104,KB TO THF = 55'
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,13645,11891,1037,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,11078,11119,1051,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,2078,2122,897,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,0,55,832,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,5945,5412,989,KB TO THF = 55'
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,12235,11857,1430,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,963,1000,1180,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,2963,3000,1226,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,13945,12135,1041,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,11945,10473,1013,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,10945,9623,1063,KB TO THF = 55'
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,10963,10585,1401,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,0,55,901,KB TO THF = 55'
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,10000,9925,1643,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,13245,11576,1031,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,4945,4582,914,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,6945,6256,940,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,12206,11282,1167,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,5945,5412,927,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,10945,9623,999,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,0,49,1378,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,11000,10801,799,
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,12000,11812,1694,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,14104,12269,1109,KB TO THF = 55'
BA133A,G02665, C002,427054008200,CM 7D,12/10/2014,4,292,1372,11000,10863,1669,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,9945,8797,1049,KB TO THF = 55'
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,12696,12318,1441,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,11500,11279,806,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,0,37,1158,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,3945,3728,900,
BA133A,G02665, C001,427054007800,CM7GFBC1,5/25/2012,8,287,287,8000,7079,1090,
BA133A,G02665, A004,427054004301,CM 7D,12/19/2013,24,280,901,7945,7111,1019,KB TO THF = 55'
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,8000,7962,759,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,1945,1979,871,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,10078,10120,1034,
BA133A,G02665, C003,427054010700,CM 7D,11/21/2017,4,284,651,6000,6055,732,
BA133A,G02665, A004,427054004301,CM 7D,9/10/2016,11,276,853,7945,7111,956,
BA133A,G02665, C001,427054007800,CM 7D,10/18/2011,9,284,852,78,122,865,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,8963,8587,1354,
BA133A,G02665, C004,427054013500,CM 7D,10/20/2015,24,287,1158,4963,4936,1271,
BA399,G09010, A002,427044031801,Rob (M)-2,9/7/2011,-,999,99999,8304,6941,2811,Waiver approved - dry gas
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,7500,7015,2134,
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,45,45,1372,
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,4000,3936,1497,
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,8245,7595,2382,
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,7000,6583,1949,
BA399,G09010, A002,427044031800,ROB(M)5 RC,2/7/2012,999,999,999,7880,4702,2843,Waiver approved per Holly Karrigan by letter of 2/7/2012.
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,2000,2000,1436,
BA399,G09010,  003,427044027900,ROB M5,1/5/2011,-,999,99999,,,,BHP rec'd in Well 003D of this reservoir.
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,6000,5705,1572,
BA399,G07215, A003,427044031900,ROB(M)-2 FB-A2,5/20/2012,24,192,1356,8000,7412,2304,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,5910,5816,2430,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,7500,5362,2226,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,2000,2118,2223,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,2000,1102,2569,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,7000,5060,2212,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,4000,4118,2322,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,3000,2643,2100,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,5000,3851,2162,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,4000,4076,2600,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,5854,5906,2642,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,5000,5030,2371,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,2000,1980,2069,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,5500,5549,2682,
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,3000,2102,2627,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,2000,2076,2488,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,1000,1118,2167,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,5000,5072,2656,
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,1000,102,2510,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,5900,5808,2429,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,2000,2038,2224,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,0,38,2117,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,3000,3038,2273,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,3000,3076,2544,
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,6200,5281,2792,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,1000,1059,2025,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,6000,5996,2747,
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,5200,4301,2749,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,1000,1076,2431,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,4000,4038,2322,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,5000,5113,2370,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,5700,4798,2772,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,4000,3247,2131,
BA491,G06069,  004,427044034300,RM-5 RB,1/3/2012,8,170,2434,4000,3102,2684,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,3000,3118,2275,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,59,118,1979,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,6000,4456,2187,
BA491,G06069,  004,427044034300,RL-2A RB,6/17/2016,6,156,2117,1000,1038,2173,
BA491,G06069, A001,427044018200,RM-1 RA,12/20/2011,24,157,2350,0,76,2373,
BA491,G06069, A003,427044032900,RL-1,4/6/2012,10,157,1977,7843,5569,2236,
BA491,G06069, A001,427044018200,RL-2 RA,5/31/2016,24,157,2110,0,118,2110,Pressure @ Mid Perf/ please note KB elevation in BOEM/BSEE database is 168' however per attached log header correct KB elevation is 92'.
BM002, 00386,  021,177154024102,8175/8200 FBI,12/14/2013,4,185,612,9720,9683,3121,KB TO THF = 76'
BM002, 00386,  021,177154024102,8175/8200 FBI,12/14/2013,4,185,612,9500,9503,3056,KB TO THF = 76'
BM002, 00390, X004,177170032400,83/87/8750 BUW,2/15/2014,5,181,1082,10012,9606,2650,KB TO THF = 18'
BM002, 00390, X010,177170032203,83/87/8750BUW,1/17/2014,48,184,128,10000,9542,2163,
BM002, 00386,EE014,177154077003,S 7900 BB,2/1/2016,4,190,785,10965,9537,2512,Reservoir name noted on BHP-S 07900 FB BB.
BM002, 00386,EE014,177154077003,S 7900 BB,2/1/2016,4,190,785,10000,8753,2156,Reservoir name noted on BHP-S 07900 FB BB.
BM002, 00392,CD006,177140035203,83/87/8750BUW,2/8/2015,4,185,499,10500,9438,3102,
BM002, 00369,  076,177144001205,7600 MID FB V,1/20/2015,7,160,,3959,3301,749,Shut-in pressure is not noted on BHP. Reservoir name noted on BHP-E 07600 MID FB V.
BM002, 00386,EE009,177150099400,7600 UPR BB,4/8/2017,999,186,9999,0,30,15,
BM002,S19323,SG001,177142000002,8200 FB FX,1/11/2014,4,171,154,5000,4866,1984,
BM002,S19323,SG001,177142000002,8200 FB FX,2/23/2016,6,170,225,0,54,225,
BM002, 00387,CL013,177150024901,8550 FB B,2/13/2016,9,191,241,9000,9042,1517,
BM002, 00387, S010,177150111703,8000 UP/LW,5/13/2017,6,180,999,9500,8492,3179,
BM002, 00386,CL012,177150024802,8175/8200 FBI,11/20/2014,96,176,1900,7000,6595,2222,
BM002, 00370,FF002,177140031101,7900 FB D,4/29/2015,216,161,571,6324,6279,651,KB noted on BHP is 94.
BM002, 00370,FF002,177140031101,7900 D,3/24/2017,4,159,9999,6424,6375,663,
BM002, 00390, X003,177170031501,83/87/8750BUW,10/1/2016,-,187,231,9000,8838,2723,Well has been shut in since 2009.
BM002, 00369,  023,177140032902,4900 FB D,9/2/2016,6,152,278,0,69,275,
BM002, 00386,SC024,177154105001,7400 FB BB,6/11/2017,999,184,365,4000,4077,438,
BM002, 00386,SJ022,177154068202,7200 FB E,5/27/2017,6,168,470,0,76,470,
BM002, 00369,  072,177144000801,7300 OO,4/17/2013,87,168,1063,7000,5848,2730,
BM002,G01870, H001,177154126200,N4/N6,9/9/2014,4,196,820,7961,7910,1020,
