,Record Type,API Well Number,Paleo Report ID Number,Total Number of Reports for API,Measured Depth,True Vertical Depth,Definite/Possible,At/In,Paleo Age,Definite/Possible,At/In,Ecozone
80,P,608054000100,4,3,11203,11203,DEF,AT,Lower Eocene (Ypresian) Rhabdosphaera inflata,DEF,AT,
81,P,608054000100,4,3,11204,11204,DEF,AT,Lower Eocene (Ypresian) Toweius crassus,DEF,AT,
82,P,608054000600,2,2,10360,10360,DEF,IN,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,IN,5.0
83,P,608054000600,2,2,10480,10480,DEF,IN,Upper Oligocene (Chattian) Globigerina angulisuturalis,DEF,IN,5.0
84,P,608054000600,3,2,10330,10330,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus,DEF,AT,
85,P,608054000600,3,2,10360,10360,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
86,P,608054000600,3,2,10480,10480,DEF,AT,Upper Oligocene (Chattian) Sphenolithus distentus,DEF,AT,
87,P,608054003600,1,1,12028,12027,DEF,IN,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,IN,5.0
88,P,608054003600,1,1,12029,12028,DEF,IN,Lower Oligocene (Rupelian) Helicosphaera compacta,DEF,IN,5.0
89,P,608054003600,1,1,12030,12029,DEF,IN,Lower Oligocene (Rupelian) Reticulofenestra circus,DEF,IN,5.0
90,P,608054003600,1,1,12085,12084,DEF,IN,Lower Oligocene (Rupelian) Sphenolithus akropodus,DEF,IN,5.0
91,P,608054003600,1,1,12120,12119,DEF,IN,Lower Oligocene (Rupelian) Reticulofenestra umbilica,DEF,IN,5.0
92,P,608054003600,1,1,12150,12149,DEF,IN,Lower Oligocene (Rupelian) Lanternithus minutus,DEF,IN,5.0
93,P,608054003600,1,1,12160,12159,DEF,IN,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,IN,5.0
94,P,608054003600,1,1,12240,12239,DEF,IN,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,IN,4.0
95,P,608054003600,1,1,12270,12269,DEF,IN,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,IN,4.0
96,P,608054003600,1,1,12296,12295,DEF,IN,Middle Eocene (Bartonian) Acarinina bullbrooki,DEF,IN,4.0
97,P,608054003600,1,1,12297,12296,DEF,IN,Middle Eocene (Bartonian) Radiolarian acme A,DEF,IN,4.0
98,P,608054003600,1,1,12298,12297,DEF,IN,Middle Eocene (Lutetian) Nannotetrina fulgens,DEF,IN,4.0
99,P,608054003600,1,1,12299,12298,DEF,IN,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,IN,4.0
100,P,608054003600,1,1,12300,12299,DEF,IN,Lower Eocene (Ypresian) Rhabdosphaera inflata,DEF,IN,4.0
101,P,608054003600,1,1,12359,12357,DEF,IN,Lower Eocene (Ypresian) Radiolarian acme B,DEF,IN,4.0
102,P,608054003600,1,1,12390,12388,DEF,IN,Lower Eocene (Ypresian) Tribrachiatus bramlettei,DEF,IN,4.0
103,P,608054003600,1,1,12540,12538,DEF,IN,Lower Eocene (Ypresian) Acarinina soldadoensis,DEF,IN,4.0
104,P,608054003600,1,1,12570,12568,DEF,IN,Lower Eocene (Ypresian) Acarinina wilcoxensis,DEF,IN,4.0
105,P,608054003600,1,1,12629,12626,DEF,IN,Lower Eocene (Ypresian) Morozovella formosa formosa,DEF,IN,4.0
106,P,608054003600,1,1,12630,12627,DEF,IN,Lower Eocene (Ypresian) Morozovella aequa,DEF,IN,4.0
107,P,608054003600,1,1,12960,12945,DEF,IN,Lower Eocene (Ypresian) Apectodinium homomorphum acme/PETM,DEF,IN,4.0
108,P,608054003600,1,1,13618,13515,DEF,IN,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,IN,4.0
109,P,608054003600,1,1,13619,13516,DEF,IN,Lower Eocene (Ypresian) Tribrachiatus bramlettei,DEF,IN,4.0
110,P,608054003600,1,1,13620,13517,DEF,IN,Lower Eocene (Ypresian) Discoaster mahmoudi,DEF,IN,4.0
111,P,608054003600,1,1,13800,13649,DEF,IN,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,IN,4.0
112,P,608054003600,1,1,13960,13759,DEF,IN,Lower Eocene (Ypresian) Apectodinium homomorphum acme/PETM,DEF,IN,4.0
113,P,608054003600,1,1,14460,14105,DEF,IN,Upper Paleocene (Thanetian) Heliolithus kleinpellii,DEF,IN,4.0
114,P,608054003600,1,1,15150,14578,DEF,IN,Lower Eocene (Ypresian) Cruciplacolithus frequens,DEF,IN,4.0
115,P,608054003600,1,1,15420,14764,DEF,IN,Upper Paleocene (Thanetian) Bathysiphon spp increase,DEF,IN,4.0
116,P,608054003600,1,1,15870,15074,DEF,IN,Upper Paleocene (Thanetian) Ericsonia robusta,DEF,IN,4.0
117,P,608054003600,1,1,15960,15136,DEF,AT,Upper Paleocene (Thanetian) Fasciculithus billii,DEF,AT,4.0
118,P,608054003600,1,1,16020,15177,DEF,IN,Upper Paleocene (Thanetian) Prinsius martinii increase,DEF,IN,4.0
119,P,608054002800,1,1,11649,11647,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra circus,DEF,AT,
120,P,608054002800,1,1,11650,11648,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
121,P,608054002800,1,1,11900,11897,DEF,AT,Lower Oligocene,DEF,AT,
122,P,608054002800,1,1,13229,13204,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra circus,DEF,AT,
123,P,608054002800,1,1,13230,13205,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
124,P,608054002800,1,1,16900,16783,DEF,AT,Lower Oligocene,DEF,AT,6.0
125,P,608054002800,1,1,16929,16811,DEF,AT,Lower Oligocene (Rupelian) Discoaster nodifer,DEF,AT,6.0
126,P,608054002800,1,1,16930,16812,DEF,AT,Lower Oligocene (Rupelian) Sphenolithus pseudoradians,DEF,AT,6.0
127,P,608054002800,1,1,17290,17163,DEF,AT,Lower Oligocene (Rupelian) Lanternithus minutus,DEF,AT,6.0
128,P,608054002800,1,1,17350,17221,DEF,AT,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,AT,6.0
129,P,608054002800,1,1,17740,17601,DEF,AT,Lower Oligocene (Rupelian) Turborotalia increbescens,DEF,AT,6.0
130,P,608054002800,1,1,17800,17659,DEF,AT,Lower Oligocene (Rupelian) Pseudohastigerina micra,DEF,AT,6.0
131,P,608054002800,1,1,17920,17777,DEF,AT,Lower Oligocene (Rupelian) Ericsonia subdisticha acme,DEF,AT,6.0
132,P,608054002800,1,1,18099,17951,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra umbilica,DEF,AT,6.0
133,P,608054002800,1,1,18100,17952,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra hillae,DEF,AT,6.0
134,P,608054002800,1,1,18130,17981,DEF,AT,Lower Oligocene (Rupelian) Helicosphaera reticulata,DEF,AT,6.0
135,P,608054002800,1,1,18310,18157,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,6.0
136,P,608054002800,1,1,18460,18303,DEF,AT,Lower Oligocene (Rupelian) Ismolithus recurvus,DEF,AT,6.0
137,P,608054002800,1,1,18759,18595,DEF,IN,Upper Eocene (Priabonian) Cribrocentrum reticulatum,DEF,IN,6.0
138,P,608054002800,1,1,18760,18596,DEF,IN,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,IN,6.0
139,P,608054002800,1,1,18879,18712,DEF,IN,Middle Eocene (Bartonian) Sphenolithus radians,DEF,IN,6.0
140,P,608054002800,1,1,19118,18945,DEF,IN,Upper Eocene (Priabonian) Pemma basquensis,DEF,IN,6.0
141,P,608054002800,1,1,19119,18946,DEF,IN,Upper Eocene (Priabonian) Globigerinatheka semiinvoluta,DEF,IN,6.0
142,P,608054002800,1,1,19120,18947,DEF,IN,Upper Eocene (Priabonian) Globigerinatheka barri,DEF,IN,6.0
143,P,608054002800,1,1,19269,19093,DEF,IN,Upper Eocene (Priabonian) Micrantholithus procerus,DEF,IN,6.0
144,P,608054002800,1,1,19300,19123,DEF,IN,Middle Eocene (Bartonian) Truncorotaloides rohri,DEF,IN,6.0
145,P,608054002800,1,1,19420,19240,DEF,IN,Middle Eocene (Bartonian) Campylosphaera dela,DEF,IN,6.0
146,P,608054002800,1,1,19540,19357,DEF,IN,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,IN,6.0
147,P,608054002800,1,1,19605,19420,DEF,IN,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,IN,6.0
148,P,608054002800,1,1,19609,19424,DEF,IN,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,IN,6.0
149,P,608054002801,1,1,16931,16818,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra circus,DEF,AT,
150,P,608054002801,1,1,17290,17169,DEF,AT,Lower Oligocene (Rupelian) Lanternithus minutus,DEF,AT,
151,P,608054002801,1,1,17920,17784,DEF,AT,Lower Oligocene (Rupelian) Ericsonia subdisticha acme,DEF,AT,
152,P,608054002801,1,1,18040,17901,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra hillae,DEF,AT,
153,P,608054002801,1,1,18069,17929,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra umbilica,DEF,AT,
154,P,608054002801,1,1,18070,17930,DEF,AT,Lower Oligocene (Rupelian) Helicosphaera reticulata,DEF,AT,
155,P,608054002801,1,1,18310,18164,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
156,P,608054002801,1,1,18460,18310,DEF,AT,Lower Oligocene (Rupelian) Ismolithus recurvus,DEF,AT,
157,P,608054002801,1,1,18629,18475,DEF,IN,Upper Eocene (Priabonian) Chiasmolithus consuetus,DEF,IN,6.0
158,P,608054002801,1,1,18730,18572,DEF,IN,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,IN,6.0
159,P,608054002801,1,1,18760,18601,DEF,IN,Upper Eocene (Priabonian) Cribrocentrum reticulatum,DEF,IN,6.0
160,P,608054002801,1,1,18999,18832,DEF,IN,Upper Eocene (Priabonian) Pemma papillatum,DEF,IN,6.0
161,P,608054002801,1,1,19000,18833,DEF,IN,Middle Eocene (Bartonian) Sphenolithus radians,DEF,IN,6.0
162,P,608054002801,1,1,19120,18949,DEF,IN,Upper Eocene (Priabonian) Pemma basquensis,DEF,IN,6.0
163,P,608054002801,1,1,19420,19237,DEF,IN,Middle Eocene (Bartonian) Campylosphaera dela,DEF,IN,6.0
164,P,608054002801,1,1,19548,19360,DEF,IN,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,IN,6.0
165,P,608054002801,1,1,19777,19582,DEF,IN,Middle Eocene (Bartonian) Chiasmolithus solitus,DEF,IN,6.0
166,P,608054002801,1,1,19778,19583,DEF,IN,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,IN,6.0
167,P,608054002801,1,1,19779,19584,DEF,IN,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,IN,6.0
168,P,608054002801,1,1,19780,19584,DEF,IN,Middle Eocene (Lutetian) Discoaster wemmelensis,DEF,IN,6.0
169,P,608054002801,1,1,19781,19585,DEF,IN,Middle Eocene (Bartonian) Acarinina bullbrooki,DEF,IN,6.0
170,P,608054002801,1,1,19810,19613,DEF,IN,Middle Eocene (Bartonian) Birkelundia staurion,DEF,IN,6.0
171,P,608054002801,1,1,19811,19614,DEF,IN,Middle Eocene (Bartonian) Truncorotaloides topilensis,DEF,IN,6.0
172,P,608054002801,1,1,19841,19643,DEF,IN,Middle Eocene (Lutetian) Igorina broedermanni,DEF,IN,6.0
173,P,608054002801,1,1,19901,19701,DEF,IN,Middle Eocene (Bartonian) Sphenolithus furcatolithioides increase,DEF,IN,6.0
174,P,608054002801,1,1,19931,19730,DEF,IN,Middle Eocene (Lutetian) Nannotetrina fulgens,DEF,IN,6.0
175,P,608054002801,1,1,19976,19774,DEF,IN,Middle Eocene (Lutetian) Blackites gladius,DEF,IN,6.0
176,P,608054002801,1,1,19977,19775,DEF,IN,Middle Eocene (Lutetian) Chiasmolithus gigas,DEF,IN,6.0
177,P,608054002801,1,1,19978,19776,DEF,IN,Middle Eocene (Lutetian) Globigerinoides higginsi,DEF,IN,6.0
178,P,608054002801,1,1,19991,19788,DEF,IN,Lower Eocene (Ypresian) Radiolarian acme B,DEF,IN,6.0
179,P,608054002801,1,1,20017,19813,DEF,IN,Lower Eocene (Ypresian) Radiolarian acme B,DEF,IN,6.0
180,P,608054002801,1,1,20018,19814,DEF,IN,Middle Eocene (Lutetian) Discoaster sublodoensis,DEF,IN,6.0
181,P,608054002801,1,1,20019,19815,DEF,IN,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,IN,6.0
182,P,608054002801,1,1,20020,19816,DEF,IN,Lower Eocene (Ypresian) Acarinina soldadoensis,DEF,IN,6.0
183,P,608054002801,1,1,20021,19817,DEF,IN,Lower Eocene (Ypresian) Morozovella rex / subbotinae,DEF,IN,6.0
184,P,608054002801,1,1,20050,19845,DEF,IN,Lower Eocene (Ypresian) Radiolarian acme B,DEF,IN,6.0
185,P,608054002801,1,1,20051,19846,DEF,IN,Lower Eocene (Ypresian) Discoaster kuepperi,DEF,IN,6.0
186,P,608054002801,1,1,20171,19962,DEF,IN,Lower Eocene (Ypresian) Morozovella quetra,DEF,IN,6.0
187,P,608054002801,1,1,20200,19990,DEF,IN,Lower Eocene (Ypresian) Morozovella formosa formosa,DEF,IN,6.0
188,P,608054002801,1,1,20201,19991,DEF,IN,Lower Eocene (Ypresian) Acarinina wilcoxensis,DEF,IN,6.0
189,P,608054002801,1,1,20230,20019,DEF,IN,Lower Eocene (Ypresian) Tribrachiatus orthostylus,DEF,IN,6.0
190,P,608054002801,1,1,20387,20171,DEF,IN,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,IN,6.0
191,P,608054002801,1,1,20388,20172,DEF,IN,Lower Eocene (Ypresian) Tribrachiatus bramlettei,DEF,IN,6.0
192,P,608054002801,1,1,20389,20173,DEF,IN,Lower Eocene (Ypresian) Tribrachiatus bramlettei,DEF,IN,6.0
193,P,608054002801,1,1,20390,20174,DEF,IN,Lower Eocene (Ypresian) Morozovella aequa,DEF,IN,6.0
194,P,608054002801,1,1,20500,20280,DEF,IN,Lower Eocene (Ypresian) Toweius eminens,DEF,IN,6.0
195,P,608054002801,1,1,20620,20396,DEF,IN,Lower Eocene (Ypresian) Prinsius bisulcus,DEF,IN,6.0
196,P,608054002801,1,1,20650,20425,DEF,IN,Lower Eocene (Ypresian) Morozovella edgari,DEF,IN,6.0
197,P,608054002801,1,1,20698,20471,DEF,IN,Lower Eocene (Ypresian) Radiolarian acme C,DEF,IN,6.0
198,P,608054002801,1,1,20739,20511,DEF,IN,Lower Eocene (Ypresian) Chiasmolithus bidens,DEF,IN,6.0
199,P,608054002801,1,1,21250,21005,DEF,IN,Lower Eocene (Ypresian) Fasciculithus involutus,DEF,IN,6.0
200,P,608054002801,1,1,21279,21033,DEF,IN,Lower Eocene (Ypresian) Prinsius martinii,DEF,IN,6.0
201,P,608054002801,1,1,22120,21853,DEF,IN,Upper Paleocene (Thanetian) Ericsonia robusta,DEF,IN,6.0
202,P,608054002801,1,1,23020,22735,DEF,IN,Upper Paleocene (Thanetian) Bathysiphon spp increase,DEF,IN,6.0
203,P,608054002801,1,1,23260,22972,DEF,IN,Upper Paleocene (Thanetian) Heliolithus kleinpellii,DEF,IN,6.0
204,P,608054002801,1,1,23710,23417,DEF,IN,Upper Paleocene (Thanetian) Morozovella angulata,DEF,IN,6.0
205,P,608054007200,1,2,8940,8940,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus,DEF,AT,
206,P,608054007200,1,2,8998,8998,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
207,P,608054007200,1,2,8999,8999,DEF,AT,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,AT,
208,P,608054007200,1,2,9000,9000,DEF,AT,Lower Eocene (Ypresian) Ellipsolithus distichus,DEF,AT,
209,P,608054007200,1,2,9060,9060,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
210,P,608054007200,1,2,9150,9150,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
211,P,608054007200,1,2,9540,9540,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
212,P,608054007200,1,2,10600,10583,DEF,AT,Upper Paleocene Thanetian Stage,DEF,AT,
213,P,608054007200,1,2,10900,10857,DEF,AT,Upper Paleocene (Thanetian) Heliolithus kleinpellii,DEF,AT,
214,P,608054007200,1,2,12410,12045,DEF,AT,Upper Paleocene (Selandian) Chiasmolithus danicus,DEF,AT,
215,P,608054007200,2,2,9850,9850,DEF,AT,Middle Eocene (Bartonian) Turborotalia frontosa,DEF,AT,
216,P,608054007200,2,2,10089,10088,DEF,AT,Lower Eocene (Ypresian) Acarinina soldadoensis,DEF,AT,
217,P,608054007200,2,2,10090,10089,DEF,AT,Lower Eocene (Ypresian) Morozovella rex / subbotinae,DEF,AT,
218,P,608054007200,2,2,12500,12106,DEF,AT,Lower Paleocene (Danian) Parasubbotina pseudobulloides,DEF,AT,
219,P,608054002200,1,2,10990,10937,DEF,IN,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,IN,4.0
220,P,608054002200,1,2,11230,11172,DEF,IN,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,IN,4.0
221,P,608054002200,1,2,11950,11880,DEF,IN,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,IN,4.0
222,P,608054002200,1,2,12580,12498,DEF,IN,Lower Oligocene (Rupelian) Chiloguembelina cubensis,DEF,IN,4.0
223,P,608054002200,1,2,13390,13293,DEF,IN,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,IN,4.0
