LEASE_NUMBER,SEELEASEFILE,ASSIGNMENTPERCENTAGE,ASGNEDAPPRDATE,OWNER_ALIQUOT_CD,ASGN_EFF_DATE,MMS_START_DATE,MMS_COMPANY_NUM
G23155,Shell Offshore Inc., 100.00000 %,12/1/2001,1,12/1/2001,12/21/1981,689
G23168,Walter Oil & Gas Corporation,  50.00000 %,10/1/2001,1,10/1/2001,5/27/1982,730
G23168,Juniper Energy L.P.,  50.00000 %,10/1/2001,1,10/1/2001,7/8/1998,2291
G23177,"Hydro Gulf of Mexico, L.L.C.", 100.00000 %,11/1/2001,1,11/1/2001,2/8/2006,2169
G23178,"Pure Resources, L.P.",  37.00000 %,12/1/2001,1,12/1/2001,1/24/2001,2493
G23180,Westport Resources Corporation, 100.00000 %,10/1/2001,1,10/1/2001,7/3/2000,2401
G23181,"Pioneer Natural Resources USA, Inc.", 100.00000 %,12/1/2001,1,12/1/2001,8/22/1997,1935
G23195,"Houston Energy, Inc.",   2.00000 %,12/1/2001,1,12/1/2001,1/24/2001,1999
G23195,"Pure Resources, L.P.",  41.00000 %,12/1/2001,1,12/1/2001,1/24/2001,2493
G23199,"Marlin Energy Offshore, L.L.C.",  37.00000 %,12/1/2001,1,12/1/2001,12/16/2003,2375
G23221,"LLOG Exploration Offshore, Inc.", 100.00000 %,10/1/2001,1,10/1/2001,5/20/1996,2058
G23222,"LLOG Exploration Offshore, Inc.", 100.00000 %,12/1/2001,1,12/1/2001,5/20/1996,2058
G23226,Shell Gulf of Mexico Inc., 100.00000 %,11/1/2001,1,11/1/2001,9/5/2002,2117
G23228,Shell Gulf of Mexico Inc., 100.00000 %,11/1/2001,1,11/1/2001,9/5/2002,2117
G23246,"Mariner Energy, Inc.",  50.00000 %,10/1/2001,1,10/1/2001,7/12/1996,818
G23246,"Pioneer Natural Resources USA, Inc.",  50.00000 %,10/1/2001,1,10/1/2001,8/22/1997,1935
G23258,Samedan Oil Corporation,  50.00000 %,10/1/2001,1,10/1/2001,5/13/1968,185
G23264,Kerr-McGee Oil & Gas Corporation, 100.00000 %,12/1/2001,1,12/1/2001,9/15/1997,2219
G23267,Kerr-McGee Oil & Gas Corporation, 100.00000 %,12/1/2001,1,12/1/2001,9/15/1997,2219
G23281,Petrobras America Inc.,  33.33333 %,12/1/2001,1,12/1/2001,11/20/1987,1207
G23286,"MCX Gulf of Mexico, LLC",  33.30000 %,10/1/2001,1,10/1/2001,6/17/1999,2377
G23289,Petrobras America Inc.,  30.00000 %,12/1/2001,1,12/1/2001,11/20/1987,1207
G23299,Petrobras America Inc.,  50.00000 %,12/1/2001,1,12/1/2001,11/20/1987,1207
G23313,Kerr-McGee Oil & Gas Corporation, 100.00000 %,12/1/2001,1,12/1/2001,9/15/1997,2219
G23323,"Davis Offshore, L.P.", 100.00000 %,10/1/2001,1,10/1/2001,11/13/2000,2480
G23327,Devon Louisiana Corporation,  50.00000 %,12/1/2001,1,12/1/2001,9/4/2003,1777
G23333,Kerr-McGee Oil & Gas Corporation,  50.00000 %,12/1/2001,1,12/1/2001,9/15/1997,2219
G23334,Devon Louisiana Corporation,  50.00000 %,12/1/2001,1,12/1/2001,9/4/2003,1777
G36064,Shell Offshore Inc., 100.00000 %,7/1/2017,1,7/1/2017,12/21/1981,689
G36082,Statoil Gulf of Mexico LLC, 100.00000 %,7/1/2017,1,7/1/2017,7/27/2004,2748
G36860,"TOTAL E&P USA, INC.", 100.00000 %,7/1/2020,1,7/1/2020,8/14/2003,1500
G36862,BHP Billiton Petroleum (Deepwater) Inc., 100.00000 %,8/1/2020,1,8/1/2020,1/31/2003,2277
G36883,BP Exploration & Production Inc., 100.00000 %,8/1/2020,1,8/1/2020,11/9/2000,2481
G36891,BHP Billiton Petroleum (Deepwater) Inc., 100.00000 %,8/1/2020,1,8/1/2020,1/31/2003,2277
G36905,BP Exploration & Production Inc.,  75.00000 %,8/1/2020,1,8/1/2020,11/9/2000,2481
G36914,Shell Offshore Inc., 100.00000 %,8/1/2020,1,8/1/2020,12/21/1981,689
G36918,"CSL Exploration, LP",  30.00000 %,7/1/2020,1,7/1/2020,12/9/2015,3194
G36920,Beacon Offshore Energy Exploration LLC,  35.00000 %,7/1/2020,1,7/1/2020,7/25/2018,3570
G36089,Equinor Gulf of Mexico LLC, 100.00000 %,7/1/2017,1,7/1/2017,8/6/2018,2748
G37022,SEE LEASE FILE,,1/1/1900,1,6/6/2021,10/13/2016,3465
G35777,"Reserves Management, L.C.", 100.00000 %,7/1/2016,1,7/1/2016,8/11/2005,2828
G35781,"Peregrine Oil & Gas II, LLC", 100.00000 %,8/1/2016,1,8/1/2016,7/10/2007,2967
G35790,"Castex Offshore, Inc.", 100.00000 %,7/1/2016,1,7/1/2016,11/17/2008,2970
G35791,"Houston Energy, L.P.", 100.00000 %,7/1/2016,1,7/1/2016,2/15/2002,1999
G35794,Apache Shelf Exploration LLC, 100.00000 %,7/1/2016,1,7/1/2016,8/9/2013,3296
G35800,Walter Oil & Gas Corporation, 100.00000 %,6/1/2016,1,6/1/2016,5/27/1982,730
G35802,"Castex Offshore, Inc.", 100.00000 %,6/1/2016,1,6/1/2016,11/17/2008,2970
G35803,"W & T Offshore, Inc.", 100.00000 %,6/1/2016,1,6/1/2016,5/31/1988,1284
