DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,ROW_NUMBER,SEGMENT_NUMBER,DOC_TYPE,DOC_NOTES,DOC_DATE
30560,Gulf of Mexico,4/4/2022 11:37:56 AM,90,6037586,G21043,12237,APPLICATION,,7/21/1999
30561,Gulf of Mexico,4/4/2022 11:42:10 AM,8,356809,G14280,8022,UPDATE ,,10/29/1999
30562,Gulf of Mexico,4/4/2022 11:43:49 AM,10,360567,G16051,11026,UPDATE ,,4/16/1999
30563,Gulf of Mexico,4/4/2022 11:47:17 AM,45,2825390,G20508,11832,UPDATE ,,10/12/1999
30564,Gulf of Mexico,4/4/2022 11:51:07 AM,149,6453613,G20583,12029,APPLICATION ,,11/12/1998
30565,Gulf of Mexico,4/4/2022 11:55:04 AM,92,4205426,G21019,12149,APPLICATION ,,3/29/2000
30566,Gulf of Mexico,4/4/2022 11:57:24 AM,111,4916805,G20599,12085,APPLICATION ,,4/1/1999
30567,Gulf of Mexico,4/4/2022 12:00:43 PM,39,1402451,G21003,12087,APPLICATION ,,4/1/1999
30568,Gulf of Mexico,4/4/2022 12:02:30 PM,106,4859431,G21002,12086,APPLICATION ,,4/1/1999
30569,Gulf of Mexico,4/4/2022 3:04:48 PM,5,206596,G05142,6509,UPDATE ,,5/13/1999
30570,Gulf of Mexico,4/4/2022 3:12:29 PM,80,3981721,G21005,12089,APPLICATION ,,2/10/1999
30571,Gulf of Mexico,4/4/2022 3:39:49 PM,123,9129856,G21011,12117,APPLICATION ,,2/17/1999
30572,Gulf of Mexico,4/4/2022 3:44:12 PM,77,3812277,G21004,12088,APPLICATION ,,2/10/1999
30573,Gulf of Mexico,4/4/2022 3:46:13 PM,103,5639893,G20580,12025,APPLICATION ,,1/15/1999
30574,Gulf of Mexico,4/4/2022 3:53:37 PM,19,629796,G12727,9346,UPDATE ,,3/12/1997
30575,Gulf of Mexico,4/4/2022 4:12:05 PM,11,442653,G12367,9176,UPDATE ,,7/9/1997
30601,Gulf of Mexico,4/11/2022 10:01:32 AM,21,1627552,G14092,10098,UPDATE ,,11/21/1997
30925,Gulf of Mexico,5/17/2022 8:02:59 AM,12,662349,G18810,11500,UPDATE ,,8/26/1998
30926,Gulf of Mexico,5/17/2022 8:37:14 AM,33,1544378,18811,11501,UPDATE ,,1/19/1999
30927,Gulf of Mexico,5/17/2022 11:42:24 AM,22,1054879,G18815 ,11515,UPDATE ,,4/9/1998
30928,Gulf of Mexico,5/17/2022 11:46:04 AM,15,635848,G18818,11536,UPDATE ,,1/19/1999
30929,Gulf of Mexico,5/17/2022 11:47:43 AM,15,662503,G18819,11537,UPDATE ,,7/6/1998
30930,Gulf of Mexico,5/17/2022 11:49:26 AM,14,761134,G18821,11545,UPDATE ,,2/18/1998
30931,Gulf of Mexico,5/17/2022 11:51:07 AM,10,497950,G18823,11551,UPDATE ,,4/23/1998
30932,Gulf of Mexico,5/17/2022 11:52:14 AM,23,1269536,G18824,11562,UPDATE ,,3/11/1998
30933,Gulf of Mexico,5/17/2022 11:55:04 AM,26,1187951,G18826,11568,UPDATE ,,5/12/1998
30934,Gulf of Mexico,5/17/2022 11:56:38 AM,20,780153,G18827,11579,UPDATE ,,5/5/1998
30935,Gulf of Mexico,5/17/2022 12:14:46 PM,23,1392949,G18829,11582,UPDATE ,,3/11/1998
30936,Gulf of Mexico,5/17/2022 12:21:02 PM,10,508087,G18835,11595,UPDATE ,,4/24/1998
30937,Gulf of Mexico,5/17/2022 12:23:05 PM,22,1108892,G18832,11589,UPDATE ,,7/21/1998
30938,Gulf of Mexico,5/17/2022 12:30:46 PM,11,848977,G18836,11613,UPDATE ,,1/4/1999
30961,Gulf of Mexico,5/23/2022 9:03:56 AM,42,1611782,G18815,11515,UPDATE ,,7/9/1997
30962,Gulf of Mexico,5/23/2022 9:05:20 AM,29,1641976,G18842,11632,UPDATE ,,1/7/1999
30963,Gulf of Mexico,5/23/2022 9:06:27 AM,11,888834,G18844,11634,UPDATE ,,9/14/1998
30964,Gulf of Mexico,5/23/2022 9:07:41 AM,14,515442,G18849,11689,UPDATE ,,10/30/1998
30965,Gulf of Mexico,5/23/2022 9:09:07 AM,33,1159123,G19654,11652,UPDATE ,,6/5/1998
30966,Gulf of Mexico,5/23/2022 9:10:31 AM,97,4318558,G21293,12342,APPLICATION ,,12/2/1999
30967,Gulf of Mexico,5/23/2022 9:11:41 AM,64,1913999,G21287,12330,APPLICATION ,,11/23/1999
30968,Gulf of Mexico,5/23/2022 9:15:04 AM,94,4742599,G21522,12449,APPLICATION ,,4/27/2000
30969,Gulf of Mexico,5/23/2022 9:37:08 AM,149,7027558,G21469,12384,APPLICATION ,,4/28/2000
30970,Gulf of Mexico,5/23/2022 9:42:17 AM,116,7212330,G22115,12693,APPLICATION ,,8/7/2000
30971,Gulf of Mexico,5/23/2022 9:47:21 AM,75,3482313,G21516,12531,APPLICATION ,,8/22/2000
30972,Gulf of Mexico,5/23/2022 9:52:35 AM,76,3395805,G21517 ,12532,APPLICATION ,,8/22/2000
30973,Gulf of Mexico,5/23/2022 9:55:50 AM,108,4743525,G21265,12273,APPLICATION ,,9/29/1999
30974,Gulf of Mexico,5/23/2022 10:15:47 AM,108,7465027,G21299,12351,APPLICATION ,,12/8/1999
30975,Gulf of Mexico,5/23/2022 10:16:46 AM,6,189986,G21037,2282,APPLICATION ,,6/28/1999
30976,Gulf of Mexico,5/23/2022 10:26:52 AM,236,28708098,G21891,12633,APPLICATION ,,8/17/2000
31064,Gulf of Mexico,6/6/2022 12:37:19 PM,101,4445705,G21498,12455,APPLICATION ,,3/20/2000
31047,Gulf of Mexico,6/6/2022 11:10:19 AM,58,3040788,G21481,12407,APPLICATION ,,4/3/2000
31048,Gulf of Mexico,6/6/2022 11:12:36 AM,76,2919604,G22118 ,12709,APPLICATION ,,8/31/2000
31049,Gulf of Mexico,6/6/2022 11:16:04 AM,146,8446480,G21483,12409,APPLICATION ,,8/21/2000
31081,Gulf of Mexico,6/7/2022 9:43:10 AM,113,4828443,G21039,12222,APPLICATION ,,6/11/1999
31082,Gulf of Mexico,6/7/2022 9:54:03 AM,108,6506955,G21298,12350,APPLICATION ,,12/8/1999
31083,Gulf of Mexico,6/7/2022 10:01:45 AM,132,6398921,G21262,12267,APPLICATION ,,8/16/1999
31084,Gulf of Mexico,6/7/2022 10:07:55 AM,81,3463049,G21467,12380,APPLICATION ,,1/14/2000
31085,Gulf of Mexico,6/7/2022 10:10:29 AM,139,5501747,G21046,12244,APPLICATION ,,7/20/1999
31222,Gulf of Mexico,7/11/2022 7:50:01 AM,98,4153525,G21896 ,12624,APPLICATION ,,7/28/2000
31223,Gulf of Mexico,7/11/2022 7:55:26 AM,113,4828452,G21039 ,12222,APPLICATION ,,6/11/1999
31141,Gulf of Mexico,7/6/2022 9:28:48 AM,139,5501747,G21046 ,12270,APPLICATION ,,7/20/1999
31221,Gulf of Mexico,7/11/2022 7:46:00 AM,121,5665179,G21876 ,12574,APPLICATION ,,7/3/2000
31224,Gulf of Mexico,7/11/2022 7:57:52 AM,108,6506944,G21298 ,12350,APPLICATION ,,12/8/1999
31225,Gulf of Mexico,7/11/2022 8:00:47 AM,132,6398911,G21262 ,12267,APPLICATION ,,8/16/1999
31226,Gulf of Mexico,7/11/2022 8:21:36 AM,81,3463089,G21467 ,12380,APPLICATION ,,1/14/2000
31227,Gulf of Mexico,7/11/2022 8:24:32 AM,139,5501747,G21046 ,12244,APPLICATION ,,7/20/1999
31228,Gulf of Mexico,7/11/2022 8:29:26 AM,139,5501744,G21046 ,12270,APPLICATION ,,7/20/1999
31229,Gulf of Mexico,7/11/2022 8:31:34 AM,102,4443024,G22149 ,13088,APPLICATION ,,1/2/2001
31230,Gulf of Mexico,7/11/2022 8:40:17 AM,126,11016694,G21519 ,12534,APPLICATION ,,7/31/2000
31231,Gulf of Mexico,7/11/2022 8:45:18 AM,126,11016694,G21519 ,12535,APPLICATION ,,7/31/2000
31232,Gulf of Mexico,7/11/2022 8:48:01 AM,90,4755697,G22380 ,13076,APPLICATION ,,12/19/2000
31233,Gulf of Mexico,7/11/2022 8:50:29 AM,92,3732099,G22133 ,12755,APPLICATION ,,11/2/2000
31234,Gulf of Mexico,7/11/2022 8:52:29 AM,88,3310467,G22382 ,13102,APPLICATION ,,12/29/2000
31235,Gulf of Mexico,7/11/2022 8:56:12 AM,184,13832799,G21049 ,12247,APPLICATION ,,7/20/1999
31236,Gulf of Mexico,7/11/2022 9:03:11 AM,65,3181898,G21900 ,12625,APPLICATION ,,12/19/2000
200,Gulf of Mexico,6/26/2000,5,165427,00881       ,1625,UPDATE            ,                              ,5/17/1999
201,Gulf of Mexico,6/26/2000,5,156201,G01343      ,1626,UPDATE            ,                              ,5/17/1999
202,Gulf of Mexico,6/26/2000,1,36840,G01375      ,1122,UPDATE            ,                              ,2/19/1999
203,Gulf of Mexico,6/26/2000,5,190535,G01378      ,11334,UPDATE            ,                              ,3/13/1999
204,Gulf of Mexico,6/26/2000,6,250655,G01379      ,2854,UPDATE            ,                              ,3/19/1999
325,Gulf of Mexico,6/26/2000,5,181059,G13484      ,3373,UPDATE            ,                              ,4/16/1999
326,Gulf of Mexico,6/26/2000,5,200578,G13497      ,9639,UPDATE            ,                              ,7/21/1999
