date,accident_type,activity,activity_name,subactivity,subactivity_name,confidence,match_method
12/6/2007,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/2/2001,-  Dynamically Position Failure,OTHER,Other,unknown,Unknown,0.1,default
10/26/2001,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
2/22/2014,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/14/2008,- Incident >$25K - Dropped BOPs,OTHER,Other,unknown,Unknown,0.1,default
3/10/2006,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/11/2014,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
6/13/2014,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/30/2007,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
1/2/2012,- Other Lifting Device - Dropped Object,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
2/4/2012,- Pollution - SBM spill,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
12/10/2019,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
7/26/2018,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
2/16/2024,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/8/2015,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/7/2023,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/28/2024,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/13/2015,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
8/31/2015,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
10/22/2015,- RW/JT (1-3 days) - Other Injury - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/24/2015,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
9/27/2011,- Other Lifting Device - Incident >$25K ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/9/2013,- Other Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/28/2025,- Other Injury - Explosion - Incident >$25K ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/21/2022,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
1/15/2013,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/14/2015,- Dropped object,PERS,Personnel Safety,struck_by,Struck By,0.35,keyword_match
12/2/2017,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/20/2005,- Fire - Incident >$25K - Fire,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/11/2014,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/26/2015,- Incident >$25K - Item Lost Overboard,OTHER,Other,unknown,Unknown,0.1,default
11/27/2015,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
4/13/2016,- Fire - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
2/27/2021,- Crane - Dropped Object,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
9/15/2009,- Required Evacuation - Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/11/2009,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/8/2009,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/7/2010,- Pollution - SBM lost through dump valve,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
4/12/2010,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/20/2006,- Pollution - Riser Disconnect,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/9/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
9/11/2016,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/26/2016,- Shutdown from Gas Release ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
10/27/2014,"- Well Control Event, shut-in",DRILL,Drilling,well_control,Well Control,0.75,keyword_match
7/27/2016,- Required Evacuation - Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/12/2007,- Pollution - Slip Joint leak,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
9/21/2020,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/17/2004,- Power loss to thrusters.,ELEC,Electrical,unknown,Unknown,0.35,keyword_match
4/27/2008,- Fire - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
9/20/2008,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/1/2008,- Pollution - Compromised csg/shallow leak,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
12/23/2015,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/27/2017,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/21/2023,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/20/2004,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
7/22/2011,- Pollution - SBM Spill,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/22/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/14/2005,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/17/2006,- Pollution - Pollution,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/6/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
4/10/2004,- Fire - Pollution ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/14/2009,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/2/2008,- Other Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/3/2008,- Required Evacuation ,OTHER,Other,unknown,Unknown,0.1,default
4/27/2020,- Shutdown from Gas Release ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
2/22/2004,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/30/2010,- Incident >$25K - Crane - Drill pipe/wire rope overboard,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/16/2020,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
7/5/2020,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
7/5/2003,- Fatality - Subsea Explosion-diving event,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/26/2017,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/13/2008,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
11/12/2004,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/16/2020,- Pollution - spill,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/3/2022,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
2/13/2009,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/11/2015,- Accidental Sheared Pipe,PIPE,Pipeline Operations,unknown,Unknown,0.35,keyword_match
8/17/2012,- Fire - Pollution ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
2/2/2020,- Collision >$25K - Incident >$25K - Crane - Structural Damage ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
5/20/2007,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
1/26/2007,- LTA (>3 days) - Required Evacuation - Crane - offloading pipe with crane,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/24/2001,- Blowout - Well Control on Prince TLP,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
3/15/2005,- Marine Riser Disconnect,CONST,Construction and Installation,subsea_installation,Subsea Installation,0.35,keyword_match
1/30/2007,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/9/2014,- LTA (1-3) days - Required Evacuation - See below remarks,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/26/2001,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/4/2003,- Loss well control/H2S release,DRILL,Drilling,well_control,Well Control,0.55,keyword_match
6/13/2007,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/29/2007,- LTA (>3 days) - Equipment Failure,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/23/2007,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/5/2007,- LTA (>3 days) ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/14/2006,- LTA (>3 days) ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/21/2004,- Fire - Pollution ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
7/19/2009,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/2/2003,- crane failure,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
6/19/2007,- RW/JT (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/7/2007,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/22/2007,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/3/2013,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/3/2017,- RW/JT (>3 days) - Required Evacuation - Fire - Pressure release,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
7/18/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
6/26/2018,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/27/2008,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/23/2008,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
3/28/2021,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/22/2020,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
7/22/2023,- Required Evacuation - Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
1/22/2018,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/24/2024,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
5/4/2025,- Collision >$25K - Incident >$25K - Allison,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
3/8/2004,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/18/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/26/2007,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
8/5/2011,- Fire - Incident >$25K - Required Muster - ESD,PSAFE,Process Safety,control_system,Control System,0.95,bsee_accident_type
11/21/2020,- Shutdown from Gas Release ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
1/15/2020,- Other Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/10/2004,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/21/2001,- Blowout - Fire - KICK WITH GAS,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
4/18/2002,- Collision ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
1/11/2006,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/7/2013,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/2/2024,- Shutdown from Gas Release - Incident >$25K ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
12/1/2021,- Incident >$25K - Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/1/2009,- Fire - Drawworks Failure,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/1/2007,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/9/2015,- Incident >$25K - Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
2/21/2014,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/7/2007,- RW/JT (1-3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/12/2014,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
4/19/2009,- Pollution - Incident >$25K - Required Muster ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/17/2014,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
12/3/2021,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/1/2010,- Pollution - Opened overboard shunt line,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
12/29/2011,- Wireline Tool Overboard,DRILL,Drilling,logging,Logging,0.35,keyword_match
2/14/2019,- Explosion ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/23/2005,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
7/2/2015,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/24/2007,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/21/2023,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/9/2025,Damaged/Disabled Safety Sys. - Incident >$25K - Required Muster - Dropped Objects,PERS,Personnel Safety,struck_by,Struck By,0.35,keyword_match
8/18/2015,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/12/2002,- Explosion - Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
9/11/2009,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/19/2006,- H2S detected excess of 20 ppm,PERS,Personnel Safety,h2s_exposure,H2S Exposure,0.35,keyword_match
1/20/2020,- Required Evacuation - Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/1/2019,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/17/2006,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/12/2019,Damaged/Disabled Safety Sys. ,OTHER,Other,unknown,Unknown,0.1,default
10/12/2017,- Pollution - leaking pipeline,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/7/2008,- Collision >$25K ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
3/31/2011,- Fire - Incident >$25K - TSE shut-down from fire,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
4/29/2012,- LTA (>3 days) - Required Evacuation - Electrical Arc Flash,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/3/2013,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/18/2020,- RW/JT (>3 days) - Other Injury - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/15/2009,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/26/2003,- Collision - Injury ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
6/26/2010,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
4/18/2013,- Incident >$25K - Nitrogen release on deck,CONST,Construction and Installation,platform_construction,Platform Construction,0.35,keyword_match
3/28/2025,- Pollution - Incident >$25K - BLACK OUT DRIFT OFF- EDS,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/29/2025,- Pollution - Emergency Disconnect Sequence,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/9/2010,- Fire - Compressor building fire,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/18/2011,- Pollution - 319 BBL SBM Discharge,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/5/2024,- Pollution - Incident >$25K - List of damages in remarks.,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/23/2020,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/30/2005,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/6/2019,Damaged/Disabled Safety Sys. ,OTHER,Other,unknown,Unknown,0.1,default
4/17/2021,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/29/2020,- Incident >$25K - Mooring line,MARINE,Marine Transport,anchoring_mooring,Anchoring and Mooring,0.35,keyword_match
7/15/2020,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
11/30/2021,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
1/30/2016,- Incident >$25K - Pressurized Riser String,CONST,Construction and Installation,subsea_installation,Subsea Installation,0.35,keyword_match
6/7/2021,- Other Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/4/2019,Damaged/Disabled Safety Sys. - Incident >$25K - Loss of power,ELEC,Electrical,unknown,Unknown,0.35,keyword_match
7/11/2018,- Pollution - Ethylene Glycol,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
2/8/2025,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/25/2014,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
6/27/2020,- Pollution - Incident >$25K ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/31/2020,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/12/2020,- Incident >$25K - Crane - Dropped Object Gantry Crane,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/13/2009,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
6/7/2023,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/22/2002,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/21/2008,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/11/2008,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/12/2010,- Pollution - Kill Line Gooseneck Disconnect,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/14/2012,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
7/14/2019,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/24/2023,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/23/2001,- Pollution - loss of drilling fluid (mud),ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/4/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/13/2007,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/16/2025,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
7/13/2022,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
12/1/2018,- Pollution - EDS,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/19/2024,- Other Lifting Device - Incident >$25K ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/17/2011,- Required Evacuation - Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/15/2004,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
7/9/2020,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/20/2007,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/23/2007,- RW/JT (>3 days) - Required Evacuation - Other Lifting Device - Foot - Equip Set Down,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/5/2007,- Pollution - Slip Joint Packer failure,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/4/2008,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/2/2012,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
