API Well Number,Well Type Code,Well Name,Well Name Suffix,Company Name,Status Date,Status Code,Field Name,Surface Lease Number,Surface Area,Surface Block,Bottom Lease Number,Bottom Area,Bottom Block,Spud Date,Total Depth Date,BH Total MD (feet)
177000002300,E,  010,ST00BP00,Talos Petroleum LLC,9/26/2000,PA,WC045, 00300,WC,   45, 00300,WC,   45,11/2/1959,12/3/1959,10372
177000002400,E,  011,ST00BP00,Talos Petroleum LLC,3/24/1963,PA,WC045, 00300,WC,   45, 00300,WC,   45,2/25/1963,3/7/1963,10405
177000002500,E,  001,ST00BP00,Talos Petroleum LLC,4/26/1959,PA,WC045, 00299,WC,   45, 00299,WC,   45,1/28/1959,4/24/1959,12958
177000002600,E,  002,ST00BP00,Talos Petroleum LLC,1/21/1969,PA,WC045, 00299,WC,   45, 00299,WC,   45,4/27/1959,7/4/1959,10238
177000002702,D, A001,ST00BP02,Talos Petroleum LLC,7/13/2013,PA,WC045, 00299,WC,   45, 00299,WC,   45,4/14/1949,5/21/1949,8814
177000002770,D, A001,ST00BP00,Talos Petroleum LLC,1/5/1949,ST,WC045, 00299,WC,   45, 00299,WC,   45,8/12/1948,11/6/1948,9728
177000002771,D, A001,ST00BP01,Talos Petroleum LLC,4/14/1949,ST,WC045, 00299,WC,   45, 00299,WC,   45,1/5/1949,3/18/1949,8698
177000002800,D, A002,ST00BP00,Talos Petroleum LLC,3/21/1968,ST,WC045, 00299,WC,   45, 00301,WC,   56,6/5/1949,8/5/1949,9044
177000002801,D, A010,ST01BP00,Talos Petroleum LLC,7/13/2013,PA,WC045, 00299,WC,   45, 00301,WC,   56,3/21/1968,4/9/1968,9161
177000002900,D, A003,ST00BP00,Talos Petroleum LLC,7/13/2013,PA,WC045, 00299,WC,   45, 00299,WC,   45,11/3/1949,1/8/1950,9872
177000003000,D, A004,ST00BP00,Talos Petroleum LLC,7/13/2013,PA,WC045, 00299,WC,   45, 00299,WC,   45,4/20/1955,6/24/1955,10611
177000003100,D, A005,ST00BP00,Talos Petroleum LLC,12/5/1955,PA,WC045, 00299,WC,   45, 00299,WC,   45,7/26/1955,11/28/1955,14671
177000003200,D, A006,ST00BP00,Talos Petroleum LLC,1/10/1956,PA,WC045, 00299,WC,   45, 00299,WC,   45,12/10/1955,1/5/1956,9112
177000003300,D, A007,ST00BP00,Talos Petroleum LLC,7/13/2013,PA,WC045, 00299,WC,   45, 00301,WC,   56,1/11/1956,3/2/1956,10122
177000003400,D, A008,ST00BP00,Talos Petroleum LLC,7/13/2013,PA,WC045, 00299,WC,   45, 00299,WC,   45,4/25/1956,5/27/1956,9075
177000003500,D, A009,ST00BP00,Talos Petroleum LLC,12/13/2004,PA,WC045, 00299,WC,   45, 00301,WC,   56,12/30/1956,3/5/1957,9544
177000003600,E,  001,ST00BP00,Talos Petroleum LLC,6/11/1957,PA,WC045, 00301,WC,   56, 00301,WC,   56,4/16/1957,6/9/1957,9660
177000003800,E,  001,ST00BP00,Magnolia Petroleum Company,7/10/1957,PA,WC045, 00085,WC,   55, 00085,WC,   55,6/5/1957,7/9/1957,9708
177000003900,E, A001,ST00BP00,Magnolia Petroleum Company,1/5/1957,PA,WC045, 00085,WC,   55, 00085,WC,   55,10/26/1956,12/31/1956,11140
177000004200,D,  001,ST00BP00,Chevron U.S.A. Inc.,10/13/2007,PA,WC017,S03840,WC,   48,S03840,WC,   48,10/8/1963,10/9/1963,13000
177000004300,D,  001,ST00BP00,Chevron U.S.A. Inc.,1/6/1985,PA,WC017,S03839,WC,   17,S03839,WC,   17,8/4/1973,8/16/1973,12500
177000004400,D,  002,ST00BP00,Chevron U.S.A. Inc.,9/7/1963,PA,WC017,S03839,WC,   17,S03839,WC,   17,9/7/1963,9/7/1963,13269
177000004500,D, A002,ST00BP00,Chevron U.S.A. Inc.,4/14/1958,PA,WC017,S03839,WC,   17,S03839,WC,   17,2/1/1957,2/1/1957,14159
177000005000,E,  002,ST00BP00,Fieldwood Energy LLC,5/27/1970,PA,WC180,G01953,WC,  144,G01953,WC,  144,5/8/1970,5/23/1970,9500
177000005200,D,  002,ST00BP00,McMoRan Oil & Gas LLC,9/10/1994,PA,WC118, 00757,WC,  118, 00757,WC,  118,10/19/1960,1/26/1961,14000
177000005300,D,  003,ST00BP00,McMoRan Oil & Gas LLC,9/10/1994,PA,WC118, 00757,WC,  118, 00757,WC,  118,2/17/1961,3/3/1961,15880
177000005400,E,  001,ST00BP00,BP Alaska Exploration Inc.,6/6/1961,PA,WILD, 00874,WC,  117, 00874,WC,  117,5/14/1961,6/5/1961,9885
177000005500,E,  001,ST00BP00,BP Alaska Exploration Inc.,7/30/1963,PA,WC092, 00847,WC,   92, 00847,WC,   92,7/18/1963,7/30/1963,9872
177000009600,D, A001,ST00BP02,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,9/27/1978,PA,WC033, 00265,WC,   33, 00265,WC,   33,10/27/1957,3/10/1959,16116
177000009670,D, A001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,8/28/1957,ST,WC033, 00265,WC,   33, 00265,WC,   33,6/16/1957,8/28/1957,13128
177000009671,D, A001,ST00BP01,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,10/27/1957,ST,WC033, 00265,WC,   33, 00265,WC,   33,8/28/1957,10/27/1957,14720
177000009700,D, B001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,9/1/1978,PA,WC033, 00265,WC,   33, 00265,WC,   33,12/17/1957,6/26/1958,14654
177000009800,D, C001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,1/11/1974,PA,WC033, 00265,WC,   33, 00265,WC,   33,10/9/1959,2/9/1960,16000
177000009900,D, D001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,9/18/1978,PA,WC033, 00265,WC,   33, 00265,WC,   33,8/12/1962,9/24/1962,14010
177000010000,D, E001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,2/7/1963,PA,WC033, 00265,WC,   33, 00265,WC,   33,1/22/1963,2/5/1963,15498
177000010300,D, A001,ST00BP00,BP America Production Company,2/25/2001,ST,WC068, 00526,WC,   68, 00526,WC,   68,9/20/1958,12/30/1958,16106
177000010301,D, A001,ST01BP00,Fieldwood Energy LLC,5/12/2018,PA,WC068, 00526,WC,   68, 00526,WC,   68,2/26/2001,3/20/2001,12860
177000010400,D, A002,ST03BP00,Fieldwood Energy LLC,5/12/2018,PA,WC068, 00526,WC,   68, 00526,WC,   68,8/1/1959,8/27/1959,13496
177000010470,D, A002,ST00BP00,Fieldwood Energy LLC,2/1/1959,ST,WC068, 00526,WC,   68, 00526,WC,   68,1/12/1959,2/1/1959,12602
177000010471,D, A002,ST01BP00,Fieldwood Energy LLC,4/1/1959,ST,WC068, 00526,WC,   68, 00526,WC,   68,2/1/1959,4/1/1959,11708
177000010472,D, A002,ST02BP00,Fieldwood Energy LLC,8/1/1959,ST,WC068, 00526,WC,   68, 00526,WC,   68,4/1/1959,8/1/1959,10835
177000010500,D, B001,ST00BP00,Apache Corporation,5/19/2009,PA,WC068, 00526,WC,   68, 00526,WC,   68,6/16/1959,9/7/1959,14507
177000010600,D, D001,ST00BP00,Apache Corporation,10/19/1978,PA,WC068, 00526,WC,   68, 00526,WC,   68,3/7/1960,4/25/1960,14147
177000010700,D, E001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,7/22/1970,PA,WC068, 00684,WC,   68, 00684,WC,   68,5/21/1960,7/2/1960,14672
177000010800,D, G001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,7/15/1970,PA,WC068, 00684,WC,   68, 00684,WC,   68,10/15/1962,12/12/1962,16131
177000010900,D, H001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,7/11/1963,PA,WC068, 00684,WC,   68, 00684,WC,   68,3/24/1963,5/29/1963,15954
177000011000,E,  001,ST00BP00,Union Oil Company of California,12/19/1959,PA,WILD, 00522,WC,   67, 00522,WC,   67,11/13/1959,12/2/1959,11467
177000011100,E,  001,ST00BP00,Union Oil Company of California,7/10/1973,PA,WC066, 00259,WC,   67, 00259,WC,   67,3/11/1958,4/25/1958,13078
177000011200,E,  001,ST00BP00,Sun Oil Company,3/21/1958,PA,WILD, 00258,WC,   66, 00258,WC,   66,1/20/1958,3/9/1958,12622
177000011400,E,  001,ST00BP00,Kerr-McGee Corporation,2/28/1961,PA,WILD, 00682,WC,   26, 00682,WC,   26,1/25/1961,2/20/1961,11250
177000011500,E,  001,ST00BP00,Cabot Corporation,5/5/1960,PA,WILD, 00682,WC,   26, 00682,WC,   26,2/15/1960,4/27/1960,14652
177000011600,D, B001,ST00BP00,The Louisiana Land and Exploration Company,6/1/1972,PA,WC040, 00224,WC,   40, 00224,WC,   40,10/31/1954,2/12/1955,14005
177000011700,D, B002,ST00BP00,Tenneco Oil Company,9/5/1964,PA,WC040, 00224,WC,   40, 00225,WC,   39,4/1/1955,8/27/1955,10483
177000011800,E, B003,ST00BP00,Tenneco Oil Company,6/2/1961,PA,WC040, 00224,WC,   40, 00225,WC,   39,4/5/1961,6/1/1961,11852
177000011900,D, A001,ST00BP00,The Louisiana Land and Exploration Company,6/3/1972,PA,WC040, 00224,WC,   40, 00224,WC,   40,5/13/1958,8/4/1958,14300
177000012000,E, A001,ST00BP00,The Louisiana Land and Exploration Company,3/26/1954,PA,WC040, 00224,WC,   40, 00224,WC,   40,1/16/1954,3/26/1954,11377
177000012100,D, A002,ST00BP00,The Louisiana Land and Exploration Company,9/5/1954,PA,WC040, 00224,WC,   40, 00224,WC,   40,3/28/1954,9/5/1954,14072
177000012200,E,  002,ST00BP00,The Louisiana Land and Exploration Company,1/17/1961,PA,WC040, 00224,WC,   40, 00224,WC,   40,12/15/1960,1/15/1961,10499
177000012300,E,  001,ST00BP00,"Gordon Street, Inc.",12/28/1962,PA,WILD, 00681,WC,   25, 00681,WC,   25,8/9/1962,12/25/1962,14389
177000012700,D, B001,ST00BP00,BP Exploration & Production Inc.,5/18/2006,PA,WC110, 00082,WC,  111, 00082,WC,  111,12/1/1956,2/9/1957,10298
177000012800,D, B002,ST00BP00,American Exploration Company,1/24/2005,PA,WC110, 00082,WC,  111,G09394,WC,  111,4/15/1957,8/26/1957,10139
177000012900,D, B003,ST00BP00,"Mariner Energy, Inc.",1/23/2005,PA,WC110, 00082,WC,  111, 00081,WC,  110,8/12/1957,9/25/1957,8900
177000013000,D, B004,ST00BP00,"Mariner Energy, Inc.",1/26/2005,PA,WC110, 00082,WC,  111, 00081,WC,  110,10/11/1957,11/18/1957,8900
177000013100,D, A001,ST00BP00,Fieldwood Energy LLC,11/10/1979,TA,WC110, 00081,WC,  110, 00081,WC,  110,12/24/1953,4/23/1954,10626
177000013200,D, A002,ST00BP00,Fieldwood Energy LLC,11/10/1979,TA,WC110, 00081,WC,  110, 00081,WC,  110,5/23/1954,10/30/1954,11341
177000013300,D, A003,ST00BP00,Fieldwood Energy LLC,11/10/1979,TA,WC110, 00081,WC,  110, 00081,WC,  110,1/4/1958,2/27/1958,9500
177000013400,D, A004,ST00BP00,Fieldwood Energy LLC,11/10/1979,TA,WC110, 00081,WC,  110, 00081,WC,  110,4/11/1958,5/3/1958,7510
177000013500,D, D001,ST00BP00,"Mariner Energy, Inc.",10/6/2004,PA,WC110, 00081,WC,  110, 00081,WC,  110,5/7/1960,7/16/1960,8352
177000013501,D, D001,ST01BP00,"Mariner Energy, Inc.",11/2/2001,CNL,WC110, 00081,WC,  110, 00081,WC,  110,,,*****
177000013600,D, D002,ST00BP00,"Mariner Energy, Inc.",10/6/2004,PA,WC110, 00081,WC,  110, 00081,WC,  110,7/16/1962,8/12/1962,9300
177000013700,D, D003,ST00BP00,"Mariner Energy, Inc.",10/10/2004,PA,WC110, 00081,WC,  110, 00081,WC,  110,8/20/1962,9/12/1962,8810
177000013800,E,  001,ST00BP00,"Mariner Energy, Inc.",7/31/2008,PA,WC110, 00081,WC,  110, 00081,WC,  110,11/14/1960,1/9/1961,14027
177000013900,E, A001,ST00BP00,The Pure Oil Company,8/24/1963,PA,WC110, 00220,WC,   99, 00220,WC,   99,4/8/1955,7/11/1955,12936
177000014000,E,  001,ST00BP00,The Pure Oil Company,11/29/1962,PA,WC110, 00220,WC,   99, 00220,WC,   99,10/22/1962,11/8/1962,10150
177000014100,D, C001,ST00BP00,Magnolia Petroleum Company,2/25/1957,PA,WC110, 00081,WC,  110, 00080,WC,  109,11/5/1956,2/16/1957,11039
177000014200,D, B001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,4/30/1962,ST,WC071, 00245,WC,   72, 00245,WC,   72,1/19/1956,4/23/1962,17446
177000014300,D, B002,ST00BP00,Apache Corporation,3/29/1990,PA,WC071, 00245,WC,   72, 00247,WC,  102,4/25/1956,8/19/1956,13171
177000014400,D, B003,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,4/27/1994,PA,WC071, 00245,WC,   72, 00245,WC,   72,11/8/1956,3/4/1957,13162
177000014500,D, B004,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,3/21/1990,PA,WC071, 00245,WC,   72, 00246,WC,  101,3/17/1957,7/15/1957,12990
177000014600,D, B005,ST00BP00,Apache Corporation,11/24/1990,PA,WC071, 00245,WC,   72, 00244,WC,   71,7/19/1957,12/8/1957,12835
177000014700,D, B006,ST00BP00,Apache Corporation,5/1/1994,PA,WC071, 00245,WC,   72, 00244,WC,   71,3/25/1958,6/9/1958,12530
177000014800,D, B007,ST01BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,7/10/1962,PA,WC071, 00245,WC,   72, 00245,WC,   72,4/30/1962,7/7/1962,13288
177000014900,D, C001,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,11/21/1990,PA,WC071, 00246,WC,  101, 00246,WC,  101,5/8/1956,10/27/1956,16516
177000015000,D, C002,ST00BP00,"Tengasco, Inc.",2/27/1991,PA,WC071, 00246,WC,  101, 00247,WC,  102,4/12/1957,8/17/1957,12760
177000015100,D, C003,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,6/14/1991,PA,WC071, 00246,WC,  101, 00246,WC,  101,9/12/1957,3/7/1958,13650
177000015200,D, A001,ST00BP00,Apache Corporation,12/8/1988,PA,WC071, 00244,WC,   71, 00244,WC,   71,9/30/1955,12/9/1955,12335
177000015300,E,  001,ST00BP00,The Superior Oil Company,7/26/1960,PA,WILD, 00525,WC,   70, 00525,WC,   70,2/17/1960,7/2/1960,15590
177000015400,E,  001,ST00BP00,Union Oil Company of California,8/12/1957,PA,WC066, 00259,WC,   67, 00259,WC,   67,4/12/1957,7/18/1957,14002
177000015500,D, C001,ST00BP00,Apache Corporation,8/29/1973,PA,WC068, 00526,WC,   68, 00526,WC,   68,11/20/1959,1/29/1960,15607
177000015600,D, F001,ST00BP00,Apache Corporation,8/8/1963,PA,WC068, 00526,WC,   68, 00526,WC,   68,9/13/1960,12/5/1960,16754
177000015700,E,  001,ST00BP00,Talos Petroleum LLC,10/16/1960,PA,EC064, 00762,WC,  176, 00762,WC,  176,8/31/1960,10/5/1960,13000
177000015800,D,  002,ST00BP00,Talos Petroleum LLC,3/2/2000,ST,EC064, 00762,WC,  176, 00762,WC,  176,10/1/1963,10/25/1963,10750
177000015801,D,  002,ST01BP00,Talos Petroleum LLC,8/18/2007,PA,EC064, 00762,WC,  176, 00762,WC,  176,3/2/2000,3/19/2000,10760
177000015900,E,  001,ST00BP00,"Merit Energy Company, LLC",8/17/1961,PA,WC180, 00759,WC,  173, 00759,WC,  173,8/1/1961,8/15/1961,9900
177000016000,E,  001,ST00BP00,Tenneco Oil Company,2/23/1961,PA,WILD, 00760,WC,  173, 00760,WC,  173,1/30/1961,2/20/1961,10000
177000016100,D, A001,ST00BP00,The Superior Oil Company,3/29/1957,PA,WILD, 00252,WC,  135, 00252,WC,  135,12/18/1956,3/6/1957,11963
177000016200,D, C001,ST00BP00,The Superior Oil Company,9/20/1972,PA,WC149, 00467,WC,  168, 00467,WC,  168,6/11/1959,11/2/1960,13485
177000016300,D, C002,ST00BP00,The Superior Oil Company,8/1/1976,PA,WC149, 00467,WC,  168, 00467,WC,  168,9/28/1959,1/13/1960,13300
177000016400,D, C003,ST00BP00,The Superior Oil Company,4/23/1960,PA,WC149, 00467,WC,  168, 00467,WC,  168,2/2/1960,4/13/1960,11945
177000016500,D, C004,ST00BP00,"EP Energy E&P Company, L.P.",8/1/1976,PA,WC149,G05283,WC,  168, 00253,WC,  149,4/24/1960,7/25/1960,12963
177000016600,D, C005,ST00BP00,"EP Energy E&P Company, L.P.",10/17/1960,PA,WC149,G05283,WC,  168, 00253,WC,  149,8/4/1960,10/17/1960,11015
177000016700,D, D001,ST00BP00,"EP Energy E&P Company, L.P.",1/6/1961,PA,WC149, 00253,WC,  149, 00253,WC,  149,11/9/1960,1/6/1961,11422
177000016800,D, D002,ST00BP00,"EP Energy E&P Company, L.P.",2/5/1961,PA,WC149, 00253,WC,  149, 00253,WC,  149,1/11/1961,2/5/1961,8367
177000016900,D, D003,ST00BP00,"EP Energy E&P Company, L.P.",5/7/1961,PA,WC149, 00253,WC,  149, 00253,WC,  149,2/7/1961,5/2/1961,12447
177000017000,D, D004,ST00BP00,"EP Energy E&P Company, L.P.",12/18/1985,PA,WC149, 00253,WC,  149, 00253,WC,  149,5/9/1961,6/7/1961,9087
177000017100,D, D005,ST00BP00,"EP Energy E&P Company, L.P.",12/18/1985,PA,WC149, 00253,WC,  149, 00253,WC,  149,6/24/1961,7/18/1961,9185
177000017200,D, A001,ST00BP00,"Energy XXI GOM, LLC",9/22/2019,PA,WC149, 00253,WC,  149, 00253,WC,  149,5/31/1949,8/27/1949,9365
177000017300,D, A002,ST00BP00,"EP Energy E&P Company, L.P.",9/24/2019,PA,WC149, 00253,WC,  149, 00251,WC,  132,3/15/1950,4/19/1950,8250
177000017400,D, A003,ST00BP00,"EP Energy E&P Company, L.P.",9/25/2019,PA,WC149, 00253,WC,  149, 00254,WC,  150,4/30/1950,6/5/1950,8275
177000017500,D, A004,ST00BP00,"Energy XXI GOM, LLC",4/20/1971,PA,WC149, 00253,WC,  149, 00250,WC,  131,4/3/1954,5/20/1954,8808
177000017600,D, A005,ST00BP00,"Energy XXI GOM, LLC",9/21/2019,PA,WC149, 00253,WC,  149, 00253,WC,  149,8/3/1954,9/9/1954,9850
177000017700,D, A006,ST00BP00,"Energy XXI GOM, LLC",9/22/2019,PA,WC149, 00253,WC,  149, 00253,WC,  149,5/19/1954,7/9/1954,9850
177000017800,D, A007,ST00BP00,"EP Energy E&P Company, L.P.",9/28/2019,PA,WC149, 00253,WC,  149, 00254,WC,  150,11/7/1954,12/19/1954,10082
177000017900,D, A008,ST00BP00,"Energy XXI GOM, LLC",9/26/2019,PA,WC149, 00253,WC,  149, 00253,WC,  149,9/29/1954,11/1/1954,9650
177000018000,D, A009,ST00BP00,"Energy XXI GOM, LLC",6/23/2002,PA,WC149, 00253,WC,  149, 00253,WC,  149,12/30/1954,1/19/1955,8955
177000018100,D, A010,ST00BP00,"Energy XXI GOM, LLC",6/23/2002,PA,WC149, 00253,WC,  149, 00253,WC,  149,1/24/1955,2/1/1955,5250
177000018200,D, A011,ST00BP00,"EP Energy E&P Company, L.P.",6/25/2002,PA,WC149, 00253,WC,  149, 00254,WC,  150,2/7/1955,2/28/1955,9120
177000018300,D, A012,ST00BP00,"Energy XXI GOM, LLC",9/21/2019,PA,WC149, 00253,WC,  149, 00253,WC,  149,9/28/1956,11/25/1956,11518
177000018400,D, A013,ST00BP00,"Energy XXI GOM, LLC",9/21/2019,PA,WC149, 00253,WC,  149, 00253,WC,  149,12/6/1956,1/12/1957,9660
177000018500,D, A014,ST00BP00,"EP Energy E&P Company, L.P.",10/4/2019,PA,WC149, 00253,WC,  149, 00254,WC,  150,2/2/1957,3/18/1957,9930
177000018600,D, B001,ST00BP00,"EP Energy E&P Company, L.P.",7/25/1955,PA,WC149, 00254,WC,  150, 00254,WC,  150,3/21/1955,7/25/1955,13472
177000018700,D, B002,ST00BP00,"EP Energy E&P Company, L.P.",10/27/1955,PA,WC149, 00254,WC,  150, 00254,WC,  150,7/26/1955,10/22/1955,12389
177000018800,D, B003,ST00BP00,"EP Energy E&P Company, L.P.",1/9/1956,PA,WC149, 00254,WC,  150, 00254,WC,  150,10/29/1955,1/9/1956,11500
177000018900,D, B004,ST00BP00,"EP Energy E&P Company, L.P.",3/30/1956,PA,WC149, 00254,WC,  150, 00254,WC,  150,1/10/1956,3/30/1956,12489
177000019000,D, A001,ST00BP00,"W & T Offshore, Inc.",7/23/2016,PA,WC180, 00763,WC,  180, 00763,WC,  180,4/19/1960,8/12/1961,10530
177000019100,D, A002,ST00BP00,"W & T Offshore, Inc.",9/7/2016,PA,WC180, 00763,WC,  180, 00759,WC,  173,8/14/1960,1/25/1961,14370
177000019200,D, A003,ST00BP00,"W & T Offshore, Inc.",7/24/2016,PA,WC180, 00763,WC,  180, 00763,WC,  180,1/27/1961,3/2/1961,10745
177000019300,D, A004,ST00BP01,"W & T Offshore, Inc.",9/7/2016,PA,WC180, 00763,WC,  180, 00763,WC,  180,4/23/1961,5/7/1961,10955
177000019370,D, A004,ST00BP00,"W & T Offshore, Inc.",4/23/1961,ST,WC180, 00763,WC,  180, 00763,WC,  180,3/7/1961,4/23/1961,9443
177000019400,D, A005,ST00BP01,"W & T Offshore, Inc.",10/24/1977,PA,WC180, 00763,WC,  180, 00759,WC,  173,6/20/1961,7/16/1961,11154
177000019470,D, A005,ST00BP00,"W & T Offshore, Inc.",5/31/1961,ST,WC180, 00763,WC,  180, 00759,WC,  173,5/8/1961,5/31/1961,11015
177000019500,D, A006,ST00BP00,"W & T Offshore, Inc.",8/24/1982,PA,WC180, 00763,WC,  180, 00763,WC,  180,7/17/1961,8/20/1961,10635
177000019600,D, B001,ST00BP01,"W & T Offshore, Inc.",11/10/1981,PA,WC180, 00763,WC,  180, 00763,WC,  180,11/7/1960,1/27/1961,15000
177000019670,D, B001,ST00BP00,"W & T Offshore, Inc.",11/7/1960,ST,WC180, 00763,WC,  180, 00763,WC,  180,8/9/1960,9/24/1960,11218
