incident_id,date,vessel_name,description,incident_type,location,source,fatalities,injuries
51520,2023-10-15,,"On 15 October 2023, the fishing vessel ""C27323BC"" known as ""NISHGA PRINCE"" reported 1 diver having sustained a fatal injury while trapped under the vessel in Wales Harbour, BC. The diver was assisted by the fishing vessel ""DIRE STRAITS"" and transferred to a hospital in Prince Rupert, BC by a local Royal Canadian Marine Search and Rescue workboat. ",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,BRITISH COLUMBIA (BC),Canadian TSB,1,0
51431,2023-09-25,,"On 25 September 2023, the fishing vessel ""SILVER CONDOR"", with 6 people on board, sank in the St. Lawrence River off Gros-Mécatina, QC. All crew members were recovered from the water by the helicopter ""RESCUE 901"" and by the Canadian Coast Guard Ship ""CAPE EDENSHAW"" and were brought to Corner Brook, NL to receive medical assistance.",SANK - Founders (taking on water above the waterline),QUEBEC (QC),Canadian TSB,3,3
51403,2023-09-12,,"On 12 September 2023, the unregistered fishing vessel known as ""ROWIN' SAILOR"" was reported to have sank with all 4 crew members in the water in Bishie Cove, NL. The Canadian Coast Guard Ships ""CONCEPTION BAY"", ""EARL GREY"" and ""PENNANT BAY"" were tasked to assist. One crew member was recovered by the pleasure craft ""MORGAN AND TILLIA"". Two bodies were later recovered by assisting vessels of opportunity and transferred to an ambulance ashore in Fleur de Lys, NL. One person is still missing. ",SANK - Founders (taking on water above the waterline),NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,2,0
51308,2023-08-16,,"On 16 August 2023, the cargo vessel ""ROSAIRE A. DESGAGNES"" reported one of its crew members as being physically incapacitated in Davis Strait, NU. The vessel rerouted to Clyde River, NU to disembark the incapacitated crew member.",PERSON (CREW MEMBER) PHYSICAL INCAPACITATION,NUNAVUT (NU),Canadian TSB,1,0
51182,2023-07-18,,"On 18 July 2023, an unregistered workboat, with 2 people on board, reported making bottom contact with a hidden reef, throwing its crew members overboard and injuring them, near a boat launch in Notigi, MB. One of the crew members later died of injuries. The vessel was damaged and declared a total loss.",COLLISION - With another vessel or other floating object,MANITOBA (MB),Canadian TSB,1,1
51133,2023-07-12,,"On 12 July 2023, the tug ""GULF RIVAL"", while towing the barge ""CHIEF"" and with 2 people on board the tug, reported one of its crew members being physically incapacitated in Queen Charlotte Strait, BC. The Canadian Coast Guard vessels ""PORT HARDY 1"", ""CG508"", ""Pachena Bay"" and the passenger vessel ""SILVER MUSE"" assisted the tug and evacuated the crew member to Port Hardy, BC. ",PERSON (CREW MEMBER) PHYSICAL INCAPACITATION,BRITISH COLUMBIA (BC),Canadian TSB,1,0
51053,2023-06-18,,"On 18 June 2023, the Canadian-flagged cargo vessel ""POLAR PRINCE"" was providing surface support to the submersible ""TITAN"" when it lost contact with the submersible approximately 1 hour and 45 minutes after the submersible began its descent. Both vessels were at the Titanic wreck site, 325 nautical miles south-southeast of Cape Race, NL. There were 5 people on the ""TITAN"" and 41 people on the ""POLAR PRINCE"". On 22 June 2023, the United States Coast Guard confirmed that debris found on the ocean floor near the Titanic wreck site consisted of pieces of the missing submersible. All 5 people on the ""TITAN"" were fatally injured. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",Outside Provincial Boundaries,Canadian TSB,5,0
51053,2023-06-18,,"On 18 June 2023, the Canadian-flagged cargo vessel ""POLAR PRINCE"" was providing surface support to the submersible ""TITAN"" when it lost contact with the submersible approximately 1 hour and 45 minutes after the submersible began its descent. Both vessels were at the Titanic wreck site, 325 nautical miles south-southeast of Cape Race, NL. There were 5 people on the ""TITAN"" and 41 people on the ""POLAR PRINCE"". On 22 June 2023, the United States Coast Guard confirmed that debris found on the ocean floor near the Titanic wreck site consisted of pieces of the missing submersible. All 5 people on the ""TITAN"" were fatally injured. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",Outside Provincial Boundaries,Canadian TSB,5,0
51053,2023-06-18,,"On 18 June 2023, the Canadian-flagged cargo vessel ""POLAR PRINCE"" was providing surface support to the submersible ""TITAN"" when it lost contact with the submersible approximately 1 hour and 45 minutes after the submersible began its descent. Both vessels were at the Titanic wreck site, 325 nautical miles south-southeast of Cape Race, NL. There were 5 people on the ""TITAN"" and 41 people on the ""POLAR PRINCE"". On 22 June 2023, the United States Coast Guard confirmed that debris found on the ocean floor near the Titanic wreck site consisted of pieces of the missing submersible. All 5 people on the ""TITAN"" were fatally injured. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",Outside Provincial Boundaries,Canadian TSB,5,0
50907,2023-05-06,,"On 06 May 2023, the fishing vessel ''NORD-EST'' reported that 2 crew members of the fishing vessel ''TRACY DAWN'' had fallen overboard on the Miscou Banks in the Gulf of St. Lawrence.  The 2 crew members were recovered by the Fishing Vessel ''ISLAND TREASURES'' and the Canadian Coast Guard Ship ''M. PERLEY'', and later declared deceased.","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NEW BRUNSWICK (NB),Canadian TSB,2,0
50229,2022-09-27,,"On 27 September 2022, 1 of the 2 crew members on the pilot boat ""A.P.A. NO. 18"" fell overboard and drowned while conducting a pilot transfer. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,1,0
50110,2022-08-29,,"On 29 August 2022, the fishing vessel ""JUST A DREAM"", with 4 people on board, reported being disabled with engine issues, then reported one person overboard, in Northumberland Strait off Pointe-Sapin, NB. The search for the overboard crew member completed on August 29th and the case was turned over to the Royal Canadian Mounted Police as a missing persons case. The vessel was towed to Pointe-Sapin, NB by the fishing vessel ""VANESSA ALEXANDRE"".","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NEW BRUNSWICK (NB),Canadian TSB,1,0
49990,2022-07-31,,"On 31 July 2022, the passenger vessel ""ENTERPRISE 2000"" reported a person overboard in Humber Bay off Toronto, ON. The local police recovered the individual an hour and a half later, in the water, deceased.","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",ONTARIO (ON),Canadian TSB,1,0
49469,2022-03-16,,"On 16 March 2020, the workboat ""C27125BC"", with 1 person on board, was reported to have sunk in Harrison Lake near Port Douglas, BC. Search and Rescue retrieved the body of the one crew member. The boat was later retrieved with major damage.",SANK - Flooding,BRITISH COLUMBIA (BC),Canadian TSB,1,0
49469,2022-03-16,,"On 16 March 2020, the workboat ""C27125BC"", with 1 person on board, was reported to have sunk in Harrison Lake near Port Douglas, BC. Search and Rescue retrieved the body of the one crew member. The boat was later retrieved with major damage.",SANK - Flooding,BRITISH COLUMBIA (BC),Canadian TSB,1,0
49461,2022-03-12,,"On 12 March 2022, the halibut fishing vessel ""MUCKTOWN GIRL"", with 5 people on board, reported having electrical problems 87.5 nautical miles southeast of Canso, NS. At 1608 AST the same day, while under tow by the Canadian Coast Guard Ship ""JEAN GOODWILL,"" the towline broke free. The CCGS ""JEAN GOODWILL"" stood by awaiting improved weather conditions before attempting to re-establish the tow. On 13 March 2022 at 0619 ADT, the fishing vessel reported taking on water and the crew prepared to abandon ship into a life raft wearing their immersion suits. At 0803 ADT, 4 crew from the ""MUCKTOWN GIRL"" were rescued by the CCGS ""JEAN GOODWILL"". Later that day, at 1236 ADT, JRCC Halifax reported the missing crew member was recovered but did not survive.",SANK - Founders (taking on water above the waterline),NOVA SCOTIA (NS),Canadian TSB,1,0
49322,2022-01-09,,"On 09 January 2022, the ferry ""MADELEINE II"" reported one of its crew members as having sustained a fatal injury while berthing in Cap-aux-Meules, QC. No damage to the vessel or pollution was reported.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,QUEBEC (QC),Canadian TSB,1,0
49264,2021-12-19,,"On 19 December 2021, the scallop fishing vessel ""FREDA M"", with 3 people on board, capsized in Salmonier Cove, NL. One survivor swam to shore and phoned for help. MRSC St. John's was notified of the situation and initiated a mayday relay broadcast. One survivor and one deceased crew member were subsequently recovered from the water.",CAPSIZES,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,1,0
49066,2021-10-17,,"On 17 October 2021, at approximately 1910 eastern daylight time, the Service de sécurité incendie de Montréal rescue boat ""1864"" was assigned to assist a pleasure craft, with an engine failure and 2 people on board, drifting towards the rapids of Lachine, QC. During the towing operation, the rescue boat capsized and the 4 firefighters aboard fell in the water. 3 firefighters were recovered and sustained injuries. First responders, the Department of National Defence, and Sûreté du Québec helicopters assisted in rescuing the remaining firefighter. His body was recovered the following day.",CAPSIZES,QUEBEC (QC),Canadian TSB,1,3
49058,2021-10-14,,"On 14 October 2021, the fishing vessel ""MISS JANET"", with a crew of 4 people, reported the master missing and presumed overboard. At the time of the report, the vessel was 17 nautical miles S of Yarmouth, NS. The Canadian Coast Guard, the Canadian Coast Guard Auxiliary, multiple air assets from the Department of National Defence and local vessels searched for the missing master. His body was found without a PFD in the afternoon of 15 October 2021.","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NOVA SCOTIA (NS),Canadian TSB,1,0
48920,2021-08-26,,"On 26 August 2021, the fishing vessel ""SUVAK"" reported one of its crew members as having fallen overboard while fishing with gill nets in the Davis Strait, 121.79 nautical miles northeast of Qikiqtarjuaq, NU. The crew member was recovered from the water and later pronounced deceased. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NUNAVUT (NU),Canadian TSB,1,0
48559,2021-05-21,,"On 21 May 2021, an unregistered 22ft open fishing vessel, with 2 people on board, reported having sustained a fouled propeller while attempting to reposition a lobster trap ahead of a forecasted storm. Before the vessel started to take on water, one crew member evacuated the vessel by jumping to a ledge and calling 911. The other crew member drowned after the vessel sank. The survivor was hoisted from the ledge by a National Defense helicopter later that day.",SANK - Founders (taking on water above the waterline),NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,1,0
48354,2021-04-03,,"On 03 April 2021, the fishing vessel ""TYHAWK"", with 5 people on board, capsized 18.6 nautical miles W of Chéticamp, NS. The fishing vessel ""NORTHUMBERLAND SPRAY"" recovered 4 crew members and brought them to Chéticamp, NS to be transported by ambulance to the nearby hospital. One of the 4 crew members was pronounced dead at the hospital. JRCC Halifax continued to coordinate a search for the fifth crew member until sunset on 04 April 2021, when the file was transferred to the RCMP as a missing person case.",CAPSIZES,NOVA SCOTIA (NS),Canadian TSB,1,0
48228,2021-02-11,,"On 10 February 2021, the tug ""INGENIKA"", with 3 people on board and while towing the loaded barge ""MILLER 204"", reported having sunk around 16 nautical miles WSW of Kemano, BC in the Gardner Canal, BC. Search and Rescue recovered 2 bodies and rescued 1 survivor. The barge was later discovered, grounded, about 4 nautical miles WSW from the position where the tug sank.",SANK - Founders (taking on water above the waterline),BRITISH COLUMBIA (BC),Canadian TSB,2,1
48091,2020-12-15,,"On 15 December 2020, the fishing vessel ""CHIEF WILLIAM SAULIS"" was returning from scalloping when its EPIRB activated 12 nautical miles NNE of Digby, NS. Search and rescue efforts were initiated after the vessel could not be reached via VHF or phone. One body was recovered and 5 crew members are reported missing. On 16 January 2021, the vessel was located, sunk in 66 metres of water, approximately 2 nautical miles NNW of Delaps Cove, NS.",SANK - Flooding,NOVA SCOTIA (NS),Canadian TSB,1,0
48006,2020-12-01,,"On 01 December 2020, the fishing vessel ""EASTERN PRIDE"" was reported aground and the crew abandoned the vessel. There was 1 fatality. ",GROUNDING - Under power (non-intentional),NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,1,0
47745,2020-09-09,,"On 09 September 2020, a crew member was reported to have died of natural causes on board the cable ferry ""HARROP II"" on Kootenay Lake, BC. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",BRITISH COLUMBIA (BC),Canadian TSB,1,0
47614,2020-08-11,,"On 11 August 2020, the fishing vessel ""ARCTIC FOX II"", with 3 people on board, reported taking on water. The crew abandoned the vessel approximately 80 nm off Vancouver Island, BC. The U.S. Coast Guard and Canadian Coast Guard initiated search and rescue operations. One survivor was located in the vessel's liferaft and the bodies of the 2 other people were recovered. ",SANK - Flooding,BRITISH COLUMBIA (BC),Canadian TSB,2,1
47571,2020-07-28,,"On 28 July 2020, an unregistered small fishing vessel with 2 persons on board was reported missing off Sally's Cove, NL. The vessel had sunk and the search and rescue responders later recovered 1 injured and 1 deceased crew members.",SANK - Founders (taking on water above the waterline),NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,1,1
47308,2020-05-25,,"On 25 May 2020, the fishing vessel ""SARAH ANNE"", with 4 people on board, was reported overdue from a fishing trip in Placentia Bay, Newfoundland and Labrador. The vessel departed St. Lawrence, NL shortly after midnight and was reported overdue to the Canadian Coast Guard Marine Communications and Traffic Services (MCTS) Centre in Placentia around 8pm that night, approximately three hours after the crew was expected to return. A surface search was launched using several vessels and aircraft. The bodies of three crew members were recovered the following day. Several pieces of debris from the vessel were located; however, the vessel was still missing when the surface search ended on 27 May 2020. The body of the fourth crew member was recovered on 06 June 2020.",MISSING (the ship is),NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,4,0
47091,2020-04-13,,"On 13 April 2020, the ferry ""MARGARET'S JUSTICE"" reported that a vehicle had driven onto the ferry and then off the opposite end of the vessel and into the water at the ferry dock in Westport, NS. The crew rescued 1 person from the water. The body of a second person was recovered from the vehicle by divers the following day. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NOVA SCOTIA (NS),Canadian TSB,1,0
47068,2020-03-30,,"On 30 March 2020, the fishing vessel ""OCEAN EXPLORER"", with 3 people on board, reported a crew member fell overboard 10.61 nautical miles WNW of Cape St. James, BC. After several hours of search, the Canadian Coast Guard search and rescue team spotted  the crew member and ""OCEAN EXPLORER"" recovered the body of the crew member from the water.  ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",BRITISH COLUMBIA (BC),Canadian TSB,1,0
46824,2019-12-22,,"On 22 December 2019, the aquaculture work boat ""C02537BC"", with 3 people on board, reported striking a float at a fish farm in Warn Bay, BC which resulted in 1 person being ejected overboard onto the float and sustaining serious injuries. The person was medevac'd to Tofino, BC where he was subsequently declared dead. The other 2 passengers sustained minor injuries.",STRIKING - Allision with a fixed object (striking - includes berthed/docked vessels),BRITISH COLUMBIA (BC),Canadian TSB,1,2
46682,2018-10-14,,"On 14 October 2018, two fishermen where found in their yawl, deceased, on Moose Lake, MB. The fishermen were reported missing while on transit to tend their commercial fishing gear. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",MANITOBA (MB),Canadian TSB,2,0
46533,2019-09-30,,"On 29 September 2019 at approximately 0630 MDT, the 9.1 m aluminum-fishing vessel Jamie Michelle Lynne (C18787AB) with 4 people on board departed Hay River, NT. The vessel was bound for Sulphur Point, approximately 28 mile east from Hay River. The intent of the fishing trip was to harvest the fish and remove their gill-nets from the area.  On 30 September at approximately 0900, the Jamie Michelle Lynne was reported missing on Great Slave Lake, NT. At 1225, SAR operations began. Resources deployed included TC 951 pollution surveillance aircraft, Rescue 804 twin otter aircraft and CCG 775. At 2013, the search was suspended for the day.On 01 October at 08:01, JRCC Trenton advised the search and rescue efforts for overdue vessel resumed. CGE 777 and Guardian worked in tandem, Canadian Forces Rescue 805 commenced a shore search from Lonely Bay and CASARA aircraft searched the north shore search.  TC 951 Pollution Aircraft crew was on rest and did not participate. At 1139, the capsized vessel was located near Windy Bay with approximately 1 m of the bow protruding out of the water. A search of the debris field did not locate any of the people on board. An underwater video camera was used to identify the vessel and search for bodies but the camera could not reach the cabin of the vessel.On 02 October, the weather was not conducive to an underwater camera survey of the vessel cabin. CCG and DFO vessels continued the search for the people on board. During the adverse weather conditions the vessel completely sank in approximately 40 m of water.On 03 October, the RCMP surveyed the vessel’s cabin with the underwater camera and did not locate any bodies. The 4 fish harvesters are still missing and presumed drowned. ",CAPSIZES,NORTHWEST TERRITORIES (NT),Canadian TSB,4,0
46333,2019-09-12,,"On 12 September 2019, the bulk carrier ""FEDERAL BRISTOL"" reported that a stevedore was found unconscious in an enclosed space adjacent to the cargo hold, while the vessel was berthed in the Port of Valleyfield, QC. The stevedore was later pronounced deceased.","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",QUEBEC (QC),Canadian TSB,1,0
46302,2019-09-04,,"M19P0221 (Sharron Lynn) Class 5 Summary On 04 September 2019, it was reported that only person on board the 9.7 m gill-net fishing vessel Sharron Lynn was reported to have fallen overboard in Alberni Harbour, British Columbia. Several other fishing vessel operators retrieved the operator from the water and initiated CPR. The operator was transferred to Emergency Health Services where he was declared deceased.At the time of the occurrence, there was an on-going DFO approved gill-net fishery for Chinook salmon at the head of Alberni Inlet. The fishing was productive and approximately 120 vessels were congested at the mouth of the Somass River.  As is typical for Alberni Inlet there was an inflow breeze of approximately 15 knots and small wavelets at the time of the occurrence. The Sharron Lynn was drifting towards other fishing vessels requiring the operator to pick up about 75% of his gill-net in order to reposition the vessel, reset the net and continue to fish.After picking up a large portion of the net the operator put the vessel in gear, turned the wheel to port and began resetting the net. Shortly afterward, a nearby fisherman heard the operator yelling for help and saw him struggling on the back deck in an attempt to stop the vessel or stop the net from setting. The fisherman then witnessed the operator pulled over board by the setting net. The operator, without the aid of a personal floatation device, hung onto the net’s corkline while the vessel continued to make a slow port turn.The nearby fisherman responded immediately by moving his vessel towards the Sharron Lynn’s net and the operator. Just as the fisherman arrived alone side the net and attempted to secure to it, the net and operator were pulled beneath the surface. By this time the Sharron Lynn had completed a 180° turn and ran over its own net which forced the corkline and the operator below the surface of the water.The Sharron Lynn’s engine stalled once it became entangled in the net but the corkline and operator remained below the surface of the water. The fisherman then proceeded to haul the Sharron Lynn’s net but was unable to haul enough net to get to the operator given the amount of fish in the net. Other fishermen and vessels arrived on scene to assist with the attempts to retrieve the net and the operator. About 15-20 minutes later the operator was retrieved from the water and CPR was initiated as the operator was transported to the dock and emergency health services.Notes•	WorksafeBC conducted a full investigation•	The vessel was well-maintained, clean and organized •	The hold to run drum mechanism functioned correctly•	No automatic engine kill switch•	No personal flotation device in use•	Controls to engage the drum and engine controls are not accessible from the setting location•	Operator was not carrying a knife at the time of the occurrence•	Operator was the only person on board which is normal for about 66% if the gill-net fleet","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",BRITISH COLUMBIA (BC),Canadian TSB,1,0
46261,2019-08-23,,"Daily Double (C29132BC)Walker Point, British Columbia 23 August 2019 The occurrence On 23 August 2019, the 7.6 m charter vessel C29132BC, known as the Daily Double, departed Lizzie Cove, British Columbia, with 6 people on board: the master and a family of 5. The vessel, a Bayliner/Trophy style, was returning to Bella Coola, British Columbia, following a 3-day eco-tourism excursion. A gale warning was in effect for the area, with winds forecast to be from the southeast at 30–40 knots. As the voyage proceeded, the sea conditions deteriorated. The ebbing tide was opposing the wind, and the vessel encountered heavy rain and 3 m waves. About an hour into the voyage, the Daily Double rounded Walker Point and entered Burke Channel. Water began to wash on deck and drain into the bilge. The bilge pump capacity was not sufficient to keep up with the accumulation of water, and water began to pool on the starboard aft deck. The vessel was reported to have been in good operating condition at the time of the occurrence. Some of the passengers began to bail out the water with a hand pump, but within about 2.5 minutes, water started to enter the cabin. The master transmitted several distress calls while steering the vessel towards the shore. The vessel’s stern began to sink, and water covered the engines, which caused them to stall. One of the passengers distributed lifejackets to everyone and the passengers donned them in preparation to abandon the vessel. The master did not manage to don a lifejacket. Just before the stern sank completely, the master yelled for everyone to jump overboard. The passengers jumped into the water, which was about 14 ºC, and swam the approximately 100 m to shore. One of the passengers went back into the water with an extra lifejacket to assist the master, who was using a seat cushion as a flotation device. Before the passenger could reach him with the extra lifejacket, the master let go of the cushion and tried to swim to shore. He was last seen going under a wave and he never surfaced. The Alaska State ferry Kennicott responded to the Canadian Coast Guard’s Mayday relay and launched 2 fast rescue boats to assist. The rescue boats located the passengers on shore but were unable to retrieve them. The rescue boats then began to search for the master. The Canadian Coast Guard fast rescue craft from Bella Bella was deployed. Approximately 1.5 hours later, the fast rescue craft rescued the passengers from the shore and transferred them to the Kennicott. The Canadian Coast Guard crew secured the Daily Double, which was partially floating with its bow slightly out of the water, to shore. The search for the master continued until nightfall. The following day, the RCMP - West Coast Marine Service conducted a shoreline search for the master without result. On 29 August, the RCMP underwater recovery team recovered the master’s body. On 24 September, the vessel was removed from the environment. It had sustained considerable structural damage and was declared a constructive total loss. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",BRITISH COLUMBIA (BC),Canadian TSB,1,0
46261,2019-08-23,,"Daily Double (C29132BC)Walker Point, British Columbia 23 August 2019 The occurrence On 23 August 2019, the 7.6 m charter vessel C29132BC, known as the Daily Double, departed Lizzie Cove, British Columbia, with 6 people on board: the master and a family of 5. The vessel, a Bayliner/Trophy style, was returning to Bella Coola, British Columbia, following a 3-day eco-tourism excursion. A gale warning was in effect for the area, with winds forecast to be from the southeast at 30–40 knots. As the voyage proceeded, the sea conditions deteriorated. The ebbing tide was opposing the wind, and the vessel encountered heavy rain and 3 m waves. About an hour into the voyage, the Daily Double rounded Walker Point and entered Burke Channel. Water began to wash on deck and drain into the bilge. The bilge pump capacity was not sufficient to keep up with the accumulation of water, and water began to pool on the starboard aft deck. The vessel was reported to have been in good operating condition at the time of the occurrence. Some of the passengers began to bail out the water with a hand pump, but within about 2.5 minutes, water started to enter the cabin. The master transmitted several distress calls while steering the vessel towards the shore. The vessel’s stern began to sink, and water covered the engines, which caused them to stall. One of the passengers distributed lifejackets to everyone and the passengers donned them in preparation to abandon the vessel. The master did not manage to don a lifejacket. Just before the stern sank completely, the master yelled for everyone to jump overboard. The passengers jumped into the water, which was about 14 ºC, and swam the approximately 100 m to shore. One of the passengers went back into the water with an extra lifejacket to assist the master, who was using a seat cushion as a flotation device. Before the passenger could reach him with the extra lifejacket, the master let go of the cushion and tried to swim to shore. He was last seen going under a wave and he never surfaced. The Alaska State ferry Kennicott responded to the Canadian Coast Guard’s Mayday relay and launched 2 fast rescue boats to assist. The rescue boats located the passengers on shore but were unable to retrieve them. The rescue boats then began to search for the master. The Canadian Coast Guard fast rescue craft from Bella Bella was deployed. Approximately 1.5 hours later, the fast rescue craft rescued the passengers from the shore and transferred them to the Kennicott. The Canadian Coast Guard crew secured the Daily Double, which was partially floating with its bow slightly out of the water, to shore. The search for the master continued until nightfall. The following day, the RCMP - West Coast Marine Service conducted a shoreline search for the master without result. On 29 August, the RCMP underwater recovery team recovered the master’s body. On 24 September, the vessel was removed from the environment. It had sustained considerable structural damage and was declared a constructive total loss. ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",BRITISH COLUMBIA (BC),Canadian TSB,1,0
46138,2019-07-13,,"On 13 July 2019, the fishing vessel ""MERIDIAN 66"", with 4 people on board, reported that a crew member was injured and fell overboard 32 nautical miles SSE of Natashquan, QC. The crew member was rescued by the fishing vessel ""CAP-DIAMANT NO 1"", but shortly after he was declared deceased. Both fishing vessels were escorted to Natashquan, QC by the Canadian Coast Guard vessel ""CAP AUPALUK"". ","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",QUEBEC (QC),Canadian TSB,1,0
