incident_id,date,vessel_name,description,fatalities,location,source,injuries
52147,2024-05-31,,"On 31 May 2024, the unoccupied Canadian Coast Guard workboat ""C23572QC"" was reported having capsized while being recovered by the Canadian Coast Guard Ship ""A. LEBLANC"" in the Gulf of St. Lawrence off Grande-Entrée, QC. The workboat was recovered and the ""A. LEBLANC"" proceeded to Cap-aux-Meules, QC for a damage assessment of its workboat.",0,QUEBEC (QC),Canadian TSB,0
52121,2024-05-27,,"On 27 May 2024, the fishing vessel ""MALBAIE STAR I"", with 5 people on board, reported having capsized in Baie de Gaspé, QC. All crew members were recovered by the fishing vessel ""OCEAN OUTLAW"" and transported to Grande-Grave, QC for medical assistance. The vessel subsequently sank and the wreck was later secured by the Canadian Coast Guard Ship ""CAP AUX MEULES"".",0,QUEBEC (QC),Canadian TSB,0
52098,2024-05-21,,"On 21 May 2024, the fishing vessel ""MISS PIG BROOK"", with 3 people on board, reported taking on water in Northumberland Strait off Fox Harbour, NS. The vessel was assisted to Wallace Harbour, NS by the Canadian Coast Guard auxiliary vessel ""NOVEMBER RAIN"".",0,NOVA SCOTIA (NS),Canadian TSB,0
52089,2024-05-17,,"On 17 May 2024, the unnamed fishing vessel known as ""VRN 140660"" was reported capsized on a shoal off Port au Choix, NL, with no one in the vicinity of the wreck and debris on scene. The Search and Rescue authorities later confirmed that all 3 crew members reached the shore safely.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
52069,2024-05-17,,"On 17 May 2024, the fishing vessel ""ATLANTIC GALE"", with 6 people on board, reported taking on water while in the vicinity of Western Bradelle Valley, QC. The crew controlled the ingress and the vessel proceeded to Shippagan, NB for repairs. ",0,NEW BRUNSWICK (NB),Canadian TSB,0
52042,2024-05-09,,"On 09 May 2024, the Canadian Coast Guard Ship ""SPRAY"", with 4 people on board, reported taking on water off Bonavista Bay, NL. The vessel was escorted to its base station in Old Perlican, NL by the Canadian Coast Guard auxiliary vessel ""ATLANTIC MAVERICK"".",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
52037,2024-05-08,,"On 08 May 2024, the fishing vessel ""LADY ERICA"", with 2 people on board, was reported taking on water with a bilge pump failure in Northumberland Strait off Souris, PE. The vessel was assisted by the Canadian Coast Guard Ship ""CAPE SPRY"" and escorted to Launching Place, PE.",0,PRINCE EDWARD ISLAND (PE),Canadian TSB,0
52033,2024-05-07,,"On 07 May 2024, the fishing vessel ""PROVOCANTE"", with 3 people on board, was reported taking on water and having intentionally ran aground in Miscou Channel, NB. Two crew members were evacuated on the beach. The master remained on board and proceeded away from the shore while assisted by fishing vessels in the area. The vessel was towed to Miscou, NB by the fishing vessel ""LE P'TIT COTIER"".",0,NEW BRUNSWICK (NB),Canadian TSB,0
51952,2024-04-21,,"On 21 April 2024, after landing 4 people on the shore, an unnamed dory, with 2 people on board, was reported capsized with its crew members overboard in the vicinity of Port au Port Bay, NL. The four people stranded ashore were evacuated to Lark Harbour, NL by helicopter, and the two crew members in the water were recovered, and later pronounced deceased.",2,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
51928,2024-04-07,,"On 07 April 2024, the fishing vessel ""KIJU"", with 7 people on board, reported being disabled with an ingress of water in its engine room in the Gulf of St. Lawrence in the vicinity of Banc Bradelle, QC. The water ingress was controlled and the vessel was towed to Shippegan, NB by the Canadian Coast Guard Ship ""CAP BRETON"".",0,QUEBEC (QC),Canadian TSB,0
51909,2024-04-03,,"On 03 April 2024, the fishing vessel ""MARIE-EVE"", with 5 people on board, reported being disabled with water ingress in its engine room in the vicinity of Miscou Banks, NB. The vessel was towed to Shippegan, NB by the Canadian Coast Guard Ships ""BAIE DE PLAISANCE"" and ""CAP BRETON"".",0,NEW BRUNSWICK (NB),Canadian TSB,0
51784,2024-01-24,,"On 24 January 2024, the fishing vessel ""JALEMA C."", with 2 people on board, was reported taking on water in the Bay of Fundy off Saint John, NB. Both crew members were recovered by the fishing vessel ""SITANSISK II"" and transported to Chance Harbour, NB. The vessel capsized and then sank.",0,NEW BRUNSWICK (NB),Canadian TSB,0
51784,2024-01-24,,"On 24 January 2024, the fishing vessel ""JALEMA C."", with 2 people on board, was reported taking on water in the Bay of Fundy off Saint John, NB. Both crew members were recovered by the fishing vessel ""SITANSISK II"" and transported to Chance Harbour, NB. The vessel capsized and then sank.",0,NEW BRUNSWICK (NB),Canadian TSB,0
51784,2024-01-24,,"On 24 January 2024, the fishing vessel ""JALEMA C."", with 2 people on board, was reported taking on water in the Bay of Fundy off Saint John, NB. Both crew members were recovered by the fishing vessel ""SITANSISK II"" and transported to Chance Harbour, NB. The vessel capsized and then sank.",0,NEW BRUNSWICK (NB),Canadian TSB,0
51756,2024-01-10,,"On 10 January 2024, the workboat ""C12972BC"", with 4 people on board, reported taking on water after a wave broke its bridge windows in Queen Charlotte Strait, BC. The crew abandoned the vessel before it sank, and were recovered from the water by the Canadian Coast Guard Ship ""PORT HARDY I"" and assisted by the ""FLORENCIA BAY"", the ""SIR WILFRED GRENFELL"" and the ""COASTAL SERVER"". All crew members were carried to Port Hardy, BC to receive medical assistance.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51740,2024-01-07,,"On 07 January 2024, the fishing vessel ""NORTHERN OSPREY III"", with 30 people on board, reported taking on water in Porcupine Bay, NL. The vessel was anchored and temporary repairs were effected. Assistance was provided by the Royal Canadian Air Force helicopter ""RESCUE 901""and the fishing vessel ""KATSHESHUK II"", until the Canadian Coast Guard Ship ""TELEOST"" arrived with divers who completed repairs. The vessel then proceeded to St. John's, NL.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
51658,2023-12-04,,"On 04 December 2023, the fishing vessel ""THUNDERCAT"", with 4 people on board, reported taking on water in the Gulf of Maine off Westport, NS. The vessel was assisted and escorted to Sandford, NS by the Canadian Coast Guard Ship ""SAMBRO"".",0,NOVA SCOTIA (NS),Canadian TSB,0
51657,2023-12-04,,"On 04 December 2023, the fishing vessel ""SMOOTH MOVER"", with 4 people on board, reported taking on water off Wedgeport, NS. The vessel was assisted and escorted to Clark's Harbour, NS by the Canadian Coast Guard Ship ""CHEDABUCTO BAY"".",0,NOVA SCOTIA (NS),Canadian TSB,0
51649,2023-12-02,,"On 02 December 2023, the fishing vessel ""PERSEVERANCE 2014"", with 4 people on board, reported taking on water off Yarmouth, NS. The crew was assisted by the Canadian Coast Guard Ship ""SAMBRO"" and resumed its voyage.",0,NOVA SCOTIA (NS),Canadian TSB,0
51535,2023-10-23,,"On 23 October 2023, the unregistered tug known as ""GREEN HORNET"", with 1 person on board, reported having capsized in the Strait of Georgia off Vancouver, BC. The Search and Rescue response team found the crew member deceased on shore. The vessel sank, but was later retrieved and taken to a drydock in Mill Bay, BC.",1,BRITISH COLUMBIA (BC),Canadian TSB,0
51505,2023-10-11,,"On 11 October 2023, the unregistered fishing vessel known as ""WANDA LYNN"", with 2 people on board, reported taking on water and being at risk of sinking in St. Marys Bay off Little Brook, NS. The Canadian Coast Guard Ship ""WESTPORT"" and its workboat assisted the vessel. The 2 crew members were recovered and carried to Saulnierville, NS by the fishing vessel ""BETH AND JANE"". The disabled vessel was later reported aground and a salvage plan was established.",0,NOVA SCOTIA (NS),Canadian TSB,0
51436,2023-09-22,,"On 22 September 2023, the fishing vessel ""CAPIEN DES MERS"", with 3 people on board, reported taking on water in Détroit d'Honguedo off L'Anse-au-Griffon, QC. The vessel proceeded to L'Anse-au-Griffon, QC, and was provided with additional pumps to assist with dewatering.",0,QUEBEC (QC),Canadian TSB,0
51431,2023-09-25,,"On 25 September 2023, the fishing vessel ""SILVER CONDOR"", with 6 people on board, sank in the St. Lawrence River off Gros-Mécatina, QC. All crew members were recovered from the water by the helicopter ""RESCUE 901"" and by the Canadian Coast Guard Ship ""CAPE EDENSHAW"" and were brought to Corner Brook, NL to receive medical assistance.",3,QUEBEC (QC),Canadian TSB,3
51419,2023-09-13,,"On 13 September 2023, the light tug ""SANDRA MARY"", with 2 people on board, reported taking on water in Cabot Strait off Glace Bay, NS. The crew controlled the water ingress and received assistance from the fishing vessel ""POPPY'S ANGELS"" and from a local Fisheries and Oceans workboat. The vessel was towed to North Sydney, NS by the Canadian Coast Guard Ship ""LA POILE BAY"".",0,NOVA SCOTIA (NS),Canadian TSB,0
51403,2023-09-12,,"On 12 September 2023, the unregistered fishing vessel known as ""ROWIN' SAILOR"" was reported to have sank with all 4 crew members in the water in Bishie Cove, NL. The Canadian Coast Guard Ships ""CONCEPTION BAY"", ""EARL GREY"" and ""PENNANT BAY"" were tasked to assist. One crew member was recovered by the pleasure craft ""MORGAN AND TILLIA"". Two bodies were later recovered by assisting vessels of opportunity and transferred to an ambulance ashore in Fleur de Lys, NL. One person is still missing. ",2,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
51349,2023-08-28,,"On 28 August 2023, the fishing vessel ""GRACE ABOUNDS"", with 2 people on board, reported being disabled and taking on water in Placentia Bay, NL. The vessel was assisted and escorted to Davis Cove, NL by the fishing vessels ""BOW DOWN 2021"" and ""AQUA ENDEAVOR"", and by the Canadian Coast Guard Ship ""W.G. GEORGE"".",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
51331,2023-08-21,,"On 21 August 2023, the fishing vessel ""SEA GAY"", with no one on board, was reported to have sank while secured in Port Hardy, BC. The vessel was later removed from the marine environment.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51219,2023-07-27,,"On 27 July 2023, the fishing vessel ""ZAPORA"", with 2 people on board, reported taking on water and being at risk of sinking in Cascadia Basin, BC. The vessel was assisted by nearby fishing vessels and was escorted to Ucluelet, BC by the Canadian Coast Guard Ships ""SIR JOHN FRANKLIN"" and ""CAPE MCKAY"".",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51203,2023-07-20,,"On 20 July 2023, the air cushion vehicle ""L'ESPRIT-DE-PAKUASHIPI"", with 5 people on board, reported being disabled with a total failure of its engine and water ingress in its engine room in Rivière Saint-Augustin, QC. The barge ""RIVIERE SAINT-AUGUSTIN"" took the crew members on board and towed the vessel to Saint-Augustin, QC to assess damages.",0,QUEBEC (QC),Canadian TSB,0
51194,2023-07-24,,"On 24 July 2023, the fishing vessel ""C25493BC"" known as ""WESTERN SLOPE"", with 1 person on board, was reported having capsized in Okanagan Lake off Vernon, BC. The vessel was retrieved and the crew member was reported as missing. ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51172,2023-07-07,,"On 07 July 2023, the crew boat ""C32388BC"", with 6 people on board, reported taking on water in Chatham Channel, BC. The crew abandoned the vessel in a zodiac while the vessel was sinking. All crew members were evacuated to Lagoon Cove, BC by a vessel of opportunity.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51137,2023-07-11,,"On 11 July 2023, the fishing vessel ""ADDIE N' AINSLIE"", with 7 people on board, reported taking on water and being at risk of sinking on The Grand Banks of Newfoundland, NL. The crew abandoned the vessel in a liferaft and was recovered by the container ship ""INDEPENDENT QUEST"". The crew was then transferred on the fishing vessel ""KATSHESHUK II"" and finally on the Canadian Coast Guard Ship ""CAPE ROGER"" to proceed to St. John's, NL. The disabled vessel was reported sank.",0,Outside Provincial Boundaries,Canadian TSB,0
51114,2023-07-05,,"On 05 July 2023, the fishing vessel ""MISS NANCY I"", with 2 people on board and while being towed by the fishing vessel ""OCEAN ROVER"", was reported taking on water in the Strait of Georgia, BC. Commercial towing assistance was provided for the vessel to proceed to Steveston, BC.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51086,2023-06-23,,"On 23 June 2023, an unnamed and unregistered dozer tug was reported to have sunk in Powell Lake, BC. The sunken tug was later refloated and salvaged.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
51082,2023-06-26,,"On 26 June 2023, the fishing vessel ""MAX 'D OUT"", with 5 people on board, reported taking on water in Northumberland Strait off Red Point, PE. The Canadian Coast Guard Ship ""CAPE SPRY"" provided assistance and then escorted the vessel to Souris, PE.",0,PRINCE EDWARD ISLAND (PE),Canadian TSB,0
51012,2022-10-05,,"On 05 October 2022, the unmanned loaded barge ""YSAMARIE"", while under tow by the tug ""ETOILE SIRIUS"", was reported to have capsized and sunk in the Gulf of St. Lawrence off Gaspé, QC. ",0,QUEBEC (QC),Canadian TSB,0
50970,2023-05-29,,"On 29 May 2023, the fishing vessel ""SEA GAY"", with no one on board, was reported taking on water and being at risk of sinking at a wharf in Port Hardy, BC. The fuel and water were pumped out and the source of the ingress was investigated. ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50963,2023-05-21,,"On 21 May 2023, an unknown landing barge, with no one on board, was reported taking on water while secured at a wharf in Port Alberni, BC. Measures were taken by the harbour authorities to control a minor loss of pollutants.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50960,2023-05-24,,"On 24 May 2023, the tender of the fishing vessel ""OCEAN BILLOW II"", with no one on board, was reported sunken off Petty Harbour, NL by an aircraft. The fishing vessel ""CONCEPTION RUN"" and an aircraft positively identified the sunken vessel.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50943,2023-05-17,,"On 17 May 2023, the fishing vessel ""CRACK CORN"", with 5 people on board, reported taking on water in the engine room while proceeding in Louisbourg Harbour, NS. The vessel was assisted by a Canadian Coast Guard workboat to proceed to a wharf in Louisbourg, NS and solve the issue alongside.",0,NOVA SCOTIA (NS),Canadian TSB,0
50943,2023-05-17,,"On 17 May 2023, the fishing vessel ""CRACK CORN"", with 5 people on board, reported taking on water in the engine room while proceeding in Louisbourg Harbour, NS. The vessel was assisted by a Canadian Coast Guard workboat to proceed to a wharf in Louisbourg, NS and solve the issue alongside.",0,NOVA SCOTIA (NS),Canadian TSB,0
50909,2023-05-10,,"On 10 May 2023, the fishing vessel ""DAUPHIN III"", with 1 person on board, reported taking on water in the engine room while alongside in Rimouski, QC. The water was pumped out and repairs were effected.",0,QUEBEC (QC),Canadian TSB,0
50902,2023-05-11,,"On 11 May 2023, an unknown barge, towed by the fishing vessel ""SOUTHERLY SACRIFICE"", was reported taking on water and at risk of sinking in the Bay of Fundy off Westport, NS. The vessel disconnected from the barge and sank before the arrival of the Canadian Coast Guard Ship ""SAMBRO"".",0,NOVA SCOTIA (NS),Canadian TSB,0
50886,2023-05-09,,"On 09 May 2023, the fishing vessel ""OCEAN SURFER II"", with 5 people on board, reported being beset in heavy ice conditions off La Scie, NL. The disabled vessel was freed by the Canadian Coast Guard Ship ""ANN HARVEY"" and escorted to La Scie, NL. ",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50868,2023-05-01,,"On 01 May 2023, an unnamed recreational craft, with hull number ""BC8359554"" and 2 people on board, was reported capsized on the shore of Yeo Islands in Ballenas Channel, BC. The passengers were evacuated by a vessel of opportunity.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50852,2023-04-26,,"On 26 April 2023, the fishing vessel ""L'ECHO DES MERS I"", with 1 person on board and carrying 300 litres of fuel, took on water while being towed by the fishing vessel ""SIDEWINDER"" near Hermitage Bay, NL. The person on board abandoned directly onto the ""SIDEWINDER"". The ""L'ECHO DES MERS I"" sank near the surface. ",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50814,2023-04-13,,"On 13 April 2023, the unregistered landing craft known as ""MILLBANKE IV"", with no one on board, was reported as partially sunk while moored at Ladysmith Harbour, BC.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50811,2023-04-15,,"On 15 April 2023, the fishing vessel ""KIJU"", with 7 people onboard, reported that it was disabled due to issues with its propeller shaft and that it was taking on water.   The KIJU was towed to Shippagan, NB, by the fishing vessel ''J.A.D JASMINE''.  ",0,QUEBEC (QC),Canadian TSB,0
50806,2023-04-17,,"On 17 April 2023, the tug ""OMNI COASTAL"", with 4 people onboard, reported that it ran aground and was taking on water near East Headland Island in Lake Ontario, ON. The crew was removed from the vessel and salvage operations were carried out. ",0,ONTARIO (ON),Canadian TSB,0
50794,2023-04-12,,"On 12 April 2023, the fishing vessel ""RAZOR'S EDGE I"" with 3 persons onboard reported taking on water, the fishing vessels "" BIG G"" and ""ATLANTIC RENEGADE"" provided dewatering pumps and the vessel made it safely to LOCKEPORT, N.S.",0,NOVA SCOTIA (NS),Canadian TSB,0
50709,2023-02-25,,"On 25 February 2023, the tug ""NORTH ARM PROWLER"", while towing an unregistered barge, reported taking on water with a cracked hull and being at risk of sinking while proceeding in the Strait of Georgia, BC. The water was pumped out as the vessel proceeded to Powell River, BC to effect repairs.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50690,2023-02-16,,"On 16 February 2023, an unregistered workboat with no one on board was reported to have sunk in Fulford Harbour, BC. No pollution was observed at the time of the report.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50666,2023-02-04,,"On 04 February 2023, the fishing vessel ""COLE & MORGAN"", with 6 people on board, reported having sustained heavy freezing spray and icing conditions causing an ingress of water in the engine room off Guyon Island, NS. The vessel proceeded at slow speed to Louisbourg, NS and lost power near the wharf where it dropped anchor. A Canadian Coast Guard cutter assisted the vessel to reach the dock.",0,NOVA SCOTIA (NS),Canadian TSB,0
50666,2023-02-04,,"On 04 February 2023, the fishing vessel ""COLE & MORGAN"", with 6 people on board, reported having sustained heavy freezing spray and icing conditions causing an ingress of water in the engine room off Guyon Island, NS. The vessel proceeded at slow speed to Louisbourg, NS and lost power near the wharf where it dropped anchor. A Canadian Coast Guard cutter assisted the vessel to reach the dock.",0,NOVA SCOTIA (NS),Canadian TSB,0
50653,2023-01-30,,"On 30 January 2023, the fishing vessel ""MIDNIGHT BANDIT"", with 4 people on board, reported taking on water and being at risk of sinking while proceeding in The Gully, NS. The water was pumped out and the vessel was repaired at sea with the assistance of the fishing vessel ""MISS ANNETTE"". Once repaired, the vessel resumed its regular operations.",0,NOVA SCOTIA (NS),Canadian TSB,0
50650,2023-01-28,,"On 28 January 2023, an unknown crane barge, with 2 people on board and while being towed by the tug ""ISLAND MASTER"", was reported taking on water while alongside at the sailing club in Ganges Harbour, BC. The Canadian Coast Guard Ship ""CAPE NADEN"" assisted the vessel while the crew members found the leak and pumped the water out.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50624,2023-01-17,,"On 17 January 2023, the fishing vessel ""ROPO"", with no one on board, was reported to have sunk while moored in the harbour of Ahousat, BC. The vessel sank on 10 September 2022 while tied up to another fishing vessel which also sunk. ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50609,2023-01-06,,"On 06 January 2023, the fishing vessel ""DUBY C."", with no one on board, was reported as being at risk of sinking in Drew Harbour, BC. The owner attended the vessel and stabilized it. No water ingress was found.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50527,2022-12-12,,"On 12 December 2022, the fishing vessel ""KNOT FOR SHORE"", with 4 people on board, reported experiencing water ingress in its engine room in the Gulf of Maine off Yarmouth, NS. The crew effected repairs on the live well and resumed their fishing operations.",0,NOVA SCOTIA (NS),Canadian TSB,0
50484,2022-12-03,,"On 03 December 2022, the fishing vessel ""SEA SONS II"", with 1 person on board, reported having capsized while being towed by the fishing vessel ""CAPE DOG ENDEAVOR"" in Conception Bay off Cape St. Francis, NL. The crew member was evacuated from the vessel.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50464,2022-11-26,,"On 26 November 2022, the fishing vessel ""GEORGIA ADDISON"", with 5 people on board, reported experiencing water ingress off Glace Bay, NS. The vessel was towed to Sydney, NS by the Canadian Coast Guard Ship ""SPINDRIFT"".",0,NOVA SCOTIA (NS),Canadian TSB,0
50441,2022-11-17,,"On 17 November 2022, the tug ""F.W. WRIGHT"", with 3 people on board and while towing the barge ""EVCO NO. 3"", reported that the barge took on water and overturned in the Strait of Georgia off Gibsons, BC. The tug was able to continue towing the barge to English Bay, BC.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50421,2022-10-19,,"On 19 October 2022, the aquaculture vessel ""THE BABY"", with 3 people on board, reported having capsized in Georgetown Harbour, PE. All crew members were rescued by nearby aquaculture vessel ""MB2"".",0,PRINCE EDWARD ISLAND (PE),Canadian TSB,0
50387,2022-11-07,,"On 07 November 2022, the workboat ""COAST ISLE"", with 1 person on board, capsized when assisting the spud barges ""SALTAIR RIGGER"" AND ""ARROW PARK"" in Fraser River, BC. The workboat was removed from the environment with the assistance of divers.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50342,2022-10-24,,"On 24 October 2022, the fishing vessel ""JACOB LOUISA"", with 9 people on board, reported taking on water in Hamilton Bank off Cartwright, NL. The vessel proceeded under its own power to Charlottetown, NL.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50248,2022-09-28,,"On 28 September 2022, the fishing vessel ""OLD COW"" reported taking on water in Northumberland Strait off Pictou Island, NS. The fishing vessel ""CHASING SEAS"" and a Pictou Fisheries Patrol Vessel escorted the vessel to Caribou, NS.",0,NOVA SCOTIA (NS),Canadian TSB,0
50184,2022-09-12,,"On 12 September 2022, the Canadian Coast Guard Ship ""CAPTAIN MOLLY KOOL"" reported flooding and listing to port by 5 degrees due to unintentional flooding in the drydock in St. John's, NL.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50179,2022-09-06,,"On 06 September 2022, the fishing vessel ""SEA PRO"", with 3 people on board, reported taking on water in Northumberland Strait off Saint-Édouard-de-Kent, NB. The fishing vessel ""PURE COMFORT"" escorted the vessel to Richibucto, NB.",0,NEW BRUNSWICK (NB),Canadian TSB,0
50169,2022-09-10,,"On 10 September 2022, the passenger vessel ""ISLAND BAY"", with 7 people on board, reported sinking in Carpenter Bay near Moresby Island, BC, in heavy weather. While those on board were abandoning the vessel into the lifeboat, 2 passengers went overboard. They were immediately recovered. Minor pollution was reported. The vessel was subsequently recovered.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50156,2022-09-06,,"On 06 September 2022, the fishing vessel ""STRIKER"", with 1 person on board, reported taking on water and being at risk of sinking in Gabriola Passage off Gabriola Island, BC. The commercial towing vessel ""SILVA BAY"" towed the fishing vessel to a marina in Nanaimo, BC.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50155,2022-09-05,,"On 05 September 2022, the barge ""DELTA PRINCESS"" reported taking on water and being at risk of sinking in the middle arm of the Fraser River off Sea Island, BC. After an inspection, a hole was identified in the midship bottom hull section and temporary repairs were carried out.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50141,2022-08-29,,"On 29 August 2022, a recreational ski boat reported being at risk of sinking from the wake caused by the passing tugs ""SAAM VENTA"", ""SST SALISH"" and ""TRIDENT WARRIOR"" in Vancouver Harbour off Burnaby, BC. One of the 2 people on the ski boat suffered a minor injury.",0,BRITISH COLUMBIA (BC),Canadian TSB,1
50060,2022-08-03,,"On 03 August 2022, the Canadian Coast Guard service vessel ""PRIVATE ROBERTSON V.C."", with no one on board and while moored, reported taking on water and being at risk of sinking in Patricia Bay, BC. Repairs were effected to rectify the issues.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
50044,2022-08-08,,"On 08 August 2022, the fishing vessel ""GYPSY MARINER"", with 7 persons on board, reported taking on water approximately 60 nautical miles east of St. John's, NL. The crew abandoned the vessel before it sank and were rescued by the offshore supply vessel ""ATLANTIC GRIFFON"".",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
50021,2022-08-03,,"On 03 August 2022, the cargo barge ""CRT-001"" was reported to be sinking and having run aground in Hudson Bay off Inukjuak, QC. No pollution was reported.",0,QUEBEC (QC),Canadian TSB,0
50005,2022-07-30,,"On 30 July 2022, the fishing vessel ""P.E. 260"" reported being at a risk of sinking while at a local dock in Port Edward, BC. With the assistance from a Canadian Coast Guard Ship, the ""P.E. 260"" was stabilized. Minor pollution was reported. ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
49956,2022-06-15,,"On 15 June 2022, the workboat ""C29603BC"", known as ""TRUCKER II"" with 3 people on board, while attempting to tow a log took on water and sank in Gravesend Reach, Fraser River, BC. The 3 people on board were rescued from the water by another nearby workboat.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
49940,2022-07-14,,"On 14 July 2022, the unregistered aquaculture vessel, with 4 people on board, reported taking on water and capsized in Lewis Channel off Cortes Island, BC. The Canadian Coast Guard Inshore Rescue Boat ""509"" rescued the 4 people and the vessel was secured to shore.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
