facility_id,facility_name,country,region,water_depth_m,depth_band,host_type,concept_type,tree_type
452,Al Shaheen Location 5,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 6,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 7,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 8,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 9,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
784,Al Zaafarana FPSO,Egypt,Mediterranean & N Africa,60.0,0-150 m (shallow shelf),FPSO,fpso,wet
1467,Alba (EG) B2 Platform,Equatorial Guinea,West Africa,75.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1467,Alba (EG) B3 Compression Platform,Equatorial Guinea,West Africa,75.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
226,Alba Northern Platform,UK,North Sea & NW Europe,158.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
226,Alba Southern Platform,UK,North Sea & NW Europe,138.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
550,Albacora Platform,Peru,South America & Caribbean,,,Fixed Platform,fixed_jacket,dry
477,Alen Platform,Equatorial Guinea,West Africa,530.0,500-1500 m (deepwater),Fixed Platform,fixed_jacket,dry
305,Alima FPU,Congo,West Africa,1200.0,500-1500 m (deepwater),FPU/FPS,semisub_fps,wet
116,Allegheny SeaStar Mini-TLP,US,US Gulf of Mexico,1005.0,500-1500 m (deepwater),Mini-TLP,tlp,dry
492,Alma Fixed Platform,Canada,Atlantic Canada & Arctic,67.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
212,Alvheim FPSO,Norway,North Sea & NW Europe,130.0,0-150 m (shallow shelf),FPSO,fpso,wet
227,Alwyn North A Platform,UK,North Sea & NW Europe,126.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
227,Alwyn North B Platform,UK,North Sea & NW Europe,126.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
168,Amberjack Fixed Platform,US,US Gulf of Mexico,314.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
318,Amenam Kpono Production Platform (Phase I),Nigeria,West Africa,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
318,Amenam Kpono Production Platform (Phase II),Nigeria,West Africa,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
783,Amethyst Platforms,UK,North Sea & NW Europe,30.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1791,Amstel Platform,Netherlands,North Sea & NW Europe,19.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1269,Anasuria FPSO,UK,North Sea & NW Europe,,,FPSO,fpso,wet
1367,Ande Ande Lumut FPSO,Indonesia,Asia-Pacific,80.0,0-150 m (shallow shelf),FPSO,fpso,wet
1367,Ande Ande Lumut Wellhead Platform,Indonesia,Asia-Pacific,80.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
786,Andrew Platform,UK,North Sea & NW Europe,117.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1730,Anggerik WHP,Malaysia,Asia-Pacific,,,Fixed Platform,fixed_jacket,dry
868,Anglia Fixed Platform,UK,North Sea & NW Europe,26.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1144,Annamaria A Platform,Croatia,Mediterranean & N Africa,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1144,Annamaria B Platform,Croatia,Mediterranean & N Africa,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1368,Anoa Gas Compression Platform,Indonesia,Asia-Pacific,77.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1368,Anoa Gas Export Platform,Indonesia,Asia-Pacific,77.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1368,Anoa Natuna FPSO,Indonesia,Asia-Pacific,77.0,0-150 m (shallow shelf),FPSO,fpso,wet
238,Aoka Mizu FPSO,UK,North Sea & NW Europe,110.0,0-150 m (shallow shelf),FPSO,fpso,wet
398,Appaloosa Subsea,US,US Gulf of Mexico,853.0,500-1500 m (deepwater),Subsea Tieback,subsea_tieback,wet
1402,Arbroath Platform,UK,North Sea & NW Europe,93.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
270,Aries Platform,Argentina,South America & Caribbean,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
393,Arkutun-Dagi GBS,Russian Federation,Caspian & Russia,,,Fixed Platform,fixed_jacket,dry
911,Armada Clair FPSO,Australia,Asia-Pacific,137.0,0-150 m (shallow shelf),FPSO,fpso,wet
488,Armada Perdana FPSO,Nigeria,West Africa,350.0,150-500 m (deep shelf),FPSO,fpso,wet
771,Armada Platform,UK,North Sea & NW Europe,88.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1520,Armada TGT 1 FPSO,Viet nam,Asia-Pacific,45.0,0-150 m (shallow shelf),FPSO,fpso,wet
288,Arthit CPU,Thailand,Asia-Pacific,80.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
477,Aseng FPSO,Equatorial Guinea,West Africa,945.0,500-1500 m (deepwater),FPSO,fpso,wet
357,Asgard A FPSO,Norway,North Sea & NW Europe,300.0,150-500 m (deep shelf),FPSO,fpso,wet
357,Asgard B Semisubmersible,Norway,North Sea & NW Europe,310.0,150-500 m (deep shelf),Semisub,semisub_fps,wet
358,Asgard C FSO,Norway,North Sea & NW Europe,300.0,150-500 m (deep shelf),FSO/FSU,,other
357,Asgard Subsea Compression,Norway,North Sea & NW Europe,300.0,150-500 m (deep shelf),Subsea Tieback,subsea_tieback,wet
1455,Ashtart Platform,Tunisia,Mediterranean & N Africa,66.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
144,Atlantis Semisub,US,US Gulf of Mexico,2160.0,1500-3000 m (ultra-deepwater),Semisub,semisub_fps,wet
971,Audrey,UK,North Sea & NW Europe,24.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
139,Auger TLP,US,US Gulf of Mexico,872.0,500-1500 m (deepwater),TLP,tlp,dry
908,Auk A Platform,UK,North Sea & NW Europe,84.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
348,Autonomous Re-Pumping Platform (PRA-1),Brazil,South America & Caribbean,106.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
767,Avouma Fixed Platform,Gabon,West Africa,137.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
622,Awawa Wellhead Platform,Nigeria,West Africa,95.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
501,Ayatsil B Platform,Mexico,South America & Caribbean,125.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
560,Ayazli Platform,Turkey,Mediterranean & N Africa,76.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
370,Azurite FDPSO,"Congo, The Demo. Rep. of the",West Africa,,,FPSO,fpso,wet
551,Babbage Fixed Platform,UK,North Sea & NW Europe,42.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1242,Balai Wellhead Platform,Malaysia,Asia-Pacific,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1142,Balder FPU,Norway,North Sea & NW Europe,125.0,0-150 m (shallow shelf),FPU/FPS,semisub_fps,wet
131,Baldpate Compliant Tower,US,US Gulf of Mexico,502.0,500-1500 m (deepwater),Compliant Tower,compliant_tower,dry
778,Balmoral FPS,UK,North Sea & NW Europe,150.0,150-500 m (deep shelf),FPU/FPS,semisub_fps,wet
1369,Banyu Urip Central Processing Complex,Indonesia,Asia-Pacific,,,Fixed Platform,fixed_jacket,dry
1369,Banyu Urip FSO,Indonesia,Asia-Pacific,,,FSO/FSU,,other
519,Barboni Production Platform,Egypt,Mediterranean & N Africa,350.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
766,Bardolino Subsea,UK,North Sea & NW Europe,92.0,0-150 m (shallow shelf),Subsea Tieback,subsea_tieback,wet
272,Barracuda FPSO P-43,Brazil,South America & Caribbean,1100.0,500-1500 m (deepwater),FPSO,fpso,wet
669,Barzan WHP-1,Qatar,Middle East,,,Fixed Platform,fixed_jacket,dry
669,Barzan WHP-2,Qatar,Middle East,,,Fixed Platform,fixed_jacket,dry
669,Barzan WHP-3,Qatar,Middle East,,,Fixed Platform,fixed_jacket,dry
665,Bayu-Undan Complex,Australia,Asia-Pacific,80.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
665,Bayu-Undan FSO,Australia,Asia-Pacific,80.0,0-150 m (shallow shelf),FSO/FSU,,other
665,Bayu-Undan Wellhead Platform,Australia,Asia-Pacific,80.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
323,Beatrice Alpha Platform,UK,North Sea & NW Europe,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
323,Beatrice Bravo Platform,UK,North Sea & NW Europe,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
530,Belayim Platforms,Egypt,Mediterranean & N Africa,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1210,Benguela-Belize Lobito-Tomboco Compliant Tower,Angola,West Africa,396.0,150-500 m (deep shelf),Compliant Tower,compliant_tower,dry
1242,Bentara Wellhead Platform,Malaysia,Asia-Pacific,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
719,Bentley FSO,UK,North Sea & NW Europe,113.0,0-150 m (shallow shelf),FSO/FSU,,other
719,Bentley Platform,UK,North Sea & NW Europe,113.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1730,Bergarding CPP,Malaysia,Asia-Pacific,,,Fixed Platform,fixed_jacket,dry
1039,Bertam FPSO,Malaysia,Asia-Pacific,76.0,0-150 m (shallow shelf),FPSO,fpso,wet
1039,Bertam WHP,Malaysia,Asia-Pacific,76.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
343,Big Foot TLP,US,US Gulf of Mexico,1615.0,1500-3000 m (ultra-deepwater),Mini-TLP,tlp,dry
445,Blacktip Wellhead Platform,Australia,Asia-Pacific,50.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
319,Bleo Holm FPSO,UK,North Sea & NW Europe,105.0,0-150 m (shallow shelf),FPSO,fpso,wet
119,Blind Faith Semisub,US,US Gulf of Mexico,1981.0,1500-3000 m (ultra-deepwater),Semisub,semisub_fps,wet
336,Bohai Ming Zhu FPSO,China,Asia-Pacific,31.0,0-150 m (shallow shelf),FPSO,fpso,wet
417,Bohai Shi Ji FPSO,China,Asia-Pacific,20.0,0-150 m (shallow shelf),FPSO,fpso,wet
1080,Bonaparte FLNG,Australia,Asia-Pacific,,,FLNG,flng,wet
250,Bonga FPSO,Nigeria,West Africa,1030.0,500-1500 m (deepwater),FPSO,fpso,wet
118,Boomvang Spar Platform,US,US Gulf of Mexico,1052.0,500-1500 m (deepwater),SPAR,spar,dry
1143,Brae Alpha,UK,North Sea & NW Europe,112.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
479,Brage Fixed Platform,Norway,North Sea & NW Europe,140.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
520,Breagh Alpha Platform,UK,North Sea & NW Europe,59.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1579,Bressay FSU,UK,North Sea & NW Europe,102.0,0-150 m (shallow shelf),FSO/FSU,,other
1579,Bressay PDQ,UK,North Sea & NW Europe,102.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
322,Brigantine BG Fixed Platform,UK,North Sea & NW Europe,29.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
322,Brigantine BR Fixed Platform,UK,North Sea & NW Europe,,,Fixed Platform,fixed_jacket,dry
1605,BritSats BLP,UK,North Sea & NW Europe,148.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
943,Browse FLNG Facility,Australia,Asia-Pacific,,,FLNG,flng,wet
1452,Bruce CR,UK,North Sea & NW Europe,121.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1452,Bruce D,UK,North Sea & NW Europe,121.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1452,Bruce PUQ,UK,North Sea & NW Europe,121.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
140,Brutus TLP,US,US Gulf of Mexico,1036.0,500-1500 m (deepwater),TLP,tlp,dry
332,Bua Ban FSO,Thailand,Asia-Pacific,30.0,0-150 m (shallow shelf),FSO/FSU,,other
332,Bua Ban Platform,Thailand,Asia-Pacific,30.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
363,Bualuang Alpha,Thailand,Asia-Pacific,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
363,Bualuang Bravo,Thailand,Asia-Pacific,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
363,Bualuang Charlie,Thailand,Asia-Pacific,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
363,Bualuang FSO,Thailand,Asia-Pacific,60.0,0-150 m (shallow shelf),FSO/FSU,,other
175,Bud Lite Platform,US,US Gulf of Mexico,84.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
175,Bud Production Platform,US,US Gulf of Mexico,84.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
380,Bukha Platform,Oman,Middle East,90.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1736,Bukit Tua FPSO,Indonesia,Asia-Pacific,60.0,0-150 m (shallow shelf),FPSO,fpso,wet
136,Bullwinkle Fixed Platform,US,US Gulf of Mexico,412.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
1860,Bunga Kertas FPSO,Malaysia,Asia-Pacific,61.0,0-150 m (shallow shelf),FPSO,fpso,wet
778,Burghley Subsea,UK,North Sea & NW Europe,,,Subsea Tieback,subsea_tieback,wet
237,Buzzard Platform,UK,North Sea & NW Europe,100.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
651,BW Athena FPSO,UK,North Sea & NW Europe,134.0,0-150 m (shallow shelf),FPSO,fpso,wet
1194,BW Joko Tole FPSO,Indonesia,Asia-Pacific,300.0,150-500 m (deep shelf),FPSO,fpso,wet
124,BW Pioneer FPSO,US,US Gulf of Mexico,2690.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
1258,CA Litoral-A Compression,Mexico,South America & Caribbean,26.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
369,Ca Ngu Vang Wellhead Platform,Viet nam,Asia-Pacific,56.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
628,Cadlao FPSO,Philippines,Asia-Pacific,20.0,0-150 m (shallow shelf),FPSO,fpso,wet
1545,Caister,UK,North Sea & NW Europe,41.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1246,Cakerawala Complex,Thailand,Asia-Pacific,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
535,Cantarell Complex,Mexico,South America & Caribbean,35.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
115,Canyon Express Subsea,US,US Gulf of Mexico,2195.0,1500-3000 m (ultra-deepwater),Subsea Tieback,subsea_tieback,wet
115,Canyon Station Production Platform,US,US Gulf of Mexico,2346.0,1500-3000 m (ultra-deepwater),Fixed Platform,fixed_jacket,dry
243,Captain FPSO,UK,North Sea & NW Europe,106.0,0-150 m (shallow shelf),FPSO,fpso,wet
272,Caratinga FPSO P-48,Brazil,South America & Caribbean,1350.0,500-1500 m (deepwater),FPSO,fpso,wet
270,Carina Platform,Argentina,South America & Caribbean,80.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1118,Casablanca Production,Spain,Mediterranean & N Africa,161.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
1199,Cash-Maple FLNG,Australia,Asia-Pacific,,,FLNG,flng,wet
554,Casino Subsea,Australia,Asia-Pacific,56.0,0-150 m (shallow shelf),Subsea Tieback,subsea_tieback,wet
646,Catcher FPSO,UK,North Sea & NW Europe,90.0,0-150 m (shallow shelf),FPSO,fpso,wet
561,Cecilie Wellhead Platform,Denmark,North Sea & NW Europe,60.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1509,Cendor FSO,Malaysia,Asia-Pacific,72.0,0-150 m (shallow shelf),FSO/FSU,,other
1509,Cendor Producer MOPU,Malaysia,Asia-Pacific,,,MOPU,,other
273,Central Azeri Compression and Water Injection Platform,Azerbaijan,Caspian & Russia,120.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
273,Central Azeri Platform,Azerbaijan,Caspian & Russia,120.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
464,Central Processing Platform,Trin. & Tobago,South America & Caribbean,50.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1105,Ceres Subsea Tieback,UK,North Sea & NW Europe,32.0,0-150 m (shallow shelf),Subsea Tieback,subsea_tieback,wet
1128,Cheviot Octabuoy Platform,UK,North Sea & NW Europe,152.0,150-500 m (deep shelf),Semisub,semisub_fps,wet
383,Chim Sao Platform 1,Viet nam,Asia-Pacific,115.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
383,Chim Sao Platform 2,Viet nam,Asia-Pacific,115.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
258,Chinguetti - Berge Helene FPSO,Mauritania,West Africa,800.0,500-1500 m (deepwater),FPSO,fpso,wet
273,Chirag-1 Platform,Azerbaijan,Caspian & Russia,120.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
274,Cidade de Angra dos Reis FPSO,Brazil,South America & Caribbean,2150.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
536,Cidade de Ilhabela FPSO,Brazil,South America & Caribbean,2140.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
1478,Cidade de Itajai FPSO,Brazil,South America & Caribbean,275.0,150-500 m (deep shelf),FPSO,fpso,wet
703,Cidade de Macae FSO,Brazil,South America & Caribbean,,,FSO/FSU,,other
703,Cidade de Niteroi MV18 FPSO,Brazil,South America & Caribbean,1500.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
274,Cidade de Paraty FPSO,Brazil,South America & Caribbean,2120.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
729,Cidade de Rio das Ostras FPSO,Brazil,South America & Caribbean,977.0,500-1500 m (deepwater),FPSO,fpso,wet
352,Cidade de Sao Mateus FPSO,Brazil,South America & Caribbean,763.0,500-1500 m (deepwater),FPSO,fpso,wet
536,Cidade de Sao Paulo FPSO,Brazil,South America & Caribbean,2141.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
274,Cidade de Sao Vicente FPSO,Brazil,South America & Caribbean,2170.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
364,Cidade de Vitoria FPSO,Brazil,South America & Caribbean,1400.0,500-1500 m (deepwater),FPSO,fpso,wet
282,Cidade do Rio de Janeiro FPSO,Brazil,South America & Caribbean,,,FPSO,fpso,wet
242,Clair Platform,UK,North Sea & NW Europe,140.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
242,Clair Ridge Drilling Platform,UK,North Sea & NW Europe,140.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
242,Clair Ridge PUQ,UK,North Sea & NW Europe,140.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1700,Claymore Platform,UK,North Sea & NW Europe,111.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
797,Cliff Head Platform,Australia,Asia-Pacific,,,Fixed Platform,fixed_jacket,dry
404,Clipper South Platform,UK,North Sea & NW Europe,24.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
354,Clipper Subsea Tie-Back,US,US Gulf of Mexico,1055.0,500-1500 m (deepwater),Subsea Tieback,subsea_tieback,wet
324,CLOV FPSO,Angola,West Africa,,,FPSO,fpso,wet
552,Cluster-7 FPSO,India,Asia-Pacific,85.0,0-150 m (shallow shelf),FPSO,fpso,wet
1095,Clyde,UK,North Sea & NW Europe,79.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
137,Cognac Fixed Platform,US,US Gulf of Mexico,312.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
150,Constitution Truss Spar,US,US Gulf of Mexico,1554.0,1500-3000 m (ultra-deepwater),SPAR,spar,dry
1108,Conwy Platform,UK,North Sea & NW Europe,,,Fixed Platform,fixed_jacket,dry
227,Cormorant Alpha Platform,UK,North Sea & NW Europe,126.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
579,Corral Platform (Formerly Crystal),US,US Gulf of Mexico,619.0,500-1500 m (deepwater),Fixed Platform,fixed_jacket,dry
327,Corrib Subsea,Ireland,North Sea & NW Europe,,,Subsea Tieback,subsea_tieback,wet
695,Crawford Subsea Tieback,UK,North Sea & NW Europe,117.0,0-150 m (shallow shelf),Subsea Tieback,subsea_tieback,wet
1704,Cuulong Thai Binh FPSO,Viet nam,Asia-Pacific,48.0,0-150 m (shallow shelf),FPSO,fpso,wet
447,CX-11 Platform,Peru,South America & Caribbean,61.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
447,CX-15 Platform,Peru,South America & Caribbean,61.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
514,Cygnus Complex,UK,North Sea & NW Europe,23.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1591,D15a-A Platform,Netherlands,North Sea & NW Europe,42.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1689,D18 Platform,Malaysia,Asia-Pacific,31.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1591,D18a-A Platform,Netherlands,North Sea & NW Europe,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
446,Dai Hung Fixed Wellhead Platform,Viet nam,Asia-Pacific,110.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
446,Dai Hung FPU,Viet nam,Asia-Pacific,110.0,0-150 m (shallow shelf),FPU/FPS,semisub_fps,wet
248,Dalia FPSO,Angola,West Africa,1500.0,1500-3000 m (ultra-deepwater),FPSO,fpso,wet
1799,Damar A Platform,Malaysia,Asia-Pacific,55.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
321,Dampier Spirit FSO,Australia,Asia-Pacific,49.0,0-150 m (shallow shelf),FSO/FSU,,other
1341,Dan Center,Denmark,North Sea & NW Europe,40.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1117,De Ruyter GBS,Netherlands,North Sea & NW Europe,35.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
279,Deep Panuke PFC,Canada,Atlantic Canada & Arctic,,,MOPU,,other
1253,Delta House FPU,US,US Gulf of Mexico,1371.0,500-1500 m (deepwater),FPU/FPS,semisub_fps,wet
152,Devils Tower SPAR Platform,US,US Gulf of Mexico,1710.0,1500-3000 m (ultra-deepwater),SPAR,spar,dry
1263,Dhirubhai-1 FPSO,India,Asia-Pacific,1200.0,500-1500 m (deepwater),FPSO,fpso,wet
453,Didon Fixed Platform,Tunisia,Mediterranean & N Africa,75.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
453,Didon FSO,Tunisia,Mediterranean & N Africa,75.0,0-150 m (shallow shelf),FSO/FSU,,other
612,DOL-1 Platform,Qatar,Middle East,,,Fixed Platform,fixed_jacket,dry
612,DOL-2 Platform,Qatar,Middle East,,,Fixed Platform,fixed_jacket,dry
559,Dolphin Deep SS Tieback,Trin. & Tobago,South America & Caribbean,198.0,150-500 m (deep shelf),Subsea Tieback,subsea_tieback,wet
559,Dolphin Platform,Trin. & Tobago,South America & Caribbean,198.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
1108,Douglas Platform,UK,North Sea & NW Europe,33.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1460,DP3 Platform,Libya,Mediterranean & N Africa,160.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
1460,DP4 Platform,Libya,Mediterranean & N Africa,160.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
799,Draugen,Norway,North Sea & NW Europe,250.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
136,Droshky Subsea,US,US Gulf of Mexico,884.0,500-1500 m (deepwater),Subsea Tieback,subsea_tieback,wet
383,Dua Subsea Tieback,Viet nam,Asia-Pacific,,,Subsea Tieback,subsea_tieback,wet
1444,Dulang Platforms,Malaysia,Asia-Pacific,76.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
227,Dunbar Platform,UK,North Sea & NW Europe,145.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1149,Dunlin Alpha Platform,UK,North Sea & NW Europe,152.0,150-500 m (deep shelf),Fixed Platform,fixed_jacket,dry
1326,Dzheitune Lam A Platform,Turkmenistan,Caspian & Russia,8.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
1326,Dzheitune Lam B Platform,Turkmenistan,Caspian & Russia,8.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
