Plan Control Code,Plan Control Number,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block,Operator Name,Operator Number,Plan Type Code,Received Date,Plan Final Action Code,Plan Final Action Date,NEPA Determination Type,Water Depth (feet),Plan
S,8003,00378,MP,   58, 00378,MP,   58,"Cantium, LLC",03481,DOCD,2/21/2020,,,,48,
R,6955,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,EP,2/19/2020,,,SEAD,6744,
R,6955,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,EP,2/19/2020,,,SEAD,6689,
R,6955,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,EP,2/19/2020,,,SEAD,6742,
R,6955,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,EP,2/19/2020,,,SEAD,6746,
R,6955,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,EP,2/19/2020,,,SEAD,6692,
R,6955,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,EP,2/19/2020,,,SEAD,6747,
N,10107,G34777,AC,  735,G34777,AC,  735,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,8136,
S,8002,G07975,MC,  934,G07975,MC,  934,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,3623,
S,8002,G07975,MC,  934,G07975,MC,  934,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,3688,
N,10107,G34771,AC,  691,G34771,AC,  691,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,7905,
N,10107,G34771,AC,  691,G34771,AC,  691,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,6635,
N,10107,G34776,AC,  734,G34776,AC,  734,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,8586,
R,6954,,,,G08241,GB,  426,Shell Offshore Inc.,00689,DOCD,2/18/2020,,,CERA,2862,
N,10107,G34771,AC,  691,G34770,AC,  690,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,7905,
N,10107,G34771,AC,  691,G34771,AC,  691,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,6805,
N,10107,G34777,AC,  735,G34776,AC,  734,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,8586,
S,8002,G07975,MC,  934,G07975,MC,  934,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,3622,
N,10107,G34771,AC,  691,G34777,AC,  735,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,8136,
S,8002,G07969,MC,  890,G07969,MC,  890,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,3833,
N,10107,G34770,AC,  690,G34770,AC,  690,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,7905,
N,10107,G36105,AC,  647,G36105,AC,  647,Shell Offshore Inc.,00689,EP,2/18/2020,,,SEAD,6364,
S,8001,G01194,SM,   58,G01194,SM,   58,Byron Energy Inc.,02961,DOCD,2/14/2020,,,,131,
S,8001,,,,G01194,SM,   58,Byron Energy Inc.,02961,DOCD,2/14/2020,,,,131,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,39,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,41,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,42,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,50,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,59,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,35,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,39,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,53,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,40,
S,8000,G24133,MC,  992,G28030,MC,  948,Fieldwood Energy LLC,03295,DOCD,2/13/2020,,,,6088,
N,10106,G35244,SS,  336,G35244,SS,  336,"GulfSlope Energy, Inc.",03310,EP,2/13/2020,,,,305,
R,6951,00374,MP,   41, 00373,MP,   40,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,54,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,35,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,46,
R,6951,00377,MP,   57, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,40,
R,6951,G04125,MP,   37, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,45,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,51,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,53,
R,6951,,,, 00375,MP,   42,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,51,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,49,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,51,
R,6951,00374,MP,   41, 00375,MP,   42,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,40,
R,6951,00378,MP,   58, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,44,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,50,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,39,
R,6950,G36162,GC,  612,G36162,GC,  612,"EnVen Energy Ventures, LLC",03026,EP,2/13/2020,,,CERA,4191,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,44,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,41,
R,6951,,,, 00373,MP,   40,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,53,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,42,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,44,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,47,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,37,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,40,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,47,
R,6951,00375,MP,   42, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,39,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,46,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,40,
R,6951,,,, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,43,
R,6950,G36162,GC,  612,G36162,GC,  612,"EnVen Energy Ventures, LLC",03026,EP,2/13/2020,,,CERA,4190,
R,6951,00373,MP,   40, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,50,
R,6951,00373,MP,   40, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,55,
R,6951,00374,MP,   41, 00373,MP,   40,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,55,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,43,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,45,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,44,
R,6950,G36162,GC,  612,G36162,GC,  612,"EnVen Energy Ventures, LLC",03026,EP,2/13/2020,,,CERA,4192,
R,6951,00373,MP,   40, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,51,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,38,
R,6951,00374,MP,   41, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,48,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,45,
R,6951,G01373,BS,   56, 00374,MP,   41,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,48,
R,6951,G01373,BS,   56,G01367,MP,   42,"Cantium, LLC",03481,DOCD,2/13/2020,,,CERA,45,
R,6952,G21801,GC,  518,G21801,GC,  518,Anadarko Petroleum Corporation,00981,DOCD,2/12/2020,A,2/28/2020,CERA,4049,
R,6952,G21801,GC,  518,G21801,GC,  518,Anadarko Petroleum Corporation,00981,DOCD,2/12/2020,A,2/28/2020,CERA,4047,
R,6949,G21817,GC,  768,G21817,GC,  768,Anadarko Petroleum Corporation,00981,DOCD,2/12/2020,A,2/21/2020,CERA,5255,
S,7999,G32954,AC,  380,G32954,AC,  380,Shell Offshore Inc.,00689,EP,2/5/2020,,,SEAD,5134,
S,7999,G32954,AC,  380,G32954,AC,  380,Shell Offshore Inc.,00689,EP,2/5/2020,,,SEAD,5307,
S,7999,G32964,AC,  424,G32964,AC,  424,Shell Offshore Inc.,00689,EP,2/5/2020,,,SEAD,6737,
S,7999,G32954,AC,  380,G32954,AC,  380,Shell Offshore Inc.,00689,EP,2/5/2020,,,SEAD,5211,
S,7998,G09868,MC,  778,G09868,MC,  778,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5625,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6312,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6258,
S,7998,G09867,MC,  777,G09867,MC,  777,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5610,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6311,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6352,
S,7998,G09866,MC,  776,G09866,MC,  776,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5638,
S,7998,G09866,MC,  776,G09866,MC,  776,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5724,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6268,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6347,
S,7998,G14658,MC,  822,G09868,MC,  778,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6033,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6310,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6351,
S,7998,G09867,MC,  777,G09867,MC,  777,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5614,
S,7998,G09866,MC,  776,G09866,MC,  776,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5739,
S,7998,G09867,MC,  777,G09867,MC,  777,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,5613,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6309,
S,7998,G14658,MC,  822,G14658,MC,  822,BP Exploration & Production Inc.,02481,DOCD,2/3/2020,,,SEAD,6348,
S,7997,G32504,GC,  432,G32504,GC,  432,Murphy Exploration & Production Company - USA,02647,EP,1/30/2020,,,SEAD,3445,
S,7997,G32504,GC,  432,G32504,GC,  432,Murphy Exploration & Production Company - USA,02647,EP,1/30/2020,,,SEAD,3441,
S,7997,G32504,GC,  432,G32504,GC,  432,Murphy Exploration & Production Company - USA,02647,EP,1/30/2020,,,SEAD,3444,
S,7997,G32504,GC,  432,G32504,GC,  432,Murphy Exploration & Production Company - USA,02647,EP,1/30/2020,,,SEAD,3446,
S,7997,G32504,GC,  432,G32504,GC,  432,Murphy Exploration & Production Company - USA,02647,EP,1/30/2020,,,SEAD,3443,
N,10105,G36520,MP,  295,G36520,MP,  295,"Werrus AquaMarine, LLC",03592,EP,1/29/2020,,,CERA,219,
R,6946,,,,G02111,EI,  314,"Arena Offshore, LP",02628,DOCD,1/29/2020,,,,235,
R,6947,G04452,EI,  182,G04452,EI,  182,"Arena Offshore, LP",02628,DOCD,1/29/2020,,,CERA,88,
R,6947,,,,G04452,EI,  182,"Arena Offshore, LP",02628,DOCD,1/29/2020,,,CERA,88,
R,6945,,,,G34266,SM,   71,Byron Energy Inc.,02961,DOCD,1/28/2020,,,CERA,137,
R,6945,G34266,SM,   71,G34266,SM,   71,Byron Energy Inc.,02961,DOCD,1/28/2020,,,CERA,137,
R,6943,,,, 00019,ST,   54,"Cox Operating, L.L.C.",03151,DOCD,1/23/2020,,,CERA,65,
S,7996,G26254,MC,  393,G26254,MC,  393,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7404,
S,7996,G26252,MC,  391,G26252,MC,  391,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7378,
S,7996,G26252,MC,  391,G26252,MC,  391,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7158,
S,7996,G26253,MC,  392,G26253,MC,  392,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7200,
S,7996,G26253,MC,  392,G26253,MC,  392,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7255,
S,7996,G26253,MC,  392,G26253,MC,  392,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7272,
S,7996,G26252,MC,  391,G26252,MC,  391,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7287,
S,7996,G26253,MC,  392,G26252,MC,  391,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7287,
S,7996,G26253,MC,  392,G26252,MC,  391,Shell Offshore Inc.,00689,EP,1/22/2020,,,SEAD,7166,
S,7995,,,,G22762,ST,  316,"W & T Offshore, Inc.",01284,DOCD,1/17/2020,,,CERA,447,
N,10104,G36624,GC,   35,G36624,GC,   35,BOE Exploration & Production LLC,03572,EP,1/17/2020,A,3/6/2020,SEAD,1885,
N,10104,G36624,GC,   35,G36624,GC,   35,BOE Exploration & Production LLC,03572,EP,1/17/2020,A,3/6/2020,SEAD,1848,
N,10104,G36624,GC,   35,G36624,GC,   35,BOE Exploration & Production LLC,03572,EP,1/17/2020,A,3/6/2020,SEAD,1948,
S,7995,G22762,ST,  316,G22762,ST,  316,"W & T Offshore, Inc.",01284,DOCD,1/17/2020,,,CERA,453,
S,7995,G22762,ST,  316,G22762,ST,  316,"W & T Offshore, Inc.",01284,DOCD,1/17/2020,,,CERA,463,
S,7994,G17571,AC,  901,G17565,AC,  857,Shell Offshore Inc.,00689,DOCD,1/15/2020,,,CERA,8168,
S,7994,G17565,AC,  857,G17565,AC,  857,Shell Offshore Inc.,00689,DOCD,1/15/2020,,,CERA,8399,
S,7994,G17565,AC,  857,G17565,AC,  857,Shell Offshore Inc.,00689,DOCD,1/15/2020,,,CERA,8027,
S,7994,G17565,AC,  857,G17565,AC,  857,Shell Offshore Inc.,00689,DOCD,1/15/2020,,,CERA,8158,
S,7994,G17565,AC,  857,G17565,AC,  857,Shell Offshore Inc.,00689,DOCD,1/15/2020,,,CERA,8168,
N,10101,G35385,GC,   21,G35385,GC,   21,Talos Energy Offshore LLC,03247,DOCD,1/8/2020,,,CERA,1341,
N,10101,,,,G04940,GC,   18,Talos Energy Offshore LLC,03247,DOCD,1/8/2020,,,CERA,750,
N,10100,G34904,MC,  634,G34904,MC,  634,"LLOG Exploration Offshore, L.L.C.",02058,EP,1/7/2020,,,SEAD,3070,
N,10100,G34904,MC,  634,G34904,MC,  634,"LLOG Exploration Offshore, L.L.C.",02058,EP,1/7/2020,,,SEAD,3068,
N,10100,G34904,MC,  634,G34904,MC,  634,"LLOG Exploration Offshore, L.L.C.",02058,EP,1/7/2020,,,SEAD,3201,
N,10100,G34904,MC,  634,G34904,MC,  634,"LLOG Exploration Offshore, L.L.C.",02058,EP,1/7/2020,,,SEAD,3202,
S,7993,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,DOCD,1/6/2020,,,CERA,6623,
S,7993,G09821,MC,  520,G09821,MC,  520,BP Exploration & Production Inc.,02481,DOCD,1/6/2020,,,CERA,6622,
N,10099,G33946,KC,  920,G33946,KC,  920,"Kosmos Energy Gulf of Mexico Operations, LLC",03362,EP,1/3/2020,,,,7395,
N,10099,G36694,KC,  964,G33946,KC,  920,"Kosmos Energy Gulf of Mexico Operations, LLC",03362,EP,1/3/2020,,,,7395,
N,10099,G36694,KC,  964,G36694,KC,  964,"Kosmos Energy Gulf of Mexico Operations, LLC",03362,EP,1/3/2020,,,,7437,
N,10099,G36694,KC,  964,G36694,KC,  964,"Kosmos Energy Gulf of Mexico Operations, LLC",03362,EP,1/3/2020,,,,7555,
N,10098,G36558,MC,  801,G36558,MC,  801,Equinor Gulf of Mexico LLC,02748,EP,12/26/2019,,,SEAD,3313,
N,10098,G36558,MC,  801,G36558,MC,  801,Equinor Gulf of Mexico LLC,02748,EP,12/26/2019,,,SEAD,3326,
S,7992,G06893,VK,  912,G06893,VK,  912,Talos Petroleum LLC,01834,DOCD,12/26/2019,,,,2355,
N,10098,G36558,MC,  801,G36558,MC,  801,Equinor Gulf of Mexico LLC,02748,EP,12/26/2019,,,SEAD,3276,
N,10098,G36558,MC,  801,G36558,MC,  801,Equinor Gulf of Mexico LLC,02748,EP,12/26/2019,,,SEAD,3341,
S,7992,G06893,VK,  912,G06893,VK,  912,Talos Petroleum LLC,01834,DOCD,12/26/2019,,,,2458,
S,7992,G06893,VK,  912,G06893,VK,  912,Talos Petroleum LLC,01834,DOCD,12/26/2019,,,,2480,
S,7992,G06893,VK,  912,G06893,VK,  912,Talos Petroleum LLC,01834,DOCD,12/26/2019,,,,2358,
S,7992,G06892,VK,  911,G06893,VK,  912,Talos Petroleum LLC,01834,DOCD,12/26/2019,,,,2480,
S,7992,G06893,VK,  912,G06893,VK,  912,Talos Petroleum LLC,01834,DOCD,12/26/2019,,,,2561,
N,10097,G01623,MP,   38,G01623,MP,   38,"Cantium, LLC",03481,EP,12/23/2019,C,2/14/2020,CERA,58,
S,7991,G18169,EW,  878,G18169,EW,  878,Walter Oil & Gas Corporation,00730,DOCD,12/18/2019,,,SEAD,1595,
S,7991,G18169,EW,  878,G18169,EW,  878,Walter Oil & Gas Corporation,00730,DOCD,12/18/2019,,,SEAD,1546,
R,6941,G26252,MC,  391,G26252,MC,  391,Shell Offshore Inc.,00689,EP,12/18/2019,A,2/21/2020,CERA,7287,
S,7990,,,,G06093,GA,  209,"Arena Offshore, LP",02628,DOCD,12/17/2019,A,3/3/2020,CERA,58,
R,6940,G35313,MC,   82,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4267,
R,6940,G18194,MC,  126,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4516,
R,6940,G35313,MC,   82,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4549,
S,7990,G03237,HI,  193,G06093,GA,  209,"Arena Offshore, LP",02628,DOCD,12/17/2019,A,3/3/2020,CERA,57,
R,6940,G35313,MC,   82,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4515,
R,6940,G18194,MC,  126,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4300,
N,10096,G35352,DC,  177,G35352,DC,  177,"Kosmos Energy Gulf of Mexico Operations, LLC",03362,EP,12/17/2019,C,2/28/2020,SEAD,6795,
S,7990,G03229,GA,  192,G06093,GA,  209,"Arena Offshore, LP",02628,DOCD,12/17/2019,A,3/3/2020,CERA,57,
S,7990,G06093,GA,  209,G06093,GA,  209,"Arena Offshore, LP",02628,DOCD,12/17/2019,A,3/3/2020,CERA,57,
N,10096,G35352,DC,  177,G35352,DC,  177,"Kosmos Energy Gulf of Mexico Operations, LLC",03362,EP,12/17/2019,C,2/28/2020,SEAD,6791,
R,6940,G35312,MC,   81,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4204,
R,6940,G35312,MC,   81,G35313,MC,   82,Anadarko Petroleum Corporation,00981,EP,12/17/2019,,,CERA,4224,
R,6939,G01623,MP,   38,G01295,MP,   37,"Cantium, LLC",03481,DOCD,12/16/2019,,,,55,
R,6939,,,,G01295,MP,   37,"Cantium, LLC",03481,DOCD,12/16/2019,,,,55,
N,10095,G36745,EI,  227,G36745,EI,  227,"Arena Offshore, LP",02628,DOCD,12/11/2019,,,CERA,121,
N,10095,,,,G36745,EI,  227,"Arena Offshore, LP",02628,DOCD,12/11/2019,,,CERA,121,
R,6938,,,,G01359,SS,   14,"W & T Offshore, Inc.",01284,DOCD,12/5/2019,,,CERA,12,
R,6938,G01359,SS,   14,G01359,SS,   14,"W & T Offshore, Inc.",01284,DOCD,12/5/2019,,,CERA,12,
R,6937,G36181,WR,  881,G36181,WR,  881,Anadarko Petroleum Corporation,00981,EP,12/3/2019,A,1/10/2020,SEA,7781,
S,7988,G35295,EW,  877,G35295,EW,  877,"LLOG Exploration Offshore, L.L.C.",02058,EP,11/29/2019,A,2/26/2020,SEAD,1572,
R,6935,G01313,MP,  142,G01313,MP,  142,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,210,
R,6935,G01316,MP,  299,G01316,MP,  299,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,210,
R,6935,G01317,MP,  300,G01317,MP,  300,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,210,
R,6935,G01316,MP,  299,G01315,MP,  298,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,210,
R,6935,G01316,MP,  299,G01316,MP,  299,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,212,
R,6935,G01316,MP,  299,G01317,MP,  300,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,200,
R,6935,G01317,MP,  300,G01316,MP,  299,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,205,
S,7989,G03169,SS,  238,G03169,SS,  238,"Peregrine Oil & Gas II, LLC",02967,DOCD,11/29/2019,,,CERA,135,
R,6936,,,,G04940,GC,   18,Talos Oil and Gas LLC,03269,DOCD,11/29/2019,A,3/6/2020,CERA,760,
R,6935,G01316,MP,  299,G01313,MP,  142,"Cantium, LLC",03481,DOCD,11/29/2019,A,3/6/2020,CERA,200,
