FIELD,Field 1,YEAR,DISCYR,Field 2,Orig Oil Reserves,Orig Gas Reserves,Orig BOE Reserves,Field 3,CUMOIL,CUMGAS,CUMBOE,Field 4,Oil Reserves,Gas Reserves,BOE Reserves,FCLASS
AC024,,2016,1998,,"12,423,779","8,410,898","13,920,380",,"11,867,812","8,163,062","13,320,314",,"555,967","247,836","600,066",
AC024,,2017,1998,,"12,845,315","8,863,267","14,422,409",,"12,202,525","8,403,079","13,697,735",,"642,790","460,188","724,674",
AC024,,2018,1998,,"12,974,859","9,043,477","14,584,019",,"12,508,183","8,692,170","14,054,832",,"466,676","351,307","529,186",
AC025,,1997,1997,,"61,995,806","74,394,967","75,233,345",,0,0,0,,"61,995,806","74,394,967","75,233,345",
AC025,,1998,1997,,"71,009,713","76,095,234","84,549,791",,0,0,0,,"71,009,713","76,095,234","84,549,791",
AC025,,1999,1997,,"60,277,030","113,583,767","80,487,665",,0,0,0,,"60,277,030","113,583,767","80,487,665",
AC025,,2000,1997,,"63,717,129","100,660,960","81,628,332",,"953,164","1,306,100","1,185,566",,"62,763,965","99,354,860","80,442,766",
AC025,,2001,1997,,"52,881,899","71,557,937","65,614,628",,"12,109,170","15,067,456","14,790,212",,"40,772,729","56,490,481","50,824,416",
AC025,,2002,1997,,"52,881,899","71,557,937","65,614,628",,"28,053,902","35,040,996","34,288,955",,"24,827,997","36,516,941","31,325,673",
AC025,,2003,1997,,"54,867,598","72,846,885","67,829,678",,"35,915,418","44,588,583","43,849,330",,"18,952,180","28,258,302","23,980,348",
AC025,,2004,1997,,"60,494,992","77,074,465","74,209,310",,"42,371,934","52,270,543","51,672,742",,"18,123,058","24,803,922","22,536,568",
AC025,,2005,1997,,"61,901,840","78,748,614","75,914,049",,"47,696,724","57,992,208","58,015,622",,"14,205,116","20,756,406","17,898,427",
AC025,,2006,1997,,"61,901,840","78,748,614","75,914,049",,"51,749,854","62,492,119","62,869,448",,"10,151,986","16,256,495","13,044,601",
AC025,,2007,1997,,"61,901,331","73,662,584","75,008,552",,"54,416,823","64,997,896","65,982,285",,"7,484,508","8,664,688","9,026,267",
AC025,,2008,1997,,"71,749,270","84,090,144","86,711,929",,"56,836,316","67,180,678","68,790,173",,"14,912,954","16,909,466","17,921,756",
AC025,,2009,1997,,"71,749,270","84,090,144","86,711,929",,"58,557,962","69,230,361","70,876,532",,"13,191,308","14,859,783","15,835,398",
AC025,,2010,1997,,"71,749,270","84,090,144","86,711,929",,"60,523,004","70,896,296","73,138,003",,"11,226,266","13,193,848","13,573,926",
AC025,,2011,1997,,"71,749,270","84,090,144","86,711,929",,"62,762,314","74,061,263","75,940,475",,"8,986,956","10,028,881","10,771,454",
AC025,,2012,1997,,"78,338,700","88,757,747","94,131,893",,"67,071,304","78,370,007","81,016,145",,"11,267,396","10,387,740","13,115,748",
AC025,,2013,1997,,"106,770,741","121,059,034","128,311,495",,"70,505,216","81,551,547","85,016,167",,"36,265,525","39,507,487","43,295,328",
AC025,,2014,1997,,"94,886,556","104,177,401","113,423,460",,"73,435,724","84,295,386","88,434,902",,"21,450,832","19,882,015","24,988,557",
AC025,,2015,1997,,"94,886,556","104,177,401","113,423,460",,"75,677,419","86,371,884","91,046,082",,"19,209,137","17,805,517","22,377,379",
AC025,,2016,1997,,"90,940,903","99,543,103","108,653,198",,"77,405,750","87,898,775","93,046,101",,"13,535,153","11,644,328","15,607,097",
AC025,,2017,1997,,"89,043,978","97,610,954","106,412,475",,"78,811,154","89,135,755","94,671,609",,"10,232,824","8,475,199","11,740,866",
AC025,,2018,1997,,"89,043,978","97,610,954","106,412,475",,"80,049,198","90,188,120","96,096,905",,"8,994,780","7,422,834","10,315,570",
AC065,,1998,1997,,"432,326","22,480,947","4,432,495",,0,0,0,,"432,326","22,480,947","4,432,495",
AC065,,1999,1997,,"432,326","22,480,947","4,432,495",,0,0,0,,"432,326","22,480,947","4,432,495",
AC065,,2000,1997,,"432,326","22,480,947","4,432,495",,0,0,0,,"432,326","22,480,947","4,432,495",
AC065,,2001,1997,,"433,866","22,561,038","4,448,286",,0,0,0,,"433,866","22,561,038","4,448,286",
AC065,,2002,1997,,"657,356","23,993,485","4,926,659",,0,0,0,,"657,356","23,993,485","4,926,659",
AC065,,2003,1997,,"1,332,034","42,984,726","8,980,562",,"1,268",0,"1,268",,"1,330,766","42,984,726","8,979,294",
AC065,,2004,1997,,"1,016,843","34,953,977","7,236,412",,"402,381","12,984,189","2,712,735",,"614,462","21,969,788","4,523,677",
AC065,,2005,1997,,"1,151,459","42,057,058","8,634,921",,"679,830","22,914,840","4,757,204",,"471,629","19,142,218","3,877,717",
AC065,,2006,1997,,"1,151,459","42,057,058","8,634,921",,"831,969","29,042,779","5,999,723",,"319,490","13,014,279","2,635,198",
AC065,,2007,1997,,"1,151,459","42,057,058","8,634,921",,"957,016","33,814,353","6,973,805",,"194,443","8,242,705","1,661,116",
AC065,,2008,1997,,"1,290,554","50,452,903","10,267,939",,"1,026,796","37,450,890","7,690,655",,"263,758","13,002,013","2,577,284",
AC065,,2009,1997,,"1,316,243","51,457,219","10,472,332",,"1,092,866","40,504,135","8,300,007",,"223,377","10,953,084","2,172,324",
AC065,,2010,1997,,"1,316,243","51,457,219","10,472,332",,"1,141,145","42,906,773","8,775,802",,"175,098","8,550,446","1,696,530",
AC065,,2011,1997,,"1,316,243","51,457,219","10,472,332",,"1,175,230","44,867,851","9,158,833",,"141,013","6,589,368","1,313,498",
AC065,,2012,1997,,"1,316,243","51,457,219","10,472,332",,"1,198,055","46,299,441","9,436,390",,"118,188","5,157,778","1,035,942",
AC065,,2013,1997,,"1,316,243","51,457,219","10,472,332",,"1,216,373","47,759,441","9,714,494",,"99,870","3,697,778","757,838",
AC065,,2014,1997,,"1,316,243","51,457,219","10,472,332",,"1,227,715","48,852,694","9,920,365",,"88,528","2,604,525","551,967",
AC065,,2015,1997,,"1,231,565","49,078,953","9,964,475",,"1,231,565","49,078,953","9,964,475",,0,0,0,
AC065,,2016,1997,,"1,231,565","49,087,574","9,966,009",,"1,231,565","49,087,574","9,966,009",,0,0,0,
AC065,,2017,1997,,"1,231,565","49,087,574","9,966,009",,"1,231,565","49,087,574","9,966,009",,0,0,0,
AC065,,2018,1997,,"1,231,565","49,087,574","9,966,009",,"1,231,565","49,087,574","9,966,009",,0,0,0,
AC857,,2002,2002,,"235,104,715","219,171,480","274,103,199",,0,0,0,,"235,104,715","219,171,480","274,103,199",
AC857,,2003,2002,,"235,104,715","219,171,480","274,103,199",,0,0,0,,"235,104,715","219,171,480","274,103,199",
AC857,,2004,2002,,"251,353,507","286,638,318","302,356,766",,0,0,0,,"251,353,507","286,638,318","302,356,766",
AC857,,2005,2002,,"272,480,678","330,265,925","331,246,857",,0,0,0,,"272,480,678","330,265,925","331,246,857",
AC857,,2006,2002,,"272,480,678","328,253,924","330,888,850",,0,0,0,,"272,480,678","328,253,924","330,888,850",
AC857,,2007,2002,,"272,480,676","328,253,926","330,888,848",,0,0,0,,"272,480,676","328,253,926","330,888,848",
AC857,,2008,2002,,"298,489,979","354,893,114","361,638,220",,0,0,0,,"298,489,979","354,893,114","361,638,220",
AC857,,2009,2002,,"279,421,938","317,630,767","335,939,868",,0,0,0,,"279,421,938","317,630,767","335,939,868",
AC857,,2010,2002,,"266,558,930","345,249,279","327,991,187",,"977,642","1,822,238","1,301,884",,"265,581,288","343,427,041","326,689,303",
AC857,,2011,2002,,"266,558,930","345,249,279","327,991,187",,"10,123,346","17,718,882","13,276,172",,"256,435,584","327,530,397","314,715,015",
AC857,,2012,2002,,"278,745,379","365,961,413","343,863,069",,"28,197,210","45,273,883","36,253,062",,"250,548,169","320,687,530","307,610,008",
AC857,,2013,2002,,"266,624,662","357,983,302","330,322,759",,"50,166,856","77,520,221","63,960,490",,"216,457,806","280,463,081","266,362,269",
AC857,,2014,2002,,"231,190,456","305,857,291","285,613,461",,"72,942,972","114,621,747","93,338,301",,"158,247,484","191,235,544","192,275,160",
AC857,,2015,2002,,"231,190,456","305,857,291","285,613,461",,"96,263,976","168,249,626","126,201,631",,"134,926,480","137,607,665","159,411,831",
AC857,,2016,2002,,"169,513,024","334,827,310","229,090,838",,"117,402,908","216,552,974","155,935,465",,"52,110,116","118,274,336","73,155,373",
AC857,,2017,2002,,"217,968,060","439,674,391","296,201,938",,"138,367,878","256,632,364","184,032,000",,"79,600,182","183,042,027","112,169,939",
AC857,,2018,2002,,"203,419,552","381,750,204","271,346,635",,"160,100,760","295,355,374","212,655,097",,"43,318,792","86,394,830","58,691,537",
AC859,,2004,2004,,"97,807,283","201,972,038","133,745,368",,0,0,0,,"97,807,283","201,972,038","133,745,368",
AC859,,2005,2004,,"97,807,283","201,972,038","133,745,368",,0,0,0,,"97,807,283","201,972,038","133,745,368",
AC859,,2006,2004,,"97,750,238","201,854,243","133,667,363",,0,0,0,,"97,750,238","201,854,243","133,667,363",
AC859,,2007,2004,,"97,750,238","201,854,243","133,667,363",,0,0,0,,"97,750,238","201,854,243","133,667,363",
AC859,,2008,2004,,"98,197,535","125,225,875","120,479,719",,0,0,0,,"98,197,535","125,225,875","120,479,719",
AC859,,2009,2004,,"76,201,189","119,710,448","97,501,980",,0,0,0,,"76,201,189","119,710,448","97,501,980",
AC859,,2010,2004,,"76,201,189","119,710,448","97,501,980",,"47,781","23,430","51,950",,"76,153,408","119,687,018","97,450,030",
AC859,,2011,2004,,"76,201,189","119,710,448","97,501,980",,"2,245,085","1,494,841","2,511,070",,"73,956,104","118,215,607","94,990,908",
AC859,,2012,2004,,"76,201,189","119,710,448","97,501,980",,"7,197,863","8,603,584","8,728,750",,"69,003,326","111,106,864","88,773,231",
AC859,,2013,2004,,"76,201,189","119,710,448","97,501,980",,"12,397,026","17,517,481","15,514,015",,"63,804,163","102,192,967","81,987,964",
AC859,,2014,2004,,"54,788,060","77,689,061","68,611,737",,"16,245,161","22,163,874","20,188,910",,"38,542,899","55,525,187","48,422,825",
AC859,,2015,2004,,"54,788,060","77,689,061","68,611,737",,"19,409,549","24,198,471","23,715,326",,"35,378,511","53,490,590","44,896,410",
AC859,,2016,2004,,"38,013,360","48,209,531","46,591,568",,"21,424,445","28,659,038","26,523,919",,"16,588,915","19,550,493","20,067,651",
AC859,,2017,2004,,"38,013,360","48,209,531","46,591,568",,"22,961,741","31,506,314","28,567,846",,"15,051,619","16,703,217","18,023,722",
AC859,,2018,2004,,"42,733,329","52,145,644","52,011,913",,"24,780,979","34,127,940","30,853,566",,"17,952,350","18,017,704","21,158,347",
AT037,,2001,2001,,"6,553","65,532,517","11,667,143",,0,0,0,,"6,553","65,532,517","11,667,143",
AT037,,2002,2001,,"6,553","65,530,595","11,666,801",,0,0,0,,"6,553","65,530,595","11,666,801",
AT037,,2003,2001,,"6,553","65,530,595","11,666,801",,0,0,0,,"6,553","65,530,595","11,666,801",
AT037,,2004,2001,,"135,118","68,099,552","12,252,476",,0,0,0,,"135,118","68,099,552","12,252,476",
AT037,,2005,2001,,"135,118","68,099,552","12,252,476",,0,0,0,,"135,118","68,099,552","12,252,476",
AT037,,2006,2001,,"86,299","67,398,670","12,078,945",,0,0,0,,"86,299","67,398,670","12,078,945",
AT037,,2007,2001,,"120,291","148,161,419","26,483,533",,"6,342","16,986,462","3,028,844",,"113,949","131,174,957","23,454,689",
AT037,,2008,2001,,"113,638","148,161,419","26,476,880",,"15,794","50,135,353","8,936,675",,"97,844","98,026,066","17,540,205",
AT037,,2009,2001,,"108,485","151,027,029","26,981,621",,"22,465","70,391,161","12,547,582",,"86,020","80,635,868","14,434,039",
AT037,,2010,2001,,"108,485","151,027,029","26,981,621",,"25,719","81,102,191","14,456,714",,"82,766","69,924,838","12,524,907",
AT037,,2011,2001,,"108,485","151,027,029","26,981,621",,"26,841","87,499,693","15,596,181",,"81,644","63,527,336","11,385,440",
AT037,,2012,2001,,"108,485","151,027,029","26,981,621",,"27,626","92,841,654","16,547,493",,"80,859","58,185,375","10,434,128",
AT037,,2013,2001,,"108,485","151,027,029","26,981,621",,"28,063","97,331,126","17,346,768",,"80,422","53,695,903","9,634,852",
AT037,,2014,2001,,"28,086","97,838,617","17,437,092",,"28,086","97,838,617","17,437,092",,0,0,0,
AT037,,2015,2001,,"28,086","97,838,617","17,437,092",,"28,086","97,838,617","17,437,092",,0,0,0,
AT037,,2016,2001,,"28,086","97,838,617","17,437,092",,"28,086","97,838,617","17,437,092",,0,0,0,
AT037,,2017,2001,,"28,086","97,838,617","17,437,092",,"28,086","97,838,617","17,437,092",,0,0,0,
AT037,,2018,2001,,"28,086","97,838,617","17,437,092",,"28,086","97,838,617","17,437,092",,0,0,0,
AT063,,2000,2000,,"28,717,603","66,095,806","40,478,423",,0,0,0,,"28,717,603","66,095,806","40,478,423",
AT063,,2001,2000,,"28,715,880","66,091,669","40,475,963",,0,0,0,,"28,715,880","66,091,669","40,475,963",
AT063,,2002,2000,,"28,913,996","66,555,855","40,756,675",,0,0,0,,"28,913,996","66,555,855","40,756,675",
AT063,,2003,2000,,"28,913,996","66,555,855","40,756,675",,0,0,0,,"28,913,996","66,555,855","40,756,675",
AT063,,2004,2000,,"28,913,996","66,555,855","40,756,675",,0,0,0,,"28,913,996","66,555,855","40,756,675",
AT063,,2005,2000,,"31,094,326","71,579,258","43,830,849",,0,0,0,,"31,094,326","71,579,258","43,830,849",
AT063,,2006,2000,,"31,094,326","71,579,258","43,830,849",,0,0,0,,"31,094,326","71,579,258","43,830,849",
AT063,,2007,2000,,"31,094,326","71,579,258","43,830,849",,0,0,0,,"31,094,326","71,579,258","43,830,849",
AT063,,2008,2000,,"31,094,326","71,579,258","43,830,849",,0,0,0,,"31,094,326","71,579,258","43,830,849",
AT063,,2009,2000,,"1,113,400","1,141,235","1,316,466",,0,0,0,,"1,113,400","1,141,235","1,316,466",
AT063,,2010,2000,,"1,113,400","1,141,235","1,316,466",,"545,410","589,365","650,280",,"567,990","551,870","666,188",
AT063,,2011,2000,,"1,113,400","1,141,235","1,316,466",,"717,313","759,818","852,512",,"396,087","381,417","463,955",
AT063,,2012,2000,,"1,113,400","1,141,235","1,316,466",,"755,924","798,155","897,945",,"357,476","343,080","418,523",
AT063,,2013,2000,,"1,113,400","1,141,235","1,316,466",,"755,924","798,155","897,945",,"357,476","343,080","418,523",
AT063,,2014,2000,,"1,113,400","1,141,235","1,316,466",,"774,260","811,079","918,580",,"339,140","330,156","397,887",
AT063,,2015,2000,,"1,113,400","1,141,235","1,316,466",,"815,541","842,842","965,513",,"297,859","298,393","350,953",
AT063,,2016,2000,,"1,113,400","1,141,235","1,316,466",,"833,955","864,183","987,725",,"279,445","277,052","328,743",
AT063,,2017,2000,,"833,956","864,183","987,725",,"833,956","864,183","987,725",,0,0,0,
AT063,,2018,2000,,"833,956","864,183","987,725",,"833,956","864,183","987,725",,0,0,0,
AT261,,2002,2002,,"143,071","71,535,356","12,871,782",,0,0,0,,"143,071","71,535,356","12,871,782",
AT261,,2003,2002,,"143,071","71,535,356","12,871,782",,0,0,0,,"143,071","71,535,356","12,871,782",
AT261,,2004,2002,,"159,705","80,491,202","14,481,983",,0,0,0,,"159,705","80,491,202","14,481,983",
AT261,,2005,2002,,"156,946","79,100,692","14,231,802",,0,0,0,,"156,946","79,100,692","14,231,802",
AT261,,2006,2002,,"87,686","79,100,692","14,162,542",,0,0,0,,"87,686","79,100,692","14,162,542",
AT261,,2007,2002,,"87,686","79,100,692","14,162,542",,"1,672","3,634,582","648,395",,"86,014","75,466,110","13,514,147",
AT261,,2008,2002,,"87,686","79,100,692","14,162,542",,"8,086","24,959,121","4,449,211",,"79,600","54,141,571","9,713,331",
AT261,,2009,2002,,"63,647","67,683,599","12,106,992",,"14,354","43,939,183","7,832,714",,"49,293","23,744,416","4,274,278",
AT261,,2010,2002,,"59,543","97,545,198","17,416,339",,"20,616","66,283,364","11,814,809",,"38,927","31,261,834","5,601,530",
AT261,,2011,2002,,"59,543","97,545,198","17,416,339",,"22,373","77,811,377","13,867,814",,"37,170","19,733,821","3,548,526",
AT261,,2012,2002,,"59,543","97,544,207","17,416,163",,"22,568","78,909,105","14,063,334",,"36,975","18,635,102","3,352,829",
AT261,,2013,2002,,"22,568","78,909,105","14,063,334",,"22,568","78,909,105","14,063,334",,0,0,0,
AT261,,2014,2002,,"22,568","78,909,105","14,063,334",,"22,568","78,909,105","14,063,334",,0,0,0,
AT261,,2015,2002,,"22,568","78,909,105","14,063,334",,"22,568","78,909,105","14,063,334",,0,0,0,
AT261,,2016,2002,,"22,568","78,909,105","14,063,334",,"22,568","78,909,105","14,063,334",,0,0,0,
AT261,,2017,2002,,"22,568","78,909,105","14,063,334",,"22,568","78,909,105","14,063,334",,0,0,0,
AT261,,2018,2002,,"22,568","78,909,105","14,063,334",,"22,568","78,909,105","14,063,334",,0,0,0,
AT349,,2003,2003,,"399,917","202,757,859","36,477,828",,0,0,0,,"399,917","202,757,859","36,477,828",
AT349,,2004,2003,,"451,283","227,447,046","40,922,288",,0,0,0,,"451,283","227,447,046","40,922,288",
AT349,,2005,2003,,"451,283","227,447,046","40,922,288",,0,0,0,,"451,283","227,447,046","40,922,288",
AT349,,2006,2003,,"451,283","227,447,046","40,922,288",,0,0,0,,"451,283","227,447,046","40,922,288",
AT349,,2007,2003,,"451,283","227,447,046","40,922,288",,"1,117","6,862,633","1,222,226",,"450,166","220,584,413","39,700,062",
AT349,,2008,2003,,"451,283","227,447,046","40,922,288",,"12,861","39,589,042","7,057,175",,"438,422","187,858,004","33,865,113",
AT349,,2009,2003,,"460,237","231,959,590","41,734,186",,"25,427","77,798,192","13,868,521",,"434,810","154,161,398","27,865,663",
AT349,,2010,2003,,"460,237","231,959,590","41,734,186",,"37,093","117,976,812","21,029,408",,"423,144","113,982,778","20,704,777",
AT349,,2011,2003,,"240,300","159,985,396","28,707,453",,"42,879","152,232,837","27,130,573",,"197,421","7,752,559","1,576,880",
AT349,,2012,2003,,"84,431","459,913,896","81,919,644",,"46,628","176,938,159","31,530,287",,"37,803","282,975,737","50,389,358",
AT349,,2013,2003,,"84,431","459,913,896","81,919,644",,"49,886","210,988,403","37,592,307",,"34,545","248,925,493","44,327,337",
AT349,,2014,2003,,"84,431","459,913,896","81,919,644",,"54,136","242,480,938","43,200,211",,"30,295","217,432,958","38,719,433",
AT349,,2015,2003,,"54,136","250,726,354","44,667,366",,"54,136","250,723,737","44,666,900",,0,"2,617",466,
AT349,,2016,2003,,"54,136","250,726,354","44,667,366",,"54,136","250,726,354","44,667,366",,0,0,0,
AT349,,2017,2003,,"54,136","250,726,354","44,667,366",,"54,136","250,726,354","44,667,366",,0,0,0,
AT349,,2018,2003,,"54,136","250,726,354","44,667,366",,"54,136","250,726,354","44,667,366",,0,0,0,
AT426,,2004,2001,,"44,457","22,228,621","3,999,728",,0,0,0,,"44,457","22,228,621","3,999,728",
AT426,,2005,2001,,"44,457","22,228,621","3,999,728",,0,0,0,,"44,457","22,228,621","3,999,728",
AT426,,2006,2001,,"44,457","22,228,621","3,999,728",,0,0,0,,"44,457","22,228,621","3,999,728",
AT426,,2007,2001,,"44,457","22,228,621","3,999,728",,0,0,0,,"44,457","22,228,621","3,999,728",
AT426,,2008,2001,,"19,774","197,742,000","35,205,183",,48,"22,556,400","4,013,642",,"19,726","175,185,600","31,191,541",
AT426,,2009,2001,,"19,774","197,742,000","35,205,183",,48,"58,784,229","10,459,875",,"19,726","138,957,771","24,745,308",
AT426,,2010,2001,,48,"149,343,000","26,573,536",,48,"83,828,440","14,916,141",,0,"65,514,560","11,657,395",
AT426,,2011,2001,,48,"136,918,000","24,362,681",,48,"106,923,436","19,025,570",,0,"29,994,564","5,337,111",
AT426,,2012,2001,,48,"133,376,000","23,732,432",,48,"125,737,127","22,373,202",,0,"7,638,873","1,359,230",
AT426,,2013,2001,,48,"136,571,000","24,300,938",,48,"130,324,017","23,189,375",,0,"6,246,983","1,111,563",
AT426,,2014,2001,,48,"131,248,784","23,353,924",,48,"131,248,784","23,353,924",,0,0,0,
AT426,,2015,2001,,48,"131,248,784","23,353,924",,48,"131,248,784","23,353,924",,0,0,0,
AT426,,2016,2001,,48,"131,248,784","23,353,924",,48,"131,248,784","23,353,924",,0,0,0,
AT426,,2017,2001,,48,"131,248,784","23,353,924",,48,"131,248,784","23,353,924",,0,0,0,
AT426,,2018,2001,,48,"131,248,784","23,353,924",,48,"131,248,784","23,353,924",,0,0,0,
AT575,,1995,1995,,"323,892,590","291,503,331","375,761,510",,0,0,0,,"323,892,590","291,503,331","375,761,510",
AT575,,1996,1995,,"323,892,590","291,503,331","375,761,510",,0,0,0,,"323,892,590","291,503,331","375,761,510",
AT575,,1997,1995,,"96,091,299","86,482,169","111,479,585",,0,0,0,,"96,091,299","86,482,169","111,479,585",
AT575,,1998,1995,,"96,106,391","237,379,709","138,344,773",,0,0,0,,"96,106,391","237,379,709","138,344,773",
AT575,,1999,1995,,"96,106,391","237,379,709","138,344,773",,0,0,0,,"96,106,391","237,379,709","138,344,773",
AT575,,2000,1995,,"96,106,391","237,379,709","138,344,773",,0,0,0,,"96,106,391","237,379,709","138,344,773",
AT575,,2001,1995,,"177,544,331","220,097,518","216,707,590",,0,0,0,,"177,544,331","220,097,518","216,707,590",
AT575,,2002,1995,,"177,544,331","220,097,518","216,707,590",,0,0,0,,"177,544,331","220,097,518","216,707,590",
AT575,,2003,1995,,"177,544,331","220,097,518","216,707,590",,0,0,0,,"177,544,331","220,097,518","216,707,590",
AT575,,2004,1995,,"47,740,194","42,888,941","55,371,678",,0,0,0,,"47,740,194","42,888,941","55,371,678",
AT575,,2005,1995,,"47,740,194","42,888,941","55,371,678",,0,0,0,,"47,740,194","42,888,941","55,371,678",
AT575,,2006,1995,,"73,397,365","62,108,943","84,448,778",,0,0,0,,"73,397,365","62,108,943","84,448,778",
AT575,,2007,1995,,"80,950,561","68,022,944","93,054,288",,"10,755",0,"10,755",,"80,939,806","68,022,944","93,043,533",
AT575,,2008,1995,,"57,121,354","52,658,794","66,491,246",,"5,225,926","4,177,640","5,969,278",,"51,895,428","48,481,154","60,521,968",
AT575,,2009,1995,,"50,613,697","49,775,533","59,470,554",,"11,261,604","8,992,315","12,861,660",,"39,352,093","40,783,218","46,608,895",
AT575,,2010,1995,,"49,346,977","48,128,797","57,910,820",,"15,784,704","12,546,074","18,017,102",,"33,562,273","35,582,723","39,893,719",
AT575,,2011,1995,,"46,647,489","45,881,362","54,811,432",,"19,717,172","15,633,340","22,498,905",,"26,930,317","30,248,022","32,312,528",
AT575,,2012,1995,,"46,647,489","45,881,359","54,811,431",,"23,369,149","18,653,207","26,688,224",,"23,278,340","27,228,152","28,123,207",
AT575,,2013,1995,,"46,647,489","45,881,359","54,811,431",,"26,816,183","21,622,665","30,663,632",,"19,831,306","24,258,694","24,147,799",
AT575,,2014,1995,,"46,647,489","45,881,359","54,811,431",,"29,941,791","24,209,466","34,249,525",,"16,705,698","21,671,893","20,561,907",
AT575,,2015,1995,,"46,647,491","45,881,835","54,811,518",,"33,100,688","26,754,119","37,861,207",,"13,546,803","19,127,716","16,950,312",
AT575,,2016,1995,,"46,647,491","45,881,835","54,811,518",,"35,951,521","28,975,080","41,107,229",,"10,695,970","16,906,755","13,704,289",
AT575,,2017,1995,,"64,376,407","50,075,555","73,286,648",,"38,329,388","30,896,505","43,826,987",,"26,047,019","19,179,050","29,459,661",
AT575,,2018,1995,,"64,376,407","50,075,555","73,286,648",,"40,205,041","32,482,883","45,984,913",,"24,171,366","17,592,672","27,301,735",
BA001A,,1975,1970,,"3,634,702","84,514,430","18,672,857",,"664,993","24,195,270","4,970,201",,"2,969,709","60,319,160","13,702,656",
BA001A,,1976,1970,,"3,634,702","84,514,430","18,672,857",,"876,945","33,552,376","6,847,119",,"2,757,757","50,962,054","11,825,738",
BA001A,,1977,1970,,"4,527,320","104,840,820","23,182,270",,"1,718,131","41,501,530","9,102,745",,"2,809,189","63,339,290","14,079,525",
BA001A,,1978,1970,,"4,527,320","104,840,820","23,182,270",,"1,828,305","47,635,836","10,304,432",,"2,699,015","57,204,984","12,877,838",
BA001A,,1979,1970,,"3,851,320","104,840,820","22,506,270",,"1,244,352","51,873,688","10,474,546",,"2,606,968","52,967,132","12,031,724",
BA001A,,1980,1970,,"3,880,728","105,440,820","22,642,440",,"1,305,774","54,884,008","11,071,612",,"2,574,954","50,556,812","11,570,828",
BA001A,,1981,1970,,"2,394,734","94,431,757","19,197,538",,"1,335,753","56,966,294","11,472,104",,"1,058,981","37,465,463","7,725,434",
BA001A,,1982,1970,,"2,384,678","94,029,537","19,115,912",,"1,344,667","57,482,994","11,572,958",,"1,040,011","36,546,543","7,542,954",
BA001A,,1983,1970,,"2,384,678","94,029,537","19,115,912",,"1,344,667","57,475,189","11,571,569",,"1,040,011","36,554,348","7,544,343",
BA001A,,1984,1970,,"1,344,667","57,475,189","11,571,569",,"1,344,667","57,475,189","11,571,569",,0,0,0,
BA001A,,1985,1970,,"1,344,667","57,475,189","11,571,569",,"1,344,667","57,475,189","11,571,569",,0,0,0,
