FACILITY_TYPE,VESSEL_NAME,CLASSIFICATION,LENGTH_M,WIDTH_M,DEPTH_M,MAX_OPERATING_DRAFT_M,HULL_CONSTRUCTION,DEADWEIGHT_DWT_TONNES,CONSTRUCTION_TYPE,HULL_FAB_YEAR,LATEST_UPGRADE_YEAR,MAX_OIL_PROD_MBOPD,GAS_PROCESSING_MMSCFD,TOTAL_THROUGHPUT_MBOED,STORAGE_CAPACITY_MBBLS,TOTAL_RISERS,UMBILICALS,QUARTERS_CAPACITY,MOORING_SYSTEM_TYPE,PERMANENT_OR_DISCONNECTABLE,NUMBER_OF_ANCHOR_LEGS
FPSO,RUBY II,,245,41,22,,SH,,Converted,1990,2007,45,29,50,745,3,,80,ET,,9
FPSO,SANHA LPG FPSO,ABS,264,49,29,13,DH/DS,94000,New Built,2001,,,125,21,362,4,1,90,ET,P,9
FPSO,SAXI-BATUQUE (KIZOMBA C),ABS,369,56,29,22,SH,311000,Converted,1977,2007,105,150,130,2431,9,4,100,ET,P,9
FPSO,SCHIEHALLION,LR,245,45,27,20,DS,154000,New Built,2010,,90,665,201,1000,,,,IT,,
FPSO,SEA EAGLE (EA FPSO),LR,274,50,28,20,DS,207000,New Built,2002,,200,600,300,920,22,1,116,JSY,P,12
FPSO,SEA GOOD 101,ABS,94,22,6,,,5214,,,,,,,,,,,,,
FPSO,SEA ROSE (WHITE ROSE),DNV,258,46,27,18,DH,140000,New Built,2005,,105,145,129,630,9,2,80,IT,,9
FPSO,ASENG,ABS,350,,,,SH,255502,Converted,,2011,80,,80,1695,7,,100,IT,P,9
FPSO,SENDJE BERGE,DNV,350,52,27,22,SH,274333,Converted,1974,2004,38,30,43,920,,,100,SM,P,12
FPSO,SENDJE CEIBA,DNV,265,52,27,22,SH,274473,Converted,1975,2001,160,45,168,2000,,,100,SM,P,12
FPSO,SERPENTINA,ABS,362,56,29,22,SH,307000,Converted,1974,2002,110,160,137,1900,9,3,100,ET,P,9
FPSO,SKARV FPSO,DNV,295,51,20,,,129000,New Built,2010,,85,670,197,875,13,,100,,,15
FPSO,SONG DOC MV19,,,,,,,70000,Converted,,2008,30,,30,360,,,,SM,D,12
FPSO,STYBARROW VENTURE MV16,ABS,265,48,,,,140000,New Built,,2007,11,10,13,53,5,,4,SM,P,8
FPSO,TANTAWAN EXPLORER,ABS,284,43,21,16,SH,136960,Converted,1976,1996,50,150,75,1000,7,2,100,ET,P,6
FPSO,TERRA NOVA,LR,292,46,28,19,DH,196000,New Built,1999,,32,5.4,33,550,2,,88,ET,P,
FPSO,TOISA PISCES,DNV,104,23,9,7,DH,7200,Converted,1997,2004,20,36,26,24,,,70,DP,,
FPSO,TRINITY SPIRIT,ABS,337,55,27,18,SH,279187,Converted,1976,1997,20,50,28,1700,4,,55,SM,P,8
FPSO,ufffdSGARD A,DNV,278,45,27,19,DH,177808,New Built,1998,2010,200,,200,920,,,,,,
FPSO,TRITON,,244,42,21,,DH,105000,New Built,1999,,200,260,243,2200,,15,,SM,P,12
FPSO,UMUROA,ABS,232,46,23,15,SH,118095,Converted,1980,2007,50,25,54,773,18,4,60,IT,D,9
FPSO,USAN,BV,320,61,32,25,DH,381000,New Built,2006,,180,35,186,2000,7,5,180,SM,P,16
FPSO,VOYAGEUR SPIRIT,DNV,66,66,27,18,DH,45145,New Built,2007,2012,30,38,36,270,10,,57,SM,,12
FPSO,WENCHANG II (HAI YANG SHI YOU 116),CCS,217,46,24,,,0,New Built,2006,,100,,100,700,1,,,IT,D,9
FPSO,XIJIANG (HAI YANG SHI YOU 115),CCS,235,46,24,16,,100000,New Built,2006,,100,500,183,1000,9,,120,SM,P,14
FPSO,YUUM K AK NAAB,DNV,327,65,32,23,,360700,Converted,1981,2007,200,120,220,2200,8,,110,IT,D,13
FPSO,ZAFIRO PRODUCER,ABS,331,56,27,20,SH,263933,Converted,1973,1999,80,60,90,1900,8,4,150,SM,P,12
FPSO,AZURITE FDPSO,DNV,312,56,30,18,SH,259999,Converted,1988,2009,40,60,50,1300,4,1,120,SM,P,12
FPSO,BA VI,,,,,,SH,154000,Converted,,1994,100,,100,1100,2,,28,CALM SY,,
FPSO,BAOBAB IVOIRIEN MV 10,ABS,350,60,28,,,357000,Converted,1976,2005,70,75,83,2000,11,,,ET,P,8
FPSO,BELANAK,ABS,285,58,26,,DS,357000,New Built,2004,,55,14,57,880,5,,36,SALM,P,
FPSO,BERANTAI (EAST FORTUNE),DNV,207,32,17,,,55337,Converted,1983,2012,,,,,,,,,,
FPSO,AGBAMI,ABS,319,58,32,,DH,337859,New Built,2008,,250,212,285,1800,,,,,,
FPSO,BERGE HELENE,ABS,245,43,20,,DH,91468,Converted,1985,2012,75,80,88,1650,11,1,100,ET,P,12
FPSO,BLEO HOLM,ABS,322,56,29,,,265243,,,,60,35,66,657,8,,96,IT,P,9
FPSO,BOHAI MING ZHU,ABS,332,58,28,,,265050,,,,80,6,81,1000,4,,130,JSY,P,
FPSO,BOHAI SHI JI (BOHAI CENTURY),DNV,101,21,12,,,8346,,,,12,3,13,390,,,47,JSY,P,
FPSO,BOHAI YOU YI HAO,ABS,290,51,24,,,190000,Converted,1977,2011,70,,70,1100,4,2,110,T,P,
FPSO,BONGA,LRS,305,58,32,23,DS,312500,New Built,2005,,170,100,187,1400,,,63,SM,P,
FPSO,BOURBON OPALE,ABS,325,57,32,,,268000,Converted,,,24,5,25,306,1,,72,,D,
FPSO,BRASIL,ABS,94,22,6,,,5214,,,,90,106,108,1700,15,8,60,IT,P,9
FPSO,BROTOJOYO,DNV,66,66,27,18,DH,45145,New Built,2007,2012,20,,20,400,,,,SM,,
FPSO,BW ATHENA,DNV,101,21,12,9,DH,8700,Converted,1994,2007,40,53,49,400,6,,65,DP,D,
FPSO,AKPO,BV,310,61,,,DH,337000,New Built,2008,,240,282,287,2000,14,8,120,SM,P,12
FPSO,BW CIDADE DE SAO VICENTE,DNV,254,44,23,14,SH,135510,Converted,1975,2007,40,30,45,1000,2,,80,T,P,10
FPSO,BW JOKO TOLE,ABS / BKI,247,42,20,,,97127,Converted,1988,2010,7,340,64,200,,,,SM,,
FPSO,BW PIONEER,DNV,276,44,22,,,135000,Converted,1975,2009,80,,80,600,,,,T,D,
FPSO,CAPIXABA,ABS,346,55,27,21,SH,273000,Converted,1974,2009,100,113,119,2038,20,12,96,IT,P,9
FPSO,CAPTAIN,DNV,214,38,24,18,DH,115829,New Built,1996,,37,,37,849,3,,60,ET,P,9
FPSO,CHI LINH,,,,,,SH,150000,Converted,,1984,70,,70,975,2,,28,CALM SY,P,
FPSO,CIDADE DE ANCHIETA (former Espadarte),ABS,344,52,28,22,SH,273000,Converted,1975,2011,100,,100,1900,39,17,89,IT,P,10
FPSO,CIDADE DE ANGRA dos REIS MV22,,316,58,30,,,260000,Converted,,,100,177,130,1600,,,,SM,,24
FPSO,CIDADE DE ITAJAI,ABS,245,43,20,,DH,91468,Converted,1985,2012,80,,80,650,,,70,SM,,16
FPSO,CIDADE DE PARATY,ABS,322,56,29,,,249370,Converted,,,120,177,150,,,,,,,
FPSO,AL ZAAFARANA,DNV,260,40,21,16,SH,127000,Converted,1969,1994,10,35,16,800,7,2,55,"IT, SM",P,9
FPSO,CIDADE DE SAO PAULO,ABS,332,58,28,,,265050,Converted,,,120,177,150,1600,,,,SM,,
FPSO,CRYSTAL OCEAN,DNV,101,21,12,9,,8700,New Built,1999,,40,,,42,,4,40,,,3
FPSO,CURLEW,LR,236,40,20,15,DS,99800,Converted,1983,1997,45,116,64,560,7,2,60,"IT, SM",P,9
FPSO,CUULONG MV9 (SU TU DEN),ABS,245,43,20,,DH,91468,Converted,1985,2012,65,19.5,68,900,,,,IT,D,
FPSO,DALIA,ABS,322,56,29,,,265243,,,,35,,35,2000,14,8,52,SM,P,12
FPSO,DHIRUBHAI-1 (AKER SMART 1),ABS,332,58,28,,,265050,,,,80,316,133,1300,11,1,104,IT,D,9
FPSO,DYNAMIC PRODUCER (PIPA-2),DNV,101,21,12,,,8346,,,,30,,30,300,1,,28,DP,D,0
FPSO,ERHA,ABS,290,51,24,,,190000,Converted,1977,2011,250,400,317,2200,,,,SM,,
FPSO,ESPIRITO SANTO (BC-10),ABS,331,57,28,22,DH,392000,Converted,1975,2008,100,45,108,2000,12,9,100,IT,P,9
FPSO,ESPOIR IVOIRIEN,ABS,325,57,32,,,268000,Converted,,,45,80,58,1100,10,,66,IT,P,6
FPSO,ALVHEIM,DNV,252,42,23,16,DH,81213,Converted,2001,2008,157,125,178,560,12,3,120,IT,D,12
FPSO,FARWAH,ABS,94,22,6,,,5214,,,,200,150,225,1900,,,,SM,,
FPSO,FIRENZE FPSO,RINA,268,42,21,,,110000,Converted,1989,2011,12,7.2,13,700,,3,,ET,P,8
FPSO,FLUMINENSE FPSO,ABS,411,60,28,16,DH,355000,Converted,1974,2003,70,75,83,1300,15,3,108,ET,P,9
FPSO,FPF3 (JASMINE VENTURE),ABS,248,39,21,15,SH,106000,Converted,1976,1999,20,20,23,800,2,,59,ET,P,6
FPSO,FRADE,ABS,337,55,27,21,SH,273500,Converted,1976,2009,100,106,118,1500,18,4,120,IT,P,9
FPSO,GIMBOA,ABS,337,55,27,21,,273777,Converted,1977,2008,60,37,66,1800,,,100,SM,,12
FPSO,GIRASSOL,BV,300,60,31,23,DS,345000,New Built,1999,,60,90,75,2000,4,,140,SM,P,16
FPSO,GLAS DOWR,,242,42,21,15,DH,105000,New Built,1997,2011,60,92.5,75,657,,,96,IT,P,12
FPSO,GLOBAL PRODUCER (GRYPHON A),DNV,259,41,24,16,DH,105701,New Built,1993,2001,100,90,115,510,12,,90,IT,P,10
FPSO,GLOBAL PRODUCER III,DNV,219,38,23,17,DH,85943,New Built,1998,,100,,100,510,,,40,"ET,SM",P,6
FPSO,ANASURIA,LR,226,45,24,17,DH,131666,New Built,1996,,225,65,236,2000,,,69,IT,P,
FPSO,GLOBAL PRODUCER VIII (Hai Yang Shi You 112),DNV,277,51,24,16,D,159064,New Built,2003,,80,45,88,820,9,,63,ET,D,6
FPSO,GREATER PLUTONIO,BV,310,58,32,,DS,360000,New Built,2007,,155,190,187,950,24,2,75,IT,P,14
FPSO,HAI YANG SHI YOU 102 (CHANG QING HAO),CCS,215,31,18,,,53071,Converted,,1990,12,3,13,390,,,,JSY,D,
FPSO,HAI YANG SHI YOU 111,CCS,262,46,24,17,DS,150000,New Built,2002,,72,15,75,1000,,,130,SAL Yoke,D,
FPSO,HAI YANG SHI YOU 113,DNV,272,51,21,14,D,150000,New Built,2003,,190,,190,1800,,,,SAL Yoke,D,
FPSO,HAI YANG SHI YOU 117,DNV,323,63,29,,,286480,New Built,2008,,190,,190,2000,,,,IT,D,
FPSO,HUMMINGBIRD SPIRIT (former Sevan Hummingbird),DNV,60,60,27,18,,,New Built,2007,,25,,25,270,7,,44,SM,,12
FPSO,IKDAM,DNV,292,41,22,16,SH,133560,Converted,1971,2006,30,40,37,665,3,,,ET,,
FPSO,JOTUN A,DNV,233,42,24,16,DH,93476,New Built,1997,1997,123,30,128,595,4,2,55,IT,D,6
FPSO,KAKAP NATUNA,ABS,268,43,21,16,SH,134000,Converted,1975,1985,25,25,29,760,2,,86,CRY,P,6
FPSO,ANOA NATUNA,ABS,165,39,21,14,SH,76200,New Built,1990,,70,32,75,550,6,2,55,ET,D,12
FPSO,KIKEH,ABS,337,55,27,21,SH,273000,Converted,1974,2005,120,,120,2179,10,3,118,ET,P,10
FPSO,"KIZOMBA ""A""",,,,,,,,,,,,,,,,,,,,
FPSO,"KIZOMBA ""B""",,,,,,,,,,,,,,,,,,,,
FPSO,KNOCK ADOON,DNV,207,54,26,19,,239781,Converted,1985,2006,70,10,72,1700,,,,SM,,
FPSO,KNOCK ALLAN,DNV,274,44,24,17,,145242,Converted,1980,2009,35,85,49,1300,,,,SM,,
FPSO,KUITO,ABS,335,44,28,21,SH,228000,Converted,1979,1999,100,90,115,1636,9,,118,SM,P,12
FPSO,KWAME NKRUMAH MV21 (JUBILEE FIELD),ABS,359,59,30,20,SH,261212,Converted,1991,2010,123,160,150,1600,11,2,120,ET,P,9
FPSO,LEWEK ARUNOTHAI,,264,41,22,,,127540,Converted,,,,330,55,725,,,,,,
FPSO,LEWEK EMAS (CHIM SAO),ABS,290,51,24,,,190000,Converted,1977,2011,50,,,680,7,2,,IT,D,9
FPSO,MAERSK NGUJIMA-YIN,LR,261,58,31,23,DH,308490,Converted,1999,2008,120,100,137,1900,14,2,80,IT,D,9
FPSO,AOKA MIZU,DNV,248,42,21,15,DH,105000,New Built,1999,2009,30,38,36,600,15,,84,IT,D,9
FPSO,MARLIM SUL,ABS,343,52,27,21,SH,278000,Converted,1977,2003,100,80,113,2026,19,12,100,IT,P,9
FPSO,MODEC VENTURE 11,ABS,258,46,24,,,149686,Converted,1992,2005,100,2,100,930,12,,,IT,D,6
FPSO,MONDO,ABS,370,54,27,21,SH,273000,Converted,1975,2006,100,,100,2100,12,3,100,ET,P,9
FPSO,MONTARA VENTURE,ABS,274,43,24,,,146251,Converted,,,40,60,50,700,,,58,STP,,9
FPSO,MUNIN,ABS,94,22,6,,,5214,,,,60,27,65,600,7,2,54,DP and IT,D,9
FPSO,MV 8 LANGSA VENTURE,ABS,171,25,16,12,SH,35000,Converted,1974,2001,15,,15,272,3,,40,SM,P,8
FPSO,MYSTRAS,ABS,271,55,22,17,SH,138930,Converted,1976,2003,80,85,94,1035,23,10,100,SM,P,12
FPSO,NAN HAI ENDEAVOR (FEN JIN HAO),BV,262,46,25,,,153675,Converted,,2002,80,,80,1000,4,2,,IT,D,
FPSO,NAN HAI FA XIAN,ABS,349,52,26,20,SH,254012,Converted,1976,1989,80,6,81,1600,3,,90,IT,D,
FPSO,NAN HAI SHENG LI,ABS,267,44,23,,,132100,Converted,1975,1996,65,5,66,650,3,,,IT,P,10
FPSO,ARMADA PERDANA,ABS,308,46,23,17,SH,156483,Converted,1964,2009,45,60,45,1100,4,0,87,SM,P,12
FPSO,NGANHURRA,,260,46,26,18,DH,150000,New Built,2006,,100,80,113,900,7,1,80,RTM,D,9
FPSO,NINGALOO VISION,LR,238,42,24,15,DS,101832,Converted,1981,2008,63,80,76,650,8,,60,SM,D,9
FPSO,N KOSSA II LPG,BV,219,37,20,11,,48924,New Built,1996,,65,20,68,1000,4,2,75,ET,P,9
FPSO,NORNE,DNV,260,41,25,19,DH,100000,New Built,1997,,225,530,313,2000,,,240,SM,P,
FPSO,NORTH SEA PRODUCER,LR,236,40,20,15,DS,99800,Converted,1983,1997,76,30,81,560,8,2,53,"IT, SM",P,9
FPSO,NORTHERN ENDEAVOUR,LR,273,50,28,19,DS,177529,New Built,1999,,180,60,190,1400,8,2,84,IT,P,9
FPSO,OCEAN PRODUCER,ABS,240,36,18,13,SH,77250,Converted,1969,2001,20,10,22,510,8,,50,SM,P,8
FPSO,OKHA,,,,,,,158000,Converted,,2009,60,,,925,7,,,RTM,D,
FPSO,OSX-1,DNV,271,46,27,18,SH,135,New Built,2009,2011,40,7,41,950,15,5,80,STP,D,10
FPSO,P-31,ABS,337,55,28,22,SH,283000,Converted,1973,1997,100,6,101,1600,4,4,90,IT,,
SemiSub,AH001,BV,,,,65,,,,,,,425,,,,,,,,
SemiSub,INNOVATOR,ABS,,,,47,,,,,,,100,,,,,,,,
SemiSub,JANICE,BV,,,,,,,,,,,,,,,,,,,
SemiSub,KRISTIN,DNV,,,,70,,,,,,,646,,,,,,,,
SemiSub,MOHO/BILONDO,BV,,,,,,,,,,,45,,,,,,,,
SemiSub,NA KIKA,ABS,,,,90,,,,,,,425,,,,,,,,
SemiSub,NAN HAI TIAO ZHAN,VR,,,,,,,,,,,,,,,,,,,
SemiSub,NJORD A,DNV,,,,76,,,,,,,350,,,,,,,,
SemiSub,NORTHERN PRODUCER,LR,,,,,,,,,,,60,,,,,,,,
SemiSub,P-07,DNV,,,,70,,,,,,,32,,,,,,,,
SemiSub,P-08,ABS,,,,67,,,,,,,56,,,,,,,,
SemiSub,ASGARD B,DNV,,,,82,,,,,,,1300,,,,,,,,
SemiSub,P-09,ABS,,,,70,,,,,,,21,,,,,,,,
SemiSub,P-12,BV,,,,67,,,,,,,32,,,,,,,,
SemiSub,P-13,BV,,,,71,,,,,,,11,,,,,,,,
SemiSub,P-14,BV,,,,71,,,,,,,18,,,,,,,,
SemiSub,P-15,BV,,,,66,,,,,,,21,,,,,,,,
SemiSub,P-18,DNV,,,,60,,,,,,,75,,,,,,,,
SemiSub,P-19,BV,,,,69,,,,,,,71,,,,,,,,
SemiSub,P-20,DNV,,,,67,,,,,,,35,,,,,,,,
SemiSub,P-21,ABS,,,,55,,,,,,,42,,,,,,,,
SemiSub,P-22,ABS,,,,80,,,,,,,7,,,,,,,,
SemiSub,ATLANTIS,ABS,,,,85,,,,,,,180,,,,,,,,
SemiSub,P-25,ABS,,,,77,,,,,,,115,,,,,,,,
SemiSub,P-26,DNV,,,,60,,,,,,,107,,,,,,,,
SemiSub,P-27,ABS,,,,70,,,,,,,64,,,,,,,,
SemiSub,P-40,ABS,,,,70,,,,,,,163,,,,,,,,
SemiSub,P-51,DNV,,,,90,,,,,,,212,,,,,,,,
SemiSub,P-52,DNV,,,,89,,,,,,,212,,,,,,,,
SemiSub,SNORRE B,,,,,69,,,,,,,3,,,,,,,,
SemiSub,SS-11 (ATLANTIC ZEPHYR),ABS,,,,48,,,,,,,90,,,,,,,,
SemiSub,TAHARA,ABS,,,,85,,,,,,,17,,,,,,,,
SemiSub,THUNDER HAWK,ABS,,,,105,,,,,,,70,,,,,,,,
SemiSub,BALMORAL,DNV,,,,74,,,,,,,53,,,,,,,,
SemiSub,THUNDER HORSE,ABS,,,,99,,,,,,,200,,,,,,,,
SemiSub,TROLL B,DNV,,,,131,,,,,,,283,,,,,,,,
SemiSub,TROLL C,DNV,,,,69,,,,,,,320,,,,,,,,
SemiSub,VESLEFRIKK B,DNV,,,,85,,,,,,,52,,,,,,,,
SemiSub,VISUND,DNV,,,,69,,,,,,,650,,,,,,,,
SemiSub,CALAUIT,ABS,,,,,,,,,,,30,,,,,,,,
SemiSub,DAI HUNG I,ABS,,,,70,,,,,,,,,,,,,,,
SemiSub,MOLLY BROWN (x-P-24),ABS,,,,70,,,,,,,12,,,,,,,,
SemiSub,CHEVIOT,ABS,,,,,,,,,,,40,,,,,,,,
SemiSub,OPTI-EX,ABS,,,,85,,,,,,,150,,,,,,,,
SemiSub,BLIND FAITH,ABS,,,,,,,,,,,45,,,,,,,,
SemiSub,GUMUSUT,,,,,,,,,,,,,,,,,,,,
SemiSub,JACK/ST. MALO,,,,,,,,,,,,,,,,,,,,
SemiSub,P-55,BV,,,,112,,,,,,,6,,,,,,,,
SemiSub,P-56,DNV,,,,90,,,,,,,212,,,,,,,,
SemiSub,BUCHAN A,LR,,,,72,,,,,,,,,,,,,,,
SemiSub,GJOA,,,,,,,,,,,,350,,,,,,,,
SemiSub,HELIX PRODUCER I,LR,,,,28,,,,,,,70,,,,,,,,
SemiSub,INDEPENDENCE HUB,ABS,,,,105,,,,,,,1000,,,,,,,,
Spar,NEPTUNE,,,,,,,,,,,,,,,,,,,,
Spar,AASTA HANSTEEN SPAR FPSO,,,,,,,,,,,,,,,,,,,,
Spar,HOLSTEIN,,,,,,,,,,,,,,,,,,,,
Spar,KIKEH,,,,,,,,,,,,,,,,,,,,
Spar,MAD DOG,,,,,,,,,,,,,,,,,,,,
Spar,HOOVER / DIANA Deep Draft Cassion Vessel (DDCV),,,,,,,,,,,,,,,,,,,,
Spar,CONSTITUTION Global Producer X,,,,,,,,,,,,,,,,,,,,
Spar,RED HAWK Global Producer IX,,,,,,,,,,,,,,,,,,,,
Spar,HORN MOUNTAIN,,,,,,,,,,,,,,,,,,,,
Spar,DEVILS TOWER,,,,,,,,,,,,,,,,,,,,
Spar,LUCIUS,,,,,,,,,,,,,,,,,,,,
Spar,MEDUSA,,,,,,,,,,,,,,,,,,,,
Spar,PERDIDO,,,,,,,,,,,,,,,,,,,,
Spar,GENESIS,,,,,,,,,,,,,,,,,,,,
Spar,GUNNISON Global Producer VII,,,,,,,,,,,,,,,,,,,,
Spar,FRONT RUNNER,,,,,,,,,,,,,,,,,,,,
Spar,BOOMVANG Global Producer VI,,,,,,,,,,,,,,,,,,,,
Spar,NANSEN  Global Producer V,,,,,,,,,,,,,,,,,,,,
Spar,ATP TITAN Telemark Hub / Mirage,,,,,,,,,,,,,,,,,,,,
Spar,TAHITI,,,,,,,,,,,,,,,,,,,,
TLP,HUTTON,,,,,,,,,,,,,,,,,,,,
TLP,ALLEGHENY,,,,,,,,,,,,,,,,,,,,
TLP,MARLIN,,,,,,,,,,,,,,,,,,,,
TLP,TYPHOON,,,,,,,,,,,,,,,,,,,,
TLP,BRUTUS,,,,,,,,,,,,,,,,,,,,
TLP,PRINCE,,,,,,,,,,,,,,,,,,,,
TLP,WEST SENO A,,,,,,,,,,,,,,,,,,,,
TLP,MATTERHORN,,,,,,,,,,,,,,,,,,,,
TLP,MARCO POLO,,,,,,,,,,,,,,,,,,,,
TLP,KIZOMBA A,,,,,,,,,,,,,,,,,,,,
TLP,MAGNOLIA,,,,,,,,,,,,,,,,,,,,
TLP,JOLLIET,,,,,,,,,,,,,,,,,,,,
TLP,KIZOMBA B,,,,,,,,,,,,,,,,,,,,
TLP,OVENG,,,,,,,,,,,,,,,,,,,,
TLP,OKUME/EBANO,,,,,,,,,,,,,,,,,,,,
TLP,NEPTUNE,,,,,,,,,,,,,,,,,,,,
TLP,SHENZI PAPA,,,,,,,,,,,,,,,,,,,,
TLP,TERRA P-61,,,,,,,,,,,,,,,,,,,,
TLP,SNORRE A,,,,,,,,,,,,,,,,,,,,
TLP,AUGER,,,,,,,,,,,,,,,,,,,,
TLP,HEIDRUN,,,,,,,,,,,,,,,,,,,,
TLP,MARS,,,,,,,,,,,,,,,,,,,,
TLP,RAM/POWELL,,,,,,,,,,,,,,,,,,,,
TLP,MORPETH,,,,,,,,,,,,,,,,,,,,
TLP,URSA,,,,,,,,,,,,,,,,,,,,
