RIG_NAME,RIG_DESIGN_MODEL,YEAR_DELIVERED,COUNTRY_BUILT,CLASSIFICATION_SOCIETY,MAX_WATER_DEPTH_RATING_FT,MIN_WATER_DEPTH_FT,OVERALL_LEG_LENGTH_FT,SPUD_CAN_DIAMETER_FT,MAX_DRILLING_DEPTH_FT,QUARTERS_CAPACITY,OVERALL_HULL_LENGTH_FT,DERRICK_RATING_KIPS,DRAWWORKS_HP,BOP_OPERATING_PRESSURE_KSI
COSL Strike,KFELS u2018Bu2019 class,2009,Singapore,ABS,400,30,517,47,30000,112,234,1500,3450,15
COSL Seeker,BMC Pacific 375,2008,Singapore,ABS,375,30,506,56,30000,115,236,1500,3450,15
COSL Confidence,BMC Pacific 375,2009,Singapore,ABS,375,30,506,56,30000,115,236,1500,3450,15
COSL 941,F & G JU2000,2006,China,ABS,400,30,548,,30000,120,231,2000,,
COSL 942,F & G JU2000,2008,China,ABS,400,30,548,,30000,120,231,2000,,
Ocean Titan,LeTourneau 64,1974,USA,ABS,350,26,467,46,25000,76,237.1,1700,3000,10
Ocean Scepter,KFELS Super u2018Bu2019 class,2008,USA,ABS,350,20,486,47,35000,120,246,2000,4600,15
Setty,BMC 375,2010,Singapore,ABS,375,,506,,30000,120,236,,3000,15
Sneferu,BMC 375,2009,Singapore,ABS,375,,506,,30000,120,236,,3000,15
ENSCO 67,MLT 84-CE (enhanced),1976,Scotland,ABS,350,24,511,46,30000,108,238,1500,3000,10
ENSCO 68,MLT 116-CE (enhanced),1976,USA,ABS,400,22,512,46,30000,80,261,1500,3000,10
ENSCO 75,MLT Super 116C,1999,USA,ABS,380,32,544,57,30000,83,243,1500,3000,10
ENSCO 76,MLT Super 116C,1999,USA,ABS,350,16,411,46,30000,100,243,1500,3000,15
ENSCO 81,MLT 116-C,1979,UK,ABS,350,20,477,46,25000,106,243,1500,3000,10
ENSCO 87,MLT 116-C,1982,USA,ABS,350,25,477,46,25000,75,243,1500,3000,10
ENSCO 101,KFELS MOD V u2018Au2019 class,2000,Singapore,ABS,400,25,540,60,30000,96,228,1500,3000,15
ENSCO 102,KFELS MOD V u2018Au2019 class,2002,Singapore,ABS,400,25,541,60,30000,122,246,1500,3000,15
ENSCO 104,KFELS MOD V u2018Bu2019 class,2002,Singapore,ABS,400,20,517,47,30000,110,225,1500,3000,10
ENSCO 105,KFELS MOD V u2018Bu2019 class,2002,USA,ABS,400,16,517,46,30000,94,225,1500,3000,10
ENSCO 106,KFELS MOD V enhanced u2018Bu2019 class,2005,Singapore,ABS,400,20,517,53,30000,112,234,1500,3000,10
ENSCO 107,KFELS MOD V enhanced u2018Bu2019 class,2006,Singapore,ABS,400,20,517,53,30000,112,234,1500,3000,10
ENSCO 108,KFELS MOD V enhanced u2018Bu2019 class,2007,Singapore,ABS,400,20,517,53,30000,112,234,1500,3000,10
ENSCO 109,KFELS MOD V Super u2018Bu2019 class,2008,Singapore,ABS,400,20,486,53,30000,120,246,2000,4600,15
ENSCO 120,KFELS MOD V Super u2018Au2019 class,2013,Singapore,ABS,400,25,540,59.7,40000,150,246,2500,6000,15
Neptune,LeTourneau Super 116E,2013,UAE,,350,,,,30000,,,1500,3000,
Saturn,KFELS Mod V,2000,Azerbaijan,ABS,350,19,496,2690,26000,100,228,1300,3000,15
GreatDrill Chaaya,LeTourneau Super 116E,2013,UAE,ABS,350,30,478,,30000,106,243,1500,4500,15
GreatDrill,Chiltra KFELS B class,2009,Singapore,ABS,350,30,491,53,30000,112,234,1500,3000,10
GreatDrill Chetna,Chiltra KFELS B class,2009,Singapore,ABS,350,30,491,53,30000,112,234,1500,3000,10
Hercules 350,LeTourneau 116-C,1982,Canada,ABS,350,25,477,46,25000,,243,1250,3000,3
Hakuryu  10,BMC Pacific 375,2008,Singapore,ABS,375,30,506,55,30000,120,236,1500,3000,15
Hakuryu 11,KFELS Super u2018Bu2019 class,2013,Singapore,ABS,425,,531,47,35000,150,246,2000,1150,15
Discovery I,KFELS u2018Bu2019 class,2008,Singapore,ABS,350,30,491,47,30000,112,234,1600,3000,10
Virtue I,KFELS u2018Bu2019 class,2008,Singapore,ABS,350,30,491,47,30000,112,234,1600,3000,10
Ben Rinnes,LeTourneau 53,1973,USA,ABS,350,18,478,46,30000,100,284,1500,3000,10
Maersk Endurer,BMC 350,1984,Japan,ABS,350,30,479,56,30000,98,236,1500,3000,15
Maersk Gallant,MSC CJ62-120S,1993,Singapore,Lloyds,394,30,575,64,25000,100,257,2000,3000,15
Maersk Giant,Hitachi Zosen,1986,Japan,Lloyds,350,30,525,56,25000,100,277,1000,2000,15
Maersk Guardian,Hitachi Zosen,1986,Japan,Lloyds,350,30,515,56,25000,100,277,1000,2000,15
Mufffdrsk Innovator,MSC CJ70-150MC,2003,Korea,DnV,492,30,673,72,30000,120,291,2000,4600,15
Mufffdrsk Inspirer,MSC CJ70-150MC,2004,Korea,DnV,492,30,673,72,30000,120,291,2000,4600,15
Maersk Resilient,MSC CJ50,2008,Singapore,ABS,350,30,479,69,30000,120,229,1500,4500,15
Mufffdrsk Resolute,MSC CJ50,2008,Singapore,ABS,350,30,479,52,30000,120,229,1500,4500,15
Mufffdrsk Resolve,MSC CJ50,2009,Singapore,ABS,350,30,479,52,30000,120,229,1500,4500,15
Maersk Reacher,MSC CJ50,2008,Singapore,ABS,350,30,479,69,30000,110,229,1500,4500,15
Maersk Completer,BMC Pacific 375,2007,Singapore,ABS,375,30,507,55,30000,120,236.5,1500,3000,15
Maersk Convincer,BMC Pacific 375,2007,Singapore,ABS,375,30,507,55,30000,120,236.5,1500,3000,15
Noble Al White,CFEM T-2005-C,1982,France,DNV,360,50,504,49.2,25000,96,245,1000,4600,15
Noble Bill Jennings,MLT Class 84 ERC,1975,USA,ABS,390,25,500,46,25000,102,248,1300,3000,10
Noble Eddie Paul,MLT Class 84 ERC,1975,USA,ABS,390,25,500,46,25000,100,247,1671,3000,10
Noble Leonard Jones,MLT Class 53 ERC,1972,USA,ABS,350,25,500,46,25000,104,247,1671,3000,10
Noble Roger,Lewis JU-2000E,2007,China,ABS,400,30,547,59,35000,130,231,2000,4600,15
Noble Hans Duel,Lewis JU-2000E,2009,China,ABS,400,30,549,59,30000,120,328,1500,4600,15
Noble Scott Marks,Lewis JU-2000E,2009,China,ABS,400,30,548,59,30000,120,231,2000,4600,15
Tonala,KFELS u2018Bu2019 class,2004,USA,ABS,375,,517,46,25000,100,234,1500,3000,10
Panuco,LeTourneau 116-CE,2007,USA,ABS,350,,,,25000,,,,,
Tuxpan,LeTourneau Super 116-E,2010,USA,ABS,375,,511,,30000,,,,,
Papaloapan,LeTourneau Super 116-E,2013,USA,ABS,375,,511,,30000,120,243,1500,,
PV Drilling II,KFELS B,2009,Singapore,ABS,400,,517,46,30000,120,234,1500,3450,15
PV Drilling III,KFELS B,2009,Singapore,ABS,400,,517,53,30000,111,234,680,3200,15
Rowan Alaska,Letourneau 84,1975,USA,ABS,350,26,477,46,30000,79,248,1250,4500,10
Rowan Gorilla II,Gorilla,1984,Singapore,ABS,350,30,638,66,30000,88,297,1250,4500,10
Rowan Gorilla III,Gorilla,1984,USA,ABS,325,30,504,66,30000,92,297,1250,4500,15
Rowan Gorilla IV,Gorilla,1986,USA,ABS,450,30,638,66,30000,86,297,2000,4500,15
Rowan Gorilla V,Super Gorilla,1998,USA,ABS / DNV,400,30,574,57,35000,120,306,2500,5000,15
Rowan Gorilla VI,Super Gorilla,2000,USA,ABS / DNV,450,30,607,57,35000,120,306,2500,5000,15
Rowan Gorilla VII,Super Gorilla,2002,USA,ABS / DNV,450,30,607,57,35000,120,306,2500,5000,15
Bob Palmer,Super Gorilla XL,2003,USA,ABS / DNV,490,30,647,67.7,35000,118,306,2500,4500,15
Rowan Joe Douglas,Letourneau 240-C,2011,USA,ABS / DNV,375,,491,,35000,108,228,2500,3000,15
Rowan Louisiana,Letourneau 84,1975,USA,ABS,350,24,466,46,25000,78,248,1500,4500,10
Ralph Coffman,Letourneau 240-C,2009,USA,ABS,375,20,491,56,35000,108,228,2500,4500,15
Rowan EXL I,Super 116E,2010,USA,ABS,350,20,477,46,35000,120,228,2000,3000,15
Rowan EXL II,Super 116E,2010,USA,ABS,380,20,511,46,35000,120,228,2000,3000,15
Rowan EXL III,Super 116E,2010,USA,ABS,350,20,477,46,35000,120,228,2000,3000,15
Rowan EXL IV,Super 116E,2011,USA,ABS,320,,444,,35000,120,228,2000,3000,15
Rowan Mississippi,Letourneau 240-C,2008,USA,ABS,375,15,491,56,35000,108,228,2500,4500,15
Rowan Stavanger,KFELS N-Class,2011,Singapore,DNV,400,30,568,66,35000,120,264,2200,4600,15
Rowan Viking,KFELS N-Class,2010,Singapore,DNV,400,30,568,66,35000,120,264,2200,4600,15
Rowan Norway,KFELS N-Class,2011,Singapore,DNV,400,30,568,66,35000,120,264,2200,4600,15
West Leda,Baker Marine Pacific,2010,Singapore,ABS,375,55,506,55,30000,120,237,1500,3000,15
West Triton,Baker Marine Pacific,2008,Singapore,ABS,375,55,506,55.5,30000,115,237,1500,4050,15
West Cressida,Baker Marine Pacific,2009,Singapore,ABS,375,55,506,55,30000,120,237,1500,3000,15
West Ariel,KFELS u2018Bu2019 class,2008,Singapore,ABS,400,55,517,47,30000,112,234,1500,3000,15
West Callisto,KFELS u2018Bu2019 class,2010,Singapore,ABS,400,55,517,47,30000,112,234,1500,3000,15
West Prospero,KFELS u2018Bu2019 class,2007,Singapore,ABS,400,55,514,47,30000,110,234,1500,3000,15
West Castor,F & G JU 2000 E,2013,Singapore,ABS,400,,547,59,30000,140,231,2000,3000,15
West Oberon,F & G JU 2000 E,2013,China,ABS,400,,547,59,30000,140,231,2000,3000,15
West Telesto,F & G JU 2000 E,2013,China,ABS,400,,547,59,30000,140,231,2000,3000,15
West Epsilon,MSC CJ62 120S,1993,Singapore,DNV,400,,575,58,30000,115,237,1650,3000,15
West Elara,MSC CJ 70 X150A,2011,Singapore,DNV,492,32,672,75,40000,120,290,2200,4600,15
Offshore Courageous,LeTourneau Super 116C,2007,USA,ABS,350,16,477,46,30000,110,243,1500,3000,15
Offshore Resolute,LeTourneau Super 116C,2008,USA,ABS,350,16,477,46,30000,102,243,1500,3000,15
Offshore Defender,LeTourneau Super 116C,2007,USA,ABS,350,16,477,46,30000,102,243,1500,3000,15
Offshore Vigilant,LeTourneau Super 116C,2008,USA,ABS,350,16,477,46,30000,102,243,1500,3000,15
Offshore Intrepid,LeTourneau Super 116C,2009,USA,ABS,350,16,477,46,30000,102,243,1500,3000,15
Offshore Freedom,LeTourneau Super 116C,2009,USA,ABS,350,16.5,477,46,30000,105,243,1500,3000,15
Offshore Mischief,LeTourneau Super 116C,2009,USA,ABS,350,16.5,477,46,30000,105,243,1500,3000,15
ST Bahari I,F&G JU2000E,2011,China,ABS,400,,,,30000,120,,,3200,
GSF Constellation I,F&G JU 2000,2003,Singapore,ABS,400,,548,59,30000,120,231,1600,3000,15
GSF Constellation II,F&G JU 2000,2004,Singapore,ABS,400,,548,59,30000,120,231,1600,3000,15
GSF Galaxy I,F&G L-780 Mod VI,1991,Singapore,ABS,400,,560,60,30000,120,244,1600,3000,15
GSF Galaxy II,F&G L-780 Mod VI,1998,Singapore,ABS,400,,560,60,30000,120,244,1600,3000,15
GSF Galaxy III,F&G L-780 Mod VI,1999,Singapore,ABS,400,,560,60,30000,120,244,1600,3000,15
Transocean Honor,PPL Pacific Class 400,2012,Singapore,ABS,400,,532,55,30000,150,236,1500,3000,15
Transoean Siam Driller,Keppel FELS Super B,2013,Singapore,ABS,350,,486,,35000,150,246,1500,4500,10
Transoean Andaman,Keppel FELS Super B,2013,Singapore,ABS,350,,486,,35000,150,246,1500,4500,10
GSF Magellan,F&G L-780 Mod V,1992,Singapore,ABS,350,,496,60,30000,115,228,1600,3000,15
GSF Monarch,F&G L-780 Mod V,1986,Singapore,ABS,350,,496,60,30000,98,228,1400,3000,10
GSF Monitor,F&G L-780 Mod V,1989,Singapore,ABS,350,,496,60,30000,115,228,1550,3000,15
Emerald Driller,Baker Marine Pacific 375,2008,Singapore,ABS,375,30,506,55.5,30000,120,236,1500,3000,15
Sapphire Driller,Baker Marine Pacific 375,2009,Singapore,ABS,375,30,506,55.5,30000,120,236,1500,3000,15
Aquamarine Driller,Baker Marine Pacific 375,2009,Singapore,ABS,375,30,506,55.5,30000,120,236,1500,3000,15
Topaz Driller,Baker Marine Pacific 375,2009,Singapore,ABS,375,30,506,55.5,30000,120,236,1500,3000,15
