og_field_name,normalized_name,bsee_match_name,bsee_id_if_any,match_type,confidence
Mauna Kea,MAUNA KEA,,,none,0.00
MC 72,MC 72,,,none,0.00
McLaren,MCLAREN,South Timbalier (ST) area,,fuzzy,0.40
Medusa,MEDUSA,,,none,0.00
Merganser,MERGANSER,,,none,0.00
Mica,MICA,,,none,0.00
Mica Deep,MICA,,,none,0.00
Minnow,MINNOW,,,none,0.00
Mirage,MIRAGE,,,none,0.00
Moccasin,MOCCASIN,,,none,0.00
Mojito,MOJITO,,,none,0.00
Mondo NW,MONDO NW,,,none,0.00
Morgus,MORGUS,,,none,0.00
Morpeth,MORPETH,Ewing Bank (EW) area,,fuzzy,0.40
Mothball,MOTHBALL,,,none,0.00
Nansen,NANSEN,,,none,0.00
Nautilus (GOM),NAUTILUS,,,none,0.00
Navi,NAVI,,,none,0.00
Neptune (Atwater Valley),NEPTUNE,,,none,0.00
Nile,NILE,,,none,0.00
North Boomvang,NORTH BOOMVANG,,,none,0.00
North Platte,NORTH PLATTE,,,none,0.00
Northstar,NORTHSTAR,,,none,0.00
Northwest Nansen,NORTHWEST NANSEN,,,none,0.00
Northwest Navajo,NORTHWEST NAVAJO,,,none,0.00
Northwood,NORTHWOOD,,,none,0.00
Oooguruk,OOOGURUK,,,none,0.00
Oregano,OREGANO,,,none,0.00
Owl Creek (aka Owls Nest ),OWL CREEK,,,none,0.00
Ozona Deep,OZONA,,,none,0.00
Pardner,PARDNER,,,none,0.00
Parmer,PARMER,,,none,0.00
Partagas,PARTAGAS,,,none,0.00
Pegasus,PEGASUS,,,none,0.00
Penn State,PENN STATE,,,none,0.00
Perseus,PERSEUS,,,none,0.00
Pescado,PESCADO,,,none,0.00
Petronius,PETRONIUS,,,none,0.00
Phinisi,PHINISI,,,none,0.00
Phobos,PHOBOS,,,none,0.00
Phoenix,PHOENIX,,,none,0.00
Pompano,POMPANO,,,none,0.00
Pony,PONY,,,none,0.00
Power Play,POWER PLAY,,,none,0.00
Prince,PRINCE,Ewing Bank (EW) area,,fuzzy,0.40
Princess,PRINCESS,,,none,0.00
Pyrenees,PYRENEES,,,none,0.00
Pyrrho,PYRRHO,,,none,0.00
Q,Q,,,none,0.00
Quatrain,QUATRAIN,,,none,0.00
Quinteros,QUINTEROS,,,none,0.00
Ram Powell,RAM POWELL,,,none,0.00
Raptor,RAPTOR,,,none,0.00
Red Dog,RED DOG,,,none,0.00
Red Hawk,RED HAWK,,,none,0.00
Refugio,REFUGIO,,,none,0.00
Rickenbacker (aka Dunkirk),RICKENBACKER,,,none,0.00
Rocky Mountain,ROCKY MOUNTAIN,,,none,0.00
Sacate,SACATE,,,none,0.00
Sake,SAKE,,,none,0.00
Saleen,SALEEN,South Timbalier (ST) area,,fuzzy,0.40
Samurai,SAMURAI,,,none,0.00
San Jacinto,SAN JACINTO,,,none,0.00
San Marcos,SAN MARCOS,,,none,0.00
Santa Cruz (Galapagos),SANTA CRUZ,,,none,0.00
Santiago (Galapagos),SANTIAGO,,,none,0.00
Screwdriver,SCREWDRIVER,South Timbalier (ST) area,,fuzzy,0.40
Serrano,SERRANO,,,none,0.00
Shenandoah,SHENANDOAH,,,none,0.00
Shenzi,SHENZI,,,none,0.00
Silvertip,SILVERTIP,,,none,0.00
Sivulliq,SIVULLIQ,,,none,0.00
SOB 2,SOB 2,,,none,0.00
South Deimos,SOUTH DEIMOS,,,none,0.00
Southeast Tahoe,SOUTHEAST TAHOE,,,none,0.00
Southern Cross,SOUTHERN CROSS,,,none,0.00
Spartacus,SPARTACUS,,,none,0.00
Spiderman,SPIDERMAN,,,none,0.00
Spitfire,SPITFIRE,,,none,0.00
St. Malo,ST MALO,,,none,0.00
Stones,STONES,,,none,0.00
Sturgis,STURGIS,,,none,0.00
SW Shoebill,SW SHOEBILL,,,none,0.00
Swordfish,SWORDFISH,,,none,0.00
Taggart,TAGGART,,,none,0.00
Tahiti,TAHITI,,,none,0.00
Tahoe,TAHOE,,,none,0.00
Telemark,TELEMARK,,,none,0.00
Thunder Hawk,THUNDER HAWK,,,none,0.00
Thunder Horse,THUNDER HORSE,,,none,0.00
Thunder Horse North,THUNDER HORSE NORTH,,,none,0.00
Tiber,TIBER,,,none,0.00
Ticonderoga,TICONDEROGA,,,none,0.00
Tiger (EB494),TIGER,,,none,0.00
Tobago,TOBAGO,,,none,0.00
Toddy,TODDY,South Timbalier (ST) area,,fuzzy,0.40
Tomahawk,TOMAHAWK,,,none,0.00
Tonga,TONGA,,,none,0.00
Tonga West,TONGA WEST,,,none,0.00
Tornado,TORNADO,,,none,0.00
Torpedo,TORPEDO,,,none,0.00
Trident,TRIDENT,,,none,0.00
Triton,TRITON,,,none,0.00
Troubadour,TROUBADOUR,,,none,0.00
Tubular Bells,TUBULAR BELLS,,,none,0.00
Tucker,TUCKER,,,none,0.00
Ursa,URSA,,,none,0.00
Virgo,VIRGO,,,none,0.00
Vito,VITO,,,none,0.00
Vortex,VORTEX,,,none,0.00
Wang,WANG,,,none,0.00
Waylon,WAYLON,,,none,0.00
West Boomvang,WEST BOOMVANG,,,none,0.00
West Boreas,WEST BOREAS,,,none,0.00
Who Dat,WHO DAT,,,none,0.00
Whydah,WHYDAH,,,none,0.00
Wide Berth,WIDE BERTH,,,none,0.00
Winter,WINTER,,,none,0.00
Wrigley,WRIGLEY,,,none,0.00
Yosemite,YOSEMITE,,,none,0.00
Yucatan North,YUCATAN NORTH,,,none,0.00
