FACILITY_ID,FACILITY_NAME,DUTY,OPERATOR,HOST_TYPE,CURRENT_STATUS,STATUS_SINCE_YEAR,WATER_DEPTH_M,WATER_DEPTH_FT,COUNTRY,LOCATION,US_GOM_FLAG
452,Al Shaheen Location 4,Oil,Maersk Oil,Fixed Platform,Producing,1998,70,231,Qatar,Block 5,
452,Al Shaheen Location 5,Oil,Maersk Oil,Fixed Platform,Producing,2005,70,231,Qatar,Block 5,
452,Al Shaheen Location 6,Gas,Maersk Oil,Fixed Platform,Producing,2005,70,231,Qatar,Block 5,
452,Al Shaheen Location 7,Oil,Maersk Oil,Fixed Platform,Under Construction,2005,70,231,Qatar,Block 5,
452,Al Shaheen Location 8,Oil,Maersk Oil,Fixed Platform,Under Construction,2005,70,231,Qatar,Block 5,
452,Al Shaheen Location 9,Oil/Gas,Maersk Oil,Fixed Platform,Under Construction,2005,70,231,Qatar,Block 5,
784,Al Zaafarana FPSO,Oil,BG,FPSO,Producing,1994,60,198,Egypt,North Zaafarana Concession,
1467,Alba (EG) B2 Platform,Gas,Marathon,Fixed Platform,Producing,1991,75,248,Equatorial Guinea,Alba PSC,
1467,Alba (EG) B3 Compression Platform,Gas,Marathon,Fixed Platform,Under Construction,2013,75,248,Equatorial Guinea,Alba PSC,
226,Alba Northern Platform,Oil,ConocoPhillips,Fixed Platform,Producing,1994,158,521,UK,16/26,
226,Alba Southern Platform,Oil/Gas,ConocoPhillips,Fixed Platform,Producing,1994,138,455,UK,Block 16/26,
550,Albacora Platform,Oil/Gas,BPZ Energy,Fixed Platform,Producing,2013,,,Peru,Block Z-1,
477,Alen Platform,Gas,Noble Energy,Fixed Platform,Producing,2013,530,1749,Equatorial Guinea,Block O,
305,Alima FPU,Oil/Gas,Total,FPU/FPS,Producing,2008,1200,3960,Congo,Moho Bolindo Permit,
116,Allegheny SeaStar Mini-TLP,Oil/Gas,ENI (NOC),Mini-TLP,Producing,1999,1005,3317,US,Green Canyon 254,Y
492,Alma Fixed Platform,Gas,ExxonMobil,Fixed Platform,Producing,2003,67,221,Canada,,
212,Alvheim FPSO,Oil/Gas,Marathon,FPSO,Producing,2008,130,429,Norway,"24/6, 25/4",
227,Alwyn North A Platform,Oil/Gas,Total,Fixed Platform,Producing,1987,126,416,UK,"3/4a, 3/9a, 3/10b,",
227,Alwyn North B Platform,Oil/Gas,Total,Fixed Platform,Producing,1987,126,416,UK,"3/4a, 3/9a, 3/10b",
168,Amberjack Fixed Platform,Oil/Gas,Stone Energy,Fixed Platform,Producing,1991,314,1036,US,Mississippi Canyon 109,Y
318,Amenam Kpono Production Platform (Phase I),Oil/Gas,Total,Fixed Platform,Producing,2003,40,132,Nigeria,"OML 99, OML 70",
318,Amenam Kpono Production Platform (Phase II),Gas,Total,Fixed Platform,Producing,2007,40,132,Nigeria,"OML 99, OML 70",
783,Amethyst Platforms,Oil/Gas,Perenco,Fixed Platform,Producing,1990,30,99,UK,47/14a,
1791,Amstel Platform,Oil,GDF Suez,Fixed Platform,Producing,2014,19,63,Netherlands,Q13a,
1269,Anasuria FPSO,Oil,Shell,FPSO,Producing,1997,,,UK,21/25,
1367,Ande Ande Lumut FPSO,Oil,Santos,FPSO,Prospect,2012,80,264,Indonesia,North West Natuna PSC,
1367,Ande Ande Lumut Wellhead Platform,Oil,Santos,Fixed Platform,Prospect,2012,80,264,Indonesia,North West Natuna PSC,
786,Andrew Platform,Oil/Gas,BP,Fixed Platform,Producing,1996,117,386,UK,"16/27a, 16/28",
1730,Anggerik WHP,Gas,Hess Corp.,Fixed Platform,Prospect,2013,,,Malaysia,"PM302, PM325, PM326B",
868,Anglia Fixed Platform,Gas,Ithaca Energy,Fixed Platform,Producing,1991,26,86,UK,"P128: 48/18b, 48/19b, 48/19e, P.128",
1144,Annamaria A Platform,Gas,ENI (NOC),Fixed Platform,Producing,2009,60,198,Croatia,,
1144,Annamaria B Platform,Gas,ENI (NOC),Fixed Platform,Producing,2010,60,198,Croatia,A.C11.AG concession,
1368,Anoa Gas Compression Platform,Gas,Premier Oil,Fixed Platform,Producing - Under Const.,2013,77,254,Indonesia,Natuna Sea Block A,
1368,Anoa Gas Export Platform,Gas,Premier Oil,Fixed Platform,Producing,1996,77,254,Indonesia,Natuna Sea Block A,
1368,Anoa Natuna FPSO,Oil/Gas,Premier Oil,FPSO,Producing,1990,77,254,Indonesia,Natuna Sea Block A,
238,Aoka Mizu FPSO,Oil/Gas,Nexen,FPSO,Producing,2009,110,363,UK,"20/2a, 20/3a",
398,Appaloosa Subsea,Oil,ENI (NOC),Subsea Tieback,Producing,2011,853,2815,US,Mississippi Canyon 460,Y
1402,Arbroath Platform,Oil/Gas,Talisman,Fixed Platform,Producing,1991,93,307,UK,22/18,
270,Aries Platform,Gas,Total,Fixed Platform,Producing,2006,60,198,Argentina,CMA-1,
393,Arkutun-Dagi GBS,Oil/Gas,ExxonMobil,Fixed Platform,Under Construction,2009,,,Russian Federation,,
911,Armada Clair FPSO,Oil/Gas,Apache,FPSO,Under Construction,2012,137,452,Australia,WA-356-P,
488,Armada Perdana FPSO,Oil,CAMAC Energy,FPSO,Producing,2009,350,1155,Nigeria,OML 120,
771,Armada Platform,Gas,BG,Fixed Platform,Producing,1997,88,290,UK,22/5,
1520,Armada TGT 1 FPSO,Oil,Hoang Long,FPSO,Producing,2011,45,149,Viet nam,16-1,
288,Arthit CPU,Gas,PTTEP (NOC),Fixed Platform,Producing,2008,80,264,Thailand,"B14A, B15A, B16A",
477,Aseng FPSO,Oil/Gas,Noble Energy,FPSO,Producing,2011,945,3119,Equatorial Guinea,Block I,
357,Asgard A FPSO,Oil,Statoil,FPSO,Producing,1999,300,990,Norway,6506/12-1,
357,Asgard B Semisubmersible,Gas,Statoil,Semisub,Producing,2000,310,1023,Norway,6506/12,
358,Asgard C FSO,Gas,Statoil,FSO/FSU,Producing,2000,300,990,Norway,"6507/11, 6407/2, 6506/11",
357,Asgard Subsea Compression,Oil/Gas,Statoil,Subsea Tieback,Under Construction,2012,300,990,Norway,"6507/11, 6407/5, 6407/6",
1455,Ashtart Platform,Oil,OMV,Fixed Platform,Producing,1974,66,218,Tunisia,,
144,Atlantis Semisub,Oil/Gas,BP,Semisub,Producing,2007,2160,7128,US,Green Canyon 787,Y
971,Audrey,Gas,Venture Production (pre-merger),Fixed Platform,Producing,1998,24,79,UK,49/11,
139,Auger TLP,Oil/Gas,Shell,TLP,Producing,1994,872,2878,US,Garden Banks 426,Y
908,Auk A Platform,Oil,Talisman,Fixed Platform,Producing,1975,84,277,UK,"30/16, P116",
348,Autonomous Re-Pumping Platform (PRA-1),Oil,Petrobras (NOC),Fixed Platform,Producing,2008,106,350,Brazil,,
767,Avouma Fixed Platform,Oil,Vaalco Energy,Fixed Platform,Producing,2007,137,452,Gabon,Etame Marin Permit,
622,Awawa Wellhead Platform,Oil,ExxonMobil,Fixed Platform,Producing,2004,95,314,Nigeria,OML 104,
501,Ayatsil B Platform,Oil,Pemex (NOC),Fixed Platform,Under Construction,2012,125,413,Mexico,,
560,Ayazli Platform,Gas,TPAO,Fixed Platform,Producing,2008,76,251,Turkey,South Akcakoca Sub Basin,
370,Azurite FDPSO,Oil/Gas,Murphy,FPSO,Abandoned,2013,,,"Congo, The Demo. Rep. of the",Mer Profonde Sud Block,
551,Babbage Fixed Platform,Gas,E.ON,Fixed Platform,Producing,2010,42,139,UK,"P456, 48/2a",
1242,Balai Wellhead Platform,Oil/Gas,BC Petroleum,Fixed Platform,Under Construction,2012,60,198,Malaysia,Balai Cluster SFRSC,
1142,Balder FPU,Oil,ExxonMobil,FPU/FPS,Producing,1999,125,413,Norway,"25/8, 25/10, 25/11",
131,Baldpate Compliant Tower,Oil/Gas,Hess Corp.,Compliant Tower,Producing,1998,502,1657,US,Garden Banks 260,Y
778,Balmoral FPS,Oil,Oilexco,FPU/FPS,Producing,1986,150,495,UK,Block 16/21a,
1369,Banyu Urip Central Processing Complex,Oil,ExxonMobil,Fixed Platform,Producing,2008,,,Indonesia,,
1369,Banyu Urip FSO,Oil,ExxonMobil,FSO/FSU,Under Construction,2011,,,Indonesia,,
519,Barboni Production Platform,Gas,Petrobel (NOC),Fixed Platform,Producing,2009,350,1155,Egypt,North Bardawil Concession,
766,Bardolino Subsea,Oil/Gas,Shell,Subsea Tieback,Producing,2010,92,304,UK,"22/11, 22/12, 22/13",
272,Barracuda FPSO P-43,Oil/Gas,Petrobras (NOC),FPSO,Producing,1997,1100,3630,Brazil,,
669,Barzan WHP-1,Gas,Qatar Petroleum (NOC),Fixed Platform,Under Construction,2012,,,Qatar,,
669,Barzan WHP-2,Gas,Qatar Petroleum (NOC),Fixed Platform,Under Construction,2012,,,Qatar,,
669,Barzan WHP-3,Gas,Qatar Petroleum (NOC),Fixed Platform,Under Construction,2012,,,Qatar,,
665,Bayu-Undan Complex,Gas,ConocoPhillips,Fixed Platform,Producing,2004,80,264,Australia,"Timor Gap PSC 03-12, 03-13",
665,Bayu-Undan FSO,Gas,ConocoPhillips,FSO/FSU,Producing,2004,80,264,Australia,"Timor Gap PSC 03-12, 03-13",
665,Bayu-Undan Wellhead Platform,Gas,ConocoPhillips,Fixed Platform,Producing,2004,80,264,Australia,"Timor Gap PSC 03-12, 03-13",
323,Beatrice Alpha Platform,Oil,Ithaca Energy,Fixed Platform,Producing,1981,40,132,UK,11/30b,
323,Beatrice Bravo Platform,Oil,Ithaca Energy,Fixed Platform,Producing,1983,40,132,UK,11/30b,
530,Belayim Platforms,Oil,ENI (NOC),Fixed Platform,Producing,1962,40,132,Egypt,,
1210,Benguela-Belize Lobito-Tomboco Compliant Tower,Oil,Cabinda Gulf,Compliant Tower,Producing,2006,396,1307,Angola,Block 14,
1242,Bentara Wellhead Platform,Oil/Gas,BC Petroleum,Fixed Platform,Under Construction,2012,60,198,Malaysia,Balai Cluster SFRSC,
719,Bentley FSO,Oil,Xcite Energy,FSO/FSU,Prospect,2014,113,373,UK,P1078: 9/3b,
719,Bentley Platform,Oil,Xcite Energy,Fixed Platform,Prospect,2014,113,373,UK,P1078: 9/3b,
1730,Bergarding CPP,Gas,Hess Corp.,Fixed Platform,Under Construction,2012,,,Malaysia,PM325,
1039,Bertam FPSO,Oil,Lundin,FPSO,Under Construction,2013,76,251,Malaysia,PM307,
1039,Bertam WHP,Oil,Lundin,Fixed Platform,Under Construction,2013,76,251,Malaysia,PM307,
343,Big Foot TLP,Oil/Gas,Chevron,Mini-TLP,Under Construction,2010,1615,5330,US,Walker Ridge 29,Y
445,Blacktip Wellhead Platform,Gas,ENI (NOC),Fixed Platform,Producing,2009,50,165,Australia,WA-279-P,
319,Bleo Holm FPSO,Oil/Gas,Talisman,FPSO,Producing,1999,105,347,UK,"UKCS 13/28a, 13/28c, 13/29a, 13/24",
119,Blind Faith Semisub,Oil/Gas,Chevron,Semisub,Producing,2008,1981,6537,US,Mississippi Canyon 696,Y
336,Bohai Ming Zhu FPSO,Oil,ConocoPhillips,FPSO,Producing,2002,31,102,China,11/05,
417,Bohai Shi Ji FPSO,Oil,CNOOC China Limited,FPSO,Producing,2001,20,66,China,QHD 32-6,
1080,Bonaparte FLNG,Gas,GDF Suez,FLNG,Prospect,2011,,,Australia,,
250,Bonga FPSO,Oil/Gas,Snepco,FPSO,Producing,2005,1030,3399,Nigeria,Oil Prospecting License 212,
118,Boomvang Spar Platform,Oil/Gas,Anadarko,SPAR,Producing,2002,1052,3472,US,East Breaks 642,Y
1143,Brae Alpha,Oil,Marathon,Fixed Platform,Producing,1988,112,370,UK,16/07a,
479,Brage Fixed Platform,Oil/Gas,Wintershall,Fixed Platform,Producing,1993,140,462,Norway,"30/6, 31/4, 31/7",
520,Breagh Alpha Platform,Gas,RWE-DEA,Fixed Platform,Producing,2013,59,195,UK,"P1230, 42/21a, 42/13a",
1579,Bressay FSU,Oil,Statoil,FSO/FSU,Prospect,2013,102,337,UK,"P920; 3/27b, 3/28a, 3/28b, 9/2a, 9/3a",
1579,Bressay PDQ,Oil,Statoil,Fixed Platform,Prospect,2013,102,337,UK,"P920; 3/27b, 3/28a, 3/28b, 9/2a, 9/3a",
322,Brigantine BG Fixed Platform,Oil/Gas,Shell,Fixed Platform,Producing,2001,29,96,UK,"49/19, 49/18",
322,Brigantine BR Fixed Platform,Oil,Shell,Fixed Platform,Producing,2001,,,UK,49/19,
1605,BritSats BLP,Oil/Gas,Britannia,Fixed Platform,Producing,1998,148,488,UK,16/26,
943,Browse FLNG Facility,Gas,Woodside,FLNG,Prospect,2010,,,Australia,,
1452,Bruce CR,Oil/Gas,BP,Fixed Platform,Producing,1998,121,399,UK,"9/8a, 9/9b",
1452,Bruce D,Oil/Gas,BP,Fixed Platform,Producing,1993,121,399,UK,"9/8a, 9/9b",
1452,Bruce PUQ,Oil/Gas,BP,Fixed Platform,Producing,1993,121,399,UK,"9/8a, 9/9b",
140,Brutus TLP,Oil,Shell,TLP,Producing,2001,1036,3419,US,,Y
332,Bua Ban FSO,Oil/Gas,Coastal Energy,FSO/FSU,Under Construction,2009,30,99,Thailand,Block G5/43,
332,Bua Ban Platform,Oil/Gas,Coastal Energy,Fixed Platform,Under Construction,2009,30,99,Thailand,Block G5/43,
363,Bualuang Alpha,Oil,Salamander Energy,Fixed Platform,Producing,2008,60,198,Thailand,B8/38,
363,Bualuang Bravo,Oil,Salamander Energy,Fixed Platform,Producing,2012,60,198,Thailand,B8/38,
363,Bualuang Charlie,Oil,Salamander Energy,Fixed Platform,Prospect,2013,60,198,Thailand,B8/38,
363,Bualuang FSO,Oil,Salamander Energy,FSO/FSU,Under Construction,2013,60,198,Thailand,B3/38,
175,Bud Lite Platform,Oil/Gas,Shell,Fixed Platform,Producing,1996,84,277,US,Main Pass 252,Y
175,Bud Production Platform,Gas,Shell,Fixed Platform,Producing,1991,84,277,US,Main Pass 252,Y
380,Bukha Platform,Oil/Gas,DNO,Fixed Platform,Producing,2009,90,297,Oman,Block 8,
1736,Bukit Tua FPSO,Oil/Gas,Petronas (NOC),FPSO,Under Construction,2013,60,198,Indonesia,Ketapang PSC,
136,Bullwinkle Fixed Platform,Oil/Gas,Dynamic Offshore Resources,Fixed Platform,Producing,1989,412,1360,US,Green Canyon 65,Y
1860,Bunga Kertas FPSO,Oil,SapuraKencana,FPSO,Producing,2008,61,201,Malaysia,PM318,
778,Burghley Subsea,Oil,Talisman,Subsea Tieback,Producing,2010,,,UK,16/22,
237,Buzzard Platform,Oil/Gas,Nexen,Fixed Platform,Producing,2007,100,330,UK,20/6,
651,BW Athena FPSO,Oil,Ithaca Energy,FPSO,Producing,2012,134,442,UK,14/18b,
1194,BW Joko Tole FPSO,Gas,Kangean,FPSO,Producing,2012,300,990,Indonesia,,
124,BW Pioneer FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2012,2690,8877,US,Walker Ridge 249,Y
1258,CA Litoral-A Compression,Gas,Pemex (NOC),Fixed Platform,Producing - Under Const.,2010,26,86,Mexico,,
369,Ca Ngu Vang Wellhead Platform,Oil/Gas,Hoan Vu JOC,Fixed Platform,Producing,2008,56,185,Viet nam,9-2,
628,Cadlao FPSO,Oil,Blade Petroleum,FPSO,Prospect,2009,20,66,Philippines,SC 6,
1545,Caister,Gas,ConocoPhillips,Fixed Platform,Producing,1993,41,135,UK,44/23-4,
1246,Cakerawala Complex,Gas,Carigali-Hess Operating Co.,Fixed Platform,Producing,2002,60,198,Thailand,A-18,
535,Cantarell Complex,Oil/Gas,Peltex,Fixed Platform,Producing,1979,35,116,Mexico,,
115,Canyon Express Subsea,Gas,ATP,Subsea Tieback,Producing,2002,2195,7244,US,"MC 348, 305, 217, 173; DC 217, 177",Y
115,Canyon Station Production Platform,Gas,Williams,Fixed Platform,Producing,2002,2346,7742,US,Main Pass 261,Y
243,Captain FPSO,Oil,Chevron,FPSO,Producing,1997,106,350,UK,13/22a,
272,Caratinga FPSO P-48,Oil/Gas,Petrobras (NOC),FPSO,Producing,2004,1350,4455,Brazil,,
270,Carina Platform,Gas,Total,Fixed Platform,Producing,2006,80,264,Argentina,CMA-1,
1118,Casablanca Production,Oil,Repsol,Fixed Platform,Producing,1982,161,531,Spain,,
1199,Cash-Maple FLNG,Gas,PTTEP (NOC),FLNG,Prospect,2011,,,Australia,AC/RL7,
554,Casino Subsea,Gas,Santos,Subsea Tieback,Producing,2006,56,185,Australia,"VIC/P24, VIC/L30",
646,Catcher FPSO,Oil,Premier Oil,FPSO,Prospect,2014,90,297,UK,"P1430, 28/9, 28/10c",
561,Cecilie Wellhead Platform,Oil/Gas,DONG (NOC),Fixed Platform,Producing,2003,60,198,Denmark,"5604/19, 5604/20",
1509,Cendor FSO,Oil,Petrofac,FSO/FSU,Producing,2006,72,238,Malaysia,PM304,
1509,Cendor Producer MOPU,Oil,Petrofac,MOPU,Producing,2006,,,Malaysia,PM304,
273,Central Azeri Compression and Water Injection Platform,Gas,AIOC,Fixed Platform,Producing,2005,120,396,Azerbaijan,,
273,Central Azeri Platform,Oil,AIOC,Fixed Platform,Producing,2005,120,396,Azerbaijan,,
464,Central Processing Platform,Oil/Gas,BHP Billiton,Fixed Platform,Producing,2004,50,165,Trin. & Tobago,Block 2(c),
1105,Ceres Subsea Tieback,Gas,Venture Production (pre-merger),Subsea Tieback,Producing,2010,32,106,UK,47/9c,
1128,Cheviot Octabuoy Platform,Oil/Gas,ATP,Semisub,Under Construction,2010,152,502,UK,"2/10b, 2/15a and 3/11b",
383,Chim Sao Platform 1,Oil/Gas,Premier Oil,Fixed Platform,Producing,2011,115,380,Viet nam,"Block 12E, 12W",
383,Chim Sao Platform 2,Oil/Gas,Premier Oil,Fixed Platform,Producing,2011,115,380,Viet nam,Block 12E,
258,Chinguetti - Berge Helene FPSO,Oil/Gas,Petronas (NOC),FPSO,Producing,2006,800,2640,Mauritania,"Block 4, PCS Area B",
273,Chirag-1 Platform,Oil/Gas,AIOC,Fixed Platform,Producing,1997,120,396,Azerbaijan,,
274,Cidade de Angra dos Reis FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2010,2150,7095,Brazil,BM-S-11,
536,Cidade de Ilhabela FPSO,Oil/Gas,Petrobras (NOC),FPSO,Under Construction,2012,2140,7062,Brazil,BM-S-9,
1478,Cidade de Itajai FPSO,Oil,Petrobras (NOC),FPSO,Producing,2013,275,908,Brazil,BM-S-40,
703,Cidade de Macae FSO,Oil,Petrobras (NOC),FSO/FSU,Producing,2007,,,Brazil,,
703,Cidade de Niteroi MV18 FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2009,1500,4950,Brazil,,
274,Cidade de Paraty FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2013,2120,6996,Brazil,BM-S-11,
729,Cidade de Rio das Ostras FPSO,Oil,Petrobras (NOC),FPSO,Under Construction,2010,977,3224,Brazil,C-M-401,
352,Cidade de Sao Mateus FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2009,763,2518,Brazil,BM-ES-5,
536,Cidade de Sao Paulo FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2012,2141,7065,Brazil,BM-S-9,
274,Cidade de Sao Vicente FPSO,Oil/Gas,Petrobras (NOC),FPSO,Under Construction,2008,2170,7161,Brazil,BM-S-11,
364,Cidade de Vitoria FPSO,Oil/Gas,Petrobras (NOC),FPSO,Producing,2007,1400,4620,Brazil,BES-100,
282,Cidade do Rio de Janeiro FPSO,Oil,Petrobras (NOC),FPSO,Producing,2007,,,Brazil,,
242,Clair Platform,Oil/Gas,BP,Fixed Platform,Producing,2005,140,462,UK,"206/7a, 206/9, 206/12, 206/13a",
242,Clair Ridge Drilling Platform,Oil/Gas,BP,Fixed Platform,Under Construction,2011,140,462,UK,"206/7a, 206/9, 206/12, 206/13a",
242,Clair Ridge PUQ,Oil/Gas,BP,Fixed Platform,Under Construction,2011,140,462,UK,"206/7a, 206/9, 206/12, 206/13a",
1700,Claymore Platform,Oil,Talisman,Fixed Platform,Producing,1977,111,366,UK,14/19,
797,Cliff Head Platform,Oil,Roc Oil,Fixed Platform,Producing,2006,,,Australia,WA-286-P,
404,Clipper South Platform,Gas,RWE-DEA,Fixed Platform,Producing,2012,24,79,UK,"UKCS 48/19c, 48/19a, 48/20a",
354,Clipper Subsea Tie-Back,Oil,ATP,Subsea Tieback,Under Construction,2009,1055,3482,US,"Green Canyon 299, 300",Y
324,CLOV FPSO,Oil,Total,FPSO,Under Construction,2010,,,Angola,17,
552,Cluster-7 FPSO,Oil/Gas,ONGC (NOC),FPSO,Under Construction,2013,85,281,India,BH-DS,
1095,Clyde,Oil,Talisman,Fixed Platform,Producing,1987,79,261,UK,30/17b,
137,Cognac Fixed Platform,Oil,Shell,Fixed Platform,Producing,1979,312,1030,US,Mississippi Canyon 194,Y
150,Constitution Truss Spar,Oil/Gas,Anadarko,SPAR,Producing,2006,1554,5128,US,Green Canyon 680,Y
1108,Conwy Platform,Oil/Gas,EOG Resources,Fixed Platform,Under Construction,2011,,,UK,110/12,
227,Cormorant Alpha Platform,Oil,Total,Fixed Platform,Producing,1987,126,416,UK,"3/4a, 3/9a, 3/10b",
579,Corral Platform (Formerly Crystal),Gas,Noble Energy,Fixed Platform,Producing,1995,619,2043,US,Mississippi Canyon 365,Y
327,Corrib Subsea,Gas,Shell,Subsea Tieback,Under Construction,2004,,,Ireland,18/20 and 18/25,
695,Crawford Subsea Tieback,Oil,Fairfield Energy,Subsea Tieback,Prospect,2008,117,386,UK,"9/28a, P.209",
1704,Cuulong Thai Binh FPSO,Oil,Cuu Long JOC,FPSO,Producing,2003,48,158,Viet nam,15-1,
447,CX-11 Platform,Oil/Gas,BPZ Energy,Fixed Platform,Producing,2007,61,201,Peru,Block Z-1,
447,CX-15 Platform,Oil/Gas,BPZ Energy,Fixed Platform,Under Construction,2011,61,201,Peru,Block Z-1,
514,Cygnus Complex,Gas,GDF Suez,Fixed Platform,Under Construction,2012,23,76,UK,"44/11a, 44/12a",
1591,D15a-A Platform,Gas,GDF Suez,Fixed Platform,Producing,1999,42,139,Netherlands,D15,
1689,D18 Platform,Oil,Petronas (NOC),Fixed Platform,Producing,1986,31,102,Malaysia,,
1591,D18a-A Platform,Gas,GDF Suez,Fixed Platform,Producing,2013,40,132,Netherlands,D18a,
446,Dai Hung Fixed Wellhead Platform,Oil,PetroVietnam (NOC),Fixed Platform,Producing,2007,110,363,Viet nam,Block 05.1A,
446,Dai Hung FPU,Oil,PetroVietnam (NOC),FPU/FPS,Producing,1994,110,363,Viet nam,Block 05.1A,
248,Dalia FPSO,Oil,Total,FPSO,Producing,2006,1500,4950,Angola,17,
1799,Damar A Platform,Gas,ExxonMobil,Fixed Platform,Producing,2014,55,182,Malaysia,PM303,
321,Dampier Spirit FSO,Oil,Apache,FSO/FSU,Producing,1998,49,162,Australia,Wa-15-L,
1341,Dan Center,Oil/Gas,Maersk Oil,Fixed Platform,Producing,1972,40,132,Denmark,5505/17,
1117,De Ruyter GBS,Oil/Gas,Dana Petroleum,Fixed Platform,Producing,2004,35,116,Netherlands,P10b,
279,Deep Panuke PFC,Gas,Encana,MOPU,Producing,2013,,,Canada,,
1253,Delta House FPU,Oil/Gas,LLOG,FPU/FPS,Under Construction,2012,1371,4524,US,Mississippi Canyon 254,Y
152,Devils Tower SPAR Platform,Oil/Gas,ENI (NOC),SPAR,Producing,2004,1710,5643,US,Mississippi Canyon 773,Y
1263,Dhirubhai-1 FPSO,Oil/Gas,Reliance Industries,FPSO,Producing,2009,1200,3960,India,KG-D6,
453,Didon Fixed Platform,Oil,EnQuest PLC,Fixed Platform,Producing,2006,75,248,Tunisia,Didon Concession,
453,Didon FSO,Oil,EnQuest PLC,FSO/FSU,Producing,2007,75,248,Tunisia,Didon Concession,
612,DOL-1 Platform,Gas,Dolphin Energy Ltd,Fixed Platform,Producing,2007,,,Qatar,Khuff Zone,
612,DOL-2 Platform,Gas,Dolphin Energy Ltd,Fixed Platform,Producing,2007,,,Qatar,Khuff Zone,
559,Dolphin Deep SS Tieback,Gas,BG,Subsea Tieback,Producing,2006,198,653,Trin. & Tobago,ECMA Block 5a,
559,Dolphin Platform,Gas,BG,Fixed Platform,Producing,1996,198,653,Trin. & Tobago,ECMA Block 6(b),
1108,Douglas Platform,n/a,BHP Billiton,Fixed Platform,Producing,1996,33,109,UK,"110/13, P.710",
1460,DP3 Platform,Oil/Gas,ENI (NOC),Fixed Platform,Producing,1988,160,528,Libya,NC-41,
1460,DP4 Platform,Oil/Gas,ENI (NOC),Fixed Platform,Producing,1988,160,528,Libya,NC-41,
799,Draugen,Oil,Shell,Fixed Platform,Producing,2010,250,825,Norway,6407/9,
136,Droshky Subsea,Oil/Gas,Marathon,Subsea Tieback,Producing,2010,884,2917,US,Green Canyon Block 244,Y
383,Dua Subsea Tieback,Oil,Premier Oil,Subsea Tieback,Under Construction,2011,,,Viet nam,12E,
1444,Dulang Platforms,Oil/Gas,Petronas Carigali (NOC),Fixed Platform,Producing,1991,76,251,Malaysia,PM6,
227,Dunbar Platform,Oil/Gas,Total,Fixed Platform,Producing,1994,145,479,UK,"3/14A, 3/13A, 3/8A, 3/9B, 3/14B",
1149,Dunlin Alpha Platform,Oil/Gas,Fairfield Energy,Fixed Platform,Producing,1978,152,502,UK,"UK Blocks 211/23a, 211/24a",
1326,Dzheitune Lam A Platform,Oil,Dragon Oil,Fixed Platform,Producing,2000,8,26,Turkmenistan,Cheleken Contract Area Block 2,
1326,Dzheitune Lam B Platform,Oil,Dragon Oil,Fixed Platform,Producing,2009,8,26,Turkmenistan,Cheleken Contract Area Block 2,
