og_field_name,block,bsee_block_code,match_type,matched,host_concept,operator
Boomvang,"East Breaks 598, 599, 642, 643, 688",EB598,none,0,spar,Anadarko
Boonville,Green Canyon 618,GC618,none,0,,
Boris,Green Canyon 282,GC282,block,1,semisub_fps,Helix Solutions Group
Boudin,Eugene Island 26,EI26,none,0,,
Brisbane,Atwater Valley 187,AT187,none,0,,
Brutus,"Green Canyon 158, 202",GC158,block,1,tlp,Shell
Buckskin,Keathley Canyon 872,KC872,block,1,,
Bud,"Main Pass 251, 252",MP251,none,0,fixed_jacket,Shell
Bullwinkle,Green Canyon 65,GC65,block,1,subsea_tieback,Marathon
Burger,"6714, 6764, and 6912",,unparsed,0,,
Bushwood (Geauxpher),"Garden Banks 462, 463",GB462,block,1,,
Caesar,Green Canyon 683,GC683,none,0,spar,Anadarko
Callisto,Mississippi Canyon 876,MC876,block,1,semisub_fps,Anadarko
Camden Hills,Mississippi Canyon 348,MC348,block,1,subsea_tieback,ATP
Capella,"Keathley Canyon 414, 415",KC414,none,0,,
Cardamom,"Garden Banks 427, 471",GB427,none,0,tlp,Shell
Cardona,Mississippi Canyon 29,MC29,block,1,,
Cardona South,Mississippi Canyon 29,MC29,block,1,,
Cascade,"Walker Ridge 205, 206, 249, 250",WR205,none,0,fpso,Petrobras (NOC)
Catalina,Green Canyon 996,GC996,none,0,,
Cheyenne,Lloyd Ridge 399,LL399,block,1,semisub_fps,Anadarko
Cheyenne East,Lloyd Ridge 400,LL400,none,0,,
Chimichanga,Garden Banks 128,GB128,none,0,fixed_jacket,Shell
Chinook,"Walker Ridge 469, 425",WR469,block,1,fpso,Petrobras (NOC)
Clipper,"Green Canyon 299, 300",GC299,block,1,subsea_tieback,ATP
Cobra,Alaminos Canyon 810,AC810,none,0,,
Cognac,"Mississippi Canyon 108, 151, 194, 195",MC108,none,0,fixed_jacket,Shell
Colonial,"Keathley Canyon 383, 384",KC383,none,0,,
Conger,Garden Banks 215,GB215,none,0,fixed_jacket,Shell
Constitution,Green Canyon 680,GC680,block,1,spar,Anadarko
Coral,DeSoto Canyon 927,DC927,none,0,,
Cornelius,Mississippi Canyon 390,MC390,none,0,,
Corona Del Mar,Green Canyon 949,GC949,none,0,,
Coronado,"Walker Ridge 143, 98",WR143,none,0,,
Cosmopolitan,"OCS-Y-01664, OCS-Y-01665",,unparsed,0,,
Cottonwood,Garden Banks 244,GB244,block,1,fixed_jacket,W&T Offshore
Coulomb,"Mississippi Canyon 657, 613",MC657,block,1,semisub_fps,BP
Covellite,Mississippi Canyon 493,MC493,none,0,,
Crackerjack,6864,,unparsed,0,,
Criollo,Green Canyon 685,GC685,none,0,,
Crosby,Mississippi Canyon 898,MC898,none,0,tlp,Shell
Cuaba,"Main Pass 87, 96",MP87,none,0,,
Daggerboard,West Cameron 245,WC245,none,0,,
Dalmatian North,"DeSoto Canyon 4, 47, 48, 91",DC4,block,1,,
Dalmatian South,Desoto Canyon 134,DC134,block,1,,
Daniel Boone,Green Canyon 646,GC646,block,1,spar,Murphy
Dantzler,"Mississippi Canyon 738, 782",MC738,none,0,,
Davy Jones,South Marsh Island 230,SM230,none,0,,
Dawson Deep,Garden Banks 625,GB625,none,0,spar,Anadarko
Daytona,"Green Canyon 872, 873",GC872,none,0,,
Deep Blue,"Green Canyon 723, 724, 768",GC723,block,1,,
Deimos,Mississippi Canyon 806,MC806,none,0,tlp,Shell
Devils Island,Garden Banks 344 East,GB344,none,0,compliant_tower,Hess Corp.
Devils Tower,Mississippi Canyon 773,MC773,block,1,spar,ENI (NOC)
Diamond,Lloyd Ridge 370,LL370,none,0,,
Diana,"East Breaks 945, 946,988, 989",EB945,block,1,spar,ExxonMobil
Diana South,"Alaminos Canyon 21, 22, 65, 66",AC21,none,0,spar,ExxonMobil
Don Larsen,East Breaks 598,EB598,none,0,spar,Anadarko
Dorado,Viosca Knoll 915,VK915,block,1,tlp,Plains Exploration
Double Mountain,"Green Canyon 555, 556, 600",GC555,none,0,,
Droshky,Green Canyon 244,GC244,block,1,subsea_tieback,Marathon
Dulcimer,Garden Banks 367,GB367,block,1,fixed_jacket,Chevron
Durango,Garden Banks 667,GB667,none,0,spar,Anadarko
East Anstey,Mississippi Canyon 607,MC607,block,1,semisub_fps,BP
Einset,"Viosca Knoll 872, 873",VK872,none,0,fixed_jacket,Shell
Enchilada,Garden Banks 127,GB127,none,0,fixed_jacket,Shell
Entrada,Garden Banks 782,GB782,none,0,tlp,ConocoPhillips
Europa,"Mississippi Canyon 890, 891, 934, 935",MC890,none,0,tlp,Shell
EW 998,Ewing Bank 998,EW998,block,1,fixed_jacket,W&T Offshore
Falcon,"East Breaks 579, 580, 623",EB579,block,1,,
Fastball,Viosca Knoll 1003,VK1003,block,1,fixed_jacket,W&T Offshore
Fiji,Mississippi Canyon 427,MC427,block,1,,
Firefox,"Green Canyon 773, 817",GC773,none,0,,
Flatrock,"South Marsh Island 212, Part 217",SM212,none,0,,
Flintcreek,Garden Banks 171,GB171,block,1,,
Floyd,Green Canyon 451,GC451,none,0,,
Flying Dutchman,Green Canyon 511,GC511,block,1,,
Fourier,Mississippi Canyon 522,MC522,block,1,semisub_fps,BP
Friesian,"Green Canyon 599, 643",GC599,block,1,,
Front Runner,"Green Canyon 338, 339",GC338,none,0,spar,Murphy
Front Runner South,Green Canyon 339,GC339,block,1,spar,Murphy
Frosa,"Garden Banks 904, 948",GB904,none,0,,
Fuji Springs,Green Canyon 505,GC505,none,0,,
Gator Bait,MC 524,MC524,none,0,,
Genesis,"Green Canyon 160, 161, 205",GC160,none,0,spar,Chevron
Genghis Khan,Green Canyon 652,GC652,none,0,subsea_tieback,ENI (NOC)
Gila,Keathley Canyon 93,KC93,none,0,,
Gladden,Mississippi Canyon 800,MC800,block,1,semisub_fps,ATP
Glider,Green Canyon 248,GC248,none,0,tlp,Shell
Goldfinger,Mississippi Canyon 771,MC771,none,0,spar,ENI (NOC)
Gomez,Mississippi Canyon 711,MC711,none,0,semisub_fps,ATP
Gotcha,Alaminos Canyon 856,AC856,none,0,,
Great White,Alaminos Canyon 857,AC857,block,1,spar,Shell
Guadalupe,Mississippi Canyon 555,MC555,block,1,,
Gunflint (Freedom),Mississippi Canyon 948,MC948,block,1,,
Gunnison,"Garden Banks 667, 668, 669",GB667,none,0,spar,Anadarko
Gutterball,East Cameron 254,EC254,none,0,,
Habanero,Garden Banks 341,GB341,none,0,tlp,Shell
Hadrian,Keathley Canyon 919,KC919,none,0,,
Hadrian South,Keathley Canyon 964,KC964,block,1,,
Harrier,East Breaks 759,EB759,block,1,,
Hartebeest,Green Canyon 166,GC166,block,1,,
Heidelberg,"Green Canyon 859, 860, 903, 904, 948",GC859,block,1,spar,Anadarko
Herschel,Mississippi Canyon 520,MC520,none,0,semisub_fps,BP
High Island 22,"High Island 21, 22",HI21,none,0,fixed_jacket,W&T Offshore
His Dudeness,Galveston Area 277L,GA277,none,0,,
Holly,Garden Banks 335,GB335,none,0,,
Holstein,Green Canyon 645,GC645,none,0,spar,Plains Exploration
Holy Cross,Lloyd Ridge 411,LL411,none,0,,
Hondo,,,unparsed,0,fixed_jacket,ExxonMobil
Hoover,"Alaminos Canyon 25, 26",AC25,block,1,spar,ExxonMobil
Horn Mountain,Mississippi Canyon 127,MC127,none,0,spar,Plains Exploration
"Hummingbird, EW 834",Ewing Bank 834,EW834,none,0,,
Huna,BM-C-42,,unparsed,0,,
Innsbruck,Mississippi Canyon 993,MC993,none,0,,
Isabela,Mississippi Canyon 562,MC562,none,0,semisub_fps,BP
Jack,"Walker Ridge 758, 759",WR758,none,0,semisub_fps,Chevron
Jaguar (Buccaneer),Eugene Island 147,EI147,block,1,,
Jason,Garden Banks 344 West,GB344,none,0,,
Jericho,"Garden Banks 937, 938",GB937,none,0,,
Jubilee,"Atwater Valley 305, 349 and Lloyd Ridge 265, 309",AT305,none,0,semisub_fps,Anadarko
Julia,"Walker Ridge 584, 627, 628, 540, 583",WR584,none,0,semisub_fps,Chevron
K2,"Green Canyon 561, 562, 563, 605, 607",GC561,none,0,subsea_tieback,ENI (NOC)
K2 North,Green Canyon 518,GC518,none,0,subsea_tieback,ENI (NOC)
Kakuna,"Green Canyon 416, 460, 504, 505, 548 and 549",GC416,block,1,,
Kaskida,"Keathley Canyon 291, 292",KC291,none,0,,
Kepler,Mississippi Canyon 383,MC383,block,1,semisub_fps,BP
Kilchurn,Green Canyon 404,GC404,none,0,,
King,Mississippi Canyon 84,MC84,block,1,tlp,Plains Exploration
King South,Mississippi Canyon 129,MC129,none,0,tlp,Plains Exploration
Knotty Head,Green Canyon 512,GC512,none,0,semisub_fps,Hess Corp.
Kodiak,Mississippi Canyon 727,MC727,none,0,,
Krakatoa,Mississippi Canyon 540,MC540,none,0,,
Lafitte,Eugene Island Block 223,EI223,block,1,,
Leon,"KC 642, 686",KC642,block,1,,
Liberty,"OCS-Y1650, OCS-Y1585",,unparsed,0,,
Ligurian,"Green Canyon 814, 858",GC814,none,0,,
Llano,"Garden Banks 385, 386",GB385,none,0,tlp,Shell
Logan,"Walker Ridge 925, 969",WR925,none,0,,
Longhorn (aka Leo),Mississippi Canyon 546,MC546,block,1,fixed_jacket,Noble Energy
Lorien,Green Canyon 199,GC199,none,0,subsea_tieback,Marathon
Lost Ark,East Breaks 464,EB464,none,0,fixed_jacket,Panaco
Lucius,"Keathley Canyon 874, 875, 918 and 919",KC874,none,0,spar,Anadarko
Lyell,Green Canyon 551,GC551,none,0,,
Macaroni,Garden Banks 602,GB602,block,1,tlp,Shell
Macondo,Mississippi Canyon 252,MC252,block,1,,
Mad Dog,"Green Canyon 825, 826, 738, 739, 781, 782, 783",GC825,none,0,spar,BP
Mad Dog South,"Green Canyon 825, 826",GC825,none,0,spar,BP
Madagascar,De Soto Canyon 757,DC757,none,0,,
Madison,"Alaminos Canyon 24, 25",AC24,block,1,spar,ExxonMobil
Magnolia,"Garden Banks 783, 784",GB783,block,1,tlp,ConocoPhillips
Mahogany,"Ship Shoal 349, 359",SS349,block,1,fixed_jacket,W&T Offshore
Main Pass 108,"MP 107, 108, 109",MP107,block,1,fixed_jacket,W&T Offshore
Main Pass 98,"Main Pass 98, 180",MP98,block,1,fixed_jacket,W&T Offshore
Manatee,Green Canyon 155,GC155,none,0,subsea_tieback,Marathon
Mandy,Mississippi Canyon 199,MC199,none,0,tlp,W&T Offshore
Marco Polo,Green Canyon 608,GC608,block,1,subsea_tieback,ENI (NOC)
Marmalard,"MC 255, 256, 300",MC255,none,0,semisub_fps,LLOG
Mars,"Mississippi Canyon 762, 763, 806, 807, 850, 851",MC762,none,0,tlp,Shell
Marshall,"East Breaks 948, 949",EB948,none,0,spar,ExxonMobil
Maserati,South Timbalier 216,ST216,none,0,,
Mastiff,"Garden Banks 381, 382",GB381,none,0,,
Matterhorn,Mississippi Canyon 243,MC243,block,1,tlp,W&T Offshore
Mauna Kea,"Atwater Valley 28, 29",AT28,none,0,,
MC 72,Mississippi Canyon 72,MC72,none,0,fixed_jacket,Stone Energy
McLaren,South Timbalier 239,ST239,none,0,,
Medusa,"Mississippi Canyon 538, 582",MC538,none,0,spar,Murphy
Merganser,"Atwater Valley 36, 37",AT36,none,0,semisub_fps,Anadarko
Mica,"Mississippi Canyon 167, 211",MC167,none,0,fixed_jacket,Stone Energy
Mica Deep,Mississippi Canyon 211,MC211,block,1,,
Minnow,West Cameron 497,WC497,none,0,,
Mirage,Mississippi Canyon 941,MC941,none,0,semisub_fps,ATP
Moccasin,Keathley Canyon 736,KC736,block,1,,
Mojito,"West Cameron 111, 134",WC111,none,0,,
Mondo NW,Lloyd Ridge 1/2,LL1,block,1,semisub_fps,Anadarko
Morgus,Mississippi Canyon 942,MC942,none,0,semisub_fps,ATP
Morpeth,"Ewing Bank 921, 964, 965",EW921,block,1,tlp,ENI (NOC)
Mothball,Mississippi Canyon 801,MC801,none,0,,
Nansen,"East Breaks 601, 646",EB601,none,0,spar,Anadarko
Nautilus (GOM),Ship Shoal 263,SS263,block,1,,
Navi,"Keathley Canyon 613, 657",KC613,none,0,,
Neptune (Atwater Valley),"Atwater Valley 573, 574, 575, 617, 618",AT573,none,0,tlp,BHP Billiton
Nile,Viosca Knoll 914,VK914,block,1,tlp,Plains Exploration
North Boomvang,East Breaks 643,EB643,block,1,spar,Anadarko
North Platte,"Garden Banks 915, 958, 959",GB915,none,0,,
Northstar,"Beechey Point 470, 471, 515, 516",,unparsed,0,subsea_tieback,BP
Northwest Nansen,"East Breaks 558, 602",EB558,none,0,spar,Anadarko
Northwest Navajo,East Breaks 646,EB646,none,0,spar,Anadarko
Northwood,"Green Canyon 944, 945",GC944,block,1,,
Oooguruk,,,unparsed,0,subsea_tieback,Pioneer
Oregano,"Garden Banks 558, 559",GB558,none,0,tlp,Shell
Owl Creek (aka Owls Nest ),Green Canyon 861,GC861,none,0,,
Ozona Deep,Garden Banks 515,GB515,none,0,tlp,Shell
Pardner,"Mississippi Canyon 400, 401",MC400,none,0,compliant_tower,Hess Corp.
Parmer,Green Canyon 823 / Green Canyon 867,GC823,block,1,,
Partagas,Main Pass 105,MP105,none,0,,
Pegasus,Green Canyon 385,GC385,block,1,tlp,ENI (NOC)
Penn State,Garden Banks 216,GB216,none,0,compliant_tower,Hess Corp.
Perseus,Viosca Knoll 830,VK830,none,0,compliant_tower,Chevron
Pescado,,,unparsed,0,fixed_jacket,ExxonMobil
Petronius,Viosca Knoll 786,VK786,block,1,compliant_tower,Chevron
Phinisi,"Walker Ridge 675, 719",WR675,none,0,,
Phobos,"SE 39, 40",SE39,block,1,,
Phoenix,"Green Canyon 236, 237",GC236,block,1,semisub_fps,Helix Solutions Group
Pompano,Viosca Knoll 989,VK989,none,0,fixed_jacket,Stone Energy
Pony,Green Canyon 468,GC468,block,1,semisub_fps,Hess Corp.
Power Play,"Garden Banks 258, 302",GB258,none,0,compliant_tower,Hess Corp.
Prince,"Ewing Bank 958, 1003",EW958,block,1,tlp,El Paso
Princess,"Mississippi Canyon 765, 766",MC765,none,0,tlp,Shell
Pyrenees,Garden Banks 293,GB293,block,1,fixed_jacket,Flextrend
Pyrrho,"Green Canyon 563, 564",GC563,none,0,,
Q,Mississippi Canyon 961,MC961,block,1,semisub_fps,Anadarko
Quatrain,Green Canyon 382,GC382,none,0,spar,Murphy
Quinteros,Main Pass 268,MP268,none,0,,
Ram Powell,"Viosca Knoll 911, 912, 955, 956, 957",VK911,none,0,tlp,Shell
Raptor,East Breaks 668,EB668,block,1,,
Red Dog,"DeSoto Canyon 578, 622",DC578,none,0,,
Red Hawk,Garden Banks 877,GB877,block,1,spar,Anadarko
Refugio,"Atwater Valley 76, 120",AT76,none,0,,
Rickenbacker (aka Dunkirk),Keathley Canyon 470,KC470,none,0,,
Rocky Mountain,"Mississippi Canyon 693, 737",MC693,none,0,,
Sacate,,,unparsed,0,fixed_jacket,ExxonMobil
Sake,De Soto Canyon 726,DC726,none,0,,
Saleen,South Timbalier 238,ST238,none,0,,
Samurai,"Green Canyon 432, 476",GC432,block,1,subsea_tieback,ENI (NOC)
San Jacinto,"DeSoto Canyon 618, 619",DC618,block,1,semisub_fps,Anadarko
San Marcos,Mississippi Canyon 983,MC983,none,0,,
Santa Cruz (Galapagos),"Mississippi Canyon 519 (Well #1), 563",MC519,none,0,semisub_fps,BP
Santiago (Galapagos),Mississippi Canyon 519 (Well #2),MC519,none,0,semisub_fps,BP
Screwdriver,South Timbalier 222,ST222,none,0,,
Serrano,"Garden Banks 472, 516",GB472,none,0,tlp,Shell
Shenandoah,"Walker Ridge 52, 51",WR52,none,0,,
Shenzi,Green Canyon 609,GC609,none,0,tlp,BHP Billiton
Silvertip,Alaminos Canyon 815,AC815,none,0,spar,Shell
Sivulliq,Flaxman Island Lease Block 6658,,unparsed,0,,
SOB 2,Mississippi Canyon 387,MC387,block,1,semisub_fps,LLOG
South Deimos,Mississippi Canyon 762,MC762,none,0,tlp,Shell
Southeast Tahoe,Viosca Knoll 784,VK784,none,0,fixed_jacket,Shell
Southern Cross,Southern Cross Unit,,unparsed,0,,
Spartacus,Walker Ridge 793,WR793,none,0,,
Spiderman,"DeSoto Canyon 620, 621",DC620,none,0,semisub_fps,Anadarko
Spitfire,East Breaks 581,EB581,none,0,,
St. Malo,Walker Ridge 678,WR678,block,1,semisub_fps,Chevron
Stones,Walker Ridge 508,WR508,block,1,fpso,Shell
Sturgis,Atwater Valley 183,AT183,none,0,,
SW Shoebill,7007,,unparsed,0,,
Swordfish,"Viosca Knoll 917, 961, 962",VK917,block,1,spar,Anadarko
Taggart,"Mississippi Canyon 816, G33178",MC816,block,1,,
Tahiti,"Green Canyon 640, 641, 596, 597",GC640,block,1,spar,Chevron
Tahoe,"Viosca Knoll 783, 784",VK783,block,1,fixed_jacket,Shell
Telemark,Atwater Valley 63,AT63,block,1,semisub_fps,ATP
Thunder Hawk,Mississippi Canyon 734,MC734,none,0,semisub_fps,Murphy
Thunder Horse,"Mississippi Canyon 777, 778, 822",MC777,none,0,semisub_fps,BP
Thunder Horse North,"Mississippi Canyon 775, 776",MC775,none,0,semisub_fps,BP
Tiber,Keathley Canyon 102,KC102,block,1,,
Ticonderoga,Green Canyon 768,GC768,block,1,spar,Anadarko
Tiger (EB494),"East Breaks 494, 538",EB494,none,0,,
Tobago,Alaminos Canyon 859,AC859,block,1,spar,Shell
Toddy,South Timbalier 221,ST221,block,1,,
Tomahawk,East Breaks 623,EB623,none,0,,
Tonga,Green Canyon 727/728,GC727,none,0,spar,Anadarko
Tonga West,Green Canyon 726,GC726,none,0,spar,Anadarko
Tornado,Green Canyon 281,GC281,none,0,,
Torpedo,Flaxman Island Lease Block 6610,,unparsed,0,,
Trident,"Alaminos Canyon 903, 904, 947",AC903,block,1,,
Triton,Mississippi Canyon 772,MC772,none,0,spar,ENI (NOC)
Troubadour,Mississippi Canyon 699,MC699,block,1,,
Tubular Bells,"Mississippi Canyon 683, 726",MC683,none,0,semisub_fps,Hess Corp.
Tucker,"Walker Ridge 499, 543, 544, 545, 589",WR499,none,0,,
Ursa,"Mississippi Canyon 808, 809, 810, 852, 853, 854",MC808,none,0,tlp,Shell
Virgo,"Viosca Knoll 822, 823",VK822,none,0,fixed_jacket,W&T Offshore
Vito,"Mississippi Canyon 984, 985, 940",MC984,none,0,,
Vortex,"Atwater Valley 217, 261 and Lloyd Ridge 177, 221",AT217,none,0,semisub_fps,Anadarko
Wang,Green Canyon 237,GC237,none,0,semisub_fps,Helix Solutions Group
Waylon,Garden Banks 212,GB212,none,0,,
West Boomvang,East Breaks 642,EB642,block,1,spar,Anadarko
West Boreas,Mississippi Canyon 762,MC762,none,0,tlp,Shell
Who Dat,"Mississippi Canyon 503, 547",MC503,block,1,semisub_fps,LLOG
Whydah,Mississippi Canyon Block 600,MC600,none,0,,
Wide Berth,Green Canyon 490,GC490,block,1,,
Winter,Garden Banks 605,GB605,none,0,,
Wrigley,Mississippi Canyon 506,MC506,block,1,fixed_jacket,Shell
Yosemite,Green Canyon 516,GC516,none,0,tlp,ENI (NOC)
Yucatan North,Walker Ridge 95,WR95,none,0,,
