FIELD_ID,FIELD_NAME,COUNTRY,BLOCK,RESERVE_TYPE,CURRENT_STATUS,DISCOVERY_DATE,PRODUCTION_START,WATER_DEPTH_M,WATER_DEPTH_FT,US_GOM_FLAG
296,Akom,Equatorial Guinea,Block G,Oil,Discovery (Drilled),Feb 2002,,444,1465,
252,Akpo,Nigeria,OML 130,Oil/Gas,Producing - Under Dev.,Jan 2000,,1700,5610,
1276,Al Jalilah,UAE,,Oil,Under Development,Feb 2010,,,,
1498,Al Jurf,Libya,Block C 137,Oil,Producing,,Jan 2003,90,297,
1277,Al Khalij,Qatar,Block 6,Oil,Producing,Jan 1991,Jan 1997,59,195,
1823,Al Radeef,Qatar,Block 4N,Gas,Discovery (Drilled),Mar 2013,,70,231,
452,Al Shaheen,Qatar,"Block 5, Block 5 Extension",Oil/Gas,Producing - Under Dev.,,Feb 2005,70,231,
784,Al Zaafarana,Egypt,North Zaafarana Concession,Oil,Producing,Dec 1990,Nov 1994,,,
810,Alaric,Australia,WA-434-P,Gas,Discovery (Drilled),Oct 2010,,1960,6468,
226,Alba,UK,16/26,Oil,Producing,Dec 1984,Jan 1994,138,455,
1467,Alba (EG),Equatorial Guinea,Alba PSC,Gas,Producing,Jan 1984,Jan 1991,75,248,
550,Albacora,Peru,Block Z-1,Gas,Producing - Under Dev.,Jan 1970,Jan 1982,,,
580,Albacore,New Zealand,PEP 38491,Oil/Gas,Non-Commercial,,,95,314,
1508,Alban,Albania,Durresi Block,n/a,Drilled (Status Unknown),,,152,502,
1066,Albert,Norway,"6201/11, PL 519",n/a,Appraisal Drilling,Jun 2012,,383,1264,
1606,Alder,UK,15/29a,Gas,Under Development,Jan 1975,,150,495,
791,Aldous,Norway,PL265,Oil,Discovery (Appraised),Aug 2011,,115,380,
477,Alen (Belinda),Equatorial Guinea,"Block O, Block I",Gas,Producing,,Jun 2013,530,1749,
1694,Alhamdulilah,Gambia,A1,n/a,Bright Spot,,,2300,7590,
684,Alho,Angola,NorthEastern Part of Block 32,Oil,Discovery (Drilled),Jun 2007,,1607,5303,
1291,Alison,UK,"49/11a, P.028",Gas,Producing,Dec 1986,Oct 1995,26,86,
116,Allegheny,US,Green Canyon 254,Oil/Gas,Producing,Nov 1991,Oct 1999,989,3264,Y
116,Allegheny South,US,Green Canyon 298,Oil/Gas,Producing,Jan 2005,Jan 2006,1000,3300,Y
1190,Alma,UK,"P1765, 30/24c, 30/25c",Gas,Under Development,Aug 1990,,80,264,
492,Alma (Sable Project),Canada,,Gas,Producing,,Dec 2003,67,221,
641,Alpha,Falkland Islands (Malvinas),"25/10, 25/15, 25/8, 25/9, 25/14b",Gas,Bright Spot,,,450,1485,
946,Alpha (Dominion),"Tanzania, United Republic of",Block 7,n/a,Bright Spot,,,,,
374,Alpha North,Norway,15/9,Gas,Producing,,Oct 2004,,,
1761,Alta,Norway,PL609,n/a,Bright Spot,,,,,
1810,Altair,Sierra Leone,SL-03,n/a,Bright Spot,,,3300,10890,
713,Alve,Norway,6507/3,Gas,Producing,Oct 1990,Mar 2009,369,1218,
212,Alvheim,Norway,"PL088, PL036",Oil/Gas,Producing,Jul 1998,Jun 2008,410,1353,
227,Alwyn North,UK,"3/4a, 3/9a, 3/10b,",Oil/Gas,Producing,Oct 1975,Nov 1987,126,416,
1339,Amalie,Denmark,"5604/22, 5604/26, License 7/86",Oil/Gas,Discovery (Appraised),Jun 1991,,66,218,
168,Amberjack,US,"Mississippi Canyon 108, 109, 110",Oil/Gas,Producing,Nov 1983,Jan 1991,319,1053,Y
318,Amenam Kpono,Nigeria,"OML 99, OML 70",Oil/Gas,Producing,Jan 1990,Jul 2003,40,132,
982,Amergin,Ireland,"License 5/08; 47/25, 48/21 and 48/22",n/a,Bright Spot,,,100,330,
1660,Amethyst,US,MC26,Gas,Exploratory Drilling,,,340,1122,Y
783,Amethyst East,UK,"47/8a, 47/9a, 47/13a, 47/14a, 47/15a",Gas,Producing,Oct 1972,Sep 1990,30,99,
783,Amethyst West,UK,"47/8a, 47/9a, 47/13a, 47/14a, 47/15a",Gas,Producing,Apr 1970,Apr 1991,30,99,
610,Amokura,New Zealand,PMP 38158,Oil,Producing,,Jan 2007,120,396,
1414,Amol,Norway,"PL457, 16/1",n/a,Non-Commercial,,,113,373,
1791,Amstel,Netherlands,Q13a,Oil,Producing,Jan 1962,Feb 2014,19,63,
1366,Anambas,Indonesia,Anambas PSC,n/a,Discovery (Drilled),Jan 2006,,91,300,
685,Anchois,Morocco,Tanger-Larache Concession,Gas,Discovery (Drilled),Mar 2009,,,,
1006,Andalan,Indonesia,,Gas,Non-Commercial,,,,,
1367,Ande Ande Lumut,Indonesia,Northwest Natuna PSC,Oil,Under Development,,,80,264,
687,Andrea,UK,48/15b,Gas,Discovery (Drilled),Jul 2009,,20,66,
603,Andrew,US,Keathley Canyon 119,Oil/Gas,Bright Spot,,,1558,5141,Y
161,Anduin,US,Mississippi Canyon 755,Oil,Suspended,Feb 2005,Oct 2007,732,2416,Y
161,Anduin West,US,Mississippi Canyon 754,Oil/Gas,Suspended,Apr 2008,Feb 2011,822,2713,Y
661,Angel Fire,US,"Green Canyon 370, 371, 327",n/a,Bright Spot,,,1006,3320,Y
1192,Angelica,US,East Cameron 115,n/a,Exploratory Drilling,,,,,Y
1730,Anggerik,Malaysia,"PM302, PM325, PM326B",Gas,Under Development,Nov 2004,,,,
829,Angklung,Indonesia,Bontang PSC,Oil/Gas,Discovery (Drilled),Nov 2010,,290,957,
1541,Anglesey,UK,"P1767, 14/6, 14/15, 14/14a",n/a,Bright Spot,,,,,
868,Anglia,UK,"P128: 48/18b, 48/19b, 48/19e, P.128",Gas,Producing,Dec 1985,Dec 1991,26,86,
388,Angostura,US,Green Canyon 304,Oil/Gas,Non-Commercial,,,1181,3897,Y
136,Angus,US,"Green Canyon 112, 113",Oil/Gas,Producing,Jan 1997,Sep 1999,557,1838,Y
1842,Anhalt,Australia,WA-466-P,n/a,Bright Spot,,,,,
971,Annabel,UK,48/10a,Gas,Producing,Sep 2003,Apr 2005,95,314,
1144,Annamaria,Croatia,A.C11.AG concession,Gas,Producing,,Nov 2009,60,198,
676,Anne Marie,Faroe Islands,License 005,n/a,Discovery (Drilled),Nov 2010,,1106,3650,
1368,Anoa,Indonesia,Natuna Sea Block A,Gas,Producing,,Apr 1990,77,254,
399,Antietam,US,DeSoto Canyon 268,n/a,Non-Commercial,,,2282,7531,Y
1008,Aphrodite,Cyprus,Block 12,Gas,Appraisal Drilling,Dec 2011,,1689,5574,
830,Apollo,Norway,"16/1, PL 338",Oil,Discovery (Drilled),Nov 2010,,112,370,
1701,Apollo (Norway),Norway,PL615: 7324/1,n/a,Bright Spot,,,,,
398,Appaloosa,US,"Mississippi Canyon 459, 460 and Partial 503, 504",Oil,Producing - Under Dev.,May 2008,,853,2815,Y
497,Appomattox,US,"Mississippi Canyon 391, 392",Oil,Discovery (Appraised),Dec 2009,,2222,7333,Y
670,Aquila,Italy,,Oil,Producing - Under Dev.,Jan 1981,,850,2805,
985,Ara,Malaysia,PM308A,n/a,Discovery (Drilled),Mar 2013,,,,
1056,Aracaju,Brazil,BM-S-58,Oil/Gas,Discovery (Drilled),Oct 2010,,172,568,
1583,Aragon,UK,"P1763, 9/9d, 9/14, 9/15d",n/a,Bright Spot,,,,,
1402,Arbroath,UK,22/18,Oil/Gas,Producing,Dec 1969,Apr 1991,93,307,
531,Ardennes,US,Green Canyon 896,n/a,Non-Commercial,,,1682,5551,Y
835,Ardmore,Ireland,SEL 2/07,n/a,Bright Spot,,,90,297,
621,Argao,Philippines,SC51,Oil,Bright Spot,,,229,756,
365,Argonatua O-South,Brazil,Block BC-10,Oil/Gas,Under Development,,,1980,6534,
365,Argonauta B-West,Brazil,Block BC-10,Oil/Gas,Producing,,Jul 2009,,,
365,Argonauta O-North,Brazil,Block BC-10,Oil/Gas,Producing,,Oct 2013,1981,6537,
1638,Argus,Australia,AC/RL8,Gas,Appraisal Drilling,Sep 2000,,164,541,
126,Ariel,US,Mississippi Canyon 429,Oil,Producing,Jun 1995,Apr 2004,1870,6171,Y
270,Aries,Argentina,CMA-1,Gas,Producing,Jan 1981,Jan 2006,60,198,
464,Aripo,Trin. & Tobago,Block 2(c),Gas,Producing,May 2000,May 2011,30,99,
393,Arkutun-Dagi,Russian Federation,Sakhalin Island,Oil/Gas,Under Development,Jan 1989,,60,198,
567,Armstrong,US,Mississippi Canyon 162,Gas,Drilled (Status Unknown),,,995,3284,Y
136,Arnold,US,Ewing Bank 963,Oil,Producing,Jan 1996,May 1998,513,1693,Y
604,Arous Al-Bahar,Libya,Area 54,Gas,Discovery (Appraised),Jan 2008,,856,2825,
677,Artemis,Australia,WA-360-P,Gas,Non-Commercial,,,200,660,
288,Arthit,Thailand,"B14A, B15A, B16A",Gas,Producing,,Mar 2008,80,264,
729,Aruana,Brazil,C-M-401,Oil,Under Development,Aug 2009,,977,3224,
477,Aseng,Equatorial Guinea,Block I,Oil/Gas,Producing,Jan 2007,Nov 2011,945,3119,
357,Asgard,Norway,"6406/3, 6407/2, 6407/3, 6506/11, 6506/12,6507/11",Oil/Gas,Producing,Oct 1981,May 1999,300,990,
1234,Asha / Noor,Norway,License PL457; Block 16/1,n/a,Discovery (Drilled),Jan 2013,,113,373,
1234,Asha East,Norway,"PL457, 16/1",n/a,Non-Commercial,,,113,373,
1342,Ashrafi,Egypt,,Oil,Producing,,Jun 1992,,,
1455,Ashtart,Tunisia,,Oil,Producing,Jan 1971,Jan 1974,66,218,
1756,Askepott (Cinderella),Norway,PL448,n/a,Bright Spot,,,,,
1691,Askja East,Norway,PL272: 30/11,Oil,Discovery (Drilled),Jan 2014,,110,363,
1691,Askja West,Norway,PL272: 30/11,Gas,Discovery (Drilled),Nov 2013,,110,363,
136,Aspen,US,Green Canyon 243,Oil,Producing,Apr 2001,Dec 2002,926,3056,Y
1313,Assaka,Morocco,Tarfaya Offshore,n/a,Bright Spot,,,200,660,
688,Asterix,Norway,PL 372B - 6705/10,Gas,Discovery (Drilled),Mar 2009,,1360,4488,
1045,AT2-1,Greenland,Atammik,n/a,Non-Commercial,,,1045,3449,
1044,AT7-1,Greenland,Atammik,n/a,Non-Commercial,,,905,2987,
651,Athena,UK,P1293: 14/18b,Oil/Gas,Producing,Mar 1991,May 2012,134,442,
847,Atla (David),Norway,"PL 102 C, 25/5",Gas,Producing,Oct 2010,Oct 2012,119,393,
1786,Atlanta,Brazil,BS-4,Oil,Discovery (Drilled),Feb 2014,,1548,5108,
144,Atlantis,US,"Green Canyon 699, 742, 743",Oil/Gas,Producing,May 1998,Oct 2007,1869,6168,Y
144,Atlantis North,US,Green Canyon 743,Oil/Gas,Producing,Oct 2000,Jan 2010,1647,5435,Y
984,Atlas,Indonesia,Titan PSC,Gas,Non-Commercial,,,70,231,
121,Atlas NW,US,Lloyd Ridge 5,Gas,Producing,Jun 2003,Jul 2007,2685,8861,Y
1187,Atum,Mozambique,Area 1,Gas,Exploratory Drilling,,,,,
971,Audrey,UK,"48/15, 49/11 - P28",Gas,Producing,Mar 1976,Oct 1988,24,79,
139,Auger,US,"Garden Banks 426, 427, 470, 471",Oil/Gas,Producing,Jan 1987,Apr 1994,872,2878,Y
1576,Augunshaug,Norway,"PL542, 2/1",n/a,Non-Commercial,,,68,224,
908,Auk,UK,"30/16, P116",Oil,Producing,Feb 1971,Dec 1975,84,277,
908,Auk North,UK,"30/16N, 30/16T",Oil,Producing,,Nov 2010,,,
908,Auk South,UK,"30/16N, 30/16T",n/a,Under Development,,,,,
1621,Aung Sinkha,Myanmar,M3,Gas,Discovery (Drilled),May 2011,,,,
1297,Auriga,Australia,AC/L 9,n/a,Bright Spot,,,190,627,
1544,Austen (Jacqui),UK,"P1823, 30/13b",Oil/Gas,Discovery (Appraised),,,72,238,
791,Avaldsnes,Norway,PL501: 16/2,Gas,Discovery (Appraised),Sep 2010,,115,380,
1221,Aviat,UK,"22/7a, P87",Gas,,,,,,
767,Avouma,Gabon,Etame Marin Permit,Oil,Producing,Jul 2004,Jan 2007,137,452,
622,Awawa,Nigeria,OML 104,Oil,Producing,,Jun 2005,95,314,
501,Ayatsil,Mexico,,Oil,Discovery (Appraised),Jun 2008,,125,413,
560,Ayazli,Turkey,South Akcakoca Sub Basin,Gas,Drilled (Status Unknown),,,100,330,
273,Azeri-Chirag-Gunashli,Azerbaijan,,Oil/Gas,Producing - Under Dev.,,,120,396,
1014,Azul,Angola,Block 23,Oil,Discovery (Drilled),Nov 2011,,923,3046,
370,Azurite,"Congo, The Demo. Rep. of the",Mer Profonde Sud Block,Oil/Gas,Abandoned (Ex-Producer),Jan 2005,Aug 2009,,,
551,Babbage,UK,"P456, 48/2a",Gas,Producing,Jan 1989,Aug 2010,42,139,
1865,Babbler,Kenya,L10B,n/a,Bright Spot,,,715,2360,
540,Bacab,Mexico,,Oil,Producing - Under Dev.,,,100,330,
1243,Baccarat,US,Green Canyon 178,Gas,Producing,May 2004,Aug 2005,434,1432,Y
443,Bacchus,UK,"P255, 22/6a",Oil/Gas,Producing,Jul 2005,Apr 2012,88,290,
472,Backslice,US,Garden Banks 248,Oil/Gas,Bright Spot,,,388,1280,Y
1010,Badik,Indonesia,Nunukan Block,Oil/Gas,Discovery (Drilled),Oct 2010,,70,231,
1573,Bagpuss,UK,"P1943, 13/24c",n/a,Bright Spot,,,300,990,
1375,Bahr Essalam,Libya,NC41,Gas,Producing,Jan 1977,Aug 2005,200,660,
1242,Balai,Malaysia,Balai Cluster SFRSC,Oil/Gas,Under Development,,,60,198,
118,Balboa,US,East Breaks 597,Oil/Gas,Producing,Aug 2001,Dec 2010,1124,3709,Y
1142,Balder,Norway,"25/8, 25/10, 25/11; License 001",Oil,Producing,Sep 1967,Sep 1999,125,413,
131,Baldpate,US,"Garden Banks 259, 260",Oil/Gas,Producing,Sep 1992,Sep 1998,502,1657,Y
1716,Ballicatters,Canada,"SDL1051, SDL1052",Oil,Appraisal Drilling,Oct 2009,,101,333,
629,Balloch,UK,"P1041, 15/20a",Oil,Producing,,Feb 2013,142,469,
1377,Ballycotton,Ireland,48/20,Gas,Producing,,Jan 1991,100,330,
911,Balnaves,Australia,WA-356-P,Gas,Under Development,May 2009,,137,452,
1594,Balqis,Indonesia,Baronang PSC,n/a,Non-Commercial,,,,,
689,Baltimore,Ireland,48/19p,Oil,Discovery (Drilled),Jan 1992,,100,330,
1351,Balyena,Philippines,SC 58,n/a,Bright Spot,,,,,
659,Bamboo,Egypt,West El Burullus Concession,n/a,Non-Commercial,,,,,
731,Bambra,Australia,TL/1,Oil/Gas,Producing - Under Dev.,,,24,79,
1604,Ban Yen,Thailand,B5/27,Oil,Producing,,Aug 2009,60,198,
1202,Banambu Deep,Australia,WA-389-P,n/a,Non-Commercial,,,320,1056,
1619,Banang,Malaysia,KBM RSC,Oil,Under Development,,,60,198,
1395,Banda,Mauritania,PSC C-10,Oil/Gas,Discovery (Appraised),Sep 2002,,327,1079,
936,Banda (Ghana),Ghana,West Cape Three Points,Oil,Discovery (Drilled),Jun 2011,,921,3039,
431,Bandon,Ireland,FEL 1/06,Gas,Discovery (Drilled),May 2009,,,,
1145,Banff,UK,"22/27a, 29/21, P. 224",Oil,Producing,Oct 1991,Sep 1996,89,294,
672,Bangka,Indonesia,Rapak Concession,Gas,Under Development,,,1036,3419,
1121,Banks,UK,22/15,Oil/Gas,Suspended,Dec 2005,,87,287,
1015,Banquo,UK,211/8a,Oil/Gas,Discovery (Drilled),Jun 1987,,306,1010,
1369,Banyu Urip,Indonesia,Cepu Contract Area,Oil,Producing - Under Dev.,,,,,
1601,Baobab (Senegal),Senegal,Sangomar Offshore Profond,n/a,Bright Spot,,,1300,4290,
1486,Baracuda,US,High Island 171,n/a,Bright Spot,,,14,46,Y
1510,Baragatan,Philippines,SC63,n/a,Bright Spot,,,70,231,
1488,Barataria,US,Main Pass Block 28,n/a,Bright Spot,,,6,20,Y
787,Barberry,Australia,TL/2,n/a,Drilled (Status Unknown),,,,,
1805,Barbet,Liberia,LB-09,n/a,Bright Spot,,,760,2508,
1063,Barbosa,US,Ship Shoal 185,n/a,Bright Spot,,,20,66,Y
842,Barchan,Norway,"PL 400, 3/8",n/a,Non-Commercial,,,,,
766,Bardolino,UK,"22/11, 22/12, 22/13",Oil/Gas,Producing,Jan 1988,Oct 2010,92,304,
1770,Barnett,Australia,WA-442-P,Oil,Discovery (Drilled),Jan 1985,,60,198,
1298,Barossa,Australia,NT/P69,Gas,Discovery (Drilled),Dec 2006,,320,1056,
1070,Barque,Australia,PEP 52717,n/a,Bright Spot,,,,,
877,Barquentine,Mozambique,Area 1,Gas,Appraisal Drilling,May 2010,,1646,5432,
846,Barra,Brazil,BM-Seal-11,Oil,Discovery (Drilled),Dec 2010,,2341,7725,
1107,Barra (Melville),UK,210/24a,Gas,Under Development,,,150,495,
272,Barracuda,Brazil,,Oil/Gas,Producing,,Jan 2004,1100,3630,
1016,Barracuda (Cairn),Sri Lanka,SL 2007-01-001,Gas,Discovery (Drilled),Nov 2011,,1509,4980,
988,Barryroe,Ireland,SEL 1/11,Oil,Discovery (Appraised),Jan 1973,,100,330,
669,Barzan,Qatar,,Gas,Under Development,,,,,
490,Basker,Australia,"VIC/L26, L27, L28",Oil/Gas,Suspended,Jan 1983,Dec 2006,200,660,
152,Bass Lite,US,"Atwater Valley 380, 381, 425, 426",Gas,Producing,Feb 2001,Feb 2008,2028,6692,Y
1548,Bassett,Australia,WA-408-P,Gas,Discovery (Drilled),Jun 2013,,368,1214,
762,Bath,Australia,TL/2,n/a,Non-Commercial,,,,,
968,Batu Hitam,Malaysia,PM308A,n/a,Non-Commercial,,,,,
1478,Bauna (Tiro),Brazil,BM-S-40,Oil,Producing - Under Dev.,May 2008,,250,825,
1887,Bawang Putih,Indonesia,Semai II,n/a,Bright Spot,,,70,231,
1561,Bay du Nord,Canada,EL 1112,Oil,Discovery (Drilled),Aug 2013,,1174,3874,
665,Bayu-Undan,Australia,"Timor Gap PSC 03-12, 03-13",Gas,Producing,Mar 1995,Apr 2004,80,264,
1288,Bazartete,Australia,JPDA 06-103,n/a,Bright Spot,,,,,
1299,Beam,Australia,WA-13-L,n/a,Non-Commercial,,,92,304,
323,Beatrice,UK,"11/30a, 11/25a, 12/21a, 12/26a",Oil,Producing,Jan 1979,Jan 1981,40,132,
1318,Bedug,Indonesia,Bontang PSC,n/a,Exploratory Drilling,,,460,1518,
1376,Bee Eater,Liberia,LB-09,n/a,Exploratory Drilling,,,1140,3762,
1584,Beehive,Australia,WA-488-P,n/a,Bright Spot,,,40,132,
692,Begonia,Angola,17/06,Oil,Discovery (Drilled),Apr 2010,,453,1495,
530,Belayim Marine,Egypt,,Oil,Producing,Jan 1961,Jan 1962,40,132,
827,Belem,Brazil,BM-S-56,Oil,Discovery (Drilled),Oct 2010,,135,446,
1436,Belinda,UK,"21/30f, P1792",n/a,Bright Spot,,,,,
1210,Belize,Angola,Block 14,Oil,Producing,,Jun 2006,600,1980,
718,Belmonte,Brazil,BM-S-4,Gas,Discovery (Appraised),Dec 2005,,327,1079,
486,Ben Nevis,Canada,SDL 1009,Oil/Gas,Under Development,Jan 1981,,92,304,
1210,Benguela,Angola,Block 14,Oil,Producing,,Jun 2006,600,1980,
707,Benjarong,Thailand,G5/50 Concession,Oil,Discovery (Appraised),Apr 2010,,3220,10626,
1242,Bentara,Malaysia,Balai Cluster SFRSC,Oil/Gas,Under Development,,,60,198,
719,Bentley,UK,P1078: 9/3b,Oil,Under Development,Sep 1977,,113,373,
1216,Berangan,Malaysia,SB303,n/a,Discovery (Drilled),Sep 2012,,70,231,
1730,Bergarding,Malaysia,"PM302, PM325, PM326B",Gas,Under Development,,,,,
1039,Bertam,Malaysia,PM307,Oil,Under Development,Jan 1995,,76,251,
737,Beta,US,"POCS 300, 301, 306",Oil,Producing,Jan 1976,Jan 1981,,,Y
686,Beta Brent,Norway,"34/4, 34/5, PL 375",Oil,Discovery (Drilled),Dec 2009,,374,1234,
1774,Betula,Norway,PL670B: 7/11,n/a,Bright Spot,,,,,
709,Beverley,Falkland Islands (Malvinas),PL 004,Oil,Discovery (Drilled),Dec 2011,,,,
1468,Bianchi,Australia,WA-49-R,Gas,Discovery (Drilled),Jul 2013,,240,792,
1116,Biawak Besar,Indonesia,Natuna Sea Block A,n/a,Non-Commercial,,,,,
945,Bicuar,Angola,Block 21,n/a,Discovery (Drilled),Jan 2014,,1550,5115,
617,Big Bend (Noble),US,Mississippi Canyon 698,Oil,Discovery (Drilled),Nov 2012,,2222,7333,Y
594,Big Bend (Petrobras),US,Mississippi Canyon 697,Oil/Gas,Bright Spot,,,2179,7191,Y
343,Big Foot,US,Walker Ridge 29,Oil/Gas,Under Development,Dec 2005,,1524,5029,Y
1336,Bilby,Brazil,S-M-1166,Oil,Discovery (Drilled),May 2013,,400,1320,
761,Bimini,US,Garden Banks 213,Gas,Bright Spot,,,281,927,Y
757,Binaloud,Iran,Farsi,Oil,Discovery (Drilled),Jan 2006,,,,
1004,Bioko,US,Keathley Canyon 698,n/a,Exploratory Drilling,,,1936,6389,Y
1405,Biotitt,Norway,PL544,n/a,Non-Commercial,,,90,297,
312,Birse,UK,Blocks 9/14a and 9/14b,Oil,Abandoned (Ex-Producer),,Jan 2001,120,396,
1028,Bittern,UK,29/01 29/01b- 5,Gas,Producing,Jul 1996,Oct 2004,119,393,
1599,Bjaaland (Wisting East S),Norway,"PL537; 7324/7, 7324/8",n/a,Bright Spot,,,400,1320,
674,Blaabaer,Norway,"34/2, 34/5, PL 374",Oil,Discovery (Drilled),Mar 2010,,387,1277,
967,Black Horse,UK,15/22,Oil,Discovery (Appraised),Aug 2005,,145,479,
473,Black Pearl,US,Green Canyon 423,Oil,Bright Spot,,,1005,3317,Y
1652,Blackadder,UK,"P1742, 47/10c, 48/6c",n/a,Bright Spot,,,,,
779,Blackbeard East,US,South Timbalier 144,Gas,Discovery (Appraised),Jul 2011,,24,79,Y
1046,Blackbeard West,US,Ship Shoal Block 188,Gas,Exploratory Drilling,,,24,79,Y
238,Blackbird,UK,"P273, 20/2a",Oil,Producing,Aug 2008,Nov 2011,371,1224,
1828,Blackrock,UK,P1830: 204/5b,n/a,Bright Spot,,,,,
618,Blacktail,US,"Garden Banks 77, 78, 121, 122",Oil/Gas,Bright Spot,,,270,891,Y
445,Blacktip,Australia,WA-279-P,Gas,Producing,Jun 2006,Sep 2009,50,165,
820,Blackwood,Australia,NT/P68,Gas,Discovery (Drilled),Jan 2008,,61,201,
319,Blake,UK,UKCS Blocks 13/24a and 13/24b,Oil,Producing,Aug 1997,Jun 2001,95,314,
319,Blake Flank,UK,UKCS Block 13/24,Oil,Producing,Oct 2001,Sep 2003,,,
792,Blakeney,UK,"21/27b, P1619",n/a,Discovery (Drilled),Aug 2010,,73,241,
119,Blind Faith,US,"Mississippi Canyon 695, 696",Oil/Gas,Producing,Sep 2001,Nov 2008,2134,7042,Y
1574,Blofeld,UK,"P1943, 13/25",n/a,Bright Spot,,,310,1023,
855,Bluebell,UK,"15/24c, 15/25f",n/a,Non-Commercial,,,,,
574,Blueberry Hill,US,Louisiana State 340,Gas,Discovery (Appraised),,,3,10,Y
1253,Bluto,US,Mississippi 431,n/a,Under Development,Mar 2012,,1958,6461,Y
940,Blythe,UK,"P1737: 48/22b, 48/23a",Gas,Discovery (Appraised),Jan 1966,,23,76,
212,Boa,Norway,UK Blocks 9/15a and 9/15b; Norway Block 24/6,Oil,Producing,Jan 2004,Jun 2008,,,
434,Bodbury,UK,Block 49/12,Gas,Discovery (Drilled),Jun 2009,,92,304,
1754,Boilers,Morocco,Essaouira Block,n/a,Bright Spot,,,750,2475,
1340,Boje,Denmark,5504/7,Oil,Under Development,Jun 1982,,40,132,
619,Bolt,US,"Walker Ridge 452, 453",Oil/Gas,Bright Spot,,,2362,7795,Y
932,Bomu,Sao Tome and Principe,Block 2,Gas,Discovery (Drilled),Sep 2009,,1646,5432,
656,Bonanza,US,"Keathley Canyon 626, 627",n/a,Bright Spot,,,2689,8874,Y
250,Bonga,Nigeria,OML 118,Oil/Gas,Producing,Jan 1996,Nov 2005,1000,3300,
1593,Boni,Indonesia,Baronang Block,n/a,Non-Commercial,,,,,
1487,Bonito,US,"High Island A5, A6",n/a,Bright Spot,,,15,50,Y
1419,Bonna,Norway,"7016/2, PL529",n/a,Non-Commercial,,,1370,4521,
1499,Bonneville,UK,"P1430, 28/9a",Oil,Discovery (Drilled),Apr 2013,,88,290,
118,Boomvang,US,"East Breaks 598, 599, 642, 643, 688",Oil/Gas,Producing,Sep 1997,Jun 2002,1052,3472,Y
389,Boonville,US,Green Canyon 618,Oil/Gas,Bright Spot,,,1098,3623,Y
405,Boreas,Australia,WA-315-P,n/a,Discovery (Drilled),Oct 2012,,,,
607,Boris,US,Green Canyon 282,Oil/Gas,Under Development,Nov 2001,Feb 2003,727,2399,Y
819,Boudin,US,Eugene Island 26,Gas,Bright Spot,,,6,20,Y
587,Bougainvillea,Trin. & Tobago,NCMA,Gas,Producing,,Jan 2009,158,521,
