COUNTRY,LATITUDE,LONGITUDE
Saudi Arabia,24.68333333,46.7
Senegal,14.56666667,-17.48333333
Sierra Leone,8.5,-13.28333333
Slovakia,48.16666667,17.11666667
Slovenia,46.06666667,14.55
Solomon Islands,-9.45,159.95
Somalia,2.033333333,45.41666667
South Africa,-25.73333333,28.2
Spain,40.41666667,-3.75
Sudan,15.51666667,32.58333333
Suriname,5.833333333,-55.16666667
Swaziland,-26.3,31.1
Sweden,59.33333333,18.05
Switzerland,46.95,7.466666667
Syrian Arab Republic,33.5,36.3
Tajikistan,38.55,68.8
Thailand,13.75,100.5833333
The Former Yugoslav Republic of Macedonia,42.01666667,21.43333333
Togo,6.15,1.333333333
Tonga,-21.16666667,-174
Tunisia,36.83333333,10.18333333
Turkey,39.95,32.9
Turkmenistan,38,57.83333333
Tuvalu,-8.516666667,179.2166667
Uganda,0.333333333,32.5
Ukraine,50.5,30.46666667
UAE,24.46666667,54.36666667
UK,51.5,-0.116
"Tanzania, United Republic of",-6.133333333,35.75
US,40.51666667,-77.03333333
United States of Virgin Islands,18.35,-64.93333333
Uruguay,-34.83333333,-56.18333333
Uzbekistan,41.33333333,69.16666667
Vanuatu,-17.75,168.3
Venezuela,10.5,-66.91666667
Viet Nam,21.08333333,105.9166667
Yugoslavia,44.83333333,20.61666667
Zambia,-15.46666667,28.26666667
Zimbabwe,-17.71666667,31.03333333
Gulf of Mexico,24.439,-96.297
Libya,27.00,17.00
"Congo, The Demo. Rep. of the",-2.8800,23.656
Morocco,32,-6
Guinea-Bissau,12,-15
Japan,35.6833,139.7667
