DISCOVERY_NAME,BLOCK,COUNTRY,BASIN,OPERATOR,PARTNERS,DISCOVERY_YEAR,WATER_DEPTH_M,RESOURCE_ESTIMATE,RESOURCE_BASIS,STATUS,CONFIDENCE_TIER,DATA_SOURCE_URL,NOTES
Sapakara West-1,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2020,1000,79 m net oil + gas-condensate pay,net_pay,discovery,high,https://www.globenewswire.com/news-release/2020/04/02/2010828/0/en/Apache-Corporation-Announces-Significant-Oil-Discovery-Offshore-Suriname-at-Sapakara-West-1.html,
Kwaskwasi-1,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2020,,278 m net oil/volatile-oil/gas-condensate pay,net_pay,discovery,high,https://investor.apacorp.com/news-releases/news-release-details/apache-corporation-announces-major-oil-discovery-block-58,Largest net pay on Block 58; water depth not disclosed.
Keskesi East-1,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2021,725,63 m total net pay,net_pay,discovery,high,https://totalenergies.com/news/news/total-announces-third-significant-discovery-block-58-offshore-suriname,TotalEnergies took over as operator around this well.
Sapakara South,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2021,,GranMorgu (Sapakara South + Krabdagu) >750 MMbbl recoverable,recoverable,sanctioned,high,https://totalenergies.com/news/press-releases/suriname-totalenergies-announces-final-investment-decision-granmorgu,"One of two GranMorgu development fields (FID 1 Oct 2024, ~$10.5B, FPSO 220k bopd, first oil 2028). The >750 MMbbl figure is the combined GranMorgu volume."
Krabdagu-1,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2022,780,GranMorgu (Sapakara South + Krabdagu) >750 MMbbl recoverable; up to 90 m net oil pay,recoverable,sanctioned,high,https://www.globenewswire.com/news-release/2022/02/21/2388780/0/en/APA-Corporation-Announces-Oil-Discovery-at-Krabdagu-Exploration-Well-Offshore-Suriname.html,Second GranMorgu development field.
Bonboni-1,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2021,,"16 m net pay, ~25 API black oil",net_pay,non_commercial,medium,https://www.nsenergybusiness.com/projects/block-58-development-offshore-suriname/,~45 km north of the Maka-Keskesi trend; pay extent insufficient for standalone development.
Sloanea-1,Block 52,Suriname,Guyana-Suriname,Petronas,Petronas 50% (op) / ExxonMobil 50% (Staatsolie back-in option),2020,,,not_disclosed,appraisal,high,https://www.staatsolie.com/en/news/petronas-confirms-oil-discovery-in-block-52-offshore-suriname/,Campanian sandstones; later framed as a potential gas/FLNG development.
Roystonea-1,Block 52,Suriname,Guyana-Suriname,Petronas,Petronas 50% (op) / ExxonMobil 50% (Staatsolie back-in option),2023,904,,not_disclosed,discovery,high,https://www.rigzone.com/news/petronas_exxonmobil_make_third_discovery_in_surinames_block_52-16-may-2024-176761-article/,"Oil-bearing Campanian sandstones (TD 5,315 m)."
Fusaea-1,Block 52,Suriname,Guyana-Suriname,Petronas,Petronas 50% (op) / ExxonMobil 50% (Staatsolie back-in option),2024,,,not_disclosed,discovery,high,https://www.rigzone.com/news/petronas_exxonmobil_make_third_discovery_in_surinames_block_52-16-may-2024-176761-article/,"Oil & gas-bearing Campanian sandstones (TD 5,227 m)."
Baja-1,Block 53,Suriname,Guyana-Suriname,APA Corporation,APA 45% (op) / Petronas 30% / CEPSA 25% (TotalEnergies acquired 25% Jun 2025),2022,1140,34 m net oil pay,net_pay,discovery,high,https://www.ogj.com/exploration-development/discoveries/article/14281658/apa-makes-first-discovery-in-block-53-offshore-suriname,First discovery on Block 53.
Graff-1,PEL 39 / Block 2913A,Namibia,Orange,Shell,Shell 45% (op) / QatarEnergy 45% / NAMCOR 10%,2022,2000,"Graff+La Rona+Jonker combined ~1.7 Bboe [unverified, secondary; mixed in-place/EUR]",recoverable,discovery,medium,https://www.oedigital.com/news/494051-shell-s-partners-confirm-oil-discovery-at-graff-1-well-offshore-namibia,Shell took a ~$400M PEL 39 write-down in 2025 citing commerciality/reservoir difficulties.
La Rona-1,PEL 39 / Block 2913A,Namibia,Orange,Shell,Shell 45% (op) / QatarEnergy 45% / NAMCOR 10%,2022,,,not_disclosed,discovery,low,https://www.offshore-technology.com/news/shell-finds-hydrocarbons-offshore-namibia/,Commerciality uncertain (PEL 39 2025 write-down).
Jonker-1X,PEL 39 / Block 2913A,Namibia,Orange,Shell,Shell 45% (op) / QatarEnergy 45% / NAMCOR 10%,2023,2210,,not_disclosed,discovery,low,https://www.offshore-technology.com/news/shell-finds-hydrocarbons-offshore-namibia/,"TD 6,168 m; commerciality uncertain (PEL 39 2025 write-down)."
Cullinan-1X,PEL 39 / Block 2913A,Namibia,Orange,Shell,Shell 45% (op) / QatarEnergy 45% / NAMCOR 10%,2023,,,not_disclosed,discovery,low,https://www.offshore-technology.com/news/shell-finds-hydrocarbons-offshore-namibia/,Hydrocarbons encountered; commerciality uncertain (PEL 39 2025 write-down).
Lesedi-1X,PEL 39 / Block 2913A,Namibia,Orange,Shell,Shell 45% (op) / QatarEnergy 45% / NAMCOR 10%,2023,,,not_disclosed,discovery,low,https://www.offshore-technology.com/news/shell-finds-hydrocarbons-offshore-namibia/,Hydrocarbons confirmed; commerciality uncertain (PEL 39 2025 write-down).
Venus-1X,PEL 56 / Block 2913B,Namibia,Orange,TotalEnergies,TotalEnergies 45.25% (op) / QatarEnergy 30% / Impact Oil & Gas 9.5% / NAMCOR 10%,2022,3000,"~750 MMbbl recoverable (Phase 1, operator concept); 84 m net oil pay",recoverable,pre_fid,high,https://www.offshore-energy.biz/totalenergies-750-million-barrel-project-offshore-namibia-targets-first-oil-in-2030/,"FID targeted end-2026, first oil ~2030. Analyst ~2 Bbbl recoverable / larger in-place figures are [unverified by operator]."
Mopane,PEL 83 / Block 2813A,Namibia,Orange,Galp Energia,"Galp 80% (op) / NAMCOR 10% / Custos 10% (TotalEnergies farming in as operator, 40%)",2024,1680,up to 10 Bboe IN-PLACE (Galp estimate; NOT recoverable),in_place,appraisal,medium,https://www.offshore-technology.com/news/mopane-field-oil-reserves-estimate/,Multiple stacked intervals (AVO-1/-2/-3/-10/-13). The 10 Bboe headline is in-place and partly analyst-amplified; recoverable not disclosed.
Capricornus 1-X,PEL 85 / Block 2914,Namibia,Orange,Rhino Resources,Rhino Resources 42.5% (op) / Azule Energy 42.5% / NAMCOR 10% / Korres 5%,2025,,"38 m net pay, ~37 API light oil; tested >11,000 stb/d",net_pay,discovery,high,https://www.rhinorsc.com/capricornus-1-x-light-oil-discovery/,"Flow-tested light oil, <2% CO2, no H2S."
Sagittarius 1-X,PEL 85 / Block 2914,Namibia,Orange,Rhino Resources,Rhino Resources 42.5% (op) / Azule Energy 42.5% / NAMCOR 10% / Korres 5%,2025,,,not_disclosed,discovery,medium,https://www.rhinorsc.com/rhino-resources-completes-drilling-of-first-exploration-well-on-pel-85-offshore-namibia/,Hydrocarbon reservoir with no water contact; fluid analysis pending at announcement.
Volans-1X,PEL 85 / Block 2914,Namibia,Orange,Rhino Resources,Rhino Resources 42.5% (op) / Azule Energy 42.5% / NAMCOR 10% / Korres 5%,2025,,,not_disclosed,discovery,medium,https://www.oedigital.com/news/530653-rhino-resources-makes-high-liquid-yield-gas-discovery-off-namibia,High-yield gas-condensate discovery.
