Lease Number,ROW Number,RUE Number,Lease Designation,Lease Status,Area Code,Block Number,Water Depth(Meters),Date Last Reviewed,Total Decom Liability,Boreholes Plug Cost (Spud Wells),Boreholes Count (Spud Wells),Boreholes Plug Cost (Prop Wells),Boreholes Count (Prop Wells),Platforms (Installed) Decom Cost,Platforms (Installed) Decom Count,Platforms (Installed) Site Clear Cost,Platforms (Installed) Site Clear Count,Platforms (Prop) Decom Cost,Platforms (Prop) Decom Count,Platforms (Prop) Site Clear Cost,Platforms (Prop) Site Clear Count,Pipelines (Installed) Decom Cost,Pipelines (Installed) Count,Pipelines (Prop) Decom Cost,Pipelines (Prop) Count
G36786,,,NON,PRIMRY,MC,  893,1268,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36785,,,NON,PRIMRY,MC,  855,1360,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36784,,,NON,PRIMRY,MC,  842,812,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36783,,,NON,PRIMRY,MC,  798,885,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36782,,,NON,PRIMRY,MC,  758,1070,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36781,,,NON,PRIMRY,MC,  732,1685,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36780,,,NON,PRIMRY,MC,  727,1627,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36779,,,NON,PRIMRY,MC,  716,1025,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36778,,,NON,PRIMRY,MC,  715,1064,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36777,,,NON,PRIMRY,MC,  689,1681,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36776,,,NON,PRIMRY,MC,  683,1487,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36775,,,NON,PRIMRY,MC,  456,568,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36774,,,NON,PRIMRY,MC,  455,499,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36773,,,NON,PRIMRY,MC,  436,2378,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36772,,,NON,PRIMRY,MC,  435,2228,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36771,,,NON,PRIMRY,MC,  375,1202,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36770,,,NON,PRIMRY,MC,  340,1775,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36769,,,NON,PRIMRY,MC,  335,1430,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36768,,,NON,PRIMRY,MC,  298,1605,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36767,,,NON,PRIMRY,MC,  253,1617,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36766,,,NON,REJECT,MC,   69,545,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36765,,,NON,REJECT,MC,   40,1587,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36764,,,NON,PRIMRY,EW,  955,340,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36763,,,NON,PRIMRY,EW,  953,267,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36762,,,NON,PRIMRY,EW,  911,252,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36761,,,NON,PRIMRY,EW,  744,197,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36760,,,NON,PRIMRY,EW,  702,250,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36759,,,NON,PRIMRY,VK,  772,167,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36758,,,NON,PRIMRY,SA,   14,17,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36757,,,NON,PRIMRY,MP,   58,21,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36756,,,NON,PRIMRY,MP,   44,8,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36755,,,NON,PRIMRY,GI,   45,40,4/1/2020,"$450,000.00",0,0,450000,1,0,0,0,0,0,0,0,0,0,0,0,0
G36754,,,NON,PRIMRY,SS,  367,165,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36753,,,NON,PRIMRY,SS,  332,135,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36752,,,NON,PRIMRY,EI,  355,85,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36751,,,NON,PRIMRY,EI,  352,89,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36750,,,NON,PRIMRY,EI,  326,80,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36749,,,NON,PRIMRY,EI,  323,83,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36748,,,NON,PRIMRY,EI,  287,61,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36747,,,NON,PRIMRY,EI,  286,58,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36746,,,NON,PRIMRY,EI,  284,60,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36745,,,NON,PRIMRY,EI,  227,41,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36744,,,NON,PRIMRY,EI,  219,38,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36743,,,DEV,PRIMRY,EI,  217,36,3/2/2020,"$2,319,448.00",0,0,0,0,2019256,1,300192,1,0,0,0,0,0,0,0,0
G36742,,,NON,REJECT,AC,  601,2419,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36741,,,NON,REJECT,AC,  557,2537,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36740,,,NON,PRIMRY,AC,  341,1678,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36739,,,NON,PRIMRY,AC,  340,1588,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36738,,,NON,PRIMRY,AC,  197,1402,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36737,,,NON,PRIMRY,AC,  196,1375,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36736,,,NON,PRIMRY,AC,   76,1652,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36735,,,NON,PRIMRY,AC,   75,1327,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36734,,,NON,PRIMRY,AC,   31,1242,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36733,,,NON,PRIMRY,GB,  760,957,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36732,,,NON,PRIMRY,GB,  716,1241,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36731,,,NON,PRIMRY,GB,  672,1240,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36730,,,NON,PRIMRY,GB,  619,791,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36729,,,NON,PRIMRY,GB,  575,781,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36728,,,NON,PRIMRY,GB,  574,842,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36727,,,NON,PRIMRY,GB,  535,623,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36726,,,NON,PRIMRY,EB,  952,1424,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36725,,,NON,PRIMRY,EB,  908,1333,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36724,,,NON,PRIMRY,EB,  907,1404,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36723,,,NON,PRIMRY,EB,  864,1142,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36722,,,NON,PRIMRY,EB,  863,1177,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36721,,,NON,PRIMRY,EB,  820,1223,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36720,,,NON,PRIMRY,EB,  701,1002,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36719,,,NON,PRIMRY,EB,  694,1342,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36718,,,NON,PRIMRY,EB,  693,1354,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36717,,,NON,PRIMRY,EB,  692,1472,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36716,,,NON,PRIMRY,EB,  656,913,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36715,,,NON,PRIMRY,EB,  655,991,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36714,,,NON,PRIMRY,EB,  651,1524,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36713,,,NON,PRIMRY,EB,  650,1343,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36712,,,NON,PRIMRY,EB,  649,1428,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36711,,,NON,PRIMRY,EB,  648,1463,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36710,,,NON,PRIMRY,EB,  607,968,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36709,,,NON,PRIMRY,EB,  546,1053,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36708,,,NON,PRIMRY,EB,  545,1075,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36707,,,NON,PRIMRY,SX,   40,8,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36704,,,NON,UNIT,EW,  921,568,4/30/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36703,,,NON,PRIMRY,WR,  719,2203,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36702,,,NON,PRIMRY,WR,  713,2298,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36701,,,NON,PRIMRY,WR,  675,2155,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36700,,,NON,PRIMRY,WR,  627,2234,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36699,,,NON,PRIMRY,WR,  543,2231,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36698,,,NON,PRIMRY,WR,  407,2448,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36697,,,NON,PRIMRY,WR,  363,2412,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36696,,,NON,PRIMRY,WR,  114,1808,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36695,,,NON,PRIMRY,WR,  113,2044,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36694,,,NON,PRIMRY,KC,  964,2475,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36693,,,NON,PRIMRY,KC,  858,2154,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36692,,,NON,REJECT,KC,  824,2074,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36691,,,NON,PRIMRY,KC,  823,2136,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36690,,,NON,REJECT,KC,  780,2081,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36689,,,NON,REJECT,KC,  779,2137,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36688,,,NON,PRIMRY,LL,  456,3055,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36687,,,NON,PRIMRY,LL,  414,3042,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36686,,,NON,PRIMRY,LL,  195,2973,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36685,,,NON,PRIMRY,LL,  181,2808,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36684,,,NON,PRIMRY,LL,  180,2796,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36683,,,NON,PRIMRY,LL,  152,2977,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36682,,,NON,PRIMRY,LL,  136,2721,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36681,,,NON,PRIMRY,LL,   11,2863,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36680,,,NON,PRIMRY,LL,   10,2800,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36679,,,NON,PRIMRY,AT,  488,1559,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36678,,,NON,PRIMRY,AT,  487,1521,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36677,,,NON,PRIMRY,AT,  399,1261,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36676,,,NON,PRIMRY,AT,  138,1159,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36675,,,NON,PRIMRY,AT,  137,1150,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36674,,,NON,PRIMRY,AT,   95,1150,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36673,,,NON,PRIMRY,AT,   68,1854,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36672,,,NON,PRIMRY,AT,   67,1692,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36671,,,NON,PRIMRY,AT,   48,1037,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36670,,,NON,PRIMRY,AT,   24,1850,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36669,,,NON,PRIMRY,AT,   15,1422,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36668,,,NON,PRIMRY,AT,   14,1350,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36667,,,NON,PRIMRY,AT,    9,1059,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36666,,,NON,PRIMRY,AT,    4,980,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36665,,,NON,PRIMRY,AT,    3,835,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36664,,,NON,PRIMRY,GC,  996,1645,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36663,,,NON,PRIMRY,GC,  995,1635,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36662,,,NON,PRIMRY,GC,  947,1747,4/11/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
