Segment Number,Originating Id Name,Originating Area Code,Originating Block Number,Originating Lease Number,Receiving Id Name,Receiving Area Code,Receiving Block Number,Receiving Lease Number,Approved Date,Install Date,Status Code,Pipeline Size Code,ROW Number,Production Code,Facility Operator,Operator,Max Water Depth (feet),Max Allowable Operating Pressure,Cathodic Code,Pipeline ROW Seg Status Code,Pipeline ROW Permit,ROW Holder,Segment Length,Authority,Bidirectional,Out of Service Date,Temporary Cessation of Operations Date,Flush and Fill Date,Abandonment Approval Date,Abandonment Date
12,B,SS,  219, 00829,A,SS,  219, 00829,9/29/1971,1/5/1972,ACT,06,,BLKG,03209,"Renaissance Offshore, LLC",117,1440,,,,,5669,DOI,Y,,,,,
13,D,WD,   75,G01085,A,WD,   90,G01089,8/23/1971,12/12/1972,ABN,06,,OIL,00105,Apache Corporation,190,1440,,,,,7810,DOI,,12/15/2008,,6/25/2010,12/19/2013,7/25/2014
14,A,WD,   90,G01089,D,WD,   75,G01085,8/23/1971,12/12/1972,ACT,06,,GAS,03295,Fieldwood Energy LLC,190,1440,,,,,7800,DOI,,,,,,
15,D,WD,   75,G01085,F,WD,   75,G01085,8/23/1971,1/14/1973,ACT,08,,GAS,03295,Fieldwood Energy LLC,172,1440,,,,,4275,DOI,,,,,,
16,F,WD,   75,G01085,D,WD,   75,G01085,8/23/1971,12/12/1972,ABN,04,,BLKG,00105,Apache Corporation,172,1440,,,,,4300,DOI,,12/15/2008,,6/25/2010,12/19/2013,7/25/2014
17,C,WD,   89,G01088,B,WD,   90,G01089,5/3/1971,6/23/1971,ABN,04,,BLKO,00114,BP America Production Company,220,1440,,,,,15000,DOI,,,,,,
18,#04,SM,   33, 00780,B,SM,   33, 00780,5/14/1973,6/20/1973,ABN,06,,BLKO,00114,BP America Production Company,92,1440,,,,,7400,DOI,,,,,,
19,B,SS,  219, 00829,A,SS,  219, 00829,8/7/1972,10/18/1972,ACT,06,,BLKO,03209,"Renaissance Offshore, LLC",117,1440,,,,,5669,DOI,,,,,,
20,C,SS,  219, 00829,A,SS,  219, 00829,8/7/1972,10/18/1972,ABN,04,,BLKO,00048,Sabine Oil & Gas Corporation,117,1440,,,,,5100,DOI,,12/9/1997,,,8/25/1998,9/22/1998
21,C Platform,ST,  161,G01248,A Platform,ST,  161,G01248,8/1/1972,10/16/1972,ABN,06,,BLKG,02628,"Arena Offshore, LP",116,1440,,,,,6700,DOI,,8/29/2005,,,9/25/2007,10/20/2007
22,A,ST,  161,G01248,10 SSTI,ST,  161,G01248,,6/15/1966,ABN,04,,OIL,00105,Apache Corporation,116,1200,,,,,7500,DOI,,8/27/2005,,,4/11/2006,5/7/2006
25,#01,EI,  190,G03994,A,EI,  190,G03994,,,ABN,04,,G/O,00967,Atlantic Richfield Company,0,0,,,,,2300,DOI,,,,,,12/25/1984
26,A,EI,  190,G03994,24 SSTI,EI,  190,G03994,,,ABN,08,,GAS,00967,Atlantic Richfield Company,0,0,,,,,1500,DOI,,,,,,12/25/1984
27,B,EI,  175, 00438,A,EI,  176, 00445,2/19/1968,4/25/1968,ABN,04,G13446,OIL,00105,Apache Corporation,83,1040,,RELQ,00105,Apache Corporation,10200,DOI,,7/28/1999,,,10/23/2003,9/30/2003
28,#13,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKO,00967,Atlantic Richfield Company,83,0,,,,,6400,DOI,,,,,,
29,#05,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKG,00967,Atlantic Richfield Company,83,0,,,,,3900,DOI,,,,,,
30,#06,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKO,00967,Atlantic Richfield Company,83,0,,,,,4500,DOI,,,,,,
31,#12,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKG,00967,Atlantic Richfield Company,83,0,,,,,6400,DOI,,,,,,
32,#04,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKO,00967,Atlantic Richfield Company,83,0,,,,,5200,DOI,,,,,,
33,#08,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKO,00967,Atlantic Richfield Company,83,0,,,,,6200,DOI,,,,,,
34,#09,EI,  175, 00438,B,EI,  175, 00438,,,ABN,02,,BLKG,00967,Atlantic Richfield Company,83,0,,,,,2000,DOI,,,,,,
36,A,SP,   60,G01608,CAP END,MP,   73,G02947,8/9/1971,1/3/1972,ABN,08,G13501,OIL,01855,"Vastar Resources, Inc.",185,1440,,RELQ,01855,"Vastar Resources, Inc.",83580,DOI,,,,9/19/2001,,9/25/2007
37,Platform A,SP,   60,G01608,Platform B,SP,   60,G01608,3/10/1972,5/21/1972,ACT,06,,GAS,03035,Fieldwood Energy Offshore LLC,206,1440,,,,,7000,DOI,N,,,,,
38,B,SP,   60,G01608,A,SP,   60,G01608,3/10/1972,5/21/1972,COMB,06,G04353,OIL,02636,Fieldwood Energy SP LLC,206,1440,,RELQ,02636,Fieldwood Energy SP LLC,0,DOT,,,,,,
39,C,EI,  175, 00438,04 SSTI,EI,  175, 00438,6/14/1972,9/27/1972,ABN,04,,OIL,00967,Atlantic Richfield Company,83,0,,,,,1000,DOT,,,,,,7/28/1994
40,4-inch SSTI,EI,  175, 00438,Platform B,EI,  175, 00438,,10/4/1972,ABN,04,,GAS,00105,Apache Corporation,83,0,,,,,1000,DOI,,6/14/1972,,,9/3/2013,9/27/2013
41,4-inch SSTI,EI,  175, 00438,Platform B,EI,  175, 00438,,10/6/1972,ABN,04,,OIL,00105,Apache Corporation,83,0,,,,,1000,DOI,,6/14/1972,,,9/3/2013,9/27/2013
42,Platform B,EI,  175, 00438,4-inch SSTI,EI,  175, 00438,,10/6/1972,ABN,04,,OIL,00105,Apache Corporation,83,0,,,,,1000,DOI,,6/6/1972,,,9/3/2013,9/25/2013
43,D,EI,  175, 00438,C,EI,  175, 00438,4/4/1973,8/13/1973,ABN,08,,BLKO,00105,Apache Corporation,83,544,A,,,,6500,DOI,,1/14/2003,,,8/25/2003,8/31/2003
44,Platform C,EI,  175, 00438,12-inch SSTI,EI,  176, 00445,4/27/1973,8/13/1973,ACT,08,G13445,OIL,03295,Fieldwood Energy LLC,83,1440,,ACT,03295,Fieldwood Energy LLC,9110,DOI,,,,,,
45,Platform B,SP,   60,G02137,Platform A,SP,   60,G02137,8/31/1973,5/30/1980,ACT,12,,GAS,03035,Fieldwood Energy Offshore LLC,206,290,,,,,7000,DOI,,,,,,
46,Platform A,SP,   60,G01608,Platform B,SP,   60,G01608,8/31/1973,,ACT,12,,GAS,03035,Fieldwood Energy Offshore LLC,206,267,,,,,7000,DOI,Y,,,,,
47,Platform C,SP,   60,G01608,Platform A,SP,   60,G01608,8/31/1973,,OUT,12,,GAS,03035,Fieldwood Energy Offshore LLC,,290,,,,,4000,DOI,,9/24/2014,,,,
48,A,SP,   60,G02137,C,SP,   60,G02137,9/4/1980,12/15/1973,COMB,08,G04352,INJ,02636,Fieldwood Energy SP LLC,192,1440,A,RELQ,02636,Fieldwood Energy SP LLC,0,DOI,N,,,,,
49,C,SP,   60,G01608,A,SP,   60,G01608,8/31/1973,12/15/1973,COMB,06,G13438,OIL,02636,Fieldwood Energy SP LLC,206,1440,A,RELQ,02636,Fieldwood Energy SP LLC,0,DOT,,,,,,
50,C,SS,  149, 00434,A,SS,  149, 00434,12/26/1973,9/3/1976,ABN,06,,BLKG,01284,"W & T Offshore, Inc.",50,828,,,,,6500,DOI,,8/22/2011,,7/9/2012,3/21/2016,10/20/2016
51,C,SS,  149, 00434,A,SS,  149, 00434,12/26/1973,9/3/1976,ABN,02,,TEST,01284,"W & T Offshore, Inc.",55,1440,C,,,,6500,DOI,Y,8/22/2011,,7/9/2012,3/21/2016,10/20/2016
52,A,SS,  149, 00434,C,SS,  149, 00434,12/26/1973,9/3/1976,ABN,02,,LIFT,01284,"W & T Offshore, Inc.",55,1440,C,,,,6500,DOI,,6/22/2011,,3/24/2012,3/21/2016,10/20/2016
53,A,SS,  149, 00434,E,SS,  154, 00420,2/13/1975,4/27/1975,OUT,06,G13717,BLKO,01284,"W & T Offshore, Inc.",62,1000,,ACT,01284,"W & T Offshore, Inc.",15000,DOI,,2/25/2019,2/28/2017,,,
54,A,SS,  149, 00434,E,SS,  154, 00420,2/13/1975,4/27/1975,ACT,06,G13457,GAS,03203,"Kinetica Partners, LLC",60,1440,,ACT,03203,"Kinetica Partners, LLC",15000,DOT,,,,,,
55,B,GA,  296, 00714,A,GA,  288, 00709,5/24/1965,9/16/1965,ABN,20,G01381,G/C,00125,Blue Dolphin Pipe Line Company,68,600,,RELQ,00125,Blue Dolphin Pipe Line Company,9248,DOT,,,,,5/19/2001,10/2/2001
58,B,EI,  258,G01959,A,EI,  259,G00985,10/8/1971,2/26/1972,COMB,08,G13413,OIL,02079,CNOOC Petroleum Offshore U.S.A. Inc.,155,1440,,RELQ,02079,CNOOC Petroleum Offshore U.S.A. Inc.,0,DOI,,,,,,
59,Platofrm D,EI,  257,G02103,Platform C,EI,  257,G02103,6/13/1972,11/17/1972,OUT,06,,BLKO,02375,"Energy XXI GOM, LLC",155,1440,A,,,,7230,DOI,,,,,,
60,Platform C,EI,  257,G02103,Platform B,EI,  258,G01959,6/13/1972,11/17/1972,ACT,08,,BLKO,02375,"Energy XXI GOM, LLC",155,1040,A,,,,11912,DOI,,,,,,
61,EC,BS,   55,G01372,E,MP,   42, 00375,2/7/1969,,ACT,06,,BLKO,00078,Chevron U.S.A. Inc.,36,1048,,,,,3500,DOI,,,,,,
62,EC,BS,   55,G01372,E,MP,   42, 00375,8/2/1996,,PREM,04,,TEST,00078,Chevron U.S.A. Inc.,36,1440,,,,,3500,DOI,,9/13/2013,,10/7/2015,11/3/2014,
63,"Platform ""EA""",MP,   42, 00375,"Platform ""EC""",BS,   55,G01372,,,ACT,04,,LIFT,03481,"Cantium, LLC",30,1432,,,,,1581,DOI,,,,,,
64,E,MP,   42, 00375,F,BS,   55,G01372,10/16/1996,,ACT,04,,LIFT,03481,"Cantium, LLC",30,1440,,,,,4500,DOI,Y,,,,,
65,DB,MP,   42, 00375,F,BS,   55,G01372,,,ACT,04,,H2O,03481,"Cantium, LLC",0,0,,,,,4500,DOI,,,,,,
66,F,BS,   55,G01372,D,MP,   42, 00375,,,ACT,06,,LIFT,03481,"Cantium, LLC",30,1440,,,,,5000,DOI,Y,,,,,
67,F,BS,   55,G01372,FA,BS,   55,G01372,,,ACT,04,,LIFT,03481,"Cantium, LLC",30,1440,,,,,6000,DOI,,,,,,
68,FA,BS,   55,G01372,F,BS,   55,G01372,,,ACT,04,,BLKG,03481,"Cantium, LLC",30,1440,,,,,6000,DOI,,,,,,
69,EB,BS,   55,G01372,F,BS,   55,G01372,,,ACT,04,,BLKO,03481,"Cantium, LLC",30,1440,,,,,6000,DOI,,,,,,
71,EB,BS,   55,G01372,E,MP,   42, 00375,,,ABN,06,,BLKO,00078,Chevron U.S.A. Inc.,30,0,,,,,5000,DOI,,,,,5/3/1995,6/19/2000
73,CD,BM,    2, 00369,R,GI,   37, 00392,,,ACT,04,,LIFT,03481,"Cantium, LLC",47,1440,,,,,4500,DOI,,,,,,
74,R,GI,   37, 00392,CD,BM,    2, 00369,,,REM,04,,H2O,00078,Chevron U.S.A. Inc.,47,0,,,,,4500,DOI,,9/7/2005,,,6/24/2010,7/11/2010
75,CD,BM,    2, 00369,R,GI,   37, 00392,,,ACT,04,,BLKO,03481,"Cantium, LLC",47,1000,,,,,4500,DOI,,,,,,
76,R,GI,   37, 00392,W,BM,    2, 00369,,,ABN,06,,SPLY,03481,"Cantium, LLC",47,275,,,,,4000,DOI,Y,2/28/2015,,9/8/2015,5/3/2016,4/7/2019
77,Platform W,BM,    2, 00369,Platform R,GI,   37, 00392,,,PABN,04,,LIFT,03481,"Cantium, LLC",47,1440,,,,,4000,DOI,Y,2/28/2015,,6/19/2015,6/21/2018,
78,R Platform,GI,   37, 00392,W Platform,BM,    2, 00369,,,ABN,04,,LIFT,03481,"Cantium, LLC",47,1440,,,,,4000,DOI,Y,7/14/2014,,6/19/2015,6/21/2018,4/5/2019
79,Platform W,BM,    2, 00369,Platform R,GI,   37, 00392,1/1/1959,,COMB,06,G15979,OIL,03481,"Cantium, LLC",50,1440,P,RELQ,00078,Chevron U.S.A. Inc.,0,DOI,N,,,,7/30/2008,
80,W,BM,    2, 00369,CK,BM,    2, 00369,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,50,1440,,,,,2800,DOI,,9/7/2005,,3/8/2008,2/12/2009,9/25/2009
81,CK,BM,    2, 00369,W,BM,    2, 00369,,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,50,0,,,,,2800,DOI,,9/7/2005,,8/30/2007,2/12/2009,9/25/2009
82,CK,BM,    2, 00369,W,BM,    2, 00369,,,REM,04,,BLKO,00078,Chevron U.S.A. Inc.,50,0,,,,,2800,DOI,,9/7/2005,,8/30/2007,2/12/2009,9/25/2009
83,CK,BM,    2, 00369,#09,BM,    2, 00369,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,50,1440,,,,,4200,DOI,,,,,8/25/1997,9/29/1997
84,#09,BM,    2, 00369,CAP,BM,    2, 00369,,,COMB,04,,BLKO,03481,"Cantium, LLC",50,480,,,,,0,DOI,,,,,8/25/1997,7/28/1997
85,CG,BM,    2, 00369,U,ST,   24, 00387,,,REM,04,,BLKO,00078,Chevron U.S.A. Inc.,50,0,,,,,2200,DOI,,9/12/2005,,,9/18/2011,9/18/2008
86,CG,BM,    2, 00369,U,ST,   24, 00387,,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,50,0,,,,,2200,DOI,,9/12/2005,,,9/18/2011,9/18/2009
87,Platform U,ST,   24, 00387,Platform CG,BM,    2, 00369,,,ACT,04,,LIFT,03481,"Cantium, LLC",,1440,,,,,2000,DOI,,,,,,
88,Well #28,BM,    2, 00369,K&N Platform,BM,    3, 00370,,,ACT,04,,BLKO,03481,"Cantium, LLC",40,1440,,,,,2700,DOI,N,,,,,
89,#23,BM,    2, 00369,K&N,BM,    3, 00370,,,REM,04,,BLKO,00078,Chevron U.S.A. Inc.,40,0,,,,,2700,DOI,,,,,,
90,FF,BM,    3, 00370,K&N,BM,    3, 00370,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,40,0,,,,,4275,DOI,,,,,,
91,FF,BM,    3, 00370,K&N,BM,    3, 00370,,,REM,04,,BLKO,00400,Chevron Pipe Line Company,40,720,P,,,,4275,DOT,N,,,,,
92,CB,GI,   26, 00390,CH,GI,   26, 00390,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,47,0,,,,,2000,DOI,,,,,10/7/2004,8/31/2004
93,CH,GI,   26, 00390,CB,GI,   26, 00390,8/12/1996,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,47,1440,,,,,2200,DOI,,,,,10/7/2004,8/31/2004
94,CH,GI,   26, 00390,CB,GI,   26, 00390,,,REM,04,,BLKO,00078,Chevron U.S.A. Inc.,47,0,,,,,2000,DOI,,,,,10/7/2004,8/31/2004
95,#14,GI,   26, 00390,CB,GI,   26, 00390,,,REM,03,,BLKO,00078,Chevron U.S.A. Inc.,47,1680,,,,,2300,DOI,,,,,10/7/2004,8/31/2004
96,CB,GI,   26, 00390,X,GI,   26, 00390,,,REM,04,,BLKO,00078,Chevron U.S.A. Inc.,47,0,,,,,6500,DOI,,,,,10/7/2004,9/20/2004
97,#01,GI,   26, 00390,CB,GI,   26, 00390,,,REM,03,,BLKO,00078,Chevron U.S.A. Inc.,47,1440,,,,,2100,DOI,,,,,10/7/2004,8/23/2004
98,CB,GI,   26, 00390,X,GI,   26, 00390,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,47,1440,,,,,6500,DOI,Y,,,,10/7/2004,8/28/2004
99,CB,GI,   26, 00390,X,GI,   26, 00390,,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,47,0,,,,,6500,DOI,,,,,10/7/2004,8/3/2004
100,Platform X,GI,   26, 00390,Platform R,GI,   37, 00392,,,ACT,04,,TEST,03481,"Cantium, LLC",50,1440,,,,,7500,DOI,,,,,,
101,X,GI,   26, 00390,R,GI,   37, 00392,11/4/1996,,ACT,06,,BLKO,03481,"Cantium, LLC",47,840,,,,,7000,DOI,,,,,,
102,BB,GI,   26, 00390,R,GI,   37, 00392,12/22/1975,2/19/1976,REM,06,,TEST,00078,Chevron U.S.A. Inc.,47,400,,,,,6550,DOI,,,,,6/5/1998,10/2/2001
103,X,GI,   26, 00390,R,GI,   37, 00392,,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,47,1440,,,,,7050,DOI,N,,,,10/7/2004,8/16/2004
104,R,GI,   37, 00392,X,GI,   26, 00390,,,ACT,04,,LIFT,03481,"Cantium, LLC",47,1440,,,,,7000,DOI,Y,,,,,
105,BB,GI,   26, 00390,R,GI,   37, 00392,12/22/1975,2/19/1976,REM,06,,BLKO,00078,Chevron U.S.A. Inc.,45,1440,,,,,6850,DOI,,11/10/1996,,,6/5/1998,10/2/2001
106,Y,GI,   37, 00392,BB,GI,   26, 00390,3/21/1997,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,50,1440,,,,,6500,DOI,,,,,10/7/2004,8/14/2004
107,R,GI,   37, 00392,CS,GI,   37, 00392,,,ACT,04,,LIFT,03481,"Cantium, LLC",50,1440,,,,,2000,DOI,Y,,,,,
108,END SPAN PT,GI,   37, 00392,R,GI,   37, 00392,,,ABN,04,,TEST,00078,Chevron U.S.A. Inc.,50,1440,,,,,859,DOI,,9/30/2008,,10/10/2010,9/16/2010,3/2/2011
109,CS,GI,   37, 00392,R,GI,   37, 00392,,,ACT,04,,BLKO,03481,"Cantium, LLC",50,1440,,,,,2000,DOI,N,,,,,
110,CO,GI,   37, 00392,Z,GI,   37, 00392,,,REM,04,,BLKO,00078,Chevron U.S.A. Inc.,50,1440,,,,,4500,DOI,,,,,10/7/2004,9/12/2004
111,CR,GI,   37, 00392,Y,GI,   37, 00392,,,REM,08,,H2O,00078,Chevron U.S.A. Inc.,50,0,,,,,2900,DOI,,,,,,
112,Y,GI,   37, 00392,R,GI,   37, 00392,,,REM,08,,BLKO,00078,Chevron U.S.A. Inc.,50,0,,,,,6250,DOI,,7/15/1992,,7/1/1992,7/15/2009,8/30/2009
113,R,GI,   37, 00392,Y,GI,   37, 00392,3/7/1997,,ABN,04,,LIFT,00078,Chevron U.S.A. Inc.,50,1440,,,,,338,DOI,,9/7/2005,,4/26/2008,3/18/2008,8/18/2009
114,GG,GI,   37, 00392,Z,GI,   37, 00392,,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,50,1440,,,,,4500,DOI,,9/27/1998,,11/10/1999,12/6/2006,8/12/2009
115,CZ,GI,   37, 00392,Z,GI,   37, 00392,,,REM,04,,H2O,00078,Chevron U.S.A. Inc.,50,0,,,,,300,DOI,,,,,,
117,Cut End,GI,   37, 00392,Platform R,GI,   37, 00392,,,REM,10,G15978,OIL,03481,"Cantium, LLC",50,1,P,RELQ,00078,Chevron U.S.A. Inc.,528,DOI,N,9/7/2005,,,7/30/2008,7/13/2009
118,Z,GI,   37, 00392,CO,GI,   37, 00392,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,50,1440,,,,,4500,DOI,,,,,10/7/2004,9/12/2004
119,CO,GI,   37, 00392,Z,GI,   37, 00392,,,REM,04,,TEST,00078,Chevron U.S.A. Inc.,50,1440,,,,,4500,DOI,,1/9/1997,,1/10/1997,10/7/2004,9/12/2004
122,#02,GI,   37, 00392,GG,GI,   37, 00392,,,REM,03,,BLKO,00078,Chevron U.S.A. Inc.,50,0,,,,,1475,DOI,,1/9/1997,,,8/25/1997,10/1/1997
123,Platform BF,MP,   40, 00373,Platform B,MP,   41, 00374,,,REM,04,,LIFT,00078,Chevron U.S.A. Inc.,53,1,,,,,3723,DOI,,,,,5/23/2014,10/11/2014
124,"""B""",MP,   41, 00374,BF,MP,   40, 00373,,,ABN,04,,SPLY,03481,"Cantium, LLC",53,1440,,,,,4100,DOI,N,5/17/2015,,,3/29/2018,8/19/2018
125,BF,MP,   40, 00373,B,MP,   41, 00374,,,ABN,04,,BLKO,03481,"Cantium, LLC",53,1440,,,,,4100,DOI,,9/11/2013,,,3/29/2018,8/19/2018
126,BC,MP,   40, 00373,B,MP,   41, 00374,,,ACT,04,,BLKG,03481,"Cantium, LLC",53,1440,,,,,3500,DOI,,,,,,
127,platform B,MP,   41, 00374,platform BC,MP,   40, 00373,,,ACT,04,,LIFT,03481,"Cantium, LLC",53,1440,,,,,3500,DOI,,,,,,
129,#05,MP,   41, 00374,Platform B,MP,   41, 00374,,,ACT,04,,BLKO,03481,"Cantium, LLC",53,1424,,,,,2334,DOI,,,,,,
130,#05,MP,   41, 00374,B,MP,   41, 00374,,,ABN,04,,LIFT,00078,Chevron U.S.A. Inc.,53,0,,,,,2400,DOI,,,,,,
131,#05,MP,   41, 00374,B,MP,   41, 00374,,,ABN,04,,BLKO,00078,Chevron U.S.A. Inc.,53,1,,,,,299,DOI,,,,,5/3/1995,10/8/2014
133,AD,MP,   41, 00374,A,MP,   41, 00374,11/12/1996,,ABN,04,,BLKG,03481,"Cantium, LLC",53,900,,,,,5800,DOI,,12/12/2008,,9/30/2010,6/8/2018,9/25/2018
134,AD,MP,   41, 00374,AA,MP,   58, 00378,,,ABN,04,,BLKO,03481,"Cantium, LLC",53,1350,,,,,2500,DOI,N,12/12/2008,,10/1/2010,3/29/2018,8/15/2018
135,AD,MP,   41, 00374,AA,MP,   58, 00378,,,ABN,04,,LIFT,00078,Chevron U.S.A. Inc.,53,0,,,,,4500,DOI,,,,,5/3/1995,6/19/1995
136,AC,MP,   41, 00374,AA,MP,   58, 00378,,,ACT,03,,LIFT,03481,"Cantium, LLC",53,1440,,,,,4500,DOI,,,,,,
137,AE,MP,   41, 00374,A,MP,   41, 00374,,,PABN,04,,BLKO,03481,"Cantium, LLC",53,1440,,,,,2200,DOI,,1/8/2016,,12/16/2016,6/13/2018,
138,A,MP,   41, 00374,AE,MP,   41, 00374,,,ABN,04,,LIFT,03481,"Cantium, LLC",53,1440,,,,,2200,DOI,,3/28/2016,,,6/25/2018,8/27/2018
141,N,MP,   41, 00374,B,MP,   41, 00374,3/23/1981,,COMB,06,G13725,GAS,00078,Chevron U.S.A. Inc.,40,987,P,RELQ,00078,Chevron U.S.A. Inc.,0,DOI,N,,,,,
142,B,MP,   41, 00374,N,MP,   41, 00374,,,ACT,08,,BLKO,03481,"Cantium, LLC",53,400,,,,,14000,DOI,,,,,,
143,JA,MP,   41, 00374,J,MP,   41, 00374,,,ABN,04,,TEST,00078,Chevron U.S.A. Inc.,53,0,,,,,3500,DOI,,,,,5/3/1995,6/19/1995
144,JA,MP,   41, 00374,J,MP,   41, 00374,,,ABN,04,,BLKO,00078,Chevron U.S.A. Inc.,53,1440,,,,,3500,DOI,,,,,5/3/1995,6/19/1995
145,JA,MP,   41, 00374,J,MP,   41, 00374,,,ACT,06,,BLKG,03481,"Cantium, LLC",53,1440,C,,,,3500,DOI,N,,,,,
146,JA,MP,   41, 00374,J,MP,   41, 00374,,,PABN,04,,BLKG,03481,"Cantium, LLC",53,1440,,,,,3500,DOI,,9/4/2014,,11/6/2015,5/10/2019,
147,JA,MP,   41, 00374,J,MP,   41, 00374,4/9/1971,,ACT,04,,TEST,03481,"Cantium, LLC",53,1440,,,,,3500,DOI,Y,,,,,
149,Platform N,MP,   41, 00374,Platform J,MP,   41, 00374,,,ACT,06,,BLKO,03481,"Cantium, LLC",53,1440,C,,,,4000,DOI,Y,,,,,
150,J,MP,   41, 00374,N,MP,   41, 00374,,,ABN,06,,TEST,00078,Chevron U.S.A. Inc.,50,0,,,,,4000,DOI,,,,,5/3/1995,6/19/1995
151,N,MP,   41, 00374,CA,MP,   41, 00374,,,PABN,04,,LIFT,03481,"Cantium, LLC",53,1440,,,,,3000,DOI,,5/17/2015,,,8/14/2019,
152,Platform CA,MP,   41, 00374,Platform N,MP,   41, 00374,,,PABN,04,,BLKG,03481,"Cantium, LLC",53,1440,,,,,3000,DOI,,12/8/2013,,6/2/2015,8/14/2019,
153,CA,MP,   41, 00374,N,MP,   41, 00374,,,PABN,03,,TEST,03481,"Cantium, LLC",53,1440,,,,,3000,DOI,,12/8/2013,,6/2/2015,8/14/2019,
154,N,MP,   41, 00374,CB,MP,   42, 00375,,,ACT,04,,LIFT,03481,"Cantium, LLC",37,1248,,,,,3800,DOI,Y,,,,,
155,CB,MP,   42, 00375,N,MP,   41, 00374,,1/1/1960,ACT,04,,BLKO,03481,"Cantium, LLC",37,1440,,,,,3800,DOI,,,,,,
156,CB,MP,   42, 00375,N,MP,   41, 00374,,,ACT,04,,TEST,03481,"Cantium, LLC",37,1440,,,,,3800,DOI,,,,,,
158,Platform N,MP,   41, 00374,Capped End,MP,   41, 00374,,,ABN,04,,LIFT,03481,"Cantium, LLC",,1440,,,,,1592,DOI,,8/24/2001,,12/11/2002,8/21/2018,9/11/2018
159,N,MP,   41, 00374,Capped End,MP,   42, 00375,,,REM,06,,OIL,00078,Chevron U.S.A. Inc.,38,1440,,,,,190,DOI,,,,,9/23/2002,
