ROW Number,MMS Company Number,Company Name,ROW Effective Date,Termination Date,ROW Status Code,WCD Volume,ROW Description
 00652,00011,"Transcontinental Gas Pipe Line Company, LLC",5/18/1959,,ACT,,"Pipeline Right-of-way (ROW) OCS-00652 is a 200-foot wide and approximately 12.65 miles (66,800 feet) long corridor.  The purpose of the pipeline ROW OCS-00652 is to maintain and operate the following:  Pipeline Segment No. 1589
A 16-inch pipeline, 12.63 miles (66,700 feet) in length, to transport gas originating at Platform A in Block 110, through Blocks 111, 98, 75, 76, 61, 40, and 25, terminating at the Federal/State Boundary in Block 24, all located in the West Cameron Area; Pipeline Segment No. 1586:  A 10-inch pipeline, .02 mile (100 feet) in length, to transport gas originating at Platform A and terminating at a 16-inch SSTI, all located in West Cameron Area Block 40.
"
 00652A,02481,BP Exploration & Production Inc.,7/7/1970,11/30/2018,RELQ,,"Pipeline Right-of-way (ROW) OCS-00652A is a 200-foot wide and approximately 2.08 miles (11,000 feet) long corridor associated with the 12-inch Pipeline Segment No. (PSN) 5042. The purpose of the pipeline ROW OCS-00652A is to maintain and operate PSN 5042 and to transport gas originating at Platform E and terminating at Platform A, all located in West Cameron Area Block 110."
 00652B,00011,"Transcontinental Gas Pipe Line Company, LLC",5/18/1959,,ACT,,"Pipeline Right-of-way (ROW) OCS-00652B is a 200-foot wide and approximately 2.69 miles (14,216 feet) long corridor.  The purpose of the pipeline ROW OCS-00652B is to maintain and operate the following:  Pipeline Segment No. 4122
A 6-inch pipeline, .08 mile (400 feet) in length, to transport gas originating at Platform A, terminating at a 16-inch SSTI, all located in the West Cameron Area Block 40; Pipeline Segment No. 1594: A 6-inch pipeline, 2.62 miles (13,816 feet) in length, to transport gas originating at Platform No. 4, terminating at a 6-inch SSTI, all located in the West Cameron Area Block 40.
"
 00653,02340,Targa Midstream Services LLC,1/19/1960,,ACT,,"A pipeline right-of-way two-hundred feet (200') in width for the operation and maintenance of a 12-inch pipeline, 2.96  miles in length, to transport gas from Caisson No. 1, which would become Platform A in Block 67 to the Federal/State boundary in Block 34, all located in West Cameron Area."
 00654,00030,"Trunkline Gas Company, LLC",1/19/1960,8/18/1994,RELQ,,
 00678,00011,"Transcontinental Gas Pipe Line Company, LLC",1/19/1960,5/3/1995,RELQ,,
 00679,00032,Texas Gas Transmission LLC,8/19/1959,,RELQ,,
 00679A,00032,Texas Gas Transmission LLC,9/22/1969,10/19/2010,RELQ,,
 00699,00011,"Transcontinental Gas Pipe Line Company, LLC",3/25/1960,,ACT,,"Pipeline Right-of-way (ROW) OCS-00699 is a 200-foot wide and approximately 1.44 miles (7,600 feet) long corridor associated with the 10-inch Pipeline Segment No. (PSN) 1591. The purpose of the pipeline ROW OCS-00699 is to maintain and operate PSN 1591 and to transport gas originating at a Separation Station in Block 120, terminating at a 16-inch SSTI in Block 119, all located in the Eugene Island Area."
 00700,00011,"Transcontinental Gas Pipe Line Company, LLC",9/6/1961,,ACT,,"Pipeline Right-of-way (ROW) OCS-00700 is a 200-foot wide and approximately 71.27 miles (376,313 feet) long corridor.  The purpose of the pipeline ROW OCS-00700 is to maintain and operate the Pipeline ROW accessory structure, Platform A, (Complex ID No. 752-1) located in Eugene Island Area Block 129A and the following:

Pipeline Segment No. 1559
A bidirectional 16-inch pipeline, 35.98 miles (190,000 feet) in length, to transport gas originating at Platform A in Eugene Island Area Block 129A, through Eugene Island Area Blocks 116, 117, 118, 119, 120, 105, 104, 103, and 102, Ship Shoal Area Blocks 32, 33, 30, and 29, terminating at the Transco Platform in Ship Shoal Area Block 28.

Pipeline Segment No. 3441
A 16-inch pipeline, 4.06 miles (21,450 feet) in length, to transport gas originating at the Transco Platform in Block 28, terminating at the Federal/State Boundary in Block 14, all located in the Ship Shoal Area.


Pipeline Segment No. 1535
A 12-14-inch pipeline, 16.09 miles (84,940 feet) in length, to transport gas/condensate originating at a Flange in Block 72, through Blocks 73, 62, 61, 50, 51, 36, and 35, terminating at the Transco Platform in Block 28, all located in the Ship Shoal Area.

Pipeline Segment No. 13440
A 14-inch pipeline, 15.14 miles (79,923 feet) in length, to transport gas originating at Platform A-ROW in Block 184, through Blocks 172, 161, 150, 139, and 128A, terminating at Platform A in Block 129A , all located in the Eugene Island Area.
"
 00700A,00011,"Transcontinental Gas Pipe Line Company, LLC",3/27/1969,,ACT,,"Pipeline Right-of-way (ROW) OCS-G00700 is a 200-foot wide and approximately 13.64 miles (72,000 feet) long corridor.  The purpose of the pipeline ROW OCS-G00700 is to maintain and operate the following:

Pipeline Segment No. 1563
A 10-inch pipeline, 3.35 miles (17,700 feet) in length, to transport gas originating at a Capped End in Block 195, terminating at Platform A in Block 184, all located in the Eugene Island Area.

Pipeline Segment No. 1564
A 16-inch pipeline, 10.28 miles (54,300 feet) in length, to transport gas originating at Platform B in Block 215, through Blocks 208, 198, 194, and 185, terminating at Platform A in Block 184, all located in the Eugene Island Area.
"
 00700B,00011,"Transcontinental Gas Pipe Line Company, LLC",6/30/1969,,ACT,,"Pipeline Right-of-way (ROW) OCS-00700B is a 200-foot wide and approximately .62 mile (3,259 feet) long corridor associated with the 1-inch Pipeline Segment No. (PSN) 11864 and the Pipeline ROW accessory structure, A-ROW, (Complex ID No. 633-1) located in Eugene Island Area Block 184. The purpose of the pipeline ROW OCS-00700B is to maintain and operate PSN 11864 and to provide service originating at Platform A-ROW in Block 184, terminating at an END PT. in Block 185, all located in the Eugene Island Area."
 00700C,00011,"Transcontinental Gas Pipe Line Company, LLC",12/19/1969,1/6/1995,RELQ,,
 00700D,00011,"Transcontinental Gas Pipe Line Company, LLC",1/8/1970,,ACT,,"Pipeline Right-of-way (ROW) OCS-00700D is a 200-foot wide and approximately .53 mile (2,802 feet) long corridor associated with the 1-inch Pipeline Segment No. (PSN) 11862. The purpose of the pipeline ROW OCS-00700D is to maintain and operate PSN 11862 and to provide service originating at Platform C, terminating at an END PT., all in Ship Shoal Area Block 28."
 00700E,00011,"Transcontinental Gas Pipe Line Company, LLC",1/9/1970,11/19/2015,RELQ,,"Pipeline Right-of-way (ROW) OCS-007700E is a 200-foot wide and approximately .66 mile (3,460 feet) long corridor associated with the 1-inch Pipeline Segment No. (PSN) 11861. The purpose of the pipeline ROW OCS-00700E is to maintain and operate PSN 11861 and to provide service originating at Platform CF, terminating at an END PT., all located in Eugene Island Area Block 129A."
 00700G,00011,"Transcontinental Gas Pipe Line Company, LLC",8/28/1973,2/19/1998,RELQ,,
 00700I,00011,"Transcontinental Gas Pipe Line Company, LLC",10/7/1974,2/10/2012,RELQ,,
 00701,00011,"Transcontinental Gas Pipe Line Company, LLC",3/25/1960,3/31/2005,RELQ,,"Pipeline Right-of-way (ROW) OCS-00701 is a 200-foot wide and approximately 0.81 miles (4,300 feet) long corridor.  The purpose of the pipeline ROW OCS-00701 is to maintain and operate the following: 

Pipeline Segment No. 1579
A 8-inch pipeline, 0.42 miles (2,200 feet) in length, to transport gas originating at #3, terminating at PlatformPP, all in Vermilion Area Block 77.

Pipeline Segment No. 1581
A 8-inch pipeline, 0.40 miles (2,100 feet) in length, to transport gas originating at a #2, terminating at Platform PP, all in Vermilion Area Block 77."
 00875,00014,"Tennessee Gas Pipeline Company, L.L.C.",3/25/1960,4/17/1997,RELQ,,
 00876,00011,"Transcontinental Gas Pipe Line Company, LLC",4/27/1960,,ACT,,"Pipeline Right-of-way (ROW) OCS-00876 is a 200-foot wide and approximately 17.38 miles (91,754 feet) long corridor associated with the 20-inch Pipeline Segment No. (PSN) 3529. The purpose of the pipeline ROW OCS-00876 is to maintain and operate PSN 3529 and to transport gas originating at Platform B in Block 67, through Blocks 56, 46, 35, and 26, terminating at the Federal/State Boundary in Block 15, all located in the Vermilion Area."
 00877,03217,"Northstar Offshore Group, LLC",5/31/1961,6/22/2016,RELQ,,"Pipeline Right-of-way (ROW) OCS-00877 is a 200-foot wide and approximately .76 miles (4,000 feet) long corridor associated with the 8-inch Pipeline Segment No. (PSN) 3503. The purpose of the pipeline ROW OCS-00877 is to maintain and operate PSN 3503 and to transport gas from the Fed/State Boundry to Platform A, all in West Cameron Area Block 20."
 00878,00032,Texas Gas Transmission LLC,5/25/1960,7/21/1998,RELQ,,
 00879,00011,"Transcontinental Gas Pipe Line Company, LLC",6/2/1960,8/6/2018,RELQ,,"Pipeline Right-of-way (ROW) OCS-00879 is a 200-foot wide and approximately 3.43 miles (18,120 feet) long corridor.  The purpose of the pipeline ROW OCS-G00879 is to maintain and operate the following: Pipeline Segment No. 1533:
An 8-inch pipeline, 2.36 miles (12,500 feet) in length, to transport gas originating at Platform E in Block 64, through Block 71, terminating at Platform A in Block 72, all located in the Ship Shoal Area.  Pipeline Segment No. 1537:
An 8-inch pipeline, 1.06 miles (5,620 feet) in length, to transport gas originating at Platform B in Block 87, terminating at a 12-inch SSTI in Block 72, all located in the Ship Shoal Area.
"
 00881,00003,Union Oil Company of California,9/16/1960,3/25/2003,RELQ,,
 00882,00030,"Trunkline Gas Company, LLC",11/4/1960,7/22/2013,RELQ,,"A 200-foot wide right-of-way to install, operate and maintain a 14 inch pipeline, 1.43 miles in length, to transport gas from associated accessory Platform B to the Federal/State boundary line, all located in Vermilion Area Block 26."
 00882A,02851,"Apache Shelf, Inc.",9/11/1975,12/1/2003,EXP,,
 00883,00011,"Transcontinental Gas Pipe Line Company, LLC",2/2/1961,8/17/1994,RELQ,,
 00883A,00011,"Transcontinental Gas Pipe Line Company, LLC",7/2/1969,11/19/2015,RELQ,,"Pipeline Right-of-way (ROW) OCS-00883A is a 200-foot wide and approximately .41 mile (2,142 feet) long corridor associated with the 1-inch Pipeline Segment No. (PSN) 11860. The purpose of the pipeline ROW OCS-00883A is to maintain and operate PSN 11860 and to provide service originating at Platform A, terminating at an END PT., all located in Eugene Island Area Block 116."
 00884,00011,"Transcontinental Gas Pipe Line Company, LLC",5/3/1961,3/1/2011,RELQ,,
 00885,03203,"Kinetica Partners, LLC",5/5/1961,,ACT,,"Pipeline Right-of-way (ROW) OCS-00885 is a 200-foot wide and approximately 5.00 miles (26,400 feet) long corridor associated with the 16-inch Pipeline Segment Number (PSN) 3421. The purpose of pipeline ROW OCS-00885 is to maintain and operate PSN 3421 and to transport gas from a 16-inch subsea tie-in with PSN 1279 at location point: X = 2,384,500 and 
Y = 125,800 in Block 24, South Timbalier Area, through Block 23 in South Timbalier Area, Blocks 3 and 4 in Bay Marchand Area to a point on the Federal/State 8(g) boundary line at Latitude = 29.03182800 and Longitude = -90.22213600 in Block 5, Bay Marchand Area."
 00886,03203,"Kinetica Partners, LLC",5/16/1961,,ACT,,"Pipeline Right-of-way (ROW) OCS-00886 is a 200-foot wide and approximately 5.13 miles (27,086 feet) long corridor associated with Pipeline Segment Number (PSN) 3425. The purpose of pipeline ROW OCS-00886 is to operate and maintain the ROW and to transport gas through the associated 12-inch pipeline, from Platform E-DRL in Block 31, through Block 32 and back into Block 31 to a point on the Federal/State 8(g) boundary line at location point: X = 2,534,701 and 
Y = 204,648 in Block 20, all located in West Delta Area."
 00887,03203,"Kinetica Partners, LLC",5/31/1961,,ACT,,"Pipeline Right-of-way (ROW) OCS-00887 is a 200-foot wide and approximately 8.33 miles (44,000 feet) long corridor associated with the 12-inch Pipeline Segment Number (PSN) 1279. The purpose of pipeline ROW OCS-00887 is to maintain and operate PSN 1279 and to transport gas from Platform A in Grand Isle Area Block 47, through Blocks 48, 39, 38 in Grand Isle Area to a 16-inch subsea tie-in with PSN 3421 at location point: X = 2,384,500 and Y = 125,800 in Block 24, South Timbalier Area."
 00887A,03203,"Kinetica Partners, LLC",4/6/1974,,ACT,,"Pipeline Right-of-way (ROW) OCS-00887A is a 200-foot wide and approximately 0.57 miles (3,000 feet) long corridor associated with the 6-inch Pipeline Segment Number (PSN) 1399. The purpose of pipeline ROW OCS-00887A is to maintain and operate PSN 1399 and to transport gas from Platform J to a 12-inch subsea tie-in with PSN 1279 at location point: 
X = 2,411,585 and Y = 106,567, all located in Grand Isle Area Block 48."
 00888,00011,"Transcontinental Gas Pipe Line Company, LLC",6/16/1961,,ACT,,"Pipeline Right-of-way (ROW) OCS-00888 is a 200-foot wide and approximately 32.75 miles (172,896 feet) long corridor.  The purpose of the pipeline ROW OCS-00888 is to maintain and operate the following: Pipeline Segment No. 1534
An 8-inch pipeline, 5.00 miles (26,400 feet) in length, to transport gas originating at Platform F in South Pelto Area Block 11, through South Pelto Area Block 10, Ship Shoal Area Block 68, terminating at the Federal/State Boundary in Ship Shoal Area Block 67. Pipeline Segment No. 1536: An 8-inch pipeline, 11.87 miles (62,680 feet) in length, to transport gas originating at Well No. 1 in Block 67, through Blocks 66, 65, 70, and 71, terminating at a 12-inch SSTI in Block 72, all located in the Ship Shoal Area; Pipeline Segment No. 1566: A 3-inch pipeline, .89 mile (4,700 feet) in length, to transport gas originating at Platform D in Block 12, terminating at Platform F in Block 11, all located in the South Pelto Area; Pipeline Segment No. 1603: A 6-inch pipeline, 10.02 miles (52,918 feet) in length, to transport gas originating at a 6-inch SSTI in Block 119, through Blocks 112, 95, 88, and 87, terminating at a 12-inch SSTI in Block 72, all located in the Ship Shoal Area; Pipeline Segment No. 8786: A 6-inch pipeline, 4.96 miles (26,198 feet) in length, to transport gas originating at Platform L in Block 114, through Blocks 113 and 118, terminating at a 6-inch SSTI in Block 119, all located in the Ship Shoal Area.
"
 00888A,00011,"Transcontinental Gas Pipe Line Company, LLC",1/9/1970,,ACT,,"Pipeline Right-of-way (ROW) OCS-00888A is a 200-foot wide and approximately .64 mile (3,404 feet) long corridor associated with the 1-inch Pipeline Segment No. (PSN) 11859. The purpose of the pipeline ROW OCS-00888A is to maintain and operate PSN 11859 and to provide service originating at Platform PP, terminating at an END PT., all located in Vermilion Area Block 19."
 00888B,03065,Talos Resources LLC,6/18/1972,1/30/2017,RELQ,,"Pipeline Right-of-way (ROW) OCS- 00888B is a 200-foot wide and approximately 0.84 miles (442ft) long corridor associated with the 6-inch Pipeline Segment Number (PSN) 1599. The purpose of pipeline ROW OCS- 00888B is to maintain and operate PSN 1599 and to transport gas from a 6-inch subsea tie-in with PSN 8786 to a 26-inch subsea tie-in with PSN 3445, at X=2,150,663.37 and Y=66,332.76, all located in Ship Shoal Area Block 113."
 00888C,03065,Talos Resources LLC,3/27/1975,1/30/2017,RELQ,,"Pipeline Right-of-way (ROW) OCS- 00888C is a 200-foot wide and approximately 1.56 miles (8,212ft) long corridor associated with the 10-inch Pipeline Segment Number (PSN) 9838. The purpose of pipeline ROW OCS- 00888C is to maintain and operate PSN 9838 and to transport gas from Platform R in Block 118 to a 6-inch subsea tie-in with PSN 8786, at X=2,140,017.24 and Y=56,544.90, in Block 119, all located in Ship Shoal Area."
 00889,00014,"Tennessee Gas Pipeline Company, L.L.C.",7/14/1961,4/19/2010,RELQ,,
 00890,00030,"Trunkline Gas Company, LLC",7/13/1961,3/27/2014,RELQ,,"Pipeline Right-of-Way (ROW) OCS-00890 is a 200-foot wide and approximately 0.26 mile (1,400 feet) long corridor associated with the 14-inch Pipeline Segment No. (PSN) 1666 and approximately 1.71 miles (9,018 feet) long corridor associated with the 16-inch PSN 1670.  The purpose of pipeline ROW OCS-00890 is to maintain and operate PSN 1666 and to transport gas from Platform C to Platform T-2, and also to maintain and operate PSN 1670 and to transport gas from Platform T-2 to Federal/State Boundary, all in Vermilion Area Block 26."
 00891A,00014,"Tennessee Gas Pipeline Company, L.L.C.",7/28/1975,9/16/1992,RELQ,,
 00892,00014,"Tennessee Gas Pipeline Company, L.L.C.",9/22/1961,2/22/2007,RELQ,,
 00893,00011,"Transcontinental Gas Pipe Line Company, LLC",11/20/1961,7/15/1998,EXP,,"Pipeline Right-of-way (ROW) OCS-00893 is a 200-foot wide and approximately 2.62 miles (13.823 feet) long corridor.  The purpose of the pipeline ROW OCS-00893B is to maintain and operate the Pipeline ROW accessory structure, JP(3)-VALVE, (Complex ID No. 25020-1) located in Vermillion Area Block 71 and the following: Pipeline Segment No. 1574: A 6-inch pipeline, .81 mile (4,300 feet) in length, to transport gas originating at Platform No. 1, terminating at Platform No. 3, all located in Vermilion Area Block 71; Pipeline Segment No. 1575: A 10-inch pipeline, 1.80 miles (9,523 feet) in length, to transport gas originating at Platform No. 3, terminating at a 10-inch SSTI, all located in Vermilion Area Block 71.
"
 00894,00011,"Transcontinental Gas Pipe Line Company, LLC",12/15/1961,8/17/1994,RELQ,,
 00895,00014,"Tennessee Gas Pipeline Company, L.L.C.",2/5/1962,4/5/2004,RELQ,,
001,02628,"Arena Offshore, LP",7/25/2012,8/27/2014,RELQ,,
999999,01364,Newfield Exploration Company,,8/27/2014,CNCL,,
G00891,03203,"Kinetica Partners, LLC",9/20/1961,,ACT,,"Pipeline Right-of-Way (ROW) OCS-G 00891 is a 200-foot wide and approximately 3.22 miles (17,000) long corridor associated with Pipeline Segment No. 3511 and associated accessory platform CG-VALVE.  The purpose of pipeline ROW OCS-G 00891 is to maintain and operate associated 20-inch PSN 3511 to transport gas from the CG-VALVE in Block 68 to the Federal/State boundary in Block 33, all located in West Cameron Area."
G00896,00011,"Transcontinental Gas Pipe Line Company, LLC",4/10/1962,3/28/2013,RELQ,,
G00896A,00011,"Transcontinental Gas Pipe Line Company, LLC",6/10/1969,4/4/2011,RELQ,,"A 200ft Right of Way to construct, operate and maintain two pipelines. One a 12 inch from Block 23 to Block 38 and another 12 inch from Block 33 to Block 38, all in the South Marsh Island Area. A distance of 8.85 miles."
G00896B,00011,"Transcontinental Gas Pipe Line Company, LLC",11/18/1969,11/19/2015,RELQ,,"Pipeline Right-of-way (ROW) OCS-G00896B is a 200-foot wide and approximately .57 mile (3,000 feet) long corridor associated with the 1-inch Pipeline Segment No. (PSN) 11858. The purpose of the pipeline ROW OCS-G00896B is to maintain and operate PSN 11858 and to provide service originating at Platform A-AUX in Block 23, terminating at an END PT. in Block 22, all located in the South Marsh Island Area."
G01319,00011,"Transcontinental Gas Pipe Line Company, LLC",6/22/1962,8/17/1994,RELQ,,
G01320,00014,"Tennessee Gas Pipeline Company, L.L.C.",7/10/1962,4/4/1997,RELQ,,
G01321,00011,"Transcontinental Gas Pipe Line Company, LLC",7/30/1962,,ACT,,"Pipeline Right-of-way (ROW) OCS-G01321 is a 200-foot wide and approximately 33.82 miles (178,547 feet) long corridor associated with the 20-inch Pipeline Segment No. (PSN) 13441. The purpose of the pipeline ROW OCS-G01321 is to maintain and operate PSN 13441 and to transport gas originating at Platform A in Eugene Island Area Block 129A, through Eugene Island Area Blocks 116, 117, 118, 107, 106, 105, 100, 101, 102, and 81, Ship Shoal Area Blocks 31, 11, 12, and 9, terminating at the Federal/State Boundary in Ship Shoal Area Block 8."
G01321A,00011,"Transcontinental Gas Pipe Line Company, LLC",11/29/1971,7/5/1995,RELQ,,
G01321B,00011,"Transcontinental Gas Pipe Line Company, LLC",7/30/1962,7/5/1995,RELQ,,
G01322,00011,"Transcontinental Gas Pipe Line Company, LLC",8/27/1962,8/17/1994,RELQ,,
G01323,00011,"Transcontinental Gas Pipe Line Company, LLC",8/27/1962,8/18/1994,RELQ,,
G01338,00011,"Transcontinental Gas Pipe Line Company, LLC",11/15/1962,7/14/2014,RELQ,,"Pipeline Right-of-way (ROW) OCS-G01338 is a 200-foot wide and approximately 1.33 miles (7,000 feet) long corridor associated with the 16-inch Pipeline Segment No. (PSN) 1528. The purpose of the pipeline ROW OCS-G01338 is to maintain and operate PSN 1528 and to transport gas originating at Platform D, terminating at Transco Platform, all located in Ship Shoal Area Block 66."
G01338A,00011,"Transcontinental Gas Pipe Line Company, LLC",9/19/1968,8/17/1994,RELQ,,
G01339,00011,"Transcontinental Gas Pipe Line Company, LLC",11/15/1962,8/17/1994,RELQ,,
G01340,00011,"Transcontinental Gas Pipe Line Company, LLC",4/16/1963,8/6/2018,RELQ,,"Pipeline Right-of-way (ROW) OCS-G01340 is a 200-foot wide and approximately 19.24 miles (101,592 feet) long corridor associated with the 10-inch Pipeline Segment No. (PSN) 15529. The purpose of the pipeline ROW OCS-G01340 is to maintain and operate PSN 15529 and to transport gas originating at a Flange in Block 169, through Blocks 158, 145, 134, 135, 120, 111, and 96, terminating at Platform B in Block 87, all located in the Ship Shoal Area."
G01341,00011,"Transcontinental Gas Pipe Line Company, LLC",5/3/1963,,ACT,,"Pipeline Right-of-way (ROW) OCS-G01341 is a 200-foot wide and approximately 21.61 miles (114,088 feet) long corridor.  The purpose of the pipeline ROW OCS-G01341 is to maintain and operate the Pipeline ROW accessory structures, CF and Flare, (Complex ID Nos. 20732-1 and 20732-3) located in Vermillion Area Block 131 and the following: Pipeline Segment No. 1584: A 16-inch pipeline, 21.34 miles (112,660 feet) in length, to transport gas originating at Central Facilities Platform in Block 131, through Blocks 130, 129, 114, 115, 108, 95, 96, and 87, terminating at a 16-inch SSTI in Block 76, all located in the Vermilion Area; Pipeline Segment No. 7378: A 6-inch pipeline, .27 miles (1,428 feet) in length, to transport gas originating at Platform A and terminating at a 16-inch SSTI, all in the Vermilion Area Block 129.
"
