API Well Number,Status Date,Well Name,Well Name Bp Suffix,Well Name St Suffix,Company Number,Company Name,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,9/21/2019,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,2/2/1957,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,2/2/1957,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,2/2/1957,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,2/2/1957,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,5/22/2008,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,5/22/2008,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018400,9/21/2019,A013,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018500,12/14/2013,A014,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000018500,10/4/2019,A014,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000019000,9/23/2013,A001,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177000019000,7/23/2016,A001,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177000019100,9/23/2013,A002,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177000019100,9/7/2016,A002,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177000019200,9/23/2013,A003,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177000019200,7/24/2016,A003,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177000019300,9/7/2016,A004,01,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177000019400,10/24/1977,A005,01,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177000019500,8/24/1982,A006,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177000021000,11/13/1956,A001,00,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000021000,11/13/1956,A001,00,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000021000,9/21/2011,A001,00,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000021000,10/2/2013,A001,00,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000021100,8/15/1983,A002,00,00,02312,McMoRan Oil & Gas LLC, 00193,WC,194, 00190,WC,192
177000021200,9/21/2011,A003,00,00,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000021200,10/2/2013,A003,00,00,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000021300,12/8/1968,A004,00,00,02312,McMoRan Oil & Gas LLC, 00188,WC,191, 00190,WC,192
177000021400,8/21/1983,A005,00,00,02312,McMoRan Oil & Gas LLC, 00188,WC,191, 00190,WC,192
177000021900,11/2/2008,B001,01,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000021900,10/9/2014,B001,01,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000022000,11/2/2008,B002,00,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000022000,10/9/2014,B002,00,00,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000022100,11/2/2008,B003,00,00,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000022100,10/9/2014,B003,00,00,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000022201,11/1/2008,B004,00,01,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000022201,10/9/2014,B004,00,01,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000023400,9/27/2010,001,00,00,02312,McMoRan Oil & Gas LLC, 00757,WC,118, 00757,WC,118
177000023600,9/25/2010,006,00,00,02312,McMoRan Oil & Gas LLC, 00757,WC,118, 00757,WC,118
177000023900,1/6/2007,002,00,00,03295,Fieldwood Energy LLC, 00758,WC,165, 00758,WC,165
177000023900,1/6/2007,002,00,00,03295,Fieldwood Energy LLC, 00758,WC,165, 00758,WC,165
177000025400,3/29/2001,B005,00,00,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000025400,10/9/2014,B005,00,00,02312,McMoRan Oil & Gas LLC, 00191,WC,193, 00190,WC,192
177000026300,10/11/2004,003,00,00,00078,Chevron U.S.A. Inc.,G01351,WC,48,G01351,WC,48
177000028500,8/17/2010,012,00,00,01834,Talos Petroleum LLC, 00300,WC,45, 00300,WC,45
177000028500,5/11/2013,012,00,00,01834,Talos Petroleum LLC, 00300,WC,45, 00300,WC,45
177000028700,4/23/2018,010,00,00,03520,"Sanare Energy Partners, LLC", 00680,WC,20, 00680,WC,20
177000028900,9/9/2011,013,00,00,01834,Talos Petroleum LLC, 00300,WC,45, 00300,WC,45
177000028900,5/1/2013,013,00,00,01834,Talos Petroleum LLC, 00300,WC,45, 00300,WC,45
177000029500,1/12/2005,A001,00,00,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177000029500,6/20/2007,A001,00,00,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177000032300,9/27/2007,006,00,00,00078,Chevron U.S.A. Inc.,G01351,WC,48,G01351,WC,48
177000032300,10/15/2007,006,00,00,00078,Chevron U.S.A. Inc.,G01351,WC,48,G01351,WC,48
177000035600,12/3/1984,C001,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00759,WC,173
177000035600,8/21/2016,C001,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00759,WC,173
177000035700,6/4/1981,C002,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00759,WC,173
177000035800,2/4/2015,C003,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00759,WC,173
177000035800,8/21/2016,C003,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00759,WC,173
177000035900,10/2/2009,C004,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00759,WC,173
177000036400,5/16/2014,C005,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00759,WC,173
177000036400,8/21/2016,C005,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00759,WC,173
177000037400,10/1/2009,C006,01,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00759,WC,173
177000037600,5/2/2013,A011,00,00,01834,Talos Petroleum LLC, 00301,WC,56, 00299,WC,45
177000037600,7/13/2013,A011,00,00,01834,Talos Petroleum LLC, 00301,WC,56, 00299,WC,45
177000039000,8/5/1983,A008,00,00,02312,McMoRan Oil & Gas LLC, 00188,WC,191, 00190,WC,192
177000039701,9/17/2011,A010,00,01,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000039701,10/2/2013,A010,00,01,02312,McMoRan Oil & Gas LLC, 00190,WC,192, 00190,WC,192
177000040400,12/23/1968,005,00,00,00236,El Paso Production Company, 00251,WC,132, 00251,WC,132
177000040400,12/23/1968,005,00,00,00236,El Paso Production Company, 00251,WC,132, 00251,WC,132
177000040700,12/15/2006,003,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177000040700,11/19/2007,003,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177000040800,5/15/2005,004,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177000040800,9/2/2008,004,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177000040900,1/2/1969,004,00,00,00236,El Paso Production Company, 00251,WC,132, 00251,WC,132
177000040900,1/2/1969,004,00,00,00236,El Paso Production Company, 00251,WC,132, 00251,WC,132
177002000800,1/7/2006,E002,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002000800,6/28/2006,E002,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002001000,1/3/2006,E003,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002001000,6/28/2006,E003,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002001100,1/6/2006,E004,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002001100,6/28/2006,E004,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002001800,1/1/2006,E005,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002001800,6/28/2006,E005,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002003000,3/6/1970,007,00,00,03295,Fieldwood Energy LLC, 00081,WC,110, 00081,WC,110
177002003100,5/1/2005,001,00,00,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002004101,1/9/2013,D005,00,01,03295,Fieldwood Energy LLC, 00244,WC,71, 00244,WC,71
177002004200,1/4/2006,E006,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002004200,6/30/2006,E006,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002004300,6/30/2005,B006,00,00,02481,BP Exploration & Production Inc., 00082,WC,111, 00082,WC,111
177002004300,5/18/2006,B006,00,00,02481,BP Exploration & Production Inc., 00082,WC,111, 00082,WC,111
177002004401,12/15/2017,003,00,01,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002004401,7/23/2019,003,00,01,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002004700,11/8/2007,008,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177002004800,1/9/2013,D003,00,00,03295,Fieldwood Energy LLC, 00244,WC,71, 00244,WC,71
177002004900,3/11/2012,004,00,00,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002004900,7/22/2019,004,00,00,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002005000,12/29/2005,E001,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002005000,6/28/2006,E001,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002005300,3/11/2012,005,00,00,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002005300,7/22/2019,005,00,00,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002005500,7/9/2019,D001,00,00,03295,Fieldwood Energy LLC,G01953,WC,144,G01953,WC,144
177002005600,11/6/2004,E007,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002005600,11/6/2004,E007,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002005600,6/30/2006,E007,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002006300,12/29/2005,E008,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002006300,6/30/2006,E008,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002006502,5/11/2009,CA002,00,02,00981,Anadarko Petroleum Corporation,G01971,WC,181,G01971,WC,181
177002006502,2/19/2014,CA002,00,02,00981,Anadarko Petroleum Corporation,G01971,WC,181,G01971,WC,181
177002006900,1/9/2013,D006,00,00,03295,Fieldwood Energy LLC, 00244,WC,71, 00244,WC,71
177002007500,10/18/2004,E009,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002007500,6/30/2006,E009,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002008000,1/13/1971,D009,00,00,03295,Fieldwood Energy LLC, 00244,WC,71, 00244,WC,71
177002008000,1/13/1971,D009,00,00,03295,Fieldwood Energy LLC, 00244,WC,71, 00244,WC,71
177002009200,11/17/1989,E010,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002009200,6/30/2006,E010,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177002010000,2/3/2011,003,00,00,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177002010000,11/2/2011,003,00,00,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177002010600,11/2/2011,004,00,00,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177002011100,11/5/2003,013,00,00,00078,Chevron U.S.A. Inc.,G01351,WC,17,G01351,WC,17
177002013300,10/9/2004,014,00,00,00078,Chevron U.S.A. Inc.,G01351,WC,48,G01351,WC,48
177002020500,6/30/1994,020,01,00,00078,Chevron U.S.A. Inc.,G01351,WC,48,G01351,WC,48
177004000200,2/21/2014,003,00,00,00981,Anadarko Petroleum Corporation,G01971,WC,181,G01971,WC,181
177004000300,2/22/2014,004,00,00,00981,Anadarko Petroleum Corporation,G01971,WC,181,G01971,WC,181
177004000400,2/21/2014,005,00,00,00981,Anadarko Petroleum Corporation,G01971,WC,181,G01971,WC,181
177004000600,12/7/1999,A001,01,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004000600,6/19/2019,A001,01,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004000800,5/21/2006,D004,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177004001100,8/30/2006,001,00,00,01364,Newfield Exploration Company,G01996,WC,146,G01996,WC,146
177004001300,6/20/1971,006,00,00,01284,"W & T Offshore, Inc.",G01998,WC,172,G01998,WC,172
177004001300,9/29/2016,006,00,00,01284,"W & T Offshore, Inc.",G01998,WC,172,G01998,WC,172
177004001700,11/11/2013,E002,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004001700,11/11/2013,E002,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004001700,9/29/2017,E002,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004001800,2/21/2014,006,00,00,00981,Anadarko Petroleum Corporation,G01971,WC,181,G01971,WC,181
177004002100,11/19/2016,E003,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177004002100,5/2/2017,E003,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177004002202,8/31/2006,006,00,02,01364,Newfield Exploration Company,G01996,WC,146,G01996,WC,146
177004002500,10/28/2013,E004,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004002500,5/3/2017,E004,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004002600,11/16/2013,E005,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004002600,9/12/2016,E005,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004003400,12/30/2013,007,01,00,01284,"W & T Offshore, Inc.",G01971,WC,181,G01998,WC,172
177004003400,8/30/2016,007,01,00,01284,"W & T Offshore, Inc.",G01971,WC,181,G01998,WC,172
177004004200,11/9/2013,E006,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177004004200,9/11/2016,E006,00,00,01284,"W & T Offshore, Inc.", 00759,WC,173, 00763,WC,180
177004004600,11/16/2013,E001,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004004600,9/12/2016,E001,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004005000,10/28/2013,E007,01,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004005000,9/11/2016,E007,01,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004005100,6/3/2019,A002,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004005201,6/3/2019,A003,00,01,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004005301,12/30/2013,CC008,00,01,01284,"W & T Offshore, Inc.",G01998,WC,172,G01998,WC,172
177004005301,8/30/2016,CC008,00,01,01284,"W & T Offshore, Inc.",G01998,WC,172,G01998,WC,172
177004005800,10/31/1978,E008,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004005800,9/12/2016,E008,00,00,01284,"W & T Offshore, Inc.", 00763,WC,180, 00763,WC,180
177004006000,10/21/2018,A004,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004006800,9/8/2011,005,00,00,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177004006901,6/22/2019,A005,00,01,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007000,10/14/2018,A006,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007100,11/8/2008,A007,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007100,11/8/2008,A007,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007100,6/1/2019,A007,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007201,4/6/2011,006,00,01,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177004007201,10/31/2011,006,00,01,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177004007400,6/2/2019,A008,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007800,11/7/2008,A009,00,00,01071,"Conn Energy, Inc.",G01997,WC,171,G01997,WC,171
177004007800,9/10/2010,A009,00,00,01071,"Conn Energy, Inc.",G01997,WC,171,G01997,WC,171
177004007801,10/21/2010,A009,00,01,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007801,10/21/2010,A009,00,01,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007801,10/21/2010,A009,00,01,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007801,6/2/2019,A009,00,01,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004007900,10/15/2018,A010,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004008400,3/19/1987,A011,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004008600,8/13/2011,007,00,00,00105,Apache Corporation, 00247,WC,102, 00247,WC,102
177004008800,10/21/2018,A012,00,00,00276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171
177004009100,5/3/1964,004,00,00,03033,"Black Elk Energy Offshore Operations, LLC", 00759,WC,173, 00759,WC,173
177004009101,4/12/2005,004,00,01,03033,"Black Elk Energy Offshore Operations, LLC", 00759,WC,173, 00759,WC,173
177004009101,6/27/2015,004,00,01,03033,"Black Elk Energy Offshore Operations, LLC", 00759,WC,173, 00759,WC,173
177004009101,8/8/2015,004,00,01,03033,"Black Elk Energy Offshore Operations, LLC", 00759,WC,173, 00759,WC,173
177004009400,4/29/2009,008,00,00,03295,Fieldwood Energy LLC, 00247,WC,102, 00247,WC,102
177004009400,4/29/2009,008,00,00,03295,Fieldwood Energy LLC, 00247,WC,102, 00247,WC,102
177004011300,2/8/2009,A001,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004011800,10/10/2012,A002,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004012400,10/10/2012,A003,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004012600,10/10/2012,A004,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004012800,2/8/2009,A005,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004013700,1/3/2005,A002,00,00,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177004013700,1/11/2005,A002,00,00,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177004013700,6/18/2007,A002,00,00,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177004014100,10/10/2012,A008,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004014700,10/10/2012,A010,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004014900,2/8/2009,A011,00,00,03295,Fieldwood Energy LLC,G01860,WC,66,G01860,WC,66
177004015302,6/19/2007,A003,00,02,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177004015401,6/17/2007,A004,00,01,02636,Fieldwood Energy SP LLC,G00911,WC,280,G00911,WC,280
177004016600,7/31/2018,A013,00,00,00105,Apache Corporation,G03251,WC,34,G02826,WC,66
177004017000,11/3/1975,A014,00,00,00105,Apache Corporation,G02819,WC,35,G02826,WC,66
177004017000,1/25/2009,A014,00,00,00105,Apache Corporation,G02819,WC,35,G02826,WC,66
177004017500,1/27/2012,012,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177004017500,8/23/2012,012,00,00,00105,Apache Corporation, 00244,WC,71, 00244,WC,71
177004018300,1/16/2009,B004,00,00,03295,Fieldwood Energy LLC,G02826,WC,66,G02826,WC,66
177004018500,4/2/2014,A001,00,00,01284,"W & T Offshore, Inc.",G03264,WC,197,G03264,WC,197
177004018500,8/23/2016,A001,00,00,01284,"W & T Offshore, Inc.",G03264,WC,197,G03264,WC,197
