PROJECT,OPERATOR,REGION,COUNTRY,WATER_DEPTH_M,FID_YEAR,FIRST_OIL_YEAR,SANCTIONED_CAPEX_USD_MM,ACTUAL_COST_USD_MM,CAPEX_BASIS,WELL_COUNT,DEVELOPMENT_TYPE,HOST_TYPE,SURF_KM,PEAK_PRODUCTION_BOEPD,RECOVERABLE_RESOURCE_MMBOE,USD_PER_BOE,SOURCE_TITLE,SOURCE_URL,PAGE_REFERENCE,QUOTED_TEXT,ACCESSED_DATE,CONFIDENCE,SOURCE_PRIORITY,NOTES,SCOPE_IS_OFFSHORE_ONLY
Greater Tortue Ahmeyim (GTA) Ph1,BP,West Africa,Mauritania / Senegal,2850.0,2018,2025,,,NOT DISCLOSED in any fetchable page. The $4.6-4.8bn figures circulating in trade press are UNVERIFIED and deliberately NOT imported.,4,new_host_fpso,FPSO -> nearshore FLNG,,,,,Offshore Technology — GTA LNG project profile,https://www.offshore-technology.com/projects/greater-tortue-ahmeyim-gta-lng-project-mauritania-and-senegal/,see quoted_text,"'The final investment decision (FID) for phase one development of the project was reached in December 2018' / 'The field is located 120km offshore at a water depth of 2,850m' / 'Phase one of the offshore LNG project will include an ultra-deepwater subsea system with four gas production wells' / 'The project is expected to produce 2.3 million tonnes per annum (mtpa) of LNG in phase one'",2026-07-14,medium,secondary_operator_confirmed,"DEEPEST PROJECT IN THIS TABLE (2,850 m). bp.com 403s to fetchers, and BP never published a capex — so capex is null, NOT filled from the widely-circulated trade-press number. First LNG cargo April 2025 vs 2022-23 original guidance: a large slip.",True
Johan Sverdrup Phase 2,Equinor,Norwegian North Sea,Norway,,2018,2022,,,"NOK ONLY: 'Investment estimate: NOK 41 (nominal terms based on fixed currency)', gross, phase 2 only. No USD figure stated.",,new_host_fixed,fixed steel processing platform (P2) at the existing field centre,,660000.0,,,"Equinor press release, 27 Aug 2018 (Johan Sverdrup Phase 2 PDO submission)",https://www.equinor.com/news/archive/27aug2018-johan-sverdrup,see quoted_text,"'Investment estimate: NOK 41 (nominal terms based on fixed currency)' / 'At plateau, the field will produce up to 660,000 barrels per day' / 'Break-even price: below USD 20 per barrel' / 'Resource estimate: 2,2 - 3,2 billion barrels of oil equivalent'",2026-07-14,medium,press_release,"USD LEFT NULL (NOK only). Peak 660 kboepd is FULL-FIELD (Ph1+2), not phase 2 alone. Phase 1 (NOK 123bn initial / 86bn revised) is a known gap — not verbatim-sourced, so NOT imported.",True
Karish & Tanin,Energean,Mediterranean,Israel,,2018,2022,1600.0,,"gross project cost at FID, stated in USD",3,new_host_fpso,"FPSO (Energean Power, new-build)",,,,,"World Oil — Energean takes FID on Karish and Tanin gas project, offshore Israel",https://worldoil.com/news/2018/3/23/energean-takes-fid-on-karish-and-tanin-gas-project-offshore-israel,see quoted_text,"'$1.6-billion Karish & Tanin Development Project, offshore Israel' / 'new build, owned FPSO with gas treatment capacity of 800 MMscfd (8 Bcm/per annum) and liquids storage capacity of 800,000 bbl' / 'During 2019, three wells will be drilled into the Karish discovery, using the Stena Forth drillship' / 'contracted delivery date of first-quarter 2021'",2026-07-14,high,secondary_operator_confirmed,"FID March 2018. Guided first gas Q1-2021, ACTUAL Oct 2022 — an ~18-month slip. Gas project: peak_production_boepd left null (capacity stated in MMscfd, and converting would require an assumed factor).",True
Vito,Shell,US GOM - Mississippi Canyon,USA,1219.0,2018,2023,,,,8,new_host_semi,four-column semi-submersible host,,100000.0,300.0,,"Shell press release (PR Newswire), Shell Invests in the Vito Development in the Gulf of Mexico (24 Apr 2018)",https://www.prnewswire.com/news-releases/shell-invests-in-the-vito-development-in-the-gulf-of-mexico-300635593.html,see quoted_text,"forward-looking, break-even price estimated to be less than $35 per barrel ... reducing cost estimates by more than 70% from the original concept ... eight subsea wells with deep (18,000 feet) in-well gas lift ... peak production of approximately 100,000 barrels of oil equivalent (boe) per day ... estimated, recoverable resource of 300 million boe ... beneath more than 4,000 feet of water",2026-07-14,high,press_release,"NO CAPEX DISCLOSED — Shell states a break-even (<$35/bbl) and a >70% cost reduction, never an absolute $ figure. Capex is correctly null. Water depth is a FLOOR ('more than 4,000 ft').",True
Anchor,Chevron,US GOM - Green Canyon,USA,1524.0,2019,2024,5700.0,,"gross project cost at FID, Stage 1 only (7-well subsea development + semi FPU)",7,new_host_semi,"semi-submersible FPU (20,000 psi)",,75000.0,440.0,12.95,"Oil & Gas Journal, Chevron sanctions Anchor project in deepwater US Gulf of Mexico",https://www.ogj.com/exploration-development/article/14073529/chevron-sanctions-anchor-project-in-deepwater-us-gulf-of-mexico,see quoted_text,"At a cost of $5.7 billion, Stage 1 of Anchor development consists of a seven-well subsea development [with a] semi-submersible floating production unit ... in water depths of 1,524 m ... design capacity of 75,000 bbl of crude oil and 28 MMcfd of natural gas ... total potentially recoverable oil-equivalent resources for Anchor are estimated to exceed 440 million bbl ... First oil is anticipated in 2024",2026-07-14,high,secondary_operator_confirmed,"chevron.com returns HTTP 403 to fetchers, so OGJ is the sourced page (one step removed from the primary release). Industry's FIRST 20k psi deepwater FID.",True
Balder X / Balder Future,Var Energi,Norwegian North Sea,Norway,,2019,2024,,4300.0,"REVISED gross project cost, stated by the operator in BOTH currencies: 'USD 4.3 billion (NOK 40.7 billion)'. This is the post-review REVISED figure (recorded as actual_cost), NOT the original sanction — the original PDO estimate was not verbatim-sourced, so sanctioned_capex is null.",15,new_host_fpso,refurbished/life-extended Jotun FPSO,,,143.0,,Var Energi — Update on Balder X project,https://varenergi.no/news/update-on-balder-x-project/,see quoted_text,"'additional gross investment requirements of USD 1.2 billion (NOK 11.5 billion)' ... bringing 'total estimated gross project cost to USD 4.3 billion (NOK 40.7 billion)' / 'First oil from Balder X is now expected in the third quarter of 2024, compared to previously late in 2023' / 'drilling 14 new production wells and one water injection well' / 'Balder X is expected to unlock an estimated 143 million barrels of recoverable reserves'",2026-07-14,high,press_release,"MAJOR OVERRUN CASE. Var Energi states cost in BOTH USD and NOK, which solves the FX problem outright — the only operator here that does. well_count = 14 producers + 1 water injector.",True
Liza Phase 2,ExxonMobil,Guyana - Stabroek,Guyana,,2019,2022,6000.0,,"gross project cost at FID, incl. ~$1.6bn lease capitalization for the Liza Unity FPSO",30,new_host_fpso,"FPSO (Liza Unity), 6 drill centres",,220000.0,600.0,10.0,"ExxonMobil press release, Liza Phase 2 development offshore Guyana (3 May 2019)",https://corporate.exxonmobil.com/news/news-releases/2019/0503_exxonmobil-to-proceed-with-liza-phase-2-development-offshore-guyana,see quoted_text,"Liza Phase 2 is expected to cost $6 billion, including a lease capitalization cost of approximately $1.6 billion, for the Liza Unity floating production, storage and offloading (FPSO) vessel ... A total of six drill centers are planned as well as approximately 30 wells, including 15 production, nine water injection and six gas injection wells ... Liza Phase 2 will produce up to 220,000 barrels of oil per day ... Phase 2 startup is expected in mid-2022 and will develop approximately 600 million barrels of oil",2026-07-14,high,press_release,,True
Breidablikk,Equinor,Norwegian North Sea,Norway,130.0,2020,2023,,,NOK ONLY: 'Field investments are approximately NOK 18.6 billion' (gross). No USD figure stated.,23,subsea_tieback,tie-back to the Grane platform,,,200.0,,"Equinor press release, June 2021 (Breidablikk PDO approved)",https://www.equinor.com/news/archive/202106-breidablikk-pdo-approved,see quoted_text,'Field investments are approximately NOK 18.6 billion.' / 'Estimated recovery from the field is around 200 million barrels of oil.' / '23 oil producing wells from four subsea templates.' / 'Water depth is approx. 130 metres.',2026-07-14,high,press_release,"USD LEFT NULL (NOK only). PDO submitted Sep 2020, approved Jun 2021. Guided to 1H2024, started up Oct 2023 — AHEAD of schedule and, per Equinor, within budget.",True
Payara,ExxonMobil,Guyana - Stabroek,Guyana,,2020,2023,9000.0,,gross project cost at FID (third Stabroek phase),41,new_host_fpso,"FPSO (Prosperity), 10 drill centres",,220000.0,600.0,15.0,"ExxonMobil press release, ExxonMobil to proceed with Payara development offshore Guyana (30 Sep 2020)",https://corporate.exxonmobil.com/news/news-releases/2020/0930_exxonmobil-to-proceed-with-payara-development-offshore-guyana,see quoted_text,"The $9 billion development will target an estimated resource base of about 600 million oil-equivalent barrels ... Ten drill centers are planned along with up to 41 wells, including 20 production and 21 injection wells ... expected to produce up to 220,000 barrels of oil per day after startup in 2024",2026-07-14,high,press_release,FID PR targeted 2024 startup; Prosperity FPSO actually started up Nov 2023 — i.e. AHEAD of schedule.,True
Sangomar Phase 1,Woodside,West Africa,Senegal,,2020,2024,4200.0,,"gross project cost at FID, stated in USD; Phase 1 only",,new_host_fpso,FPSO (MODEC),,,231.0,18.18,Offshore Engineer (OEDigital) — Major Offshore Project in Senegal Reaches FID,https://www.oedigital.com/news/474637-major-offshore-project-in-senegal-reaches-fid,see quoted_text,'The $4.2 billion offshore oil field' ... 'The FPSO will be delivered by Japan's MODEC' ... 'First oil in the first quarter of 2023' ... Phase 1 targets 'estimated 2P recoverable oil reserves of 231 mmbbls',2026-07-14,medium,secondary_operator_confirmed,"woodside.com returns HTTP 403 to fetchers; trade press used. FID Jan 2020, first oil guided Q1-2023 but ACHIEVED June 2024 — an ~18-month slip. Woodside later guided total Phase 1 spend ABOVE the $4.2bn sanction (not verbatim-verified, so not recorded).",True
Bacalhau Phase 1,Equinor,Brazil - Santos pre-salt,Brazil,2050.0,2021,2024,8000.0,,"gross project investment at FID, phase 1 only (19 subsea wells + FPSO)",19,new_host_fpso,"FPSO (Bacalhau), 220,000 bopd",,220000.0,1000.0,8.0,"Equinor press release, Final investment decision for Bacalhau phase 1 in Brazil (1 Jun 2021)",https://www.equinor.com/news/archive/20210601-final-investment-decision-bacalhau-phase1-brazil,see quoted_text,"The investment is approximately 8 billion USD ... Bacalhau is a globally competitive project with a break even below USD 35 ... The development will consist of 19 subsea wells tied back to a floating production, storage and offloading unit (FPSO) ... in water depths of 2050 meters ... production capacity of 220,000 barrels per day ... Estimated recoverable reserves for the first phase are more than one billion barrels of oil ... First oil is planned in 2024.",2026-07-14,high,press_release,"GROSS, not Equinor's 40% net share. THE ONLY BRAZILIAN ROW WITH A REAL SANCTIONED FIGURE — and only because Equinor operates it. Petrobras does not disclose per-project sanctioned capex for Buzios/Mero/Sepia/Atapu/Itapu (only aggregate business-plan capex and FPSO LEASE values, which are not project cost).",True
Barossa,Santos,Australia - Timor Sea,Australia,,2021,2025,3600.0,,"gross project cost at FID, stated in USD. EXCLUDES the separate US$600m Darwin LNG life-extension and pipeline tie-in.",,new_host_fpso,"FPSO (BW Offshore), backfilling Darwin LNG",,,,,Santos press release — Santos announces FID on the Barossa gas project for Darwin LNG,https://www.santos.com/news/santos-announces-fid-on-the-barossa-gas-project-for-darwin-lng/,see quoted_text,"'US$3.6 billion gas and condensate project' / 'US$600 million investment in the Darwin LNG life extension and pipeline tie-in projects' / 'Floating Production, Storage and Offloading (FPSO) vessel, subsea production wells, supporting subsea infrastructure and a gas export pipeline' / 'First gas production is targeted for the first half of 2025'",2026-07-14,high,press_release,SCOPE BOUNDARY MATTERS: the $3.6bn is Barossa UPSTREAM ONLY; the Darwin LNG life extension is a separate $600m. First gas achieved 2025.,True
Scarborough (incl. Pluto Train 2),Woodside,Australia - Carnarvon,Australia,,2021,2026,12000.0,,"gross 100% project cost at FID, stated in USD ('$12 billion (100 per cent, $6.9 billion Woodside share)'). Pre-FID split: US$5.7bn offshore + US$6.3bn onshore.",13,new_host_semi,semi-submersible FPU; gas piped to Pluto LNG onshore,,,,,Offshore Energy — Woodside sanctions $12 bln Scarborough project,https://www.offshore-energy.biz/woodside-moves-ahead-with-bhp-merger-sanctions-12-bln-scarborough-project/,see quoted_text,"'The $12 billion (100 per cent, $6.9 billion Woodside share) LNG development' / '13 subsea wells' with 'eight wells drilled in Phase 1' / 'A semi-submersible floating production unit' / 'The Scarborough field is located approximately 375 km off the coast of Western Australia and is estimated to contain 11.1 trillion cubic feet of dry gas' / 'First LNG cargo targeted for 2026'",2026-07-14,high,secondary_operator_confirmed,"NOTE THE BASIS: $12bn is GROSS 100%; Woodside's NET share is $6.9bn. Mixing the two across rows would corrupt the column. Cost later revised UP to ~$12.5bn (not verbatim-verified, so actual_cost left null). Includes ONSHORE LNG scope, so it is not a pure offshore comparable.",False
Shenandoah,Beacon Offshore Energy,US GOM - Walker Ridge,USA,1800.0,2021,2025,1800.0,,gross project cost at FID (phase 1: four subsea production wells + FPS),4,new_host_semi,"semi-submersible FPS, 100,000 bopd",,117000.0,,,"NS Energy project profile, Shenandoah Field Development, Gulf of Mexico",https://www.nsenergybusiness.com/projects/shenandoah-field-development/,see quoted_text,"final investment decision (FID) on the $1.8bn offshore development project ... Final Investment Decision August 2021 ... drilling four subsea production wells ... water depths ranging between 1,700m and 1,900m ... target rate of 100,000 barrels of oil per day (bopd) / 117,000 barrels of oil equivalent per day (boepd) ... commenced production in July 2025",2026-07-14,medium,secondary_operator_confirmed,"Beacon is PRIVATE and issues no capex press release — $1.8bn comes from a secondary project database, not an operator disclosure. Water depth 1,800 m is the midpoint of a stated 1,700-1,900 m range.",True
Whale,Shell,US GOM - Alaminos Canyon,USA,,2021,2025,,,,,new_host_semi,four-column semi; 99% replicated hull / 80% replicated topsides from Vito,,100000.0,490.0,,"Shell press release (PR Newswire), Shell Invests in the Whale Development in the Gulf of Mexico (26 Jul 2021)",https://www.prnewswire.com/news-releases/shell-invests-in-the-whale-development-in-the-gulf-of-mexico-301340654.html,see quoted_text,"peak production of approximately 100,000 barrels of oil equivalent per day (boe/d) ... currently has an estimated, recoverable resource volume of 490 million boe ... 99% replicated hull and an 80% replication of the topsides from our Vito project ... internal rate of return estimated to be greater than 25%",2026-07-14,high,press_release,NO CAPEX DISCLOSED — Shell gives IRR (>25%) instead. Design-replication play: 99% of Vito's hull reused.,True
Ballymore,Chevron,US GOM - Mississippi Canyon,USA,2012.0,2022,2025,1600.0,,gross project cost at FID (3 production wells + one flowline tieback),3,subsea_tieback,tieback to existing Blind Faith semi FPU (3 miles),5.0,75000.0,150.0,10.67,"Oil & Gas Journal, Chevron sanctions Ballymore deepwater GoM project",https://www.ogj.com/exploration-development/article/14276684/chevron-sanctions-ballymore-deepwater-gom-project,see quoted_text,"The $1.6-billion project, which involves three production wells tied back via one flowline ... in about 6,600 ft (2,000 m) of water ... three-mile subsea tieback to the existing Chevron-operated Blind Faith platform ... design capacity of 75,000 b/d of crude oil ... Potentially recoverable oil-equivalent resources for Ballymore are estimated at more than 150 million bbl ... first oil expected in 2025",2026-07-14,high,secondary_operator_confirmed,"surf_km ~5 derived from the stated 3-mile tieback (a unit conversion of a disclosed figure, not an estimate). Chevron 60% op / TotalEnergies 40%.",True
Yellowtail,ExxonMobil,Guyana - Stabroek,Guyana,,2022,2025,10000.0,,gross project cost at FID (fourth Stabroek phase),51,new_host_fpso,"FPSO (ONE GUYANA), 6 drill centres",,250000.0,900.0,11.11,"ExxonMobil press release, FID on fourth Guyana offshore project (4 Apr 2022)",https://corporate.exxonmobil.com/news/news-releases/2022/0404_exxonmobil-makes-final-investment-decision-on-fourth-guyana-offshore-project,see quoted_text,"The $10 billion project will include six drill centers and up to 26 production and 25 injection wells ... Yellowtail production from the ONE GUYANA floating production storage and offloading (FPSO) vessel will develop an estimated resource of more than 900 million barrels of oil ... expected to produce approximately 250,000 barrels of oil per day starting in 2025.",2026-07-14,high,press_release,"Resource stated as 'more than 900 million barrels of OIL' (not boe) — a floor, not a point estimate.",True
Agogo Integrated West Hub,Azule Energy (bp/Eni JV),West Africa,Angola,,2023,2025,,,"NOT A CAPEX FIGURE — see notes. Azule disclosed CONTRACT AWARD VALUE (~$7.8bn), not sanctioned project capex. Capex left null.",36,new_host_fpso,"converted FPSO (Yinson), 120,000 bopd",,120000.0,,,Offshore Technology — Azule awards contracts worth $7.8bn for Agogo project,https://www.offshore-technology.com/news/azule-contracts-agogo-angola/,see quoted_text,"'Azule Energy, through its subsidiary Eni Angola, has awarded main contracts worth approximately $7.8bn in total' / 'one converted floating production storage and offloading (FPSO) vessel with a production capacity of 120,000 barrels per day' / '36 new wells, including 21 producers and 15 injectors'",2026-07-14,medium,secondary_operator_confirmed,"TRAP DEFUSED: the $7.8bn is CONTRACT AWARDS, and several outlets restate it as 'total investment'. Treating it as sanctioned capex would corrupt the column, so capex is NULL. Sanctioned Feb 2023, first oil July 2025 — ~29 months FID-to-oil, exceptionally fast.",True
Rosebank Phase 1,Equinor,UK West of Shetland,United Kingdom,1100.0,2023,2027,3800.0,,"gross project cost at FID, stated by the operator in USD; Phase 1 only",7,new_host_fpso,redeployed FPSO,,,245.0,15.51,"Equinor press release, 27 Sep 2023",https://www.equinor.com/news/20230927-rosebank-field-to-progress-in-the-uk,see quoted_text,"'Equinor and Ithaca Energy have taken the final investment decision to progress Phase 1 of the Rosebank development on the UK Continental Shelf (UKCS), investing USD 3.8 billion.' / 'The Rosebank field is located around 130 kilometres north-west of Shetland in approximately 1,100 metres of water depth.' / 'Total recoverable resources are estimated at around 300 million barrels of oil, with Phase 1 targeting estimated 245 million barrels of oil.'",2026-07-14,high,press_release,Equinor 80% / Ithaca 20%. Start-up guided as a 2026-2027 range; 2027 recorded conservatively.,True
