PROJECT_ID,WORKBOOK_FILE,WORKBOOK_SHA256,WORKBOOK_SHEET,WORKBOOK_CELL,WORKBOOK_ROLE,WORKBOOK_CATEGORY,WORKBOOK_VALUE,VALUE_UNIT,CURRENCY,PRICE_BASIS,BASIS_YEAR,OWNERSHIP_BASIS,SCOPE_BASIS,CAPEX_BASIS,REQUIREMENT_IDS,MAPPING_STATUS,COUNTING_DISPOSITION,EVIDENCE_DERIVATION,SOURCE_PROVENANCE,ASSUMPTION_VINTAGE,COMPARISON_ELIGIBILITY,NOTES
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,I3,project_summary_component,dry-well system,630000000,USD,USD,nominal,,gross,project,project_capex,req-000002|req-000003,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Component of the additive facilities total J3.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D13,assumption_input,dry-well system,90,USD MM/producer,USD,nominal,,gross,component,component_capex,req-000002|req-000003,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive per-producer assumption input.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,J3,project_summary_total,facilities total,2730000000,USD,USD,nominal,,gross,project,project_capex,req-000001|req-000002|req-000003|req-000005|req-000008,mapped,included,assumed,workbook_assumption,FDAS_V30,eligible,Additive facilities total used in the development CAPEX bridge.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,K3,project_summary_total,drilling,965600000,USD,USD,nominal,,gross,project,project_capex,req-000004,mapped,included,assumed,workbook_assumption,FDAS_V30,eligible,Additive drilling total used in the development CAPEX bridge.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D9,assumption_input,drilling,0.45,USD MM/day,USD,nominal,,gross,component,component_capex,req-000004,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive dry-tree rig-rate assumption input.
prj-000001,drilling_and_completion_days.xlsx,3ecfa1128b33edf73db3a793f8839c98c50bc27184487a8af579c5ef22795e7f,Sheet1,Sheet1!A17:L54,fingerprint_reference,drilling,,wellbore rows; drilling days; completion days,,nominal,,gross,component,component_capex,req-000004,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Observed 38 Big Foot rows with 1207 drilling days and 1826 completion days are non-additive evidence and do not replace the blank sanctioned WELL_COUNT.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,L3,project_summary_total,completion,821700000,USD,USD,nominal,,gross,project,project_capex,req-000004,mapped,included,assumed,workbook_assumption,FDAS_V30,eligible,Additive completion total used in the development CAPEX bridge.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,M3,project_summary_subtotal,D&C total,1787300000,USD,USD,nominal,,gross,project,project_capex,req-000004,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive subtotal of drilling K3 and completion L3.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,,coverage_gap,installation/hookup,,,USD,nominal,,gross,project,project_capex,req-000007,unmapped,excluded,assumed,workbook_assumption,FDAS_V30,ineligible,No separate installation or hookup category exists in the workbook.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,P3,project_summary_opex,OPEX,267482624,USD,USD,nominal,,gross,project,opex,,excluded,excluded,assumed,workbook_assumption,FDAS_V30,ineligible,Variable OPEX is outside development CAPEX.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,Q3,project_summary_opex,OPEX,790000000,USD,USD,nominal,,gross,project,opex,,excluded,excluded,assumed,workbook_assumption,FDAS_V30,ineligible,Fixed OPEX is outside development CAPEX.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D16,assumption_input,OPEX,4,USD/bbl,USD,nominal,,gross,component,opex,,excluded,excluded,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive variable OPEX assumption input.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D17,assumption_input,OPEX,120,USD MM/year,USD,nominal,,gross,component,opex,,excluded,excluded,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive fixed OPEX assumption input.
