PROJECT,AWARD_YEAR,CONTRACTOR,ASSET_CLASS,SCOPE_DESC,VALUE_LOW_MM,VALUE_HIGH_MM,VALUE_BASIS,BAND_WORD,PROVENANCE,SOURCE_TITLE,SOURCE_URL,ACCESSED_DATE,NOTES
Bacalhau Phase 1,2021,MODEC,production_hub,"FPSO EPCI turnkey newbuild (220 kbopd) + first-yr O&M — the largest single award, never valued",,,not_public,,operator,MODEC,https://www.modec.com/news/2021/20210603_pr_bacalhau.html,2026-07-15,
Bacalhau Phase 1,2021,Subsea7 (Subsea Integration Alliance),surf,"Integrated SPS+SURF EPCI, Subsea7 share (140 km risers/flowlines, 40 km umbilicals, T&I)",750,,band,major,operator,OE Digital,https://www.oedigital.com/news/488110-subsea-integration-alliance-confirms-bacalhau-epci-contract,2026-07-15,Subsea7 'major' = share > $750MM (open-topped). OneSubsea share within the SIA contract undisclosed.
Bacalhau Phase 1,2021,OneSubsea (Subsea Integration Alliance),sps,19 trees + wellheads/controls within integrated SIA EPCI,,,not_public,,operator,OE Digital,https://www.oedigital.com/news/488110-subsea-integration-alliance-confirms-bacalhau-epci-contract,2026-07-15,
Bacalhau Phase 1,2021,Seadrill,drilling_rig,"West Saturn drillship — 4-yr firm + options, 6 wells",380,380,point,,operator,Offshore Technology,https://www.offshore-technology.com/news/seadrill-380m-drillship-contract-equinor/,2026-07-15,'Seadrill's portion ... valued at $380m'.
Bacalhau Phase 1,2020,Baker Hughes / Halliburton / Schlumberger,other,"Drilling & well services (combined, Nov 2020)",455,455,point,,operator,Offshore Technology,https://www.offshore-technology.com/projects/bacalhau-oil-field-santos-basin-brazil/,2026-07-15,'Drilling and well services contracts worth $455m'.
Sangomar Phase 1,2020,MODEC,production_hub,"FPSO purchase (EPCC, VLCC conversion, 100 kbopd) — sale to Woodside, price not disclosed",,,not_public,,operator,Woodside ASX 10 Jan 2020,https://www.woodside.com/docs/default-source/asx-announcements/2020-asx/sangomar-field-development-approved.pdf,2026-07-15,
Sangomar Phase 1,2020,Subsea Integration Alliance,sps,"Integrated SPS+SURF EPCI incl T&I: 23 wells, 107 km flowlines, 45 km umbilicals",500,750,band,very large,operator,Subsea7 / GlobeNewswire,https://www.globenewswire.com/news-release/2020/01/10/1968794/0/en/Subsea-Integration-Alliance-awarded-contract-offshore-Senegal.html,2026-07-15,Subsea7 'very large' = $500-750MM (Subsea7 share; spans SPS+SURF — do not double-count).
Sangomar Phase 1,2019,Diamond Offshore,drilling_rig,Ocean BlackRhino (18 firm wells) + Ocean BlackHawk,,,not_public,,operator,Offshore Energy,https://www.offshore-energy.biz/woodside-hires-two-diamond-drillships-for-senegal-operations/,2026-07-15,
Barossa,2021,BW Offshore,production_hub,FPSO BW Opal — LEASE-AND-OPERATE 15-yr firm ($4.6bn firm-period value; ~$2.0bn FPSO capex + lease/opex),4600,4600,lease_contract,,operator,BW Offshore / GlobeNewswire,https://www.globenewswire.com/news-release/2021/03/23/2198157/0/en/BW-Offshore-Signed-contract-for-Barossa-FPSO.html,2026-07-15,$4.6bn is a 15-yr lease+opex value spanning operating costs — NOT comparable to project capex; flagged so E5 excludes it from capex coverage.
Barossa,2021,TechnipFMC,sps,Trees/controls/manifolds/wellheads + install support,75,250,band,significant,operator,TechnipFMC / Euro-Petrole,https://www.euro-petrole.com/technipfmc-receives-notice-to-proceed-for-subsea-contract-for-santos-barossa-project-offshore-australia-n-i-22165,2026-07-15,
Barossa,2020,Subsea 7,surf,EPC + T&I 36 km infield flowlines + install client-supplied risers/umbilicals,300,500,band,large,operator,Subsea 7 / GlobeNewswire,https://www.globenewswire.com/news-release/2020/03/03/1993972/0/en/Subsea-7-awarded-contract-offshore-Australia.html,2026-07-15,Subsea7 'large' = $300-500MM.
Barossa,2019,Allseas,other,"Gas Export Pipeline EPCI (262 km, 26-in)",,,not_public,,operator,Santos,https://www.santos.com/news/another-major-barossa-contract-awarded/,2026-07-15,
GranMorgu (Block 58),2024,SBM Offshore,production_hub,"FPSO construct & install (Fast4Ward, 220 kbopd)",,,not_public,,operator,SBM Offshore,https://www.sbmoffshore.com/newsroom/sbm-offshore-awarded-contracts-for-the-granmorgu-field-development/,2026-07-15,
GranMorgu (Block 58),2024,Technip Energies,production_hub,FPSO topsides EPC,1055,,band,major,operator,Technip Energies,https://www.ten.com/en/media/press-releases/technip-energies-awarded-major-contract-totalenergies-topsides-granmorgu-fpso,2026-07-15,"T.EN 'major' = > EUR 1bn revenue (~$1,055MM at import FX; open-topped). Currency note: threshold is EUR."
GranMorgu (Block 58),2024,TechnipFMC,sps,"Major iEPCI: Subsea 2.0 trees, manifolds + umbilicals/flex jumpers/risers",1000,,band,major,operator,TechnipFMC,https://www.technipfmc.com/en/investors/financial-news-releases/press-release/technipfmc-awarded-major-iepci-contract-for-totalenergies-granmorgu-development-offshore-suriname/,2026-07-15,TechnipFMC 'major' = > $1bn (open-topped).
GranMorgu (Block 58),2024,Saipem,surf,SURF EPCI: ~100 km production + 90 km injection lines + flex/umbilicals (install incl.),1900,1900,point,,operator,Saipem,https://www.saipem.com/en/media/press-releases/2024-11-14/saipem-new-offshore-contract-totalenergies-suriname-19-billion-usd,2026-07-15,'The contract is worth 1.9 billion USD' — the largest exact SURF value in the registry; ~18% of $10.5bn gross.
GranMorgu (Block 58),2025,Noble Corporation,drilling_rig,"Two 16-well contracts (~1,060 days each): Noble Discoverer + Noble Valiant",753,1050,point,,operator,Noble Corporation Q1 2025 results,https://www.prnewswire.com/news-releases/noble-corporation-plc-announces-first-quarter-2025-results-302440174.html,2026-07-15,"$753MM firm + up to $297MM performance-linked (LOW=firm 753, HIGH=max 1050)."
