SN_EOR_FK,SN_EOR_WELL_COMP,INTERVAL,COMP_LEASE_NUMBER,COMP_AREA_CODE,COMP_BLOCK_NUMBER,COMP_STATUS_CD
-117769,-15654,S3,G15356,GI,   82,PGW
-117557,-15646,D6,G15805,HI,A 264,GSI
-128511,-18751,D1,G01034,SS,  266,PGW
-129170,-18756,S2,G01172,VR,  313,POW
-129223,-18827,S5,G01984,SS,  225,PGW
-130077,-18829,S2, 00605,ST,   86,GLO
-130081,-18852,S1,G10638,EC,  328,GLO
-128576,-18862,S1,G08760,MP,  309,OSI
-130158,-18869,S4,G05550,SS,  175,PGW
-129219,-18877,S4,G17912,VR,  253,POW
-128819,-19021,S1,G21790,GC,  338,POW
-131072,-19104,S4, 00034,GI,   23,POW
-131332,-19112,S4, 00438,EI,  175,POW
-130912,-19116,S1, 00019,ST,   54,GLO
-131412,-19117,S2,G04473,WD,   27,POW
-130747,-19119,S4,G00989,EI,  276,GLO
-130972,-19122,S1,G33608,VR,  342,OSI
-129486,-19131,S1,G15604,GC,  699,POW
-130771,-19132,S1,G02115,EI,  330,GLO
-131159,-19150,S3, 00063,SS,   93,WIW
-129987,-18848,S1,G01316,MP,  299,POW
-130052,-18854,D5,G20605,MU,  726,OSI
-129778,-18897,S1,G32201,SS,  217,GIW
-128648,-18916,S1,G33607,VR,  341,POW
-129759,-18919,S2,G02625,ST,   37,POW
-120090,-18936,S1,G26013,SM,  230,GSI
-128695,-18949,S1,G02115,EI,  330,POW
-130486,-18956,S1,G01673,MP,  296,POW
-130201,-18959,S3,G01620,SP,   94,GLO
-129926,-18966,S5, 00066,SS,  112,PGW
-130374,-18976,S1, 00065,SS,  117,PGW
-131458,-19159,S4, 00839,WD,   94,OSI
-131502,-19167,S4, 00066,SS,  112,POW
-131255,-19170,S2,G07963,MC,  807,POW
-128377,-19171,S1,G17015,WR,  758,OSI
-131377,-19200,S4, 00599,ST,   63,PGW
-130550,-19203,S2,G05498,EI,  184,PGW
-117977,-15690,S3,G07736,EI,  262,PGW
-118227,-15691,S8,G01238,PL,   23,PGW
-118170,-15715,S5, 00763,WC,  180,PGW
-117739,-15717,S2,G19931,MC,  243,PGW
-115212,-15721,S4,G01608,SP,   60,GLO
-117453,-15723,S2,G00983,EI,  252,POW
-115627,-15725,S4,G01608,SP,   60,PGW
-117201,-15726,D3,G03793,GI,   83,PGW
-118055,-15747,S3,G15769,HI,   37,GSI
-127382,-18243,D2,G32113,WC,  266,PGW
-127859,-18290,S4, 00336,SS,   33,GLO
-127168,-18300,S4,G01238,PL,   23,GLO
-127214,-18337,S2, 00031,GI,   22,GLO
-126565,-18347,S2,G01146,VR,  245,GLO
-128618,-18495,S1,G16493,MP,   61,POW
-128439,-18497,S2,G10638,EC,  328,POW
-129137,-18526,S2,G01618,SP,   89,POW
-126844,-19037,S1,G18753,WR,  677,OSI
-131038,-19033,S3,G01524,SS,  216,PGW
-131279,-19040,S2,G02445,VK,  900,PGW
-129777,-19051,S1,G01022,SS,  218,POW
-130355,-19053,S3,G01019,SS,  182,PGW
-129450,-19073,S3,G25098,MC,  546,PGW
-131336,-19083,D4,G22621,VR,  127,PGW
-131055,-19115,S2,G07827,MP,  259,GSI
-131196,-19138,S3,G26229,EW,  989,POW
-131177,-19143,D5,G04703,MI,  681,PGW
-131576,-19186,S2,G01955,VR,  265,POW
-131575,-19188,S3,G01955,VR,  265,GSI
-131140,-19190,S1,G02316,SM,  288,PGW
-131344,-19191,D2,G03783,EI,  353,GLO
-131040,-19192,S1,G02118,EI,  338,POW
-131415,-19195,S2,G27277,MC,  503,POW
-131233,-19198,S5, 00605,ST,   86,PGW
-129733,-19206,S1,G04473,WD,   27,POW
-128375,-19214,S1,G01316,MP,  299,POW
-130100,-19215,D1,G01316,MP,  299,OSI
-130261,-19228,S1, 00133,GI,   47,POW
-131566,-19229,S1,G01083,WD,   73,POW
-131655,-19258,D4,G02870,VR,   60,PGW
-131381,-19273,D3, 00830,SS,  229,GLO
-130084,-19290,S2, 00369,BM,    2,WSW
-131970,-19293,S2, 00310,SM,  236,GLO
-132452,-19307,S2,G01205,SM,   73,GLO
-131340,-19316,S2,G02359,HI,A 446,POW
-130538,-19320,S1,G04421,VR,   78,POW
-132165,-19340,S1,G16493,MP,   61,GLO
-132130,-19342,S5,G03236,HI,  179,PGW
-131355,-19398,S2,G04109,SM,   99,PGW
-129301,-19211,S1,G16493,MP,   61,POW
-130100,-19216,D2,G01316,MP,  299,POW
-131765,-19222,S5, 00066,SS,  112,PGW
-131361,-19227,S2,G09386,WC,   76,PGW
-132113,-19244,S2, 00830,SS,  229,GLO
-132115,-19246,S1, 00830,SS,  229,GLO
-132252,-19265,S2,G01084,WD,   74,GLO
-132603,-19409,S2,G03959,SA,   13,PGW
-131359,-19269,S3,G03414,WD,   34,PGW
-131501,-19278,S1, 00419,SS,  150,POW
-132293,-19325,S3,G02735,HI,A 309,PGW
-132010,-19434,S1,G16753,GC,  561,POW
-130567,-19435,S1,G04473,WD,   27,POW
-129903,-19444,S1,G20084,GC,  653,POW
-132455,-19445,D1, 00133,GI,   47,POW
-132455,-19446,D2, 00133,GI,   47,GSI
-128694,-18569,S2,G32301,MC,  199,POW
-128020,-18587,S1,G08760,MP,  309,GLO
-128199,-18592,S1,G02111,EI,  314,POW
-129398,-18598,S2,G04127,MP,  313,POW
-128115,-18601,S3,G02177,SP,   49,PGW
-127724,-18608,S3,G22660,EI,  110,PGW
-128094,-18633,S1,G07963,MC,  807,POW
-128144,-18646,S1, 00385,WD,   29,POW
-128880,-18668,S1,G02118,EI,  338,OSI
-129531,-18673,S2, 00310,SM,  229,GSI
-129877,-18704,S1,G02318,EI,  339,POW
-124251,-18712,S1,G21742,MC,   65,GLO
-132194,-19270,S1,G01022,SS,  218,PGW
-129924,-19390,S1,G02213,MP,  311,PGW
-129551,-19391,S1,G18402,GC,  608,POW
-132371,-19405,S1,G02111,EI,  314,GLO
-131641,-19408,S1, 00031,GI,   22,POW
-132273,-19420,S1, 00809,EI,  227,GLO
-132156,-19423,S6,G02037,EC,  222,PGW
-132479,-19424,S3,G08735,WD,  106,PGW
-132297,-19426,S4, 00206,VR,   39,PGW
-132386,-19427,D3, 00133,GI,   47,POW
-131823,-19432,S3,G01208,SM,   76,PGW
-132112,-19479,S1, 00020,ST,   67,POW
-132823,-19492,S1,G32231,GI,  108,POW
-132472,-19535,S2,G01634,MP,  144,POW
-132693,-19537,S4,G04903,MP,   30,PGW
-130955,-19547,S1,G11573,GB,  783,POW
-133469,-19584,S1, 00031,GI,   22,POW
-132523,-19586,S1, 00829,SS,  219,PGW
-133610,-19592,S1,G17921,VR,  356,OSI
-127968,-19601,S1,G18245,MC,  460,POW
-132487,-19604,S1,G08684,SM,   90,POW
-132586,-19611,S4,G13645,WD,  122,OSI
-132623,-19613,S1,G19931,MC,  243,POW
-111259,-13103,S2,G14668,GC,  108,PGW
-111692,-13108,S3,G03793,GI,   83,PGW
-110705,-13124,S1, 00065,SS,  117,POW
-112289,-13498,S5, 00457,ST,  131,PGW
-111861,-13583,S3,G05646,ST,  295,POW
-112421,-13614,S6, 00297,VR,   26,PGW
-112847,-13631,S1,G00989,EI,  276,POW
-110066,-13642,S3,G07703,SM,   77,PGW
-112580,-13676,S2,G02436,WC,  586,POW
-112482,-13677,S2,G01359,SS,   14,PGW
-112874,-13783,S1,G05064,MO,  864,PGW
-112928,-13849,D3, 00133,GI,   47,POW
-111862,-13794,S2,G24898,EI,  123,POW
-113102,-13852,S7,G04537,MU,A  31,PGW
-118229,-15960,S4,G02280,SM,  130,PGW
-117495,-16181,S1,G20082,GC,  640,WIW
-119241,-16243,S2,G26152,MP,  166,PGW
-119178,-16269,D3, 00367,WD,   32,GLO
-118717,-16279,S2,G02280,SM,  130,GLO
-123297,-17353,S2,G00989,EI,  276,GSI
-129906,-18714,S2, 00385,WD,   29,GLO
-130746,-18986,S3,G00983,EI,  252,GSI
-130525,-18992,S2,G18054,PL,   22,POW
-129965,-18995,S1, 00390,GI,   26,WIW
-129965,-18996,S2, 00369,BM,    2,WSW
-131155,-19004,S3,G02937,WD,  109,POW
-127950,-19012,D2,G19760,VR,  196,POW
-128741,-19016,D3, 00020,ST,   67,POW
-130351,-19019,S1,G02318,EI,  339,GLO
-130531,-19023,S1,G33608,VR,  342,OSI
-112615,-13578,D3,G15805,HI,A 264,GSI
-112523,-13589,S3,G02885,SM,  141,PGW
-112462,-13592,S2, 00810,EI,  246,PGW
-112129,-13648,S2,G27180,WD,   68,PGW
-112231,-13650,S3,G02091,VR,  340,OSI
-112026,-13652,S4,G02580,VR,  380,PGW
-130689,-18888,S1,G01022,SS,  218,PGW
-130695,-18889,S1,G01022,SS,  218,PGW
-130423,-18909,S3,G31040,HI,  138,PGW
-128685,-18921,S1, 00374,MP,   41,WIW
-130083,-18924,S2,G01146,VR,  245,PGW
-130263,-18939,S5,G19843,WD,  121,POW
-127448,-18973,S1,G17565,AC,  857,WIW
-129411,-18988,S3,G12355,SS,  198,GLO
-131036,-19014,S2, 00026,WD,   30,GLO
-112400,-13655,S1,G01295,MP,   37,POW
-113326,-14216,S1,G01997,WC,  171,GSI
-117934,-15751,S2, 00796,EI,  100,PGW
-118218,-15753,S4, 00462,ST,  135,PGW
-116206,-15760,S4,G03793,GI,   83,PGW
-118116,-15762,S1,G23199,HI,  201,PGW
-118115,-15938,S3,G01294,SP,   62,POW
-118414,-15946,S1,G02076,VR,  214,POW
-116553,-16086,S2,G03061,MU,A  85,PGW
-111348,-13558,S1,G20660,HI,  206,PGW
-110565,-13563,S1,G01182,SM,   11,PGW
-112513,-13567,S5,G01880,EC,  264,PGW
-112583,-13859,S4, 00196,EI,   32,GLO
-113327,-14086,S3,G02062,EC,  334,PGW
-113473,-14090,S5,G26146,MP,   19,PGW
-113358,-14092,S4,G26146,MP,   19,PGW
-113581,-14103,S3, 00434,SS,  149,POW
-113682,-14107,S2,G22582,EC,  121,POW
-119089,-16363,S3, 00031,GI,   22,POW
-119725,-16367,S6, 00300,WC,   45,GSI
-117573,-16381,D62,G10752,EI,  354,POW
-118872,-16441,S2,G03605,MC,  324,GLO
-119933,-16476,S1,G10638,EC,  328,POW
-119515,-16627,S1, 00386,ST,   23,POW
-120026,-16654,S1,G00989,EI,  276,PGW
-120480,-16878,S1,G12008,SS,  349,POW
-121390,-17218,D1,G27949,GI,   70,PGW
-121390,-17219,D2,G27949,GI,   70,PGW
-123741,-17458,S1,G16493,MP,   61,POW
-124239,-17649,S3,G01294,SP,   62,POW
-121817,-17708,S1,G01634,MP,  144,POW
-124686,-17711,D1,G01241,ST,   52,POW
-123958,-17721,S2,G27173,GI,   54,OSI
-111210,-13166,S1,G31369,EI,   99,OSI
-111372,-13209,S3,G02433,HI,A 368,PGW
-110339,-13403,S1,G14658,MC,  822,POW
-112322,-13429,S1,G19997,MC,  775,POW
-113751,-14219,S1,G02076,VR,  214,POW
-113627,-14253,S2,G00974,EC,  278,PGW
-113968,-14512,D2, 00263,ST,   21,POW
-117690,-15840,S1,G05504,EI,  224,GSI
-118238,-15844,S1,G00989,EI,  276,PGW
-117211,-15848,S4, 00066,SS,  112,GLO
-118959,-16191,S4,G23771,WC,  432,PGW
-119184,-16193,S7,G15242,EI,  118,GSI
-118372,-16223,S1,G12951,SS,  227,PGW
-119350,-16277,S2,G05504,EI,  224,GSI
-118125,-16293,S3,G01870,ST,   26,GLO
-119190,-16295,S6,G01870,ST,   26,GLO
-117872,-16369,S3, 00378,MP,   58,PGW
-119932,-16371,S2,G01205,SM,   73,POW
-119836,-16486,S4,G04398,WC,  293,PGW
-120088,-16558,S2,G22549,WC,  402,PGW
-120028,-16568,S2,G27003,WC,  132,PGW
-119841,-16573,S2,G01673,MP,  296,POW
-112331,-13445,D5,G15104,WC,  518,GSI
-111565,-13649,S1,G32409,GB,  293,GSI
-112401,-13654,S2, 00373,MP,   40,POW
-111884,-13682,S1,G14456,SM,  280,POW
-113138,-13746,S3,G19997,MC,  775,POW
-113504,-14105,S3,G19843,WD,  121,POW
-113035,-14116,S2,G02062,EC,  334,PGW
-113296,-14196,S1, 00831,SS,  230,PGW
-113376,-14199,S5,G18054,PL,   22,POW
-113201,-14203,S1,G01210,SM,   78,PGW
-117933,-15756,S7, 00796,EI,  100,PGW
-118217,-15757,S2, 00462,ST,  135,PGW
-118370,-15769,S2,G25098,MC,  546,PGW
-117787,-15772,S3, 00758,WC,  165,PGW
-118138,-15779,S5, 00300,WC,   45,GSI
-117227,-15780,S4, 00385,WD,   29,PGW
-116841,-15890,S3,G01294,SP,   62,POW
-116984,-15897,S1,G08467,MP,  315,OSI
-117523,-15899,S1,G22939,GC,  300,GSI
-118378,-16120,S1,G27051,EC,  339,GLO
-120168,-16527,S2,G05687,SP,   86,POW
-120655,-16764,S6, 00060,SS,   72,POW
-120318,-16768,S2,G10883,WD,  128,PGW
-120987,-16777,S2,G15189,VR,  225,GSI
-120935,-16867,S1,G12348,SS,   72,OSI
-120979,-16864,S1,G26451,MI,  654,GSI
-120895,-16870,S4,G06069,BA,  491,GSI
-112165,-13743,D4, 00828,SS,  214,PGW
-112736,-13767,S1, 00081,WC,  110,PGW
-113380,-14163,S2,G03793,GI,   83,PGW
-113267,-14167,S1, 00133,GI,   47,POW
-114189,-14256,S8,G16473,WD,   59,PGW
-114702,-14586,S3,G27180,WD,   68,POW
-114673,-14591,S2,G01250,ST,  164,PGW
-114622,-14595,S2, 00434,SS,  149,PGW
-114740,-14607,S2,G01146,VR,  245,PGW
-114698,-14683,S1,G22699,SS,   90,PGW
-115053,-14685,S2,G23166,BA,A  17,PGW
-117778,-15776,S2, 00034,GI,   23,POW
-117454,-15784,S2,G00983,EI,  252,POW
-117807,-15815,S1,G08736,WD,  107,POW
-116828,-15817,S2,G23851,EI,   10,PGW
-117974,-15818,S2,G02115,EI,  330,OSI
-116828,-15819,S3,G23851,EI,   10,PGW
-115570,-15863,S1,G15395,MP,  275,GSI
-117569,-15865,S2,G01294,SP,   62,POW
-118103,-15883,S2, 00842,WD,  105,PGW
-117789,-15885,S4,G13645,WD,  122,POW
-117406,-15887,S4,G01238,PL,   23,GSI
-116065,-15895,S1, 00182,WD,   70,POW
-118541,-15904,S3,G05370,EC,  148,PGW
-118120,-15923,S1,G10638,EC,  328,OSI
-118731,-15935,S1,G10638,EC,  328,POW
-118396,-15924,S1,G10638,EC,  328,OSI
-116982,-15929,S2,G02280,SM,  130,GLO
-118520,-15942,D1,G01241,ST,   52,OSI
-118520,-15943,D2,G01241,ST,   52,GSI
-118362,-15952,S2, 00796,EI,  100,POW
-111159,-13152,S7,G10147,MU,  782,PGW
-110635,-13162,S1,G15565,GC,  248,POW
-111266,-13177,S3,G27535,HI,A 281,PGW
-111190,-13181,S2,G07917,EW,  306,POW
-111769,-13222,S2, 00796,EI,  100,OSI
-111860,-13417,S4, 00387,ST,   24,POW
-111841,-13270,S3,G24954,ST,   41,PGW
-111670,-13644,S7, 00196,EI,   32,POW
-112330,-13645,D3,G27179,WD,   67,PGW
-112407,-13749,S4, 00310,SM,  212,PGW
-118553,-15927,S7,G05370,EC,  148,PGW
-121028,-16880,S3,G22605,VR,   51,PGW
-119095,-16036,S2,G23529,DC,  621,PGW
-116575,-16065,S1,G16661,MC,  941,POW
-118776,-16092,S2,G05953,PN,  969,GSI
-119223,-16100,S1,G02819,WC,   35,PGW
-119100,-16105,S2, 00081,WC,  110,PGW
-119010,-16111,S4,G02391,HI,A 571,PGW
-121023,-16885,S6, 00060,SS,   72,GLO
-119945,-16902,S2,G16541,VK,  384,PGW
-120326,-16910,S3,G27194,MP,   18,PGW
-121248,-16951,S3,G05504,EI,  224,PGW
-120848,-16952,S6, 00060,SS,   72,GLO
-113793,-14257,S3,G12345,SS,   63,POW
-113865,-14301,S5,G00980,EI,  231,PGW
-113990,-14302,S4,G21652,SS,   98,PGW
-113994,-14318,D4,G27476,BA,  437,PGW
-114284,-14324,S2,G01848,HI,  129,PGW
-114194,-14336,S3,G20083,GC,  646,POW
-114663,-14505,S1,G01146,VR,  245,PGW
-114581,-14508,S1,G31003,MI,  633,GSI
-115395,-14716,D2,G02115,EI,  330,OSI
-114672,-14808,S1,G27509,HI,  176,GSI
-115011,-14832,S5, 00060,SS,   72,GLO
-114910,-14843,S1,G27277,MC,  503,GSI
-118880,-16012,S2,G09184,EB,  643,POW
-118989,-16051,S1,G01241,ST,   52,POW
-119065,-16148,S4, 00385,WD,   29,POW
-119206,-16156,S3,G24954,ST,   41,PGW
-117777,-16160,S1,G20871,AC,  859,POW
-116663,-16161,S1,G20792,GB,  515,OSI
-119465,-16419,S4,G17912,VR,  253,PGW
-119890,-16424,S1,G27036,EC,   34,PGW
-120442,-16546,S4,G03171,PL,   13,PGW
-120324,-16670,S5,G26146,MP,   19,PGW
-112290,-13528,S3,G02391,HI,A 571,PGW
-110788,-13543,S2,G04243,WD,   86,POW
-112511,-13740,D4, 00347,SS,   27,PGW
-111990,-14042,S6,G01043,SS,  293,OSI
-111200,-14045,S1,G16661,MC,  941,POW
-113748,-14118,S2,G02428,HI,A 350,PGW
-113919,-14125,S2,G17406,GB,  667,PGW
-113476,-14180,S1,G05825,MC,  109,POW
-114073,-14205,D1, 00792,SM,  108,PGW
-113920,-14246,S1,G23956,WD,   36,PGW
-112675,-14254,S1,G07049,GC,  254,POW
-114092,-14259,S1, 00263,ST,   21,GLO
-114038,-14263,S3,G03236,HI,  179,PGW
-118421,-15997,D3,G18863,PN,A   9,PGW
-118165,-16138,S1,G01241,ST,   52,OSI
-118698,-16087,S2,G01619,SP,   93,PGW
-118945,-16132,S9,G16473,WD,   59,PGW
-118202,-16425,S1,G04832,MP,  108,PGW
-119216,-16429,S3,G05613,ST,  206,PGW
-118944,-16437,S1,G01198,SM,   66,GSI
-119009,-16438,S1,G05560,SS,  258,PGW
-111909,-13508,S5, 00297,VR,   26,PGW
-110819,-13529,S1,G17407,GB,  668,POW
-112325,-13557,S1,G02955,MP,  236,GSI
-114636,-16151,S1, 00838,WD,   71,PGW
-118732,-16153,D5,G08120,BA,A  21,PGW
-115298,-16162,S1,G07963,MC,  807,WIW
-119461,-16164,S2, 00577,EI,  208,OSI
-119215,-16167,S3,G01220,EI,  158,POW
-119209,-16297,D3,G02103,EI,  257,POW
-119193,-16324,S2,G01529,SS,  252,OSI
-119444,-16477,S1,G02115,EI,  330,OSI
-110925,-13725,S1,G26168,MP,  279,PGW
-112900,-13727,S4,G02127,EC,   33,PGW
-112305,-13737,S2,G00974,EC,  278,GSI
-113126,-13911,S5,G01860,WC,   66,PGW
-111701,-13998,S3, 00374,MP,   41,PGW
-118436,-15971,S4,G03393,VR,  102,PGW
-118941,-16317,S3,G01619,SP,   93,POW
-119037,-16347,S4,G01359,SS,   14,PGW
-120096,-16452,S2,G25561,HI,  170,PGW
-119524,-16638,S4, 00838,WD,   71,POW
-120072,-16683,S4,G01870,ST,   26,POW
-120085,-16688,D1, 00031,GI,   22,GLO
-120085,-16689,D2, 00031,GI,   22,GLO
-120456,-16697,S2,G09010,BA,  375,PGW
-120795,-16722,D1, 00419,SS,  150,GLO
-118768,-16770,S1,G10380,AC,   25,GLO
