SN_APD_FK,SN_ATTACHMENT_BLOB_FK,ATT_NAME,ATT_EXTENSION
-2816,-86860,Proposed Well Location Plat,pdf
-2816,-86866,U.S. Coast Guard Certificate,pdf
-2738,-84065,Directional Program,pdf
-2444,-79134,Application for Permit to Drill,PDF
-2738,-84067,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2665,-81123,Proposed Well Location Plat,pdf
-2665,-81138,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2665,-81125,Directional Program,pdf
-2665,-81126,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2665,-81127,Proposed Wellbore Schematic,pdf
-2665,-81136,Engineering Calculation,pdf
-2665,-81139,BOP & Diverter Schematics with Operating Procedures,pdf
-2665,-81131,Statements,pdf
-2665,-81132,"6"" +10 valve schematic",pdf
-2738,-84073,ABS/DNV Certificate,pdf
-2738,-84068,BOP & Diverter Schematics with Operating Procedures,pdf
-3568,-118159,Engineering Calculation,pdf
-3568,-118165,BOP & Diverter Schematics with Operating Procedures,pdf
-3568,-118187,U.S. Coast Guard Certificate,pdf
-3417,-118140,MMS payment,pdf
-3392,-112127,Application for Permit to Drill,PDF
-3327,-112131,NTL 2006-G09,pdf
-3252,-112265,Hurricane Rig Fitness,pdf
-3447,-112472,<revised wellbore schematic 8-16-06>,pdf
-3461,-115506,Proposed Well Location Plat,pdf
-3461,-116498,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3461,-116491,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3461,-116448,Proposed Wellbore Schematic,pdf
-3461,-116450,Engineering Calculation,pdf
-3468,-112772,Rig Fitness Requirements,pdf
-3065,-112627,Anchor Pattern,pdf
-3065,-112704,Supplemental APD,pdf
-3468,-112774,+10 Ball valve,pdf
-3468,-112802,APD Spreadsheet,pdf
-3468,-112975,Application for Permit to Drill,PDF
-3449,-112979,Application for Permit to Drill,PDF
-3473,-113759,Application for Permit to Drill,PDF
-3507,-114897,8 14 06 Corrected API 95F,pdf
-3507,-114898,Station Keeping Text- Moored Rigs,pdf
-3507,-114899,High Current Procedure,pdf
-3507,-114900,Station Keeping Table - Moored Rigs,pdf
-3518,-115466,Engineering Calculation,pdf
-2739,-83994,<Rig Diverter System>,pdf
-2690,-84002,TYPICAL 6 BALL VALVE,pdf
-2738,-84060,Proposed Well Location Plat,pdf
-2738,-84042,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2665,-81140,Supplemental APD Information Sheet,pdf
-2667,-87310,Proposed Well Location Plat,pdf
-2667,-87311,Directional Program,pdf
-2667,-87312,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2667,-87309,Proposed Wellbore Schematic,pdf
-2667,-87308,Engineering Calculation,pdf
-2667,-87307,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2667,-85477,BOP & Diverter Schematics with Operating Procedures,pdf
-2738,-84914,Proposed Wellbore Schematic,pdf
-2738,-84913,Engineering Calculation,pdf
-3461,-115508,Directional Program,pdf
-3511,-115198,"Supplemental APD with 4-1/2"" liner",pdf
-3518,-115461,Proposed Well Location Plat,pdf
-3518,-115462,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3518,-115463,Directional Program,pdf
-3518,-115464,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3518,-115465,Proposed Wellbore Schematic,pdf
-3461,-115509,BOP & Diverter Schematics with Operating Procedures,pdf
-3478,-113598,Application for Permit to Drill,PDF
-3378,-113672,Application for Permit to Drill,PDF
-3484,-114522,Application for Permit to Drill,PDF
-3518,-115467,BOP & Diverter Schematics with Operating Procedures,pdf
-3476,-115140,Ball Valve Schematic,pdf
-3511,-115154,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3518,-115468,West Delta Block 20 OCS-G25000 Well 001 (Spalding) H2S Plan2,pdf
-3518,-115469,West Delta Block 20 OCS-G25000 Well 001 (Spalding) H2S Plan,pdf
-3518,-115470,WD20 Well 001 ST00BP00 H2S Plan Revision 3,pdf
-3518,-115471,Ensco 86 Rig Fitness,pdf
-2831,-87360,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2831,-88855,Proposed Wellbore Schematic,pdf
-2831,-87353,Engineering Calculation,pdf
-2831,-87348,Proposed Well Location Plat,pdf
-2831,-87350,Directional Program,pdf
-2831,-87351,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2831,-87354,BOP & Diverter Schematics with Operating Procedures,pdf
-2831,-87355,MMS Operating Statements,pdf
-2831,-87356,Public Information Plat,pdf
-2853,-88072,Proposed Well Location Plat,pdf
-2853,-88073,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2853,-88074,Directional Program,pdf
-2853,-88075,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2853,-88076,Proposed Wellbore Schematic,pdf
-2853,-88077,Engineering Calculation,pdf
-2853,-88078,BOP & Diverter Schematics with Operating Procedures,pdf
-2853,-88079,Statements,pdf
-2853,-88080,"6"" +10 valve schematic",pdf
-2853,-88081,Supplemental APD Information Sheet,pdf
-2853,-88084,Operator Statement in response to NTL No. 2006-G09,pdf
-2854,-88085,Proposed Well Location Plat,pdf
-2854,-88086,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2854,-88087,Directional Program,pdf
-2854,-88088,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2854,-88089,Proposed Wellbore Schematic,pdf
-2526,-76118,MMS 123S Attachment,pdf
-2577,-77881,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2534,-76261,Proposed Well Location Plat,pdf
-2534,-76256,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2534,-76262,Directional Program,pdf
-2534,-76263,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2534,-76260,Proposed Wellbore Schematic,pdf
-2534,-76268,Safe Welding Area Drawing,pdf
-2534,-76266,ABS/DNV Certificate,pdf
-2534,-76257,Engineering Calculation,pdf
-2534,-76265,Departure List,pdf
-2534,-76264,BOP & Diverter Schematics with Operating Procedures,pdf
-2534,-76267,U.S. Coast Guard Certificate,pdf
-2534,-76269,Rig Picture and Drawing,pdf
-2554,-77317,EC 73 B2ST1BP1 Proposed Drilling WB Schematic,pdf
-2560,-77402,Proposed Well Location Plat,pdf
-2560,-77403,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2560,-77404,Directional Program,pdf
-2560,-77405,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2560,-77406,Proposed Wellbore Schematic,pdf
-2560,-77407,Engineering Calculation,pdf
-2560,-77408,BOP & Diverter Schematics with Operating Procedures,pdf
-2560,-77409,Public Copy of Location Plat,pdf
-2560,-77410,+10 Valve Schematic,pdf
-2562,-78013,EPA Notice of Intent (NOI) for Discharges,pdf
-2583,-78458,Supplemental APD Form,pdf
-2568,-77682,Proposed Well Location Plat,pdf
-2568,-77684,Directional Program,pdf
-2568,-77685,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2568,-77686,Proposed Wellbore Schematic,pdf
-2568,-77687,ABS/DNV Certificate,pdf
-2568,-77688,Engineering Calculation,pdf
-2568,-77748,BOP & Diverter Schematics with Operating Procedures,pdf
-2568,-77690,EPA - Notice of Intent for Coverage,pdf
-2568,-77691,"16-3/4"" BOP Schematic",pdf
-2568,-77692,Additional Safety Remarks,pdf
-2590,-78601,Proposed Well Location Plat,pdf
-2590,-78598,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2590,-78602,Directional Program,pdf
-2590,-78603,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2590,-78600,Proposed Wellbore Schematic,pdf
-2590,-80115,Engineering Calculation,pdf
-2526,-76105,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2526,-76102,Proposed Wellbore Schematic,pdf
-2526,-76110,Safe Welding Area Drawing,pdf
-2526,-76108,ABS/DNV Certificate,pdf
-2526,-76155,Engineering Calculation,pdf
-2526,-76107,Departure List,pdf
-2526,-76106,BOP & Diverter Schematics with Operating Procedures,pdf
-2526,-76109,U.S. Coast Guard Certificate,pdf
-2526,-76111,Rig Picture and Drawing,pdf
-2528,-76080,Proposed Well Location Plat,pdf
-2745,-84192,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2568,-78460,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2590,-78518,BOP & Diverter Schematics with Operating Procedures,pdf
-2590,-78519,EPA NOI,pdf
-2575,-78740,Revised drilling procedure,pdf
-2745,-84189,Proposed Well Location Plat,pdf
-2745,-84190,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2745,-84191,Directional Program,pdf
-2745,-84193,Proposed Wellbore Schematic,pdf
-2745,-84194,Safe Welding Area Drawing,pdf
-2745,-84195,ABS/DNV Certificate,pdf
-2745,-84196,Engineering Calculation,pdf
-2745,-84197,Departure List,pdf
-2745,-84198,BOP & Diverter Schematics with Operating Procedures,pdf
-2745,-84199,U.S. Coast Guard Certificate,pdf
-2745,-84200,Revised WBS_04-13-06,pdf
-2770,-86030,Application for Permit to Drill,PDF
-2876,-90063,Application for Permit to Drill,PDF
-2884,-90109,Application for Permit to Drill,PDF
-2934,-91295,Application for Permit to Drill,PDF
-2956,-92418,Proposed Well Location Plat,pdf
-2956,-92420,Directional Program,pdf
-2956,-92422,Proposed Wellbore Schematic,pdf
-2949,-92174,Revised MMS 123S ( 5 31 06),pdf
-2949,-92175,Revised Wellbore Schematic ( 05 31 06),pdf
-2956,-92423,ABS/DNV Certificate,pdf
-2956,-92425,BOP & Diverter Schematics with Operating Procedures,pdf
-2956,-92426,Strat Column,pdf
-2956,-92428,+10 Ball Valve,pdf
-2956,-92624,Rig Fitness Requirements,pdf
-2956,-92430,Cross Section,pdf
-2956,-92431,EPA_NOI,pdf
-2956,-92448,APD Sheet,pdf
-2975,-93715,Proposed Well Location Plat,pdf
-2975,-95597,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2975,-93716,Directional Program,pdf
-2975,-92883,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2975,-95591,Proposed Wellbore Schematic,pdf
-2975,-92882,Engineering Calculation,pdf
-2975,-95592,BOP & Diverter Schematics with Operating Procedures,pdf
-2974,-92835,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2961,-92485,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2859,-92536,Supplemental APD,pdf
-2962,-92538,Proposed Well Location Plat,pdf
-2962,-92539,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2962,-92540,Directional Program,pdf
-2962,-92541,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2962,-92542,Proposed Wellbore Schematic,pdf
-2962,-92543,Engineering Calculation,pdf
-2962,-92544,BOP & Diverter Schematics with Operating Procedures,pdf
-3241,-103133,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3241,-103134,Directional Program,pdf
-3241,-103135,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3241,-103136,Proposed Wellbore Schematic,pdf
-3241,-103137,Engineering Calculation,pdf
-3241,-103139,EC 348 #1 Barite Sack Calculations,pdf
-3241,-103140,VR 348 #1 Compliance NTL 2006 G09,pdf
-3241,-103141,VR 348 #1 Mudline Tree Installation Schematic,pdf
-3245,-103239,Departure List,pdf
-3194,-101637,Application for Permit to Drill,PDF
-3122,-98644,Directional Program,pdf
-3183,-100620,Application for Permit to Drill,PDF
-3548,-117269,BOP & Diverter Schematics with Operating Procedures,pdf
-3554,-117525,Proposed Well Location Plat,pdf
-3345,-107858,Proposed Well Location Plat,pdf
-3206,-109054,Application for Permit to Drill,PDF
-3383,-109056,Application for Permit to Drill,PDF
-3425,-111143,Public Information Location Plat,pdf
-3204,-101551,Proposed Well Location Plat,pdf
-3204,-101552,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3204,-101553,Directional Program,pdf
-3204,-101554,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3204,-101555,Proposed Wellbore Schematic,pdf
-3204,-101556,Engineering Calculation,pdf
-3204,-101557,BOP & Diverter Schematics with Operating Procedures,pdf
-3204,-101558,<+10 VALVE DRAWING>,pdf
-3204,-101559,API RP95 J APPENDICES,pdf
-3460,-112658,Application for Permit to Drill,PDF
-3511,-115623,Application for Permit to Drill,PDF
-3521,-115758,SM 80 A2ST Current WB Schematic,pdf
-3050,-116029,Appendix B: 10 Year Hurricane Intact & Damaged,pdf
-3050,-116030,Exhibit 95F,pdf
-3050,-116031,Motion Mooring Analysis,pdf
-3487,-116079,Application for Permit to Drill,PDF
-3521,-116104,Application for Permit to Drill,PDF
-3518,-116272,Application for Permit to Drill,PDF
-3507,-116299,Application for Permit to Drill,PDF
-3050,-116103,Supplemental Info Sheet,pdf
-3431,-111669,WC 342 #1 Barite Sack Calculations,pdf
-3392,-112121,WD20 Well 001 ST00BP00 H2S Plan Revision 3,pdf
-3460,-112502,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3460,-112505,Directional Program,pdf
-3460,-112510,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3460,-112504,Proposed Wellbore Schematic,pdf
-3460,-112503,Engineering Calculation,pdf
-3447,-112780,Application for Permit to Drill,PDF
-3043,-96679,EPA Coverage,pdf
-2999,-96706,API Moored Drilling Rig Fitness Reqmts (NTL No. 2006-G10),pdf
-3080,-97014,Compliance Plan for NTL 2006-G09,pdf
-3241,-103177,BOP & Diverter Schematics with Operating Procedures,pdf
-3245,-103232,Proposed Well Location Plat,pdf
-3245,-103233,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3245,-103234,Directional Program,pdf
-3245,-103235,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3245,-103236,Proposed Wellbore Schematic,pdf
-3245,-103237,ABS/DNV Certificate,pdf
-3245,-103238,Engineering Calculation,pdf
-3245,-103240,BOP & Diverter Schematics with Operating Procedures,pdf
-3245,-103241,Suction Pile Lay Out 3506-MP-02 (Polyester System)1,pdf
-3245,-103242,Frieisan Weather  Mooring Operating Criteria Nautilus,pdf
-3245,-103243,Nautilus depth rating approval to drill well,pdf
-3245,-103244,123S sheet,pdf
-3075,-100270,NTL 2006-G09 Checklist for Ocean Champion,pdf
-3372,-108382,EEP,pdf
-3195,-101185,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3193,-101136,Pore Pressure/Mud Weight/Frac Gradient Chart,pdf
-3190,-101104,WC 264 #1 Barite Sack Calculations,pdf
-3195,-101184,Proposed Well Location Plat,pdf
-3195,-101186,Directional Program,pdf
-3195,-101187,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3195,-101201,Proposed Wellbore Schematic,pdf
-3195,-101189,Engineering Calculation,pdf
-3195,-101190,BOP & Diverter Schematics with Operating Procedures,pdf
-3195,-101191,VR 250 EPA Ltr of Intent,pdf
-3195,-101192,VR 250 I-1ST Barite Sack Calculations,pdf
-3198,-101372,VR 250 #I-1ST Current-Proposed WB schematic 07-07-06,pdf
-3200,-101610,Proposed Well Location Plat,pdf
-3200,-101536,Directional Program,pdf
-3200,-101537,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3200,-101534,Proposed Wellbore Schematic,pdf
-3200,-101538,BOP & Diverter Schematics with Operating Procedures,pdf
-3829,-129916,Application for Permit to Drill,PDF
-3200,-101541,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3200,-101542,Engineering Calculation,pdf
-3478,-113499,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4058,-139974,APD Information Sheet,pdf
-4058,-139969,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-4058,-139963,BOP & Diverter Schematics with Operating Procedures,pdf
-4033,-138979,Supplemental APD Information Sheet,pdf
-4022,-139105,Supplemental APD Information Sheet,pdf
-4058,-140442,Proposed Well Location Plat,pdf
-4058,-139951,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4058,-139956,Directional Program,pdf
-4058,-139954,Proposed Wellbore Schematic,pdf
-4058,-139952,Engineering Calculation,pdf
-4065,-140325,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4077,-141255,Directional Program,pdf
-4077,-141257,Proposed Wellbore Schematic,pdf
-4077,-141253,Proposed Well Location Plat,pdf
-4077,-141254,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4077,-141256,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-4077,-141258,Engineering Calculation,pdf
-4077,-141259,BOP & Diverter Schematics with Operating Procedures,pdf
-4067,-140549,Proposed Well Location Plat,pdf
-4067,-140551,Directional Program,pdf
-4067,-140552,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-4067,-140556,EPA NPDES Notice of Intent,pdf
-4067,-140557,+10 Valve Schematic,pdf
-4067,-140558,Mud Disposal & Zone Protection Statements,pdf
-4067,-140559,Engineering Justification for Conductor Liner,pdf
-4067,-140560,IEP Approval Ltr with Base Map,pdf
-3461,-116451,+10' Valve,pdf
-3461,-116452,Supplemental APD Form,pdf
-4067,-140601,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4067,-140611,Proposed Wellbore Schematic,pdf
-4067,-140602,Engineering Calculation,pdf
-4067,-140579,BOP & Diverter Schematics with Operating Procedures,pdf
-3613,-120572,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3613,-120573,Directional Program,pdf
-3608,-120562,Ewell payment receipt,pdf
-3613,-120571,Proposed Well Location Plat,pdf
-3608,-120185,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3608,-120186,Proposed wellbore schematic,pdf
-3587,-120360,PP MW FG chart,pdf
-3589,-119320,Application for Permit to Drill,PDF
-3613,-120574,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3613,-120575,Proposed Wellbore Schematic,pdf
-3613,-120576,Engineering Calculation,pdf
-3613,-120577,BOP & Diverter Schematics with Operating Procedures,pdf
-3052,-99384,Application for Permit to Drill,PDF
-3197,-101320,Proposed Well Location Plat,pdf
-3197,-112095,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3197,-101321,Directional Program,pdf
-3197,-101322,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3197,-101318,Proposed Wellbore Schematic,pdf
-3197,-101343,Safe Welding Area Drawing,pdf
-3197,-101338,ABS/DNV Certificate,pdf
-3197,-112096,Engineering Calculation,pdf
-3197,-106937,Departure List,pdf
-3197,-101342,U.S. Coast Guard Certificate,pdf
-3197,-101350,MMS 123S Attachment,pdf
-3197,-101352,Shallow Gas Contingency,pdf
-3197,-101365,Station Keeping Text- Moored Rigs,pdf
-3043,-101596,Application for Permit to Drill,PDF
-3067,-101625,Application for Permit to Drill,PDF
-3223,-102493,Application for Permit to Drill,PDF
-3200,-102577,Application for Permit to Drill,PDF
-2981,-104910,Application for Permit to Drill,PDF
-3052,-97826,ENSCO 84 - Rig Fitness,pdf
-3105,-97858,Supplemetn to NTL 2006-G09,pdf
-3306,-105915,Application for Permit to Drill,PDF
-3334,-106894,Application for Permit to Drill,PDF
-3340,-107368,Application for Permit to Drill,PDF
-3339,-107371,Application for Permit to Drill,PDF
-3345,-107488,SM 80 A2ST Compliance NTL 2006 G09,pdf
-3352,-107531,Proposed Well Location Plat,pdf
-3352,-107532,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3352,-107533,Directional Program,pdf
-3352,-107534,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3352,-107535,Proposed Wellbore Schematic,pdf
-3352,-107536,Engineering Calculation,pdf
-3352,-107537,BOP & Diverter Schematics with Operating Procedures,pdf
-3352,-107538,Ensco 86 Rig Fitness,pdf
-3352,-107539,West Delta Block 20 OCS-G25000 Well 001 (Spalding) H2S Plan,pdf
-3352,-107554,Application for Permit to Drill,PDF
-3070,-96590,EC 269 #1 Current WB Schematic 06-20-06,pdf
-2886,-98244,NTL 2006-G09 Checklist for Rowan Alaska,pdf
-3303,-107841,well control issue,pdf
-3105,-97918,Application for Permit to Drill,PDF
-3363,-108037,Pore Pressure Graph,pdf
-3371,-108464,Casing Design Criteria 20060803,pdf
-3372,-108371,Proposed Well Location Plat,pdf
-3372,-108372,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3372,-108373,Directional Program,pdf
-3372,-108374,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3372,-108375,Proposed Wellbore Schematic,pdf
-3372,-108376,Engineering Calculation,pdf
-3372,-108377,Departure List,pdf
-3372,-108378,BOP & Diverter Schematics with Operating Procedures,pdf
-3372,-108379,Proprietary Plat,pdf
-3372,-108380,Form MMS 123S,pdf
-3372,-108381,API Moored Drilling Rig Fitness Reqmts (NTL No. 2006-G10),pdf
-3343,-108702,Ball Valve Schematic,pdf
-3360,-108784,Extreme Weather Plan,pdf
-4077,-141260,APD Information Sheet,pdf
-4077,-141267,ENSCO 90 Diverter & Procedure,pdf
-4077,-141273,21-1/4 BOP Stack,pdf
-4059,-139979,Proposed Well Location Plat,pdf
-4059,-139976,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4059,-139980,Directional Program,pdf
-4059,-139981,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-4059,-139978,Proposed Wellbore Schematic,pdf
-3635,-121886,BOP & Diverter Schematics with Operating Procedures,pdf
-3061,-98992,Application for Permit to Drill,PDF
-2999,-99444,Application for Permit to Drill,PDF
-3147,-99446,Application for Permit to Drill,PDF
-3197,-111699,BOP & Diverter Schematics with Operating Procedures,pdf
-3060,-99733,Application for Permit to Drill,PDF
-3148,-99789,Application for Permit to Drill,PDF
-3326,-106797,Application for Permit to Drill,PDF
-3063,-96512,Application for Permit to Drill,PDF
-4033,-138963,Proposed Well Location Plat,pdf
-4033,-138965,Directional Program,pdf
-4033,-138970,U.S. Coast Guard Certificate,pdf
-4033,-138974,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4033,-138977,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-4033,-138975,Engineering Calculation,pdf
-4033,-138973,Cross Section,pdf
-4022,-139108,Conductor Liner Justification,pdf
-4033,-138978,BOP & Diverter Schematics with Operating Procedures,pdf
-3629,-121626,Application for Permit to Drill,PDF
-3613,-121656,Application for Permit to Drill,PDF
-3632,-121749,U.S. Coast Guard Certificate,pdf
-3632,-121750,Revised Exhibit 95-F,pdf
-3632,-121751,BOP procedures,pdf
-3632,-121752,Extreme Weather Plan,pdf
-3615,-121863,Application for Permit to Drill,PDF
-3635,-121879,Proposed Well Location Plat,pdf
-3635,-121880,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3635,-121881,Directional Program,pdf
-3635,-121882,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3635,-121883,Proposed Wellbore Schematic,pdf
-3635,-121884,Engineering Calculation,pdf
-3635,-121885,Departure List,pdf
-3635,-121887,EPA Coverage,pdf
-3635,-121888,Rig Fitness Requirements,pdf
-3635,-121889,APD Spreadsheet,pdf
-3635,-121890,+10 Ball Valve,pdf
-2886,-98240,Form 123S,pdf
-3138,-98956,Proposed Well Location Plat,pdf
-3138,-98843,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3138,-98836,Proposed Wellbore Schematic,pdf
-3138,-98835,Engineering Calculation,pdf
-3101,-98940,Response to NTL G2006-G09,pdf
-3152,-99450,Proposed Well Location Plat,pdf
-3050,-99085,Current Monitoring,pdf
-3143,-99094,+10 valve,pdf
-3143,-99095,Rig Fitness Report,pdf
-3143,-99100,Public Information Location Plat,pdf
-3148,-99280,Rig Picture and Drawing,pdf
-3617,-121285,Application for Permit to Drill,PDF
-3608,-121385,Application for Permit to Drill,PDF
-4083,-141549,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-4083,-141555,BOP Data,pdf
-3987,-138250,Supplemental APD Info Sheet,pdf
-4033,-139589,Proposed Wellbore Schematic,pdf
-3118,-98089,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3138,-98866,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3138,-98841,Directional Program,pdf
-3138,-98847,BOP & Diverter Schematics with Operating Procedures,pdf
-3148,-99269,Proposed Well Location Plat,pdf
-3148,-99270,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3148,-99271,Directional Program,pdf
-3148,-99272,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3148,-99273,Proposed Wellbore Schematic,pdf
