ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
2015010261,931080,1/8/2015,Frontier Construction,GH2 Pad,,WAYNESBURG,PENNSYLVANIA,15370,39.88,-80.17,211112,0.00,1.00,0.00,1017779,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",60,"Contact with objects and equipment, unspecified",3199,"Agricultural and garden machinery, n.e.c.",,,1
2015010271,931765,1/8/2015,Premium Valve Service,685 Broad Street Extension,,WAVERLY,NEW YORK,14892,42.02,-76.49,213112,1.00,0.00,0.00,,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen.  This injury required hospitalization for two days.",132,"Cuts, lacerations",330,"Abdomen, except internal location of diseases or disorders",4214,Fall on same level due to tripping over self,6620,"Floor, unspecified",,,1
2015010273,931285,1/8/2015,"Basic Energy Services, L.P.",SK E. MRS #174,,SARITA,TEXAS,78385,27.15,-97.69,213112,1.00,0.00,0.00,,"Employee was working from the derrick monkey board latching and unlatching tubing. As he was unlatching the elevator that has horns and a locking mechanism, the employee's harness got caught on the horns. The horns pulled the harness and pulled him down causing small fractures in his knees that required surgery.",111,Fractures,512,Knee(s),6329,"Struck against stationary object or equipment, n.e.c.",345,Derricks and related equipment,,,1
2015010296,931303,1/8/2015,Halliburton Energy Services,101 Holt Road,,VICTORIA,TEXAS,77905,28.84,-96.90,213112,0.00,1.00,0.00,1019168,"On January 8, 2015 at 10:15pm, an employee was cleaning/unclogging an automatic in-line cement powder sampler.  He used his finger to verify there was no longer a clog and the sampler actuated amputating the tip of the third finger on the employee's left hand.",1311,Amputations,4422,Fingertip(s),6411,"Caught in running equipment or machinery during maintenance, cleaning ",799,"Tools, instruments, and equipment, n.e.c.",,,1
2015010318,937048,1/9/2015,Side Winder Drilling,"Rig #206, Bodine A, Well #174B, Reagan County",,MIDLAND,TEXAS,79701,31.99,-102.08,211111,0.00,1.00,0.00,,"On or about January 9, 2015, an employee slipped on ice on the rig floor. He put his right hand out to break his fall. His right index finger was caught between the stump and the Kelly ripping skin off the fingertip. 
The employee was treated an his hand was wrapped in gauze and he returned to work. On or about January 19, 2015, he had surgery and the finger was amputated at the first joint.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",4111,Slip on substance without fall,562,"Bodily motion or position of injured, ill worker",9273,"Ice, sleet, snow",1
2015010325,931634,1/9/2015,Propetrol Services Inc.            ,Mabee 139-202 HA,,MIDLAND,TEXAS,79701,31.99,-102.08,213112,0.00,1.00,0.00,,"On or about January 9, 2014 at about 0535 hrs an employee of Propetrol Services Inc. was repairing a pump at the Mabee 139-202 HA well site 10 miles north of Midland Texas. When he reached into the pump to repair a faulty plunger, the unit ""kicked"" and amputated the tip of his right middle finger. He was driven to Medical Center Hospital in Odessa Texas where the prognosis was that the flesh portion not the bone will be amputated.",1311,Amputations,4422,Fingertip(s),6411,"Caught in running equipment or machinery during maintenance, cleaning ",3797,Pumps,,,1
2015010363,931579,1/11/2015,Ray's Services LLC,Anderson well site 1-4-H,,WILLISTON,NORTH DAKOTA,58801,48.16,-103.64,213112,1.00,0.00,0.00,,"Employee slipped on ice and broke femur while working on well site in the vicinity of the Anderson 1-4-H location near Williston, North Dakota.",111,Fractures,511,Thigh(s),40,"Fall, slip, trip, unspecified ",660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow",1
2015010364,931552,1/11/2015,Cudd Pressure Control Inc. ,Well Site CNX NV34 ,Mount Zion Road,PROSPERITY,PENNSYLVANIA,15329,40.03,-80.27,211111,1.00,0.00,0.00,1018342,Employee was injured when he fell 20-40 feet from an elevated man-lift.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4337,Other fall to lower level more than 30 feet,3463,Manlifts,,,1
2015010399,932810,1/12/2015,"Total Corrosion Management, LLC",4001 Homestead Rd.,,HOUSTON,TEXAS,77028,29.79,-95.30,213112,1.00,0.00,0.00,,"The employee was attempting to rig a steel beam with a chain sling and overhead crane. While attempting to rig this elevated beam, it fell towards the employee. The employee tried to brace/stop the beam with his hand and the fore of the beam pushed him back, striking his face and chest as well, knocking him into another steel beam.  The employee was admitted to the hospital with a broken wrist. Surgery was performed to correct the injury to the employee's wrist. 

The injury occurred in the Welding/Fabrication shop.",111,Fractures,43,Wrist(s),6269,"Struck by swinging or slipping object, other than handheld, n.e.c.",4133,Beams-unattached metal,,,1
2015010401,932121,1/12/2015,Helmerich & Payne Intl. Drilling,Rig 302 four corners Wilsons Corner,,ODESSA,TEXAS,79762,31.89,-102.35,211111,1.00,0.00,0.00,,Employee was breaking a bolt with a crescent wrench and it slipped.  The employee fell back and rolled onto the leg fracturing the ankle.,111,Fractures,52,Ankle(s),429,"Fall on same level, n.e.c. ",660,"Floors, walkways, ground surfaces, unspecified",7173,Wrenches-nonpowered,1
2015010411,932417,1/12/2015,Duke Drilling Co Inc,section 220 block35,,DUMAS,TEXAS,79029,35.86,-101.96,211111,0.00,1.00,0.00,,Employee was removing a flow line from preventer to mud tank.  The flow line pinched the employee's finger between the flange and the BOP causing the amputation.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",640,"Caught in or compressed by equipment or objects, unspecified",9999,Nonclassifiable,,,1
2015010181,932139,1/13/2015,XTO Energy Inc.,245 Private Road 7651,,HAWKINS,TEXAS,75765,32.69,-95.20,211112,1.00,0.00,0.00,,An employee slipped on a step and fell forward injuring both knees.,1972,"Soreness, pain, hurt-nonspecified injury",512,Knee(s),4210,"Fall on same level due to tripping, unspecified",6610,"Stairs, steps, unspecified",,,1
2015010417,932319,1/13/2015,"Legendary Field Services, LLC",QEP 16-32b Quad Pad near Mandaree,,MANDAREE,NORTH DAKOTA,58757,47.73,-102.67,213112,1.00,0.00,0.00,1021183,"On January 13, 2015, the employees were in the process of changing a heater treater tube. The leaking fluid ignited causing severe burn injuries. One employee was sent to the Minnesota burn unit. ",1520,"Heat (thermal) burns, unspecified",9999,Nonclassifiable,317,"Ignition of vapors, gases, or liquids",160,"Coal, natural gas, petroleum fuels and products, unspecified",,,1
2015010425,934283,1/13/2015,"Key Energy Services, LLC",Razor 27-3414H,,NEW RAYMER,COLORADO,80742,40.64,-103.85,213112,1.00,0.00,0.00,1020325,"An employee was injured and admitted to the hospital due to being struck by equipment during the movement of pipe while working on a work-over rig in Northeast Colorado. The accident occurred on November 13, 2015 at approximately 1:20 pm.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,620,"Struck by object or equipment, unspecified",70,"Tools, instruments, and equipment, unspecified",,,1
2015010438,931882,1/13/2015,ENERGY DRILLING COMPANY,9999 Unknown,,RUSK,TEXAS,75785,31.80,-95.16,213111,0.00,1.00,0.00,,An employee was making a connection with a drill fork when the speeding wrench struck the left hand smashing the middle finger on that hand.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6252,Injured by slipping or swinging object held by injured worker,7352,Wrenches-power not determined,,,1
2015010441,932618,1/14/2015,Ensign Energy; Well Services Division,Weld Cty Rd 74 & Weld Cty Rd 55 1/10 South 20 Ft West 100ft South into Location,Rig # 356,GALETON,COLORADO,80622,40.53,-104.45,213112,1.00,0.00,0.00,1021568,"On 1/14/2015 at approximately 11:23a.m. an employee was using a blow down system on a National 340 pump to blow out water in the hard line. Once the 4 inch suction hose was drained, the suction hose was disconnected and a cam lock was placed on the suction hose coming from the pump. The four inch butterfly valve for the suction was left open allowing air to pressure up against the cam lock cap. The employee used this system to build air and blow down the fluid in the tubing line to the tank. The employee was standing in front of the manifold and slightly to the right approximately one foot away. When the employee opened up the manifold, the cam lock cap popped free hitting him in the shin.",1972,"Soreness, pain, hurt-nonspecified injury",513,Lower leg(s),6241,"Struck by dislodged flying object, particle",4919,"Caps, lids, covers, n.e.c.",,,1
2015010448,932326,1/14/2015,D.C. Rauscher Company,89 Main Street,Route 220,ULSTER,PENNSYLVANIA,18850,41.86,-76.48,213112,1.00,1.00,0.00,1019110,"An employee was unjamming a stuck granulated salt spreader used on the back of a truck to salt roads.  The employee reached into the impeller and chain components while the machine was running and something grabbed his right hand and amputated his right index finger past the nail bed, but before the first joint.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6411,"Caught in running equipment or machinery during maintenance, cleaning ",3999,"Machinery, n.e.c.",,,1
2015010478,933774,1/15/2015,"Keystone Clearwater Solutions, LLC",238 Brownsville Road,,BUTLER,PENNSYLVANIA,16002,40.81,-79.80,213112,1.00,0.00,0.00,,"Frac technicians conducting monitoring operations on water levels of gauging tanks during oil and gas drilling operations are potentially overexposed to air contaminants and respiratory irritants such as chlorine, hydrogen sulfide, and benzene.  Recently, an employee was admitted to the hospital for observation and treatment after suffering from an extreme coughing episode after working a monitoring shift at the worksite.  A second employee was treated and released.",5169,"Symptoms involving respiratory system and chest, n.e.c.",311,"Internal chest location, unspecified",5521,Inhalation of harmful substance-single episode,1311,"Chlorine, chlorine bleach",1231,Benzene,1
2015010506,932757,1/15/2015,Sheridan Production Company ,McClung 3-24,,LAVERNE,OKLAHOMA,73848,36.70,-99.89,213112,1.00,0.00,0.00,,Employee burned by flash fire at pumping station while adjusting compressor.,1520,"Heat (thermal) burns, unspecified",9999,Nonclassifiable,317,"Ignition of vapors, gases, or liquids",160,"Coal, natural gas, petroleum fuels and products, unspecified",,,1
2015010522,933129,1/16/2015,"Di-Trol Systems, Inc.",Old Stratton Compressor Station,King Ranch,KINGSVILLE,TEXAS,78364,27.52,-97.86,213112,1.00,0.00,0.00,,Employee received an electric shock when he placed his wrench near an energized bolt on a conductor he was removing.,193,"Electrocutions, electric shocks",6,BODY SYSTEMS,5120,"Indirect exposure to electricity, unspecified",7352,Wrenches-power not determined,,,1
2015010526,933022,1/16/2015,Patterson-UTI Drilling Company LLC ,844 Bob White Road,,VICTORIA,TEXAS,77905,28.78,-97.09,213111,1.00,0.00,0.00,,"Employee was tightening a strap used to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing the maxilla bone.",111,Fractures,1369,"Mouth, n.e.c.",620,"Struck by object or equipment, unspecified",7192,Crowbars,,,1
2015010541,935693,1/16/2015,Riverside Welding,Oasis Petroleum Hynek Central Tank Battery,,STANLEY,NORTH DAKOTA,58784,48.34,-102.39,213112,2.00,0.00,0.00,1022022,Two employees were burned when a bubble tower exploded creating a flash fire during maintenance work on a well site.,1520,"Heat (thermal) burns, unspecified",9999,Nonclassifiable,317,"Ignition of vapors, gases, or liquids",160,"Coal, natural gas, petroleum fuels and products, unspecified",2129,"Containers-pressurized, n.e.c.",1
2015010563,933206,1/17/2015,Select Energy Services,On county rd. 21; b/t 58 & 59; s. of Highway 2,,TIOGA,NORTH DAKOTA,58852,48.38,-102.93,213112,1.00,0.00,0.00,,Employee was taking out a 10-inch hose to get water ready for the frac operation when he was struck by the hose on his ankle.  The employee flipped and fell on his head.  He bled from the left ear and suffered a closed fracture behind his left ear and internal bleeding on the brain.,1681,Skull fracture and intracranial injury,118,Multiple cranial region locations,429,"Fall on same level, n.e.c. ",660,"Floors, walkways, ground surfaces, unspecified",2122,Hoses,1
2015010568,933241,1/17/2015,"Black Creek Well Services, L.P.",18615 Tuscany Stone,Suite 300,SAN ANTONIO,TEXAS,78258,29.62,-98.51,213112,1.00,0.00,0.00,,"Employee was injured while performing a ""cold cut"" on a 6"" metal pipe of a gathering system. Employee was burned on the face, both arms, and knees. Employee was using a striker from the welding equipment and possibly ignited natural gas.",1520,"Heat (thermal) burns, unspecified",899,"Multiple body parts, n.e.c.",317,"Ignition of vapors, gases, or liquids",162,Natural gas,7399,"Handtools-power not determined, n.e.c.",1
2015010569,933265,1/17/2015,"Black Creek Well Services, L.P.",18615 Tuscany Stone,Suite 300,SAN ANTONIO,TEXAS,78258,29.62,-98.51,213112,1.00,0.00,0.00,,"At the Hat Creek Production Pad, an employee slipped when climbing down a fixed ladder of a heater treater. The employee fell from an approximate height of 6' onto the ground. The employee was hospitalized for a period of 2 days at Southwest General Hospital.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,741,Ladders-fixed,562,"Bodily motion or position of injured, ill worker",1
2015010596,933562,1/19/2015,Handi-Foil Corp.,135 E. HINTZ RD.,,WHEELING,ILLINOIS,60090,42.12,-87.91,332999,0.00,1.00,0.00,,"An employee was helping another employee line up two heating plates that weighed approximately 2,000 pounds. The second employee signaled the forklift operator to set the plate down. When the forklift operator lowered the plate too quickly, the injured employee could not get his left thumb out of the way, causing the tip of his thumb to be amputated between the plates.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",629,"Struck by object or equipment, n.e.c.",4135,"Metal plates, metal panels",,,1
2015010597,933114,1/19/2015,"Zeco Equipment, LLC",Longitude 48.06.00 North /Latitude 102.28.042 West,"South of Stanley, North Dakota",STANLEY,NORTH DAKOTA,58784,48.34,-102.39,213112,1.00,0.00,0.00,1022000,An employee suffered a back injury when a hopper that was being lifted by a forklift fell on the employee.,1972,"Soreness, pain, hurt-nonspecified injury",320,"Back, including spine, spinal cord, unspecified",6233,Struck by object falling from vehicle or machinery-other than vehicle part,219,"Containers, n.e.c.",8621,"Forklift, order picker, platform truck-powered",1
2015010599,933633,1/19/2015,Atlas Oil,3110 E 3rd Avenue,,TAMPA,FLORIDA,33602,27.95,-82.45,424720,1.00,0.00,0.00,,"An employee delivering fuel unhooked the metal cable across the driveway to enter the facility.  When he was going back to the truck, he got caught up in the cable, tripped, and fell.  He was hospitalized with a fractured hip.",111,Fractures,341,Hip(s),4213,Fall on same level due to tripping over an object ,4226,"Wire, cables-nonelectrical",,,1
2015010658,934969,1/21/2015,Rock Water Energy,14063 Country Lane,,WILLISTON,NORTH DAKOTA,58801,48.24,-103.57,213112,1.00,0.00,0.00,,At 9:00AM an employee was working on an oil field energy services tanker removing a camlock cap.  Pressure was on the cap when it was removed. It blew off and struck the employee in the face injuring his jaw and damaging his teeth.  The employee was transferred to different hospitals before receiving treatment. The employee was hospitalized one night in Bismarck.,1972,"Soreness, pain, hurt-nonspecified injury",1368,Multiple mouth locations,6241,"Struck by dislodged flying object, particle",4919,"Caps, lids, covers, n.e.c.",9213,Pressurized air-blast,1
2015010670,933726,1/21/2015,Unit Drilling Company,Daisy 2411 1-27H,,,OKLAHOMA,,36.75,-98.35,213111,1.00,1.00,0.00,1022307,"On 1/21/15 at about 16:20 pm a worker was hit by the tongs on his right arm, chest, and leg.  He was transported to OU Medical Center where his right hand was amputated.  Immediately before the accident the drilling line was stuck.  The snub line connected to the tongs snapped causing the tongs to swing around and hit the worker.",1311,Amputations,449,"Hand(s), n.e.c.",6269,"Struck by swinging or slipping object, other than handheld, n.e.c.",3244,Oil drilling rigs and machinery,,,1
2015010674,934637,1/21/2015,"Cal - Ill Gasket Co., Inc.",4712-16 W. Rice St.,,CHICAGO,ILLINOIS,60651,41.89,-87.74,339991,1.00,0.00,0.00,1024230,"While rethreading a wire former, employee suffered a severe left hand injury to all four fingers, resulting in employee hospitalization.",1972,"Soreness, pain, hurt-nonspecified injury",4420,"Finger(s), fingernail(s), unspecified",60,"Contact with objects and equipment, unspecified",3510,"Bending, rolling, shaping machinery, unspecified",,,1
2015010676,934239,1/22/2015,Casing Crews Incorporated,Pile 1-24H,,CRESCENT,OKLAHOMA,73028,35.93,-97.60,213112,1.00,0.00,0.00,1021048,"On January 22, 2015, at about 8:30 pm, a casing trough was being loaded by a forklift to a truck.  The trough slid off the forks and struck the employee at the midsection of his stomach.  He was pinned between the trough and a pipe rack.  The employee was admitted to OU Medical Center in Oklahoma City around midnight on 1/22/15.",1972,"Soreness, pain, hurt-nonspecified injury",331,"Internal abdominal location, unspecified",642,Compressed or pinched by shifting objects or equipment,2118,"Tanks, bins, vats-nonconfined space",2214,Racks-garment and other,1
2015010678,934245,1/22/2015,"1st Rate Energy Services, Inc.",Rodney 1-14H,,WILLISTON,NORTH DAKOTA,58801,48.16,-103.64,213112,1.00,0.00,0.00,,An employee suffered a severe struck-by injury from a bull plug and gauge while repairing the bull plug.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,620,"Struck by object or equipment, unspecified",499,"Parts and materials, n.e.c.",,,1
2015010693,934054,1/22/2015,Nabors Completion and Production Services Company,406 and 404 Ambassador Row,,LONGVIEW,TEXAS,75604,32.52,-94.80,211111,0.00,1.00,0.00,,Employee was using a 10 lb. sledge hammer to tighten a hammer union.  The employee missed and caught his right index finger between the handle of the hammer and a valve handle.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6252,Injured by slipping or swinging object held by injured worker,7154,"Sledges, sledgehammers",,,1
2015010696,934253,1/22/2015,Snubco USA LLC,199 Corporate Rd,,LONGVIEW,TEXAS,75603,32.38,-94.70,213111,1.00,0.00,0.00,,"The employee was in a snubbing basket. Upon exiting, the employee slid down the emergency fire pole, lost his grip, and fell.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",6359,"Towers, poles, n.e.c.",,,1
2015010700,934137,1/22/2015,Baker Hughes Oilfield,Klondike Road,,MIDDLEBOURNE,WEST VIRGINIA,26149,39.49,-80.90,213112,1.00,0.00,0.00,1021768,"On January 22, 2015, an employee was hospitalized after falling 12 feet to the ground through a 2' x 3' opening in a centrifuge stand.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4323,Fall through surface or existing opening 11 to 15 feet ,6621,Existing floor opening ,6399,"Structures, n.e.c.",1
2015010720,934431,1/23/2015,Wyoming Casing Service,"TWP 27S, R 35W, sect. 36",,ULYSSES,KANSAS,67880,37.58,-101.34,213112,1.00,0.00,0.00,1020640,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though his lanyard was attached. His face hit the standpipe of the derrick and the 3 foot fall injured his back.",1972,"Soreness, pain, hurt-nonspecified injury",320,"Back, including spine, spinal cord, unspecified",4331,Other fall to lower level less than 6 feet,345,Derricks and related equipment,775,"Lifelines, lanyards, safety belts, harnesses",1
2015010726,934705,1/23/2015,Key Energy Services Incorporated,well site,,WINNSBORO,TEXAS,75494,32.95,-95.28,213111,1.00,0.00,0.00,,"A crew of employees was performing workover services. The crew was attempting to break out a crossover sub, on top of the casing scraper, using tongs. The employee was using a 36-inch wrench on top of the tongs. The tong operator engaged the tong before the employee removed his hand. The tong pinched the employee's finger between the tong and the wrench. The employee lost the fingertip of his right middle finger.",1311,Amputations,4422,Fingertip(s),642,Compressed or pinched by shifting objects or equipment,7254,Tongs-powered,7352,Wrenches-power not determined,1
2015010734,934442,1/23/2015,Key Energy Services,Unknown,,STUART,OKLAHOMA,74570,34.98,-96.20,211111,0.00,1.00,0.00,,"While the employees were picking up tubing, a worker grabbed the bell and pulled it back.  The elevator slipped and caught his finger between the horn's elevator and the bottom of the bell.  His middle finger was amputated from the finger nail to the first knuckle of the finger.  He was taken to the hospital, treated and released.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,4129,"Pipes, ducts, tubing, n.e.c.",439,"Hoisting accessories, n.e.c.",1
2015010736,934704,1/23/2015,Saxon Drilling LP,Rig 146,,GARDEN CITY,KANSAS,67846,37.97,-100.85,213111,0.00,1.00,0.00,,Employee was working on a can wrench without the lock out/tag out system in place. The jaws of the machine opened and retracted smashing and amputating the tip of the middle finger on his left hand.,1311,Amputations,4422,Fingertip(s),6412,Caught in running equipment or machinery during regular operation,3999,"Machinery, n.e.c.",,,1
2015010739,934571,1/23/2015,"Childers Trucking, Inc. ",Unit Drilling Rig 123,,WATFORD CITY,NORTH DAKOTA,58854,47.81,-103.23,213112,1.00,0.00,0.00,,An employee fell approximately 16 feet from the stairway of a drilling rig onto the ground below. The employee suffered multiple fractures and a collapsed lung. ,1839,"Fractures and other injuries, n.e.c.",80,"Multiple body parts, unspecified",4334,Other fall to lower level 16 to 20 feet,6612,"Stairs, steps-outdoors",,,1
2015010806,934744,1/26/2015,Globe Energy Services,"Levelland Unit 688, Hockley County",,LEVELLAND,TEXAS,79336,33.58,-102.36,213112,1.00,0.00,0.00,,"The employee, walking across a muddy location, slipped and twisted his left ankle and broke his fibula near the ankle.",111,Fractures,513,Lower leg(s),4111,Slip on substance without fall,562,"Bodily motion or position of injured, ill worker",555,Mud,1
2015010807,935113,1/26/2015,Nera Oilfield Services,Rural work location,,WATFORD CITY,NORTH DAKOTA,58854,47.81,-103.23,213112,1.00,0.00,0.00,,"Two employees were pressure washing mud tanks.  The injured employee slipped and grabbed the end of the wand barrel.  He then came into contact with the pressurized water, resulting in a laceration on his leg.  The water was considered dirty which led to a hospitalization as a precautionary measure.",132,"Cuts, lacerations",510,"Leg(s), unspecified",4119,"Slip without fall, n.e.c. ",562,"Bodily motion or position of injured, ill worker",,,1
2015010821,934784,1/26/2015,"Blossman Gas, Inc.",Port Beinbille,,BAY SAINT LOUIS,MISSISSIPPI,39520,30.30,-89.39,221210,0.00,1.00,0.00,,While making deliveries the vehicle's brakes failed causing the vehicle to roll. The driver tried to stop the vehicle by chocking the wheel. While attempting to chock the passenger side rear wheel the employee's left index finger was trapped between the metal chock and the tire resulting in an amputation.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,840,"Highway vehicle, motorized, unspecified",799,"Tools, instruments, and equipment, n.e.c.",1
2015010845,935404,1/27/2015,Delasierra Trucking,"CBR 44A-1H, Loving County",,ORLA,TEXAS,79770,31.82,-103.91,213112,1.00,0.00,0.00,1025049,"The rig crew was rigging down the work floor on the rig to change out a valve on the well head. The injured employee was standing on the rig platform reaching for the pin and lost his balance. He fell and hit the cellar ring of the well head. He injured his right ribs, right shoulder blade and punctured a lung.",194,Internal injuries to organs and blood vessels of the trunk,310,"Chest, except internal location of diseases or disorders",429,"Fall on same level, n.e.c. ",3244,Oil drilling rigs and machinery,,,1
2015010868,934947,1/27/2015,NSTAR Electric & Gas Corporation,157 Cordaville Rd,,SOUTHBOROUGH,MASSACHUSETTS,01745,42.28,-71.52,221122,1.00,0.00,0.00,,"On 1/27/15, an employee was admitted to the hospital with a fractured skull after falling on ice in the company parking lot.",111,Fractures,113,Skull,422,Fall on same level due to slipping ,6660,"Parking lot, unspecified",9273,"Ice, sleet, snow",1
